frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
182,103,1,76561198098071693,3,sl3nd,Kevlar Vest,equipment,01JM6E4VP0B3HSSATT5WVB09A2,0,ac1380546b71e382
190,108,1,76561199009468655,3,ztr,Smoke Grenade,grenade,01JM6E4VP0B3HSSATT5YBPS27H,0,ac1380546b71e382
192,110,1,76561199009468655,3,ztr,Defuse Kit,equipment,01JM6E4VP0B3HSSATT5YPEQE6T,0,ac1380546b71e382
361,244,1,76561198355739212,2,torzsi,Kevlar Vest,equipment,01JM6E4VP2EHTNX2ZNN8RAH539,0,ac1380546b71e382
364,245,1,76561198138828475,2,Brollan,Smoke Grenade,grenade,01JM6E4VP2EHTNX2ZNN9EVAFV0,0,ac1380546b71e382
366,247,1,76561198998266210,2,xelex,Kevlar Vest,equipment,01JM6E4VP2EHTNX2ZNNCHW27PB,0,ac1380546b71e382
375,256,1,76561198138828475,2,Brollan,Molotov,grenade,01JM6E4VP37RJ75GHRA7G0VRZ9,0,ac1380546b71e382
406,278,1,76561198855375325,2,Jimpphat,Kevlar Vest,equipment,01JM6E4VP37RJ75GHRA9WZVD5G,0,ac1380546b71e382
752,522,1,76561198310561479,3,PR,Kevlar Vest,equipment,01JM6E4VP8CWKN74ZWBKPH20MW,0,ac1380546b71e382
1035,729,1,76561198034172415,3,REZ,Kevlar Vest,equipment,01JM6E4VPCC485WJFTSD7AADH1,0,ac1380546b71e382
1208,870,1,76561198193174134,2,xertioN,Kevlar Vest,equipment,01JM6E4VPEQFHRXX817VF32BKN,0,ac1380546b71e382
1422,1032,1,76561198316706174,3,Tauson,Kevlar Vest,equipment,01JM6E4VPJAWS3T2MMP0FPT8F8,0,ac1380546b71e382
7707,6317,2,76561198310561479,3,PR,Kevlar Vest,equipment,01JM6E4VZ51D6NKKP3AYVNK7NS,0,ac1380546b71e382
7734,6334,2,76561198310561479,3,PR,Kevlar + Helmet,equipment,01JM6E4VZ51D6NKKP3B2K2XHW4,0,ac1380546b71e382
7825,6389,2,76561198316706174,3,Tauson,M4A1,rifle,01JM6E4VZ71V2DAFRKQREEBQ05,1,ac1380546b71e382
7925,6461,2,76561198316706174,3,Tauson,FAMAS,rifle,01JM6E4VZ8NSFT0F3X081E4SVK,0,ac1380546b71e382
8051,6542,2,76561199009468655,3,ztr,Kevlar + Helmet,equipment,01JM6E4VZA9FK9J6E3D8D9EWHV,0,ac1380546b71e382
8054,6543,2,76561199009468655,3,ztr,M4A1,rifle,01JM6E4VZBKD4WBKTJ7CHP8QK1,0,ac1380546b71e382
8093,6565,2,76561198998266210,2,xelex,Galil AR,rifle,01JM6E4VZBKD4WBKTJ7FH9SA0A,0,ac1380546b71e382
8119,6583,2,76561198998266210,2,xelex,Kevlar + Helmet,equipment,01JM6E4VZCSCTGV5WWS7SXQSS9,0,ac1380546b71e382
8122,6584,2,76561198316706174,3,Tauson,Kevlar + Helmet,equipment,01JM6E4VZCSCTGV5WWSB9YH85P,0,ac1380546b71e382
8167,6621,2,76561198034172415,3,REZ,Kevlar Vest,equipment,01JM6E4VZCSCTGV5WWSCF06R6J,0,ac1380546b71e382
8206,6645,2,76561198316706174,3,Tauson,Smoke Grenade,grenade,01JM6E4VZD98173Q5SS1F65D64,0,ac1380546b71e382
8216,6653,2,76561198998266210,2,xelex,Molotov,grenade,01JM6E4VZD98173Q5SS1TNMWFV,0,ac1380546b71e382
8219,6655,2,76561198316706174,3,Tauson,Incendiary Grenade,grenade,01JM6E4VZD98173Q5SS4VMWKJY,0,ac1380546b71e382
8235,6665,2,76561198998266210,2,xelex,Smoke Grenade,grenade,01JM6E4VZEQ1YC50MVR3RPCADQ,0,ac1380546b71e382
8242,6670,2,76561198316706174,3,Tauson,Flashbang,grenade,01JM6E4VZEQ1YC50MVR5KZHHZC,0,ac1380546b71e382
8333,6716,2,76561198355739212,2,torzsi,Galil AR,rifle,01JM6E4VZFDVF1GGCP1M1GWKZ7,1,ac1380546b71e382
8337,6719,2,76561198034172415,3,REZ,Kevlar + Helmet,equipment,01JM6E4VZFDVF1GGCP1QKJ3CFB,0,ac1380546b71e382
8361,6734,2,76561198034172415,3,REZ,M4A1,rifle,01JM6E4VZG2ZV7C5CYAK0536PE,0,ac1380546b71e382
8370,6740,2,76561198098071693,3,sl3nd,Kevlar + Helmet,equipment,01JM6E4VZG2ZV7C5CYAKMZKCTT,0,ac1380546b71e382
8469,6813,2,76561198355739212,2,torzsi,AK-47,rifle,01JM6E4VZJZTGZ6G7V488E4TE5,0,ac1380546b71e382
8483,6823,2,76561198310561479,3,PR,Kevlar + Helmet,equipment,01JM6E4VZJZTGZ6G7V49VQ1CSB,0,ac1380546b71e382
8514,6846,2,76561198193174134,2,xertioN,Kevlar + Helmet,equipment,01JM6E4VZJZTGZ6G7V4BTFWQES,0,ac1380546b71e382
8534,6856,2,76561198138828475,2,Brollan,MAC-10,smg,01JM6E4VZKVW50F35Q7FQXYJ8Z,0,ac1380546b71e382
