steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198998266210,xelex,3,800,650,850,pistol,1,fd5f8a6034103d74
76561198138828475,Brollan,3,800,800,700,pistol,1,fd5f8a6034103d74
76561198016255205,Twistzz,2,800,650,950,pistol,1,fd5f8a6034103d74
76561198283989223,ultimate,2,800,800,700,pistol,1,fd5f8a6034103d74
76561198355739212,torzsi,3,800,650,850,pistol,1,fd5f8a6034103d74
76561198001151695,NAF,2,800,650,850,pistol,1,fd5f8a6034103d74
76561198855375325,Jimpphat,3,800,650,850,pistol,1,fd5f8a6034103d74
76561198193174134,xertioN,3,800,650,950,pistol,1,fd5f8a6034103d74
76561197977105184,jks,2,800,650,850,pistol,1,fd5f8a6034103d74
76561198053126645,NertZ,2,800,650,850,pistol,1,fd5f8a6034103d74
76561198355739212,torzsi,3,2650,1700,1900,semi,2,fd5f8a6034103d74
76561198855375325,Jimpphat,3,2350,2300,2300,force-buy,2,fd5f8a6034103d74
76561198138828475,Brollan,3,2200,2200,2400,force-buy,2,fd5f8a6034103d74
76561198016255205,Twistzz,2,3400,3400,3600,semi,2,fd5f8a6034103d74
76561198053126645,NertZ,2,4300,4300,4500,full,2,fd5f8a6034103d74
76561197977105184,jks,2,3700,3700,3900,semi,2,fd5f8a6034103d74
76561198193174134,xertioN,3,2050,1950,1950,force-buy,2,fd5f8a6034103d74
76561198998266210,xelex,3,2050,2000,2000,force-buy,2,fd5f8a6034103d74
76561198001151695,NAF,2,4000,3250,3450,semi,2,fd5f8a6034103d74
76561198283989223,ultimate,2,3250,3150,3350,semi,2,fd5f8a6034103d74
76561198001151695,NAF,2,4250,500,3450,semi,3,fd5f8a6034103d74
76561198855375325,Jimpphat,3,2450,0,200,eco,3,fd5f8a6034103d74
76561198998266210,xelex,3,2450,0,1700,semi,3,fd5f8a6034103d74
76561198355739212,torzsi,3,3350,0,400,eco,3,fd5f8a6034103d74
76561198016255205,Twistzz,2,4100,800,3800,semi,3,fd5f8a6034103d74
76561198283989223,ultimate,2,4500,700,3350,semi,3,fd5f8a6034103d74
76561198053126645,NertZ,2,3800,900,5100,full,3,fd5f8a6034103d74
76561198138828475,Brollan,3,2400,300,300,eco,3,fd5f8a6034103d74
76561198193174134,xertioN,3,2500,500,500,eco,3,fd5f8a6034103d74
76561197977105184,jks,2,3500,1000,4200,full,3,fd5f8a6034103d74
76561198998266210,xelex,3,5650,5400,5400,full,4,fd5f8a6034103d74
76561198355739212,torzsi,3,6550,6500,6900,full,4,fd5f8a6034103d74
76561198016255205,Twistzz,2,8000,900,3800,semi,4,fd5f8a6034103d74
76561198193174134,xertioN,3,4900,4850,5050,full,4,fd5f8a6034103d74
76561197977105184,jks,2,6600,1100,4100,full,4,fd5f8a6034103d74
76561198001151695,NAF,2,7250,4900,5100,full,4,fd5f8a6034103d74
76561198053126645,NertZ,2,6700,1200,5100,full,4,fd5f8a6034103d74
76561198138828475,Brollan,3,5000,4850,5050,full,4,fd5f8a6034103d74
76561198283989223,ultimate,2,7300,4800,5000,full,4,fd5f8a6034103d74
76561198855375325,Jimpphat,3,5350,5200,5400,full,4,fd5f8a6034103d74
76561198193174134,xertioN,3,3600,2700,5800,full,5,fd5f8a6034103d74
76561198355739212,torzsi,3,3300,1100,6900,full,5,fd5f8a6034103d74
