frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
3998,3258,1,2,3,1,76561198016255205,Twistzz,1,2,923d4f47b764dce7
4091,3338,1,1,2,0,76561198855375325,Jimpphat,0,0,923d4f47b764dce7
7799,6189,2,5,2,0,76561198855375325,Jimpphat,0,0,923d4f47b764dce7
12624,9880,3,5,3,0,76561198001151695,NAF,0,0,923d4f47b764dce7
43752,35596,6,4,2,0,76561198355739212,torzsi,0,1,923d4f47b764dce7
51688,41685,7,5,2,0,76561198355739212,torzsi,0,1,923d4f47b764dce7
59620,48075,8,5,2,0,76561198193174134,xertioN,0,0,923d4f47b764dce7
70553,57105,9,2,2,0,76561198193174134,xertioN,0,0,923d4f47b764dce7
79162,63840,10,4,2,0,76561198998266210,xelex,0,0,923d4f47b764dce7
86901,69939,11,3,2,0,76561198193174134,xertioN,0,0,923d4f47b764dce7
94712,76106,12,3,2,0,76561198355739212,torzsi,0,0,923d4f47b764dce7
119925,96734,13,2,3,0,76561198998266210,xelex,0,0,923d4f47b764dce7
129178,104262,14,4,3,0,76561198855375325,Jimpphat,0,0,923d4f47b764dce7
136561,110031,15,4,3,0,76561198193174134,xertioN,0,1,923d4f47b764dce7
146832,118099,16,2,3,1,76561198998266210,xelex,1,2,923d4f47b764dce7
146870,118129,16,1,2,0,76561197977105184,jks,0,0,923d4f47b764dce7
155238,124869,17,2,3,1,76561198355739212,torzsi,1,2,923d4f47b764dce7
155502,125092,17,1,2,0,76561197977105184,jks,0,0,923d4f47b764dce7
163419,131401,18,5,2,0,76561197977105184,jks,0,0,923d4f47b764dce7
168178,134985,19,5,2,0,76561198283989223,ultimate,0,1,923d4f47b764dce7
179949,144231,20,3,3,0,76561198998266210,xelex,0,1,923d4f47b764dce7
