steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198001151695,NAF,3,800,650,850,pistol,1,923d4f47b764dce7
76561198193174134,xertioN,2,800,650,850,pistol,1,923d4f47b764dce7
76561198355739212,torzsi,2,800,650,850,pistol,1,923d4f47b764dce7
76561198016255205,Twistzz,3,800,650,850,pistol,1,923d4f47b764dce7
76561198053126645,NertZ,3,800,650,850,pistol,1,923d4f47b764dce7
76561198998266210,xelex,2,800,650,850,pistol,1,923d4f47b764dce7
76561198855375325,Jimpphat,2,800,650,850,pistol,1,923d4f47b764dce7
76561198138828475,Brollan,2,800,700,900,pistol,1,923d4f47b764dce7
76561198283989223,ultimate,3,800,650,850,pistol,1,923d4f47b764dce7
76561197977105184,jks,3,800,650,850,pistol,1,923d4f47b764dce7
76561198998266210,xelex,2,2050,0,200,eco,2,923d4f47b764dce7
76561198193174134,xertioN,2,2350,300,300,eco,2,923d4f47b764dce7
76561198016255205,Twistzz,3,4300,4200,4400,semi,2,923d4f47b764dce7
76561198001151695,NAF,3,3400,3350,3550,semi,2,923d4f47b764dce7
76561198355739212,torzsi,2,2350,300,300,eco,2,923d4f47b764dce7
76561198053126645,NertZ,3,3400,3300,3500,semi,2,923d4f47b764dce7
76561198855375325,Jimpphat,2,2650,200,400,eco,2,923d4f47b764dce7
76561198283989223,ultimate,3,3400,3250,3150,semi,2,923d4f47b764dce7
76561198138828475,Brollan,2,2000,0,200,eco,2,923d4f47b764dce7
76561197977105184,jks,3,4000,3550,3750,semi,2,923d4f47b764dce7
76561198001151695,NAF,3,3900,1000,3650,semi,3,923d4f47b764dce7
76561198193174134,xertioN,2,4450,4400,4600,full,3,923d4f47b764dce7
76561198016255205,Twistzz,3,4250,1000,5400,full,3,923d4f47b764dce7
76561198053126645,NertZ,3,3950,1000,4000,semi,3,923d4f47b764dce7
76561198355739212,torzsi,2,4450,4400,4600,full,3,923d4f47b764dce7
76561197977105184,jks,3,3700,800,3850,semi,3,923d4f47b764dce7
76561198138828475,Brollan,2,4400,4400,4600,full,3,923d4f47b764dce7
76561198998266210,xelex,2,4450,4400,4600,full,3,923d4f47b764dce7
76561198855375325,Jimpphat,2,4850,4800,5000,full,3,923d4f47b764dce7
76561198283989223,ultimate,3,3400,1500,3650,semi,3,923d4f47b764dce7
76561198283989223,ultimate,3,3300,3250,3150,force-buy,4,923d4f47b764dce7
76561198053126645,NertZ,3,4350,4350,5050,full,4,923d4f47b764dce7
76561198998266210,xelex,2,3600,1000,5100,full,4,923d4f47b764dce7
76561198016255205,Twistzz,3,4650,4550,4750,full,4,923d4f47b764dce7
76561198138828475,Brollan,2,3550,1100,5000,full,4,923d4f47b764dce7
76561197977105184,jks,3,4300,4250,4450,force-buy,4,923d4f47b764dce7
76561198355739212,torzsi,2,3600,600,5000,full,4,923d4f47b764dce7
76561198193174134,xertioN,2,3600,900,5100,full,4,923d4f47b764dce7
76561198001151695,NAF,3,4300,4250,4450,force-buy,4,923d4f47b764dce7
76561198855375325,Jimpphat,2,3600,700,5100,full,4,923d4f47b764dce7
76561198138828475,Brollan,2,6250,1100,5000,full,5,923d4f47b764dce7
76561197977105184,jks,3,1950,0,3950,semi,5,923d4f47b764dce7
76561198355739212,torzsi,2,6500,400,5000,full,5,923d4f47b764dce7
76561198998266210,xelex,2,6400,400,5100,full,5,923d4f47b764dce7
76561198855375325,Jimpphat,2,6700,4900,5100,full,5,923d4f47b764dce7
76561198016255205,Twistzz,3,2000,0,200,eco,5,923d4f47b764dce7
76561198053126645,NertZ,3,1900,0,200,eco,5,923d4f47b764dce7
76561198001151695,NAF,3,1950,0,3950,semi,5,923d4f47b764dce7
76561198193174134,xertioN,2,6500,3250,3450,semi,5,923d4f47b764dce7
76561198283989223,ultimate,3,2850,700,700,eco,5,923d4f47b764dce7
76561198001151695,NAF,3,4650,1700,5350,full,6,923d4f47b764dce7
76561198053126645,NertZ,3,4300,4250,4450,force-buy,6,923d4f47b764dce7
76561198998266210,xelex,2,10100,4050,5100,full,6,923d4f47b764dce7
76561198855375325,Jimpphat,2,5900,2200,5100,full,6,923d4f47b764dce7
76561198355739212,torzsi,2,9600,7150,7050,full,6,923d4f47b764dce7
76561198193174134,xertioN,2,6750,4900,5100,full,6,923d4f47b764dce7
76561197977105184,jks,3,4650,4650,4850,full,6,923d4f47b764dce7
76561198138828475,Brollan,2,8650,1100,5000,full,6,923d4f47b764dce7
76561198016255205,Twistzz,3,4400,4250,4450,force-buy,6,923d4f47b764dce7
76561198283989223,ultimate,3,4850,2900,6000,full,6,923d4f47b764dce7
76561198053126645,NertZ,3,3300,2300,5400,full,7,923d4f47b764dce7
76561198355739212,torzsi,2,3950,3850,6300,full,7,923d4f47b764dce7
76561198001151695,NAF,3,6200,5200,5600,full,7,923d4f47b764dce7
76561198138828475,Brollan,2,8650,7500,5000,full,7,923d4f47b764dce7
76561198998266210,xelex,2,7450,6950,5100,full,7,923d4f47b764dce7
76561198855375325,Jimpphat,2,5100,4900,5100,full,7,923d4f47b764dce7
76561198283989223,ultimate,3,6100,3000,7750,full,7,923d4f47b764dce7
76561198193174134,xertioN,2,3550,2400,5100,full,7,923d4f47b764dce7
76561198016255205,Twistzz,3,4000,3900,5050,full,7,923d4f47b764dce7
76561197977105184,jks,3,3250,1850,5300,full,7,923d4f47b764dce7
76561198016255205,Twistzz,3,3650,2700,5800,full,8,923d4f47b764dce7
76561198998266210,xelex,2,2400,0,500,eco,8,923d4f47b764dce7
76561198138828475,Brollan,2,3050,700,900,eco,8,923d4f47b764dce7
76561198001151695,NAF,3,4250,1100,5600,full,8,923d4f47b764dce7
76561198355739212,torzsi,2,2100,300,300,eco,8,923d4f47b764dce7
76561198193174134,xertioN,2,3050,700,700,eco,8,923d4f47b764dce7
76561198855375325,Jimpphat,2,2100,0,200,eco,8,923d4f47b764dce7
76561198283989223,ultimate,3,6350,1000,7650,full,8,923d4f47b764dce7
76561197977105184,jks,3,4650,1100,5200,full,8,923d4f47b764dce7
76561198053126645,NertZ,3,5450,4100,5600,full,8,923d4f47b764dce7
76561198998266210,xelex,2,4800,4750,4750,full,9,923d4f47b764dce7
76561198138828475,Brollan,2,4750,4600,5000,full,9,923d4f47b764dce7
76561198355739212,torzsi,2,4200,4200,4400,full,9,923d4f47b764dce7
76561198855375325,Jimpphat,2,4500,4400,4600,full,9,923d4f47b764dce7
76561198001151695,NAF,3,7000,1300,5600,full,9,923d4f47b764dce7
76561197977105184,jks,3,6800,1100,5700,full,9,923d4f47b764dce7
76561198016255205,Twistzz,3,4200,1000,5800,full,9,923d4f47b764dce7
76561198283989223,ultimate,3,8600,300,7750,full,9,923d4f47b764dce7
76561198193174134,xertioN,2,4750,4700,4900,full,9,923d4f47b764dce7
76561198053126645,NertZ,3,5500,1300,5700,full,9,923d4f47b764dce7
76561198355739212,torzsi,2,3200,1850,1850,semi,10,923d4f47b764dce7
76561198193174134,xertioN,2,2950,1850,1850,semi,10,923d4f47b764dce7
76561198016255205,Twistzz,3,7050,5600,5800,full,10,923d4f47b764dce7
76561198001151695,NAF,3,9250,5600,5900,full,10,923d4f47b764dce7
76561198998266210,xelex,2,3250,2050,2050,semi,10,923d4f47b764dce7
76561197977105184,jks,3,8950,5600,5800,full,10,923d4f47b764dce7
76561198053126645,NertZ,3,7750,1100,5700,full,10,923d4f47b764dce7
76561198138828475,Brollan,2,3050,1850,1850,semi,10,923d4f47b764dce7
76561198283989223,ultimate,3,11650,1800,7850,full,10,923d4f47b764dce7
76561198855375325,Jimpphat,2,3300,2000,2000,semi,10,923d4f47b764dce7
76561198193174134,xertioN,2,4500,4400,4600,full,11,923d4f47b764dce7
76561198138828475,Brollan,2,4900,4800,5000,full,11,923d4f47b764dce7
76561198355739212,torzsi,2,4750,4600,4800,full,11,923d4f47b764dce7
76561197977105184,jks,3,6600,500,5800,full,11,923d4f47b764dce7
76561198053126645,NertZ,3,10200,5200,5400,full,11,923d4f47b764dce7
76561198855375325,Jimpphat,2,4700,4600,4800,full,11,923d4f47b764dce7
76561198998266210,xelex,2,4600,4600,4800,full,11,923d4f47b764dce7
76561198283989223,ultimate,3,13200,800,7950,full,11,923d4f47b764dce7
76561198001151695,NAF,3,6900,1300,5900,full,11,923d4f47b764dce7
76561198016255205,Twistzz,3,5600,1300,5900,full,11,923d4f47b764dce7
76561198053126645,NertZ,3,8250,1500,5700,full,12,923d4f47b764dce7
76561198355739212,torzsi,2,3550,3500,3700,force-buy,12,923d4f47b764dce7
76561198193174134,xertioN,2,3500,3500,3700,force-buy,12,923d4f47b764dce7
76561198138828475,Brollan,2,3800,3700,4100,full,12,923d4f47b764dce7
76561198283989223,ultimate,3,15650,8150,7850,full,12,923d4f47b764dce7
76561198001151695,NAF,3,9450,5600,5800,full,12,923d4f47b764dce7
76561198855375325,Jimpphat,2,3800,3700,3900,force-buy,12,923d4f47b764dce7
76561197977105184,jks,3,9650,1600,5900,full,12,923d4f47b764dce7
76561198016255205,Twistzz,3,8150,800,5900,full,12,923d4f47b764dce7
76561198998266210,xelex,2,3400,3350,3350,force-buy,12,923d4f47b764dce7
76561198355739212,torzsi,3,800,650,950,pistol,13,923d4f47b764dce7
76561197977105184,jks,2,800,800,700,pistol,13,923d4f47b764dce7
76561198016255205,Twistzz,2,800,650,950,pistol,13,923d4f47b764dce7
76561198283989223,ultimate,2,800,650,1150,pistol,13,923d4f47b764dce7
76561198138828475,Brollan,3,800,650,1150,pistol,13,923d4f47b764dce7
