number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,1,1,1267,1704,3682,4607,4002,5008,Team A,Team B,0,1,3,2,4000,4000,4550,4750,3550,3350,pistol,pistol,57752,9,Team B,2,0,ebcee65afcd51cc1
2,4002,5008,5282,6951,11776,14695,12096,15104,Team A,Team B,1,1,3,2,10250,18700,9850,20150,9650,18450,force-buy,full,121461,8,Team A,3,0,ebcee65afcd51cc1
3,12096,15104,13376,16950,19097,23837,19417,24256,Team A,Team B,2,1,3,2,18350,7850,26250,7100,13450,6900,full,force-buy,109499,8,Team A,3,0,ebcee65afcd51cc1
4,19417,24256,20697,26088,22420,28192,22740,28580,Team A,Team B,3,1,3,2,22650,11050,24550,1100,10950,300,full,eco,49351,8,Team A,3,0,ebcee65afcd51cc1
5,22740,28580,24020,30415,31380,39208,31700,39602,Team A,Team B,4,1,3,2,30350,22750,28950,24250,8650,22550,full,full,133260,12,Team A,3,0,ebcee65afcd51cc1
6,31700,39602,32980,41409,39754,49617,40074,50008,Team A,Team B,4,2,3,2,39250,12500,29750,6500,19200,6500,full,semi,125573,1,Team B,2,0,ebcee65afcd51cc1
7,40074,50008,41354,51904,47734,59627,48054,60039,Team A,Team B,5,2,3,2,28150,24400,29850,24700,18600,23400,full,full,120608,8,Team A,3,0,ebcee65afcd51cc1
8,48054,60039,49334,61894,52498,65817,52818,66233,Team A,Team B,6,2,3,2,27000,13300,30050,6800,14900,6300,full,semi,72447,8,Team A,3,0,ebcee65afcd51cc1
9,55473,69546,56753,71285,60430,75831,60750,76252,Team A,Team B,7,2,3,2,29650,21500,30850,21950,3600,20950,full,full,78805,8,Team A,3,0,ebcee65afcd51cc1
10,60750,76252,62030,78143,69281,86851,69601,87277,Team A,Team B,8,2,3,2,43800,17550,30850,9750,4800,9550,full,semi,132896,7,Team A,3,0,ebcee65afcd51cc1
11,69601,87277,70881,89085,75827,95069,76147,95468,Team A,Team B,9,2,3,2,57900,28300,31650,26600,6900,25600,full,full,97700,8,Team A,3,0,ebcee65afcd51cc1
12,76147,95468,77427,97275,84104,105416,84648,106074,Team A,Team B,9,3,3,2,68750,20100,32050,20950,27550,19950,full,full,124733,9,Team B,2,0,ebcee65afcd51cc1
13,84648,106074,99410,124631,102431,128284,102751,128677,Team A,Team B,9,4,2,3,4000,4000,5250,5850,3350,3550,pistol,pistol,278482,8,Team B,3,0,ebcee65afcd51cc1
14,102751,128677,104031,130587,112701,140675,113021,141058,Team A,Team B,9,5,2,3,10750,18200,2800,20100,2000,17850,eco,semi,150437,7,Team B,3,0,ebcee65afcd51cc1
15,113021,141058,114301,142880,121092,151111,121412,151501,Team A,Team B,10,5,2,3,25250,20250,24800,24450,24100,19050,full,full,126050,1,Team A,2,0,ebcee65afcd51cc1
16,121412,151501,122692,153311,128252,160133,128572,160537,Team A,Team B,11,5,2,3,19550,8800,25300,21700,12200,8300,full,force-buy,108233,9,Team A,2,0,ebcee65afcd51cc1
17,128572,160537,129852,162398,135595,169077,135915,169487,Team A,Team B,12,5,2,3,25400,10300,27350,1100,8650,300,full,eco,107079,9,Team A,2,0,ebcee65afcd51cc1
18,135915,169487,137195,171457,144296,180091,144296,180091,Team A,Team B,13,5,2,3,40750,15150,27550,23350,11300,22250,full,full,132959,9,Team A,2,0,ebcee65afcd51cc1
