frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
5866,4699,1,3,3,0,76561198081484775,SH1R0,0,0,4a7f07789d54e3b7
12659,9947,2,3,3,0,76561198081484775,SH1R0,1,0,4a7f07789d54e3b7
23146,18394,3,5,3,0,76561198995880877,zont1x,0,1,4a7f07789d54e3b7
31596,24851,4,4,2,0,76561198013243326,Aleksib,0,1,4a7f07789d54e3b7
59420,47090,6,3,3,0,76561198081484775,SH1R0,1,0,4a7f07789d54e3b7
71562,56877,7,2,2,0,76561198013243326,Aleksib,0,0,4a7f07789d54e3b7
78020,61679,8,3,2,0,76561198176878303,jL,0,0,4a7f07789d54e3b7
85938,67912,9,5,2,0,76561198013243326,Aleksib,0,0,4a7f07789d54e3b7
102535,81119,10,3,3,0,76561198995880877,zont1x,0,0,4a7f07789d54e3b7
110730,87118,11,5,2,0,76561199063068840,w0nderful,0,0,4a7f07789d54e3b7
120656,94857,12,4,2,0,76561198246607476,b1t,0,0,4a7f07789d54e3b7
142416,112446,13,3,2,1,76561198386265483,donk,1,3,4a7f07789d54e3b7
142621,112627,13,1,3,0,76561199063068840,w0nderful,0,0,4a7f07789d54e3b7
152552,120553,14,2,2,0,76561199063238565,magixx,0,1,4a7f07789d54e3b7
154100,121919,14,1,3,1,76561198013243326,Aleksib,1,1,4a7f07789d54e3b7
164786,130162,15,3,2,0,76561198386265483,donk,1,0,4a7f07789d54e3b7
176343,139320,16,2,3,1,76561198246607476,b1t,1,2,4a7f07789d54e3b7
176502,139458,16,1,2,0,76561199063238565,magixx,0,0,4a7f07789d54e3b7
188445,148973,17,2,2,0,76561199063238565,magixx,1,0,4a7f07789d54e3b7
200050,158072,18,5,2,0,76561198081484775,SH1R0,0,0,4a7f07789d54e3b7
210019,165668,19,3,3,0,76561199063068840,w0nderful,0,1,4a7f07789d54e3b7
220014,173559,20,4,2,0,76561198995880877,zont1x,0,0,4a7f07789d54e3b7
229415,180874,21,3,2,0,76561198081484775,SH1R0,0,0,4a7f07789d54e3b7
