frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
146,88,1,76561198386265483,3,donk,Kevlar Vest,equipment,01JM6E68XSSFFCKF1E9VQ73PDE,0,4a7f07789d54e3b7
165,101,1,76561198176878303,2,jL,Smoke Grenade,grenade,01JM6E68XSSFFCKF1E9YB4KGJ3,0,4a7f07789d54e3b7
171,105,1,76561198995880877,3,zont1x,Smoke Grenade,grenade,01JM6E68XSSFFCKF1E9Z5BBC4P,0,4a7f07789d54e3b7
183,114,1,76561198176878303,2,jL,Flashbang,grenade,01JM6E68XSSFFCKF1EA0AMBGZQ,0,4a7f07789d54e3b7
185,116,1,76561198995880877,3,zont1x,Flashbang,grenade,01JM6E68XTGDW8VC5GJZ4DPPZ1,0,4a7f07789d54e3b7
196,126,1,76561198995880877,3,zont1x,HE Grenade,grenade,01JM6E68XTGDW8VC5GK248A6W7,0,4a7f07789d54e3b7
291,189,1,76561198013243326,2,Aleksib,Kevlar Vest,equipment,01JM6E68XV7J058M9FV0DH84WZ,0,4a7f07789d54e3b7
414,281,1,76561199063068840,2,w0nderful,Smoke Grenade,grenade,01JM6E68XXJFH67ZMAEP9FG78Q,0,4a7f07789d54e3b7
431,292,1,76561198013243326,2,Aleksib,Decoy Grenade,grenade,01JM6E68XZM5Q2S6WTVYJ61SRY,0,4a7f07789d54e3b7
435,293,1,76561199063068840,2,w0nderful,Flashbang,grenade,01JM6E68XZM5Q2S6WTW2B0BDAH,0,4a7f07789d54e3b7
465,319,1,76561198050250233,2,iM,Kevlar Vest,equipment,01JM6E68XZM5Q2S6WTW3NCSFH7,0,4a7f07789d54e3b7
469,321,1,76561199063068840,2,w0nderful,P250,pistol,01JM6E68XZM5Q2S6WTW6TF5CR4,0,4a7f07789d54e3b7
812,591,1,76561198246607476,2,b1t,Kevlar Vest,equipment,01JM6E68Y4RC024H959DEKTFPN,0,4a7f07789d54e3b7
825,602,1,76561199063238565,3,magixx,Kevlar Vest,equipment,01JM6E68Y4RC024H959DZ11WT4,0,4a7f07789d54e3b7
1037,754,1,76561198081484775,3,SH1R0,Kevlar Vest,equipment,01JM6E68Y8ET87MHDN780F68K9,0,4a7f07789d54e3b7
1290,944,1,76561198045898864,3,chopper,Dual Berettas,pistol,01JM6E68YCFTKV6PQFTYR340AV,0,4a7f07789d54e3b7
1597,1170,1,76561199063238565,3,magixx,Dual Berettas,pistol,01JM6E68YKREQ8VFNW3FE5TKMD,0,4a7f07789d54e3b7
1659,1206,1,76561198045898864,3,chopper,Flashbang,grenade,01JM6E68YM00SCT0EH7NM02E3J,0,4a7f07789d54e3b7
7428,5998,2,76561198176878303,2,jL,Galil AR,rifle,01JM6E696HW8CVM2DJKS2J5S5W,0,4a7f07789d54e3b7
7441,6011,2,76561198176878303,2,jL,Kevlar + Helmet,equipment,01JM6E696HW8CVM2DJKT21AK32,0,4a7f07789d54e3b7
7441,6011,2,76561199063068840,2,w0nderful,Kevlar + Helmet,equipment,01JM6E696HW8CVM2DJKTDY2ZPV,0,4a7f07789d54e3b7
7457,6027,2,76561198176878303,2,jL,Smoke Grenade,grenade,01JM6E696JRQ5YZHK3T5CMVMBE,0,4a7f07789d54e3b7
7460,6030,2,76561198050250233,2,iM,Kevlar + Helmet,equipment,01JM6E696JRQ5YZHK3T68FS63J,0,4a7f07789d54e3b7
7471,6038,2,76561198176878303,2,jL,Flashbang,grenade,01JM6E696JRQ5YZHK3T8651HC9,0,4a7f07789d54e3b7
7480,6043,2,76561199063068840,2,w0nderful,Galil AR,rifle,01JM6E696JRQ5YZHK3TAVKVZWZ,0,4a7f07789d54e3b7
7505,6056,2,76561199063068840,2,w0nderful,Smoke Grenade,grenade,01JM6E696JRQ5YZHK3TDTSRCSC,0,4a7f07789d54e3b7
7727,6202,2,76561198050250233,2,iM,AK-47,rifle,01JM6E696R03PEKZSKCX4JZRW1,0,4a7f07789d54e3b7
7743,6210,2,76561198050250233,2,iM,Smoke Grenade,grenade,01JM6E696SEGD3BJQ2QDX60HH1,0,4a7f07789d54e3b7
7820,6261,2,76561198246607476,2,b1t,Kevlar + Helmet,equipment,01JM6E696T96HAY32KYT6504JC,0,4a7f07789d54e3b7
7969,6357,2,76561198013243326,2,Aleksib,Kevlar + Helmet,equipment,01JM6E696XJ4MKVFBCK3BHPS0B,0,4a7f07789d54e3b7
7997,6380,2,76561198013243326,2,Aleksib,MAC-10,smg,01JM6E696XJ4MKVFBCK4GP5EY8,0,4a7f07789d54e3b7
8022,6400,2,76561198050250233,2,iM,Flashbang,grenade,01JM6E696XJ4MKVFBCK61VFHM5,0,4a7f07789d54e3b7
8038,6413,2,76561198246607476,2,b1t,Galil AR,rifle,01JM6E696Y7JES7J45T6746QM1,0,4a7f07789d54e3b7
8046,6420,2,76561198050250233,2,iM,Molotov,grenade,01JM6E696Y7JES7J45T8X8WY3Y,0,4a7f07789d54e3b7
8059,6428,2,76561198246607476,2,b1t,Smoke Grenade,grenade,01JM6E696Y7JES7J45TCGYQ3QR,0,4a7f07789d54e3b7
8066,6433,2,76561198013243326,2,Aleksib,Smoke Grenade,grenade,01JM6E696Y7JES7J45TDPPPYYB,0,4a7f07789d54e3b7
8074,6439,2,76561198246607476,2,b1t,Flashbang,grenade,01JM6E696Y7JES7J45TFHAW7YX,0,4a7f07789d54e3b7
8086,6450,2,76561198013243326,2,Aleksib,Molotov,grenade,01JM6E696ZTSAR4TCWCXFRFB42,0,4a7f07789d54e3b7
8116,6465,2,76561198013243326,2,Aleksib,HE Grenade,grenade,01JM6E696ZTSAR4TCWD053PQA9,0,4a7f07789d54e3b7
