steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198045898864,chopper,2,4850,3800,5100,pistol,1,8c8bbaa2641a47f5
76561198995880877,zont1x,2,4700,4600,4800,pistol,1,8c8bbaa2641a47f5
76561198246607476,b1t,3,5900,5600,5500,pistol,1,8c8bbaa2641a47f5
76561198081484775,SH1R0,2,8650,6050,6250,pistol,1,8c8bbaa2641a47f5
76561198050250233,iM,3,5350,4850,5050,pistol,1,8c8bbaa2641a47f5
76561198386265483,donk,2,6550,4800,5000,pistol,1,8c8bbaa2641a47f5
76561199063068840,w0nderful,3,6300,6200,6700,pistol,1,8c8bbaa2641a47f5
76561199063238565,magixx,2,4050,2400,5100,pistol,1,8c8bbaa2641a47f5
76561198176878303,jL,3,4750,2300,3550,pistol,1,8c8bbaa2641a47f5
76561198013243326,Aleksib,3,6150,5600,5800,pistol,1,8c8bbaa2641a47f5
76561199063238565,magixx,2,3050,0,200,eco,2,8c8bbaa2641a47f5
76561198246607476,b1t,3,3550,0,4800,full,2,8c8bbaa2641a47f5
76561198050250233,iM,3,4050,0,3750,semi,2,8c8bbaa2641a47f5
76561198386265483,donk,2,3150,0,200,eco,2,8c8bbaa2641a47f5
76561198081484775,SH1R0,2,4000,0,200,eco,2,8c8bbaa2641a47f5
76561198176878303,jL,3,5700,0,3900,semi,2,8c8bbaa2641a47f5
76561198013243326,Aleksib,3,4100,0,4300,semi,2,8c8bbaa2641a47f5
76561198045898864,chopper,2,2450,0,200,eco,2,8c8bbaa2641a47f5
76561199063068840,w0nderful,3,3650,0,5600,full,2,8c8bbaa2641a47f5
