frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
13026,7043,1,4,2,0,76561198386265483,donk,0,1,e732cdb2060c513d
37532,21068,2,3,2,0,76561198081484775,SH1R0,1,0,e732cdb2060c513d
52665,29336,3,4,2,0,76561198995880877,zont1x,0,0,e732cdb2060c513d
62429,34333,4,5,2,0,76561199063238565,magixx,0,0,e732cdb2060c513d
92879,50854,6,3,2,1,76561198995880877,zont1x,1,0,e732cdb2060c513d
111881,61258,7,2,3,0,76561198246607476,b1t,0,1,e732cdb2060c513d
112186,61457,7,1,2,1,76561198045898864,chopper,1,1,e732cdb2060c513d
121415,66204,8,4,3,0,76561198013243326,Aleksib,0,0,e732cdb2060c513d
158324,87238,9,5,2,0,76561199063068840,w0nderful,0,0,e732cdb2060c513d
171740,94797,10,5,2,0,76561199063068840,w0nderful,0,0,e732cdb2060c513d
183653,101540,11,2,3,0,76561198386265483,donk,1,0,e732cdb2060c513d
201136,111512,12,2,3,1,76561198386265483,donk,1,2,e732cdb2060c513d
201143,111519,12,1,2,0,76561199063068840,w0nderful,0,0,e732cdb2060c513d
214299,118757,13,4,2,0,76561199063068840,w0nderful,0,0,e732cdb2060c513d
280465,154405,17,4,3,0,76561199063238565,magixx,0,1,e732cdb2060c513d
297663,164117,18,2,3,0,76561198081484775,SH1R0,1,2,e732cdb2060c513d
298159,164475,18,1,2,1,76561198013243326,Aleksib,0,0,e732cdb2060c513d
313626,172901,19,4,2,0,76561199063068840,w0nderful,0,1,e732cdb2060c513d
327748,180207,20,5,2,0,76561199063068840,w0nderful,0,0,e732cdb2060c513d
