number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,1,1,1260,1675,5911,7156,6231,7556,Team A,Team B,0,1,3,2,4000,4000,4200,6400,3400,3700,pistol,pistol,89284,9,Team B,2,0,e5487aec09987be7
2,6231,7556,7511,9363,16032,19442,16352,19840,Team A,Team B,0,2,3,2,10400,18350,10400,17450,9700,16450,force-buy,semi,148320,1,Team B,2,0,e5487aec09987be7
3,16352,19840,17632,21611,25315,30909,25635,31304,Team A,Team B,0,3,3,2,14200,21200,19000,21150,12200,20450,semi,full,138125,9,Team B,2,0,e5487aec09987be7
4,25635,31304,26915,33104,34628,42364,34948,42757,Team A,Team B,0,4,3,2,17100,19100,7350,23750,7150,10950,semi,full,138013,1,Team B,2,0,e5487aec09987be7
5,36944,45336,38224,47073,40660,50181,40980,50609,Team A,Team B,1,4,3,2,27250,27250,27550,24650,23150,7200,full,full,60458,8,Team A,3,0,e5487aec09987be7
6,40980,50609,42260,52497,48009,59529,48329,59930,Team A,Team B,2,4,3,2,21650,27650,28250,25000,12500,24000,full,full,111308,8,Team A,3,0,e5487aec09987be7
7,48329,59930,49609,61710,52008,64743,52328,65147,Team A,Team B,3,4,3,2,26700,13450,28550,4200,8600,3800,full,eco,60059,8,Team A,3,0,e5487aec09987be7
8,52328,65147,53608,67024,59642,74445,59962,74836,Team A,Team B,4,4,3,2,35650,21950,29600,22850,12350,21650,full,full,116025,8,Team A,3,0,e5487aec09987be7
9,59962,74836,61242,76585,65730,82116,66050,82541,Team A,Team B,5,4,3,2,40850,15400,30550,6100,13950,6100,full,semi,90844,8,Team A,3,0,e5487aec09987be7
10,68408,85700,69688,87626,75262,94378,75582,94761,Team A,Team B,6,4,3,2,44650,26600,31250,25300,9100,24300,full,full,108289,8,Team A,3,0,e5487aec09987be7
11,75582,94761,76862,96555,81396,102050,81716,102452,Team A,Team B,7,4,3,2,53100,20200,30650,12550,20950,12150,full,semi,90956,8,Team A,3,0,e5487aec09987be7
12,81716,102452,82996,104314,89133,111852,89677,112526,Team A,Team B,7,5,3,2,49700,25350,31050,24400,20750,23400,full,full,117298,9,Team B,2,0,e5487aec09987be7
13,89677,112526,104159,130146,107148,133682,107468,134061,Team A,Team B,7,6,2,3,4000,4000,4250,4700,3450,3400,pistol,pistol,263996,8,Team B,3,0,e5487aec09987be7
14,107468,134061,108748,135943,111565,139395,111885,139809,Team A,Team B,7,7,2,3,10650,18350,1900,20600,1300,18000,eco,semi,66560,8,Team B,3,0,e5487aec09987be7
15,111885,139809,113165,141862,120331,150449,120651,150843,Team A,Team B,8,7,2,3,21650,18700,22750,25050,21250,8500,full,full,132772,9,Team A,2,0,e5487aec09987be7
16,120651,150843,121931,152559,128305,160272,128625,160652,Team A,Team B,8,8,2,3,18450,18100,23750,19200,14750,17900,full,force-buy,117660,8,Team B,3,0,e5487aec09987be7
17,130545,163392,131825,165099,138726,173209,139046,173606,Team A,Team B,9,8,2,3,14100,18550,4500,24900,4000,16450,eco,full,122502,9,Team A,2,0,e5487aec09987be7
18,141218,176641,142498,178459,151091,188801,151411,189190,Team A,Team B,10,8,2,3,28150,10300,25700,10350,18700,9750,full,force-buy,151739,1,Team A,2,0,e5487aec09987be7
19,151411,189190,152691,190909,159054,198560,159374,198986,Team A,Team B,11,8,2,3,28150,10050,26000,5100,5000,300,full,semi,116924,9,Team A,2,0,e5487aec09987be7
20,161638,201843,162918,203664,165863,207384,166183,207811,Team A,Team B,11,9,2,3,40900,21750,25900,22400,8100,21400,full,force-buy,69143,8,Team B,3,0,e5487aec09987be7
21,166183,207811,167463,209826,174216,218052,174536,218442,Team A,Team B,11,10,2,3,39800,18100,25200,25950,24200,4950,full,full,127793,8,Team B,3,0,e5487aec09987be7
22,174536,218442,175816,220236,184592,230860,184912,231252,Team A,Team B,12,10,2,3,26300,30900,23800,28900,22500,24000,full,full,154958,9,Team A,2,0,e5487aec09987be7
23,184912,231252,186192,233165,193552,242159,193872,242546,Team A,Team B,12,11,2,3,21850,14800,24600,15650,15100,14550,full,force-buy,136103,12,Team B,3,0,e5487aec09987be7
24,193872,242546,195152,244310,201902,252462,202446,253127,Team A,Team B,12,12,2,3,12650,18300,17150,28900,11850,13100,force-buy,full,123737,8,Team B,3,0,e5487aec09987be7
25,204900,256318,206180,258191,214839,268657,215159,269045,Team A,Team B,13,12,2,3,62500,62500,26450,30100,25450,29100,full,full,153973,9,Team A,2,1,e5487aec09987be7
26,215159,269045,216439,270922,222371,278220,222691,278604,Team A,Team B,13,13,2,3,54300,43900,28050,28950,21400,27950,full,full,114490,8,Team B,3,1,e5487aec09987be7
27,222691,278604,223971,280525,229401,287264,229945,287917,Team A,Team B,13,14,2,3,40800,33500,28050,32250,27650,23050,full,full,108064,7,Team B,3,1,e5487aec09987be7
28,232556,291175,233836,293014,239501,299970,239821,300357,Team A,Team B,14,14,3,2,62500,62500,29850,25100,29250,24400,full,full,109749,8,Team A,3,1,e5487aec09987be7
29,239821,300357,241101,302265,248678,311388,248998,311784,Team A,Team B,14,15,3,2,51000,48800,31250,25200,26400,24200,full,full,137651,9,Team B,2,1,e5487aec09987be7
30,248998,311784,250278,313765,255327,320047,255327,320047,Team A,Team B,14,16,3,2,11950,44000,30850,25600,30250,16700,full,full,103110,9,Team B,2,1,e5487aec09987be7
