frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
3829,2977,1,jabbi,76561198120557348,2,Team B,SH1R0,76561198081484775,3,Team A,Staehr,76561198005107817,2,Team B,Glock-18,pistol,0,0,0,0,0,0,867.065857,-1830.599609,-407.968750,0,0,1854.301270,-1900.435303,-415.968750,0,0,0,1136.330078,-2438.323486,-415.968750,0,0,0,0,25.138626,15ecd8037c10dd79
4495,3560,1,donk,76561198386265483,3,Team A,jabbi,76561198120557348,2,Team B,SH1R0,76561198081484775,3,Team A,USP-S,pistol,0,0,0,0,0,0,1927.199219,-1813.526123,-415.968750,0,0,734.922668,-1823.846680,-407.968750,0,0,0,1854.301270,-1900.435303,-415.968750,0,0,0,0,30.284428,15ecd8037c10dd79
5001,4000,1,stavn,76561198022365638,2,Team B,zont1x,76561198995880877,3,Team A,,0,0,,P250,pistol,1,0,0,0,0,0,283.906006,-1395.104004,-775.968750,0,0,863.934265,32.635975,-639.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,39.403584,15ecd8037c10dd79
5835,4722,1,chopper,76561198045898864,3,Team A,dev1ce,76561197987713664,2,Team B,,0,0,,USP-S,pistol,1,0,0,0,0,0,844.273376,303.207489,-415.968750,0,0,386.963226,6.172176,-415.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,13.855865,15ecd8037c10dd79
6836,5602,1,Staehr,76561198005107817,2,Team B,chopper,76561198045898864,3,Team A,,0,0,,Glock-18,pistol,1,0,0,0,0,0,599.128418,-1359.433594,-767.968750,0,0,352.315399,-730.587830,-771.968750,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,17.256029,15ecd8037c10dd79
6930,5691,1,donk,76561198386265483,3,Team A,Staehr,76561198005107817,2,Team B,,0,0,,USP-S,pistol,1,0,0,0,0,0,795.758606,-1223.549927,-768.968750,0,0,733.366089,-1358.904175,-767.968750,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,3.787034,15ecd8037c10dd79
7134,5873,1,cadiaN,76561198004115516,2,Team B,magixx,76561199063238565,3,Team A,,0,0,,Glock-18,pistol,1,0,0,0,0,0,651.077209,-1475.551270,-607.968750,0,0,464.399811,-1426.619873,-607.968750,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,4.917585,15ecd8037c10dd79
7450,6150,1,donk,76561198386265483,3,Team A,cadiaN,76561198004115516,2,Team B,Staehr,76561198005107817,2,Team B,USP-S,pistol,1,0,0,0,0,0,265.212433,-1303.441284,-775.154175,0,0,192.719757,-1520.201416,-767.468750,0,0,0,733.366089,-1358.904175,-767.968750,1,1,0,0,5.819777,15ecd8037c10dd79
7569,6260,1,stavn,76561198022365638,2,Team B,donk,76561198386265483,3,Team A,Staehr,76561198005107817,2,Team B,P250,pistol,1,0,0,0,0,0,36.193192,-1580.641846,-767.968750,0,0,229.026413,-1576.335571,-767.968750,0,0,0,733.366089,-1358.904175,-767.968750,1,0,0,0,4.804182,15ecd8037c10dd79
11945,9581,2,cadiaN,76561198004115516,2,Team B,chopper,76561198045898864,3,Team A,,0,0,,AK-47,rifle,0,0,0,0,0,0,789.360474,-1364.968018,-607.968750,0,0,764.800659,-1410.020874,-607.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,1.312233,15ecd8037c10dd79
12090,9694,2,jabbi,76561198120557348,2,Team B,donk,76561198386265483,3,Team A,,0,0,,MAC-10,smg,0,0,0,0,0,0,885.924561,-215.903137,-415.968750,0,0,850.605713,316.401764,-415.968750,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,13.541272,15ecd8037c10dd79
12109,9712,2,zont1x,76561198995880877,3,Team A,jabbi,76561198120557348,2,Team B,,0,0,,Five-SeveN,pistol,1,0,0,0,0,0,881.258179,121.766441,-415.968750,0,0,881.375671,-217.088379,-415.968750,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,8.613865,15ecd8037c10dd79
12795,10269,2,SH1R0,76561198081484775,3,Team A,stavn,76561198022365638,2,Team B,,0,0,,Five-SeveN,pistol,0,0,0,0,0,0,916.427063,-589.583496,-767.968750,0,0,506.005035,-563.714966,-767.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,10.446243,15ecd8037c10dd79
14551,11770,2,magixx,76561199063238565,3,Team A,cadiaN,76561198004115516,2,Team B,,0,0,,MAC-10,smg,1,0,0,0,0,0,881.331604,-796.759521,-767.968750,0,0,1138.898071,-1126.502930,-736.960510,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,10.641890,15ecd8037c10dd79
14697,11899,2,Staehr,76561198005107817,2,Team B,SH1R0,76561198081484775,3,Team A,dev1ce,76561197987713664,2,Team B,MAC-10,smg,0,0,0,0,0,0,211.608398,-1313.287109,-775.968750,0,0,509.254333,-1285.159912,-769.968750,0,0,0,1102.568726,-1107.666016,-749.518433,0,0,0,0,7.492658,15ecd8037c10dd79
14742,11938,2,Staehr,76561198005107817,2,Team B,zont1x,76561198995880877,3,Team A,,0,0,,MAC-10,smg,1,0,0,0,0,0,197.997238,-1323.237061,-775.968750,0,0,569.937805,-1240.889526,-752.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,9.687354,15ecd8037c10dd79
