name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
jabbi,76561198120557348,19,Team B,8,3,16,1,12,0.500000,55.555557,43.000000,0.444444,0.888889,8.833333,0,-1,0,0,0,0,0,0,774,219,159,4,4,5,4,3,4,0,0,0,0,0,4,5,4,3,1,2,2,2,0,1,6,1,0,0,0,0.531668,0.494430,CSGO-jaLLt-fVhJi-nd92x-VGVfs-8HSuK,1,0,15ecd8037c10dd79
stavn,76561198022365638,31,Team B,12,1,13,6,50,0.923077,55.555557,70.000000,0.666667,0.722222,2.222222,4,-1,0,0,0,2,0,0,1260,119,40,7,7,8,7,6,5,1,1,1,1,2,6,7,6,5,0,2,3,3,0,1,3,3,1,0,0,0.887890,0.977533,CSGO-WnQHE-BTaKA-wHs7v-KR8QX-o2OtQ,2,0,15ecd8037c10dd79
magixx,76561199063238565,30,Team A,13,4,10,8,61,1.300000,88.888893,83.166664,0.722222,0.555556,4.555555,2,-1,0,0,0,0,0,0,1497,298,82,6,6,7,6,5,4,0,0,0,0,2,6,7,6,5,3,2,1,6,0,2,6,2,1,0,0,1.326796,1.128033,CSGO-FEyBN-3ovK5-pj3OA-XaaEk-wO8WB,1,0,15ecd8037c10dd79
zont1x,76561198995880877,28,Team A,11,3,7,4,36,1.571429,83.333328,73.722221,0.611111,0.388889,6.000000,2,-1,0,0,0,1,0,0,1327,225,108,7,7,8,7,6,6,2,2,2,2,1,5,6,5,4,0,0,3,0,0,0,7,2,0,0,0,1.243263,1.074831,CSGO-iFmqr-NWMkU-Q38iA-iC6Ru-RPNMB,2,0,15ecd8037c10dd79
donk,76561198386265483,38,Team A,18,1,12,12,66,1.500000,72.222221,93.777779,1.000000,0.666667,4.888889,3,-1,0,0,0,0,0,0,1688,162,88,6,6,7,6,5,5,1,1,1,1,1,5,6,5,4,3,2,6,4,0,0,3,3,3,0,0,1.403363,1.494822,CSGO-AkTYm-syAcf-UKom7-tGKdM-mOJvM,0,0,15ecd8037c10dd79
Staehr,76561198005107817,32,Team B,10,7,14,5,50,0.714286,72.222221,66.000000,0.555556,0.777778,0.166667,1,-1,0,0,0,2,0,0,1188,181,3,8,8,9,8,7,4,0,0,0,0,4,8,9,8,7,2,2,1,2,0,2,6,2,0,0,0,0.904322,0.710361,CSGO-X3rjh-2SDus-m5Z4C-Swu3r-QQSFE,4,0,15ecd8037c10dd79
chopper,76561198045898864,36,Team A,16,2,9,12,75,1.777778,72.222221,98.333336,0.888889,0.500000,0.000000,3,-1,0,0,0,0,0,0,1770,233,0,4,4,5,4,3,4,0,0,0,0,0,4,5,4,3,2,1,3,2,0,0,9,2,1,0,0,1.416255,1.312718,CSGO-qRr6d-ULt6R-BQjrf-ZqpT5-oBCJC,4,0,15ecd8037c10dd79
dev1ce,76561197987713664,21,Team B,9,3,12,3,33,0.750000,55.555557,51.277779,0.500000,0.666667,3.444444,0,-1,0,0,0,0,0,0,923,130,62,7,7,8,7,6,4,0,0,0,0,3,7,8,7,6,3,2,2,1,0,1,7,1,0,0,0,0.724598,0.722591,CSGO-h2u9J-MU5aJ-Y3YVY-eQnXT-Xh5BO,4,0,15ecd8037c10dd79
cadiaN,76561198004115516,21,Team B,8,5,16,2,25,0.500000,50.000000,66.055557,0.444444,0.888889,6.833333,0,-1,0,0,0,1,0,0,1189,155,123,6,6,7,6,5,4,0,0,0,0,2,6,7,6,5,1,3,2,3,0,0,4,2,0,0,0,0.575960,0.526656,CSGO-jaLLt-fVhJi-nd92x-VGVfs-8HSuK,0,0,15ecd8037c10dd79
SH1R0,76561198081484775,36,Team A,13,2,9,3,23,1.444444,88.888893,74.833336,0.722222,0.500000,2.722222,3,-1,0,0,0,3,0,0,1347,131,49,5,5,6,5,4,4,0,0,0,0,1,5,6,5,4,3,2,1,2,0,0,9,2,0,0,0,1.318666,1.076792,CSGO-q9OFa-4uWX7-OJaAG-iNewr-UupcG,3,0,15ecd8037c10dd79
