frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
141,66,1,76561198120557348,2,jabbi,Kevlar Vest,equipment,01JM6E82MWX7MJG8A84EG44YQ6,0,15ecd8037c10dd79
178,95,1,76561198386265483,3,donk,Kevlar Vest,equipment,01JM6E82MXR4G2D932MK6E0CGK,0,15ecd8037c10dd79
184,98,1,76561198081484775,3,SH1R0,Kevlar Vest,equipment,01JM6E82MXR4G2D932MPPR8RRC,0,15ecd8037c10dd79
200,110,1,76561198022365638,2,stavn,P250,pistol,01JM6E82MXR4G2D932MRFJ3K0W,0,15ecd8037c10dd79
231,133,1,76561198995880877,3,zont1x,Kevlar Vest,equipment,01JM6E82MYW6KHTHRFM6EPWS83,0,15ecd8037c10dd79
236,135,1,76561198022365638,2,stavn,Smoke Grenade,grenade,01JM6E82MYW6KHTHRFM6XKF06J,0,15ecd8037c10dd79
249,143,1,76561197987713664,2,dev1ce,Smoke Grenade,grenade,01JM6E82MYW6KHTHRFM8AKAJ45,0,15ecd8037c10dd79
272,159,1,76561198022365638,2,stavn,Flashbang,grenade,01JM6E82MZTDY17HFHDXKTFVVM,0,15ecd8037c10dd79
275,162,1,76561197987713664,2,dev1ce,Molotov,grenade,01JM6E82MZTDY17HFHDXZ3XBWB,0,15ecd8037c10dd79
318,195,1,76561198005107817,2,Staehr,Kevlar Vest,equipment,01JM6E82N0ZM5PH50YRVGRRB8C,0,15ecd8037c10dd79
930,650,1,76561198004115516,2,cadiaN,Kevlar Vest,equipment,01JM6E82NB0C2NP9H6WY7S9DB6,0,15ecd8037c10dd79
1153,811,1,76561199063238565,3,magixx,Defuse Kit,equipment,01JM6E82NEABWAMRDMW88V11HR,0,15ecd8037c10dd79
1189,840,1,76561199063238565,3,magixx,HE Grenade,grenade,01JM6E82NF5QZYP30KD0TMPNRJ,0,15ecd8037c10dd79
1199,850,1,76561198045898864,3,chopper,Kevlar Vest,equipment,01JM6E82NF5QZYP30KD2V6QXZC,0,15ecd8037c10dd79
8117,6701,2,76561199063238565,3,magixx,Kevlar Vest,equipment,01JM6E82XVDDZ1GVPTXX2QK0GZ,0,15ecd8037c10dd79
8234,6772,2,76561198386265483,3,donk,FAMAS,rifle,01JM6E82XXV2YQ78GFHXP0M6JY,0,15ecd8037c10dd79
8245,6780,2,76561198386265483,3,donk,Kevlar + Helmet,equipment,01JM6E82XXV2YQ78GFHZT1B883,0,15ecd8037c10dd79
8268,6796,2,76561199063238565,3,magixx,Smoke Grenade,grenade,01JM6E82XXV2YQ78GFJ4EJYSW8,0,15ecd8037c10dd79
8281,6803,2,76561199063238565,3,magixx,HE Grenade,grenade,01JM6E82XY4674BBZJE2QF581P,0,15ecd8037c10dd79
8403,6896,2,76561198005107817,2,Staehr,Kevlar + Helmet,equipment,01JM6E82Y08ZV135APYTGXNE86,0,15ecd8037c10dd79
8454,6922,2,76561198005107817,2,Staehr,MAC-10,smg,01JM6E82Y08ZV135APYZBW80R9,0,15ecd8037c10dd79
8480,6940,2,76561199063238565,3,magixx,Five-SeveN,pistol,01JM6E82Y1KMY4PFVDPDPA04SB,0,15ecd8037c10dd79
8520,6969,2,76561198995880877,3,zont1x,Five-SeveN,pistol,01JM6E82Y1KMY4PFVDPGAMG6MZ,0,15ecd8037c10dd79
8523,6970,2,76561198120557348,2,jabbi,MAC-10,smg,01JM6E82Y24NAPQHHDV9QGVZ7X,0,15ecd8037c10dd79
8537,6983,2,76561198995880877,3,zont1x,Kevlar Vest,equipment,01JM6E82Y24NAPQHHDVD90N5BY,0,15ecd8037c10dd79
8538,6984,2,76561198120557348,2,jabbi,Kevlar + Helmet,equipment,01JM6E82Y24NAPQHHDVGVH33DT,0,15ecd8037c10dd79
8548,6990,2,76561197987713664,2,dev1ce,MAC-10,smg,01JM6E82Y24NAPQHHDVHPMGVFZ,0,15ecd8037c10dd79
8569,7005,2,76561197987713664,2,dev1ce,Kevlar + Helmet,equipment,01JM6E82Y3KWMPM7D42YNVZMM6,0,15ecd8037c10dd79
8580,7014,2,76561198995880877,3,zont1x,Smoke Grenade,grenade,01JM6E82Y3KWMPM7D432MEWKED,0,15ecd8037c10dd79
8587,7021,2,76561198995880877,3,zont1x,HE Grenade,grenade,01JM6E82Y3KWMPM7D433PB8J9K,0,15ecd8037c10dd79
8594,7024,2,76561198120557348,2,jabbi,Smoke Grenade,grenade,01JM6E82Y3KWMPM7D437A60FH9,0,15ecd8037c10dd79
8596,7025,2,76561198120557348,2,jabbi,HE Grenade,grenade,01JM6E82Y3KWMPM7D438SYAEJJ,0,15ecd8037c10dd79
8601,7030,2,76561198120557348,2,jabbi,Molotov,grenade,01JM6E82Y3KWMPM7D43ASFHK6T,0,15ecd8037c10dd79
8605,7034,2,76561197987713664,2,dev1ce,Flashbang,grenade,01JM6E82Y3KWMPM7D43C26NDDA,0,15ecd8037c10dd79
8612,7041,2,76561198120557348,2,jabbi,Flashbang,grenade,01JM6E82Y3KWMPM7D43EHZ7G4A,0,15ecd8037c10dd79
8623,7051,2,76561198005107817,2,Staehr,Smoke Grenade,grenade,01JM6E82Y47KEXX6AD50DWYS7H,0,15ecd8037c10dd79
8658,7076,2,76561197987713664,2,dev1ce,Smoke Grenade,grenade,01JM6E82Y47KEXX6AD53YMQBYM,0,15ecd8037c10dd79
8674,7089,2,76561197987713664,2,dev1ce,Molotov,grenade,01JM6E82Y47KEXX6AD54BDJ791,0,15ecd8037c10dd79
8716,7112,2,76561198022365638,2,stavn,Kevlar + Helmet,equipment,01JM6E82Y58SXC96Y2YWTPCTNB,0,15ecd8037c10dd79
8738,7126,2,76561198005107817,2,Staehr,HE Grenade,grenade,01JM6E82Y58SXC96Y2Z099454N,0,15ecd8037c10dd79
8747,7134,2,76561198005107817,2,Staehr,Molotov,grenade,01JM6E82Y6SKH84KPB7W4RJGWR,0,15ecd8037c10dd79
8752,7136,2,76561198004115516,2,cadiaN,MAC-10,smg,01JM6E82Y6SKH84KPB7XS8FTKG,0,15ecd8037c10dd79
8758,7140,2,76561198022365638,2,stavn,AK-47,rifle,01JM6E82Y6SKH84KPB81FQ3K19,0,15ecd8037c10dd79
8922,7258,2,76561198004115516,2,cadiaN,Kevlar + Helmet,equipment,01JM6E82YAAF5YXF9PZ9GW7AX3,0,15ecd8037c10dd79
8937,7269,2,76561198005107817,2,Staehr,Flashbang,grenade,01JM6E82YAAF5YXF9PZCTBNT7Y,0,15ecd8037c10dd79
8980,7294,2,76561198004115516,2,cadiaN,Smoke Grenade,grenade,01JM6E82YBZAS7VPQZC3PCD4D1,0,15ecd8037c10dd79
9009,7309,2,76561198004115516,2,cadiaN,HE Grenade,grenade,01JM6E82YCQPDB830HFSAYY5GC,0,15ecd8037c10dd79
9030,7323,2,76561198004115516,2,cadiaN,Molotov,grenade,01JM6E82YCQPDB830HFV94W0CY,0,15ecd8037c10dd79
9054,7343,2,76561198004115516,2,cadiaN,Flashbang,grenade,01JM6E82YCQPDB830HFWGM2595,0,15ecd8037c10dd79
9147,7412,2,76561198045898864,3,chopper,MP9,smg,01JM6E82YEPCXWJ4763EAYCBV4,0,15ecd8037c10dd79
9180,7436,2,76561198045898864,3,chopper,Kevlar Vest,equipment,01JM6E82YEPCXWJ4763HJA07NC,0,15ecd8037c10dd79
9212,7458,2,76561198045898864,3,chopper,Smoke Grenade,grenade,01JM6E82YF6XWB0165V0MEE480,0,15ecd8037c10dd79
9429,7612,2,76561198081484775,3,SH1R0,Five-SeveN,pistol,01JM6E82XPZPCS8JPQRGXYD16N,0,15ecd8037c10dd79
9458,7633,2,76561198081484775,3,SH1R0,Kevlar Vest,equipment,01JM6E82YJQ7R6VBFY3PHHNK08,0,15ecd8037c10dd79
9629,7755,2,76561198081484775,3,SH1R0,Kevlar + Helmet,equipment,01JM6E82YNRYCDK8FCS9VJSKH9,0,15ecd8037c10dd79
15337,12417,3,76561198005107817,2,Staehr,Smoke Grenade,grenade,01JM6E8365NE7WEMYNVYJ8T018,0,15ecd8037c10dd79
15389,12450,3,76561198005107817,2,Staehr,Molotov,grenade,01JM6E8366FBS6NH3ZCT99A5BT,1,15ecd8037c10dd79
15405,12463,3,76561198005107817,2,Staehr,Flashbang,grenade,01JM6E8366FBS6NH3ZD1G1W6ZF,0,15ecd8037c10dd79
15525,12543,3,76561198995880877,3,zont1x,P250,pistol,01JM6E8368Y82ATG6H6QM0K50P,0,15ecd8037c10dd79
15536,12554,3,76561198995880877,3,zont1x,Kevlar Vest,equipment,01JM6E8368Y82ATG6H6SH683Z0,0,15ecd8037c10dd79
15590,12590,3,76561197987713664,2,dev1ce,Smoke Grenade,grenade,01JM6E8369P7ZSY66WPK166ZK0,0,15ecd8037c10dd79
15610,12605,3,76561197987713664,2,dev1ce,Molotov,grenade,01JM6E8369P7ZSY66WPKWT6TXK,0,15ecd8037c10dd79
15635,12620,3,76561198995880877,3,zont1x,Smoke Grenade,grenade,01JM6E8369P7ZSY66WPPBG9ZNY,0,15ecd8037c10dd79
15649,12627,3,76561198995880877,3,zont1x,HE Grenade,grenade,01JM6E836APVSTB2V21TBAD9TV,0,15ecd8037c10dd79
15822,12754,3,76561199063238565,3,magixx,Smoke Grenade,grenade,01JM6E836D7PDNT41Z7Y0MHZTY,0,15ecd8037c10dd79
15841,12771,3,76561199063238565,3,magixx,HE Grenade,grenade,01JM6E836D7PDNT41Z81MS4YKT,0,15ecd8037c10dd79
15900,12813,3,76561199063238565,3,magixx,Five-SeveN,pistol,01JM6E836EPSWAGT4HKKH61VP1,0,15ecd8037c10dd79
15998,12878,3,76561198045898864,3,chopper,Smoke Grenade,grenade,01JM6E836GNCYKSC783ST2AG4D,0,15ecd8037c10dd79
16057,12924,3,76561198045898864,3,chopper,HE Grenade,grenade,01JM6E836HZSSC4M5985RVA3QR,0,15ecd8037c10dd79
16354,13146,3,76561198005107817,2,Staehr,MAC-10,smg,01JM6E836N35G499Z6C54PP12A,0,15ecd8037c10dd79
16399,13180,3,76561198004115516,2,cadiaN,Kevlar + Helmet,equipment,01JM6E836P6JXC6B6SZV4C2ZVY,0,15ecd8037c10dd79
16454,13215,3,76561198004115516,2,cadiaN,Smoke Grenade,grenade,01JM6E836QXEQN32D6P3Z8YKRF,0,15ecd8037c10dd79
16483,13237,3,76561198004115516,2,cadiaN,HE Grenade,grenade,01JM6E836QXEQN32D6P6DPGBP9,0,15ecd8037c10dd79
16503,13251,3,76561198004115516,2,cadiaN,Molotov,grenade,01JM6E836QXEQN32D6P9XMFVW9,0,15ecd8037c10dd79
16558,13292,3,76561198386265483,3,donk,Desert Eagle,pistol,01JM6E836RV5QT7B0WDW155VVH,0,15ecd8037c10dd79
16564,13295,3,76561198004115516,2,cadiaN,Flashbang,grenade,01JM6E836RV5QT7B0WDZTPFQ1V,0,15ecd8037c10dd79
16621,13331,3,76561198022365638,2,stavn,Kevlar + Helmet,equipment,01JM6E836SXK3Z3QC4J212ZKDP,0,15ecd8037c10dd79
16658,13359,3,76561198022365638,2,stavn,Smoke Grenade,grenade,01JM6E836TPY76S309TNMKFKEZ,0,15ecd8037c10dd79
16675,13371,3,76561198022365638,2,stavn,HE Grenade,grenade,01JM6E836TPY76S309TQPS5S57,0,15ecd8037c10dd79
16692,13385,3,76561198022365638,2,stavn,Molotov,grenade,01JM6E836TPY76S309TTG4B7T5,0,15ecd8037c10dd79
16716,13401,3,76561198022365638,2,stavn,Flashbang,grenade,01JM6E836VCPGA1WMEVM6K7X42,0,15ecd8037c10dd79
16768,13438,3,76561198022365638,2,stavn,AK-47,rifle,01JM6E836VCPGA1WMEVPHCA7ZM,0,15ecd8037c10dd79
16820,13479,3,76561198120557348,2,jabbi,Kevlar + Helmet,equipment,01JM6E836YDH2R85TMFDYWKWXM,0,15ecd8037c10dd79
16827,13480,3,76561197987713664,2,dev1ce,SG 553,rifle,01JM6E836YDH2R85TMFFAXHJPQ,1,15ecd8037c10dd79
16857,13497,3,76561198120557348,2,jabbi,Smoke Grenade,grenade,01JM6E836ZR3DZQ69CT3BF32C4,0,15ecd8037c10dd79
16858,13498,3,76561198120557348,2,jabbi,HE Grenade,grenade,01JM6E836ZR3DZQ69CT52KHM48,0,15ecd8037c10dd79
16865,13503,3,76561198120557348,2,jabbi,Molotov,grenade,01JM6E836ZR3DZQ69CT5YHZBGP,0,15ecd8037c10dd79
16876,13512,3,76561198120557348,2,jabbi,Flashbang,grenade,01JM6E836ZR3DZQ69CT889KV57,0,15ecd8037c10dd79
16947,13561,3,76561197987713664,2,dev1ce,AK-47,rifle,01JM6E8366FBS6NH3ZCXKRHJGX,0,15ecd8037c10dd79
28731,23516,4,76561198005107817,2,Staehr,Kevlar + Helmet,equipment,01JM6E83PAEJDS7FWZT5NXW8G1,0,15ecd8037c10dd79
28818,23572,4,76561198022365638,2,stavn,Smoke Grenade,grenade,01JM6E82XQAT8H7QH7JQK05KCM,0,15ecd8037c10dd79
28835,23582,4,76561198081484775,3,SH1R0,AWP,sniper,01JM6E82XR0JSNZ0R2JS0JDRRD,0,15ecd8037c10dd79
