steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198995880877,zont1x,3,800,650,850,pistol,1,15ecd8037c10dd79
76561198081484775,SH1R0,3,800,650,850,pistol,1,15ecd8037c10dd79
76561198045898864,chopper,3,800,650,850,pistol,1,15ecd8037c10dd79
76561197987713664,dev1ce,2,800,700,1100,pistol,1,15ecd8037c10dd79
76561199063238565,magixx,3,800,700,900,pistol,1,15ecd8037c10dd79
76561198005107817,Staehr,2,800,650,850,pistol,1,15ecd8037c10dd79
76561198120557348,jabbi,2,800,650,850,pistol,1,15ecd8037c10dd79
76561198004115516,cadiaN,2,800,650,1150,pistol,1,15ecd8037c10dd79
76561198386265483,donk,3,800,650,850,pistol,1,15ecd8037c10dd79
76561198022365638,stavn,2,800,800,600,pistol,1,15ecd8037c10dd79
76561198005107817,Staehr,2,4000,3250,3450,semi,2,15ecd8037c10dd79
76561198045898864,chopper,3,2350,2200,2400,force-buy,2,15ecd8037c10dd79
76561197987713664,dev1ce,2,3350,3150,3350,semi,2,15ecd8037c10dd79
76561198120557348,jabbi,2,3700,3250,3450,semi,2,15ecd8037c10dd79
76561199063238565,magixx,3,2000,1750,1750,force-buy,2,15ecd8037c10dd79
76561198004115516,cadiaN,2,3700,3250,5100,full,2,15ecd8037c10dd79
76561198386265483,donk,3,2950,2950,3150,force-buy,2,15ecd8037c10dd79
76561198081484775,SH1R0,3,2050,1500,1500,semi,2,15ecd8037c10dd79
76561198995880877,zont1x,3,2050,1750,1750,force-buy,2,15ecd8037c10dd79
76561198022365638,stavn,2,3850,3700,2650,semi,2,15ecd8037c10dd79
76561198995880877,zont1x,3,3000,1550,1550,semi,3,15ecd8037c10dd79
76561198005107817,Staehr,2,5500,4250,3450,semi,3,15ecd8037c10dd79
76561198045898864,chopper,3,2550,600,800,eco,3,15ecd8037c10dd79
76561197987713664,dev1ce,2,4050,3400,5000,full,3,15ecd8037c10dd79
76561198120557348,jabbi,2,4300,2200,5100,full,3,15ecd8037c10dd79
76561198022365638,stavn,2,3400,2200,5100,full,3,15ecd8037c10dd79
76561198386265483,donk,3,2400,700,1000,eco,3,15ecd8037c10dd79
76561198081484775,SH1R0,3,3250,0,200,eco,3,15ecd8037c10dd79
76561199063238565,magixx,3,3250,1100,1100,semi,3,15ecd8037c10dd79
76561198004115516,cadiaN,2,4000,2200,4350,full,3,15ecd8037c10dd79
76561198120557348,jabbi,2,5600,1000,4900,full,4,15ecd8037c10dd79
76561198004115516,cadiaN,2,5900,5750,4350,full,4,15ecd8037c10dd79
76561198386265483,donk,3,4600,4600,4800,full,4,15ecd8037c10dd79
76561198081484775,SH1R0,3,6150,6000,6700,full,4,15ecd8037c10dd79
76561198045898864,chopper,3,5150,5000,5200,full,4,15ecd8037c10dd79
76561197987713664,dev1ce,2,4450,700,7050,full,4,15ecd8037c10dd79
76561198022365638,stavn,2,5300,1200,5100,full,4,15ecd8037c10dd79
76561199063238565,magixx,3,5050,5000,5200,full,4,15ecd8037c10dd79
76561198995880877,zont1x,3,4350,4350,4550,full,4,15ecd8037c10dd79
76561198005107817,Staehr,2,4750,2200,5100,full,4,15ecd8037c10dd79
76561198386265483,donk,3,3250,2700,5800,full,5,15ecd8037c10dd79
76561198081484775,SH1R0,3,3600,3200,6700,full,5,15ecd8037c10dd79
76561198045898864,chopper,3,3400,1900,5500,full,5,15ecd8037c10dd79
76561198120557348,jabbi,2,6000,4900,5100,full,5,15ecd8037c10dd79
76561199063238565,magixx,3,3300,3200,4800,full,5,15ecd8037c10dd79
76561198995880877,zont1x,3,3550,2300,5400,full,5,15ecd8037c10dd79
76561198005107817,Staehr,2,2550,1100,5100,full,5,15ecd8037c10dd79
76561198004115516,cadiaN,2,1550,1500,5000,full,5,15ecd8037c10dd79
76561197987713664,dev1ce,2,3850,3400,6650,full,5,15ecd8037c10dd79
76561198022365638,stavn,2,5800,4900,5100,full,5,15ecd8037c10dd79
76561198022365638,stavn,2,5050,3900,5100,full,6,15ecd8037c10dd79
76561198045898864,chopper,3,3900,800,800,eco,6,15ecd8037c10dd79
76561198386265483,donk,3,2950,1650,1650,semi,6,15ecd8037c10dd79
76561198005107817,Staehr,2,4700,1200,5100,full,6,15ecd8037c10dd79
76561197987713664,dev1ce,2,3700,2200,5000,full,6,15ecd8037c10dd79
76561198004115516,cadiaN,2,3900,1400,5100,full,6,15ecd8037c10dd79
76561198081484775,SH1R0,3,2900,1150,1150,semi,6,15ecd8037c10dd79
76561198120557348,jabbi,2,4650,1000,5100,full,6,15ecd8037c10dd79
76561199063238565,magixx,3,2500,1450,1450,semi,6,15ecd8037c10dd79
76561198995880877,zont1x,3,3650,2500,2700,semi,6,15ecd8037c10dd79
76561197987713664,dev1ce,2,5350,3800,7050,full,7,15ecd8037c10dd79
76561198022365638,stavn,2,5300,1200,5100,full,7,15ecd8037c10dd79
76561198386265483,donk,3,4800,4700,5400,full,7,15ecd8037c10dd79
76561198005107817,Staehr,2,7050,6950,5100,full,7,15ecd8037c10dd79
76561198081484775,SH1R0,3,4950,4650,6700,full,7,15ecd8037c10dd79
76561199063238565,magixx,3,3950,3550,3750,force-buy,7,15ecd8037c10dd79
76561198120557348,jabbi,2,6900,4900,5100,full,7,15ecd8037c10dd79
76561198004115516,cadiaN,2,5750,2400,5100,full,7,15ecd8037c10dd79
76561198995880877,zont1x,3,4050,4050,4550,full,7,15ecd8037c10dd79
76561198045898864,chopper,3,6000,6000,4850,full,7,15ecd8037c10dd79
76561199063238565,magixx,3,4250,4150,4650,full,8,15ecd8037c10dd79
76561198004115516,cadiaN,2,4750,4600,4800,full,8,15ecd8037c10dd79
76561198045898864,chopper,3,3850,1300,4550,full,8,15ecd8037c10dd79
76561198005107817,Staehr,2,1500,1350,1550,force-buy,8,15ecd8037c10dd79
76561197987713664,dev1ce,2,2950,2900,5150,full,8,15ecd8037c10dd79
76561198120557348,jabbi,2,3400,3400,3600,force-buy,8,15ecd8037c10dd79
76561198995880877,zont1x,3,3550,3550,4700,full,8,15ecd8037c10dd79
76561198386265483,donk,3,3350,2700,5600,full,8,15ecd8037c10dd79
76561198081484775,SH1R0,3,3650,1450,7050,full,8,15ecd8037c10dd79
76561198022365638,stavn,2,6100,6050,4200,full,8,15ecd8037c10dd79
76561198386265483,donk,3,3900,2700,5800,full,9,15ecd8037c10dd79
76561198081484775,SH1R0,3,5450,2300,6750,full,9,15ecd8037c10dd79
76561197987713664,dev1ce,2,2050,300,500,eco,9,15ecd8037c10dd79
76561198022365638,stavn,2,1950,0,200,eco,9,15ecd8037c10dd79
76561199063238565,magixx,3,3650,1650,5200,full,9,15ecd8037c10dd79
76561198045898864,chopper,3,6400,6400,5050,full,9,15ecd8037c10dd79
76561198120557348,jabbi,2,1900,0,200,eco,9,15ecd8037c10dd79
76561198004115516,cadiaN,2,2050,800,800,eco,9,15ecd8037c10dd79
76561198005107817,Staehr,2,2350,300,500,eco,9,15ecd8037c10dd79
76561198995880877,zont1x,3,3850,1400,5800,full,9,15ecd8037c10dd79
76561197987713664,dev1ce,2,4150,4000,4200,full,10,15ecd8037c10dd79
76561198004115516,cadiaN,2,3650,3500,3700,force-buy,10,15ecd8037c10dd79
76561198995880877,zont1x,3,5700,300,5800,full,10,15ecd8037c10dd79
76561198005107817,Staehr,2,4450,4400,4800,full,10,15ecd8037c10dd79
76561198081484775,SH1R0,3,6400,800,7250,full,10,15ecd8037c10dd79
76561199063238565,magixx,3,5250,800,5400,full,10,15ecd8037c10dd79
76561198045898864,chopper,3,4150,800,5050,full,10,15ecd8037c10dd79
76561198120557348,jabbi,2,4300,4200,4200,full,10,15ecd8037c10dd79
76561198022365638,stavn,2,4350,4300,4900,full,10,15ecd8037c10dd79
76561198386265483,donk,3,5050,800,5700,full,10,15ecd8037c10dd79
76561198004115516,cadiaN,2,3050,2000,2000,semi,11,15ecd8037c10dd79
76561198081484775,SH1R0,3,9150,1100,7350,full,11,15ecd8037c10dd79
76561197987713664,dev1ce,2,3050,1700,1700,semi,11,15ecd8037c10dd79
76561198022365638,stavn,2,2950,1350,1350,semi,11,15ecd8037c10dd79
76561198995880877,zont1x,3,8650,600,5600,full,11,15ecd8037c10dd79
76561198005107817,Staehr,2,2950,1650,1650,semi,11,15ecd8037c10dd79
76561198045898864,chopper,3,6900,2700,5800,full,11,15ecd8037c10dd79
76561198120557348,jabbi,2,3000,1650,1650,semi,11,15ecd8037c10dd79
76561199063238565,magixx,3,8300,700,5800,full,11,15ecd8037c10dd79
76561198386265483,donk,3,7800,800,5700,full,11,15ecd8037c10dd79
76561198386265483,donk,3,10250,2700,5600,full,12,15ecd8037c10dd79
76561199063238565,magixx,3,11450,4650,6300,full,12,15ecd8037c10dd79
76561198995880877,zont1x,3,11900,5900,5900,full,12,15ecd8037c10dd79
76561198005107817,Staehr,2,5000,4900,5100,full,12,15ecd8037c10dd79
76561197987713664,dev1ce,2,4750,4700,5000,full,12,15ecd8037c10dd79
76561198120557348,jabbi,2,5050,4900,5100,full,12,15ecd8037c10dd79
76561198045898864,chopper,3,7750,4200,6100,full,12,15ecd8037c10dd79
76561198081484775,SH1R0,3,11300,900,7750,full,12,15ecd8037c10dd79
76561198022365638,stavn,2,5000,4900,5100,full,12,15ecd8037c10dd79
76561198004115516,cadiaN,2,4450,4200,4200,full,12,15ecd8037c10dd79
76561199063238565,magixx,2,800,650,850,pistol,13,15ecd8037c10dd79
76561198004115516,cadiaN,3,800,650,850,pistol,13,15ecd8037c10dd79
76561198995880877,zont1x,2,800,650,850,pistol,13,15ecd8037c10dd79
76561198386265483,donk,2,800,650,950,pistol,13,15ecd8037c10dd79
76561198005107817,Staehr,3,800,650,850,pistol,13,15ecd8037c10dd79
76561198081484775,SH1R0,2,800,650,850,pistol,13,15ecd8037c10dd79
76561198045898864,chopper,2,800,800,700,pistol,13,15ecd8037c10dd79
76561197987713664,dev1ce,3,800,650,850,pistol,13,15ecd8037c10dd79
76561198022365638,stavn,3,800,650,850,pistol,13,15ecd8037c10dd79
76561198120557348,jabbi,3,800,650,850,pistol,13,15ecd8037c10dd79
76561199063238565,magixx,2,4550,4450,5100,full,14,15ecd8037c10dd79
76561198386265483,donk,2,3650,3100,3700,semi,14,15ecd8037c10dd79
76561198005107817,Staehr,3,2050,2050,2050,force-buy,14,15ecd8037c10dd79
76561198045898864,chopper,2,3800,3050,3450,semi,14,15ecd8037c10dd79
76561198004115516,cadiaN,3,2050,1950,1950,force-buy,14,15ecd8037c10dd79
76561197987713664,dev1ce,3,2350,2300,3150,force-buy,14,15ecd8037c10dd79
76561198120557348,jabbi,3,2050,2000,2200,force-buy,14,15ecd8037c10dd79
76561198995880877,zont1x,2,3650,3650,4900,full,14,15ecd8037c10dd79
76561198022365638,stavn,3,2050,1950,1950,force-buy,14,15ecd8037c10dd79
76561198081484775,SH1R0,2,3950,3800,4000,full,14,15ecd8037c10dd79
76561198081484775,SH1R0,2,3950,1000,4000,full,15,15ecd8037c10dd79
76561198045898864,chopper,2,4250,2200,4200,full,15,15ecd8037c10dd79
76561198120557348,jabbi,3,2450,300,500,eco,15,15ecd8037c10dd79
76561199063238565,magixx,2,3600,1200,5100,full,15,15ecd8037c10dd79
76561198005107817,Staehr,3,2400,300,1850,semi,15,15ecd8037c10dd79
76561198386265483,donk,2,4050,1200,5100,full,15,15ecd8037c10dd79
76561198004115516,cadiaN,3,2500,200,400,eco,15,15ecd8037c10dd79
76561197987713664,dev1ce,3,2450,0,2550,semi,15,15ecd8037c10dd79
76561198022365638,stavn,3,2500,300,1650,semi,15,15ecd8037c10dd79
76561198995880877,zont1x,2,4100,3900,5100,full,15,15ecd8037c10dd79
76561198045898864,chopper,2,5300,2100,5000,full,16,15ecd8037c10dd79
76561198120557348,jabbi,3,5050,4850,5050,full,16,15ecd8037c10dd79
76561198022365638,stavn,3,5400,5250,5450,full,16,15ecd8037c10dd79
76561199063238565,magixx,2,5950,1000,5100,full,16,15ecd8037c10dd79
76561198386265483,donk,2,7000,3000,5600,full,16,15ecd8037c10dd79
76561198005107817,Staehr,3,5000,4850,5050,full,16,15ecd8037c10dd79
76561198081484775,SH1R0,2,6500,1100,4100,full,16,15ecd8037c10dd79
76561197987713664,dev1ce,3,5350,5350,5750,full,16,15ecd8037c10dd79
76561198004115516,cadiaN,3,5200,4850,5050,full,16,15ecd8037c10dd79
76561198995880877,zont1x,2,3750,600,5100,full,16,15ecd8037c10dd79
76561198120557348,jabbi,3,3900,3850,4750,full,17,15ecd8037c10dd79
76561199063238565,magixx,2,8500,4900,5100,full,17,15ecd8037c10dd79
