frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
101,45,1,76561197987713664,3,dev1ce,Kevlar Vest,equipment,01JM6E8AX55B2BDN6GQXCD2VR5,0,c4954bead7b0cea3
156,92,1,76561198005107817,3,Staehr,Smoke Grenade,grenade,01JM6E8AX6EHY7NPXNGDM0GM2H,0,c4954bead7b0cea3
158,94,1,76561198081484775,2,SH1R0,Kevlar Vest,equipment,01JM6E8AX6EHY7NPXNGEVDRJ6Z,0,c4954bead7b0cea3
166,102,1,76561198005107817,3,Staehr,HE Grenade,grenade,01JM6E8AX6EHY7NPXNGKY7CKCQ,0,c4954bead7b0cea3
187,114,1,76561198005107817,3,Staehr,Flashbang,grenade,01JM6E8AX6EHY7NPXNGNSSA6WN,0,c4954bead7b0cea3
262,169,1,76561198995880877,2,zont1x,Kevlar Vest,equipment,01JM6E8AX8QEHG965GWS0GGM4E,0,c4954bead7b0cea3
354,252,1,76561198022365638,3,stavn,Kevlar Vest,equipment,01JM6E8AX9JWEF41S3E7B93QJJ,0,c4954bead7b0cea3
420,306,1,76561197987713664,3,dev1ce,Dual Berettas,pistol,01JM6E8AX6EHY7NPXNGG5RTMCW,0,c4954bead7b0cea3
527,394,1,76561198386265483,2,donk,Kevlar Vest,equipment,01JM6E8AXB0D8GWHYFEAYFQEJ1,0,c4954bead7b0cea3
570,430,1,76561198004115516,3,cadiaN,Kevlar Vest,equipment,01JM6E8AXCZJJTDP58Y3DXZJDC,0,c4954bead7b0cea3
609,460,1,76561199063238565,2,magixx,Smoke Grenade,grenade,01JM6E8AXCZJJTDP58Y741Y094,0,c4954bead7b0cea3
619,470,1,76561199063238565,2,magixx,Molotov,grenade,01JM6E8AXDJJ80XJJZDMCZ15VG,0,c4954bead7b0cea3
1129,842,1,76561198022365638,3,stavn,HE Grenade,grenade,01JM6E8AX764Y0SD41D34VZC85,0,c4954bead7b0cea3
1284,958,1,76561198045898864,2,chopper,Smoke Grenade,grenade,01JM6E8AXWD9S18QY3F9FXRZ3A,0,c4954bead7b0cea3
1394,1033,1,76561198045898864,2,chopper,Flashbang,grenade,01JM6E8AXXEEJC4CZMB9GRYTVA,0,c4954bead7b0cea3
1540,1138,1,76561198081484775,2,SH1R0,P250,pistol,01JM6E8AXYRVF216BK4Q93N64Y,0,c4954bead7b0cea3
10080,8371,2,76561199063238565,2,magixx,Kevlar + Helmet,equipment,01JM6E8BA86C2HY4EJA6PZ2WQW,0,c4954bead7b0cea3
10116,8394,2,76561198995880877,2,zont1x,AK-47,rifle,01JM6E8BA86C2HY4EJAAMZAJK5,0,c4954bead7b0cea3
10136,8407,2,76561198081484775,2,SH1R0,Kevlar + Helmet,equipment,01JM6E8BA9TS2FQJKWFQZT4WHJ,0,c4954bead7b0cea3
10136,8407,2,76561198995880877,2,zont1x,Kevlar + Helmet,equipment,01JM6E8BA9TS2FQJKWFTZKZZG4,0,c4954bead7b0cea3
10158,8421,2,76561198386265483,2,donk,Kevlar + Helmet,equipment,01JM6E8BA9TS2FQJKWFWSA2ZHM,0,c4954bead7b0cea3
10175,8432,2,76561198386265483,2,donk,AK-47,rifle,01JM6E8BA9TS2FQJKWG06DH1C3,0,c4954bead7b0cea3
10183,8438,2,76561199063238565,2,magixx,Galil AR,rifle,01JM6E8BAAGW5WBJD083W6QE28,0,c4954bead7b0cea3
10192,8446,2,76561198386265483,2,donk,Smoke Grenade,grenade,01JM6E8BAAGW5WBJD086HE4R5Y,0,c4954bead7b0cea3
10195,8449,2,76561199063238565,2,magixx,Smoke Grenade,grenade,01JM6E8BAAGW5WBJD086QAFTDF,0,c4954bead7b0cea3
10196,8450,2,76561198386265483,2,donk,Flashbang,grenade,01JM6E8BAAGW5WBJD087PMKND5,0,c4954bead7b0cea3
10204,8453,2,76561198995880877,2,zont1x,Smoke Grenade,grenade,01JM6E8BAAGW5WBJD08992WHEQ,0,c4954bead7b0cea3
10208,8457,2,76561199063238565,2,magixx,Flashbang,grenade,01JM6E8BAAGW5WBJD08BXBSTN9,0,c4954bead7b0cea3
10213,8461,2,76561198995880877,2,zont1x,HE Grenade,grenade,01JM6E8BAAGW5WBJD08CWE6T18,0,c4954bead7b0cea3
10321,8523,2,76561198995880877,2,zont1x,Flashbang,grenade,01JM6E8BAC16AZMGES6V5TRJZM,0,c4954bead7b0cea3
10568,8707,2,76561198005107817,3,Staehr,Kevlar Vest,equipment,01JM6E8BAG5C9QV3QH55DKWJWV,0,c4954bead7b0cea3
10595,8728,2,76561198045898864,2,chopper,MAC-10,smg,01JM6E8BAG5C9QV3QH55KKD8GB,0,c4954bead7b0cea3
10620,8751,2,76561198045898864,2,chopper,Kevlar + Helmet,equipment,01JM6E8BAG5C9QV3QH584G72KH,0,c4954bead7b0cea3
10623,8752,2,76561198120557348,3,jabbi,Five-SeveN,pistol,01JM6E8BAHN9BT6Z0DWC9V5YBF,0,c4954bead7b0cea3
10661,8775,2,76561198005107817,3,Staehr,Desert Eagle,pistol,01JM6E8BAKYW07Z09ED17PJEHV,0,c4954bead7b0cea3
10664,8778,2,76561198045898864,2,chopper,Smoke Grenade,grenade,01JM6E8BAKYW07Z09ED36BATET,0,c4954bead7b0cea3
10687,8794,2,76561198045898864,2,chopper,Molotov,grenade,01JM6E8BAM7MWQQ3752X543YM7,0,c4954bead7b0cea3
10708,8812,2,76561198005107817,3,Staehr,Smoke Grenade,grenade,01JM6E8BAM7MWQQ3752XRRJATD,0,c4954bead7b0cea3
10721,8820,2,76561198045898864,2,chopper,Flashbang,grenade,01JM6E8BAM7MWQQ37532A3MTV1,0,c4954bead7b0cea3
10721,8820,2,76561198120557348,3,jabbi,Kevlar + Helmet,equipment,01JM6E8BAM7MWQQ37532C6XTE6,0,c4954bead7b0cea3
10727,8823,2,76561198081484775,2,SH1R0,SSG 08,sniper,01JM6E8BAM7MWQQ3753519TA65,0,c4954bead7b0cea3
10732,8827,2,76561198005107817,3,Staehr,Flashbang,grenade,01JM6E8BANTN68ZGVBNF4KF5TM,1,c4954bead7b0cea3
10756,8845,2,76561198081484775,2,SH1R0,Flashbang,grenade,01JM6E8BANTN68ZGVBNGZT96X7,0,c4954bead7b0cea3
10765,8851,2,76561198120557348,3,jabbi,Smoke Grenade,grenade,01JM6E8BANTN68ZGVBNMN78YFW,0,c4954bead7b0cea3
10767,8853,2,76561198005107817,3,Staehr,HE Grenade,grenade,01JM6E8BANTN68ZGVBNPWA65CV,1,c4954bead7b0cea3
