frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
7332,5965,1,Techno4K,76561198966340160,2,Team B,woxic,76561198083485506,3,Team A,Senzu,76561198920720017,2,Team B,Glock-18,pistol,0,0,0,0,0,0,1639.102539,1406.514893,-151.968750,0,0,1065.579346,1932.449219,-191.968750,0,0,0,1797.027710,1630.430908,-151.968750,0,0,0,0,19.784664,7c8d471088efabbd
8202,6723,1,XANTARES,76561198044118796,3,Team A,Mzinho,76561198838822582,2,Team B,,0,0,,Dual Berettas,pistol,1,0,0,0,0,0,264.908081,2136.308594,-165.429871,0,0,804.040405,1836.804321,-39.968750,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,15.970648,7c8d471088efabbd
8291,6801,1,Techno4K,76561198966340160,2,Team B,XANTARES,76561198044118796,3,Team A,,0,0,,Glock-18,pistol,0,0,0,0,0,0,688.044861,1940.965454,-37.968750,0,0,273.779724,2117.142822,-167.968750,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,11.903427,7c8d471088efabbd
8334,6842,1,910-,76561199203563345,2,Team B,Wicadia,76561198812513923,3,Team A,,0,0,,Glock-18,pistol,1,0,0,0,0,0,1785.171143,1176.879639,-106.968750,0,0,1348.641724,844.853760,-151.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,13.956841,7c8d471088efabbd
8334,6842,1,Techno4K,76561198966340160,2,Team B,jottAAA,76561198410750263,3,Team A,910-,76561199203563345,2,Team B,Glock-18,pistol,1,0,0,0,0,0,685.807068,1942.583618,-37.968750,0,0,278.952606,2251.554443,-165.543823,0,0,0,1785.171143,1176.879639,-106.968750,0,0,0,0,13.467573,7c8d471088efabbd
11020,9171,1,World,0,0,,910-,76561199203563345,2,Team B,,0,0,,C4,equipment,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,1448.937134,2114.739258,-191.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,7c8d471088efabbd
15785,12877,2,bLitz,76561198959824088,2,Team B,jottAAA,76561198410750263,3,Team A,,0,0,,AK-47,rifle,0,0,0,0,0,0,-181.441406,444.651855,8.359688,0,0,129.104645,424.031525,-13.968811,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,7.955204,7c8d471088efabbd
54807,44998,3,Mzinho,76561198838822582,2,Team B,Wicadia,76561198812513923,3,Team A,,0,0,,MAC-10,smg,1,0,0,0,0,0,1648.887085,1482.147705,-151.968750,0,0,1263.756836,1787.665405,-180.013611,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,12.527452,7c8d471088efabbd
54857,45043,3,XANTARES,76561198044118796,3,Team A,Mzinho,76561198838822582,2,Team B,Wicadia,76561198812513923,3,Team A,MP9,smg,1,0,0,0,0,0,1111.231567,1764.632446,-191.968750,0,0,1678.493652,1515.546387,-151.968750,0,0,0,1264.392944,1788.488525,-180.107056,1,1,0,0,15.745597,7c8d471088efabbd
54952,45119,3,bLitz,76561198959824088,2,Team B,woxic,76561198083485506,3,Team A,,0,0,,AK-47,rifle,1,0,0,0,0,0,743.561768,1276.213135,-87.968750,0,0,743.029968,1645.074463,-67.912781,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,9.373878,7c8d471088efabbd
55033,45191,3,bLitz,76561198959824088,2,Team B,XANTARES,76561198044118796,3,Team A,,0,0,,AK-47,rifle,1,0,0,0,0,0,876.511902,1266.231689,-87.968750,0,0,1142.771118,1559.544312,-151.968750,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,10.182617,7c8d471088efabbd
55341,45455,3,910-,76561199203563345,2,Team B,jottAAA,76561198410750263,3,Team A,,0,0,,Galil AR,rifle,0,0,0,0,0,0,-95.358093,676.221680,0.266545,0,0,387.085449,1287.069946,-31.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,19.788301,7c8d471088efabbd
57011,46884,3,MAJ3R,76561197967432889,3,Team A,bLitz,76561198959824088,2,Team B,,0,0,,MP9,smg,0,0,0,0,0,0,1232.010132,489.102112,-35.968750,0,0,1227.320312,929.299561,-151.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,11.654331,7c8d471088efabbd
58114,47827,3,Senzu,76561198920720017,2,Team B,MAJ3R,76561197967432889,3,Team A,bLitz,76561198959824088,2,Team B,AK-47,rifle,0,0,0,0,0,0,747.435059,801.425781,-151.968750,0,0,1332.324707,497.676971,0.031252,0,1,0,1227.320312,929.299561,-151.968750,0,0,0,0,17.268959,7c8d471088efabbd
67155,54862,4,bLitz,76561198959824088,2,Team B,woxic,76561198083485506,3,Team A,Mzinho,76561198838822582,2,Team B,AK-47,rifle,1,0,1,0,0,0,687.339905,1280.533447,-87.968750,0,0,1581.915283,2003.122803,-101.468750,0,1,0,1216.237549,710.333252,-151.968750,0,1,1,0,29.217684,7c8d471088efabbd
67344,55025,4,Wicadia,76561198812513923,3,Team A,Techno4K,76561198966340160,2,Team B,,0,0,,M4A1,rifle,1,0,0,0,0,0,996.285400,1282.048462,-87.968750,0,1,785.230347,1284.122192,-87.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,5.344211,7c8d471088efabbd
67364,55044,4,Wicadia,76561198812513923,3,Team A,bLitz,76561198959824088,2,Team B,,0,0,,M4A1,rifle,0,0,0,0,0,0,990.620117,1303.278564,-87.968750,0,1,827.338867,1253.575073,-87.968750,0,1,0,0.000000,0.000000,0.000000,1,0,0,0,4.358264,7c8d471088efabbd
67619,55259,4,Wicadia,76561198812513923,3,Team A,Mzinho,76561198838822582,2,Team B,,0,0,,AK-47,rifle,1,0,0,0,0,0,743.269714,1664.581177,-54.908325,0,0,1579.180542,1685.317139,-140.417664,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,21.437601,7c8d471088efabbd
68740,56229,4,Senzu,76561198920720017,2,Team B,jottAAA,76561198410750263,3,Team A,,0,0,,AK-47,rifle,1,0,0,0,0,0,1803.968750,1255.031372,-145.968750,0,0,1381.550293,830.344666,-151.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,15.349965,7c8d471088efabbd
69118,56561,4,910-,76561199203563345,2,Team B,Wicadia,76561198812513923,3,Team A,,0,0,,AWP,sniper,0,0,0,0,0,0,731.009155,1279.720825,-87.968750,0,0,829.906738,1673.806396,-48.758179,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,10.295330,7c8d471088efabbd
69262,56679,4,910-,76561199203563345,2,Team B,XANTARES,76561198044118796,3,Team A,,0,0,,AWP,sniper,0,0,0,0,0,0,732.741760,1347.891235,-87.968750,0,0,884.195618,2132.320068,-39.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,20.316145,7c8d471088efabbd
82268,66854,5,bLitz,76561198959824088,2,Team B,XANTARES,76561198044118796,3,Team A,910-,76561199203563345,2,Team B,AK-47,rifle,0,0,1,0,0,0,-1497.891479,413.723145,0.031250,0,0,-974.279907,425.730682,-5.848877,0,0,0,-1511.920776,-82.484314,112.031250,0,1,0,0,13.300572,7c8d471088efabbd
82303,66886,5,bLitz,76561198959824088,2,Team B,jottAAA,76561198410750263,3,Team A,Techno4K,76561198966340160,2,Team B,AK-47,rifle,0,0,0,0,0,0,-1486.056030,427.084503,0.031250,0,0,-1305.214600,362.222290,1.031249,0,0,0,-1867.610352,325.602325,66.291817,0,1,0,0,4.859272,7c8d471088efabbd
82311,66894,5,MAJ3R,76561197967432889,3,Team A,bLitz,76561198959824088,2,Team B,jottAAA,76561198410750263,3,Team A,M4A1,rifle,0,0,0,0,0,0,-806.119568,1156.058594,36.031246,0,0,-1486.211548,426.583923,0.031250,0,0,0,-1304.849365,362.465790,1.031249,1,0,0,0,25.336584,7c8d471088efabbd
82723,67248,5,Wicadia,76561198812513923,3,Team A,Mzinho,76561198838822582,2,Team B,,0,0,,M4A1,rifle,0,0,0,0,0,0,-1289.966309,1208.427002,-18.913757,0,0,-787.072266,626.942322,38.168941,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,19.623854,7c8d471088efabbd
82828,67341,5,Senzu,76561198920720017,2,Team B,Wicadia,76561198812513923,3,Team A,,0,0,,AK-47,rifle,0,0,0,0,0,0,-725.441467,683.382263,38.031250,0,0,-1317.133423,1179.957886,1.031250,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,19.638613,7c8d471088efabbd
83321,67754,5,910-,76561199203563345,2,Team B,woxic,76561198083485506,3,Team A,,0,0,,AWP,sniper,0,0,0,0,0,0,-780.501953,290.705322,-55.968750,0,0,-501.961670,84.795631,-119.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,8.973993,7c8d471088efabbd
85973,70066,5,Techno4K,76561198966340160,2,Team B,MAJ3R,76561197967432889,3,Team A,Senzu,76561198920720017,2,Team B,AK-47,rifle,1,0,0,0,0,0,1160.807373,358.379608,-145.968750,0,0,288.223663,95.853485,-151.968750,0,0,0,432.717560,1276.950195,-29.968750,0,0,0,0,23.190130,7c8d471088efabbd
89345,72497,6,910-,76561199203563345,2,Team B,Wicadia,76561198812513923,3,Team A,Mzinho,76561198838822582,2,Team B,AWP,sniper,0,0,1,0,0,0,1307.060181,840.575317,-151.968750,0,1,1657.572021,1069.462769,-151.968750,0,1,0,1369.598633,114.635689,0.031250,0,0,0,0,10.619297,7c8d471088efabbd
90037,73063,6,XANTARES,76561198044118796,3,Team A,Senzu,76561198920720017,2,Team B,,0,0,,Desert Eagle,pistol,1,0,0,0,0,0,897.323120,2192.421875,-39.968750,0,0,1748.167358,1274.242188,-150.536743,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,31.922606,7c8d471088efabbd
91355,74150,6,Mzinho,76561198838822582,2,Team B,woxic,76561198083485506,3,Team A,,0,0,,AK-47,rifle,1,0,0,0,0,0,1511.059082,1778.346313,-151.968750,0,0,1128.499146,1428.419556,-118.249268,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,13.178448,7c8d471088efabbd
91422,74213,6,910-,76561199203563345,2,Team B,XANTARES,76561198044118796,3,Team A,,0,0,,AWP,sniper,0,0,0,0,0,0,1749.953979,1852.538696,-83.100220,0,0,753.307251,1626.739868,-80.135864,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,25.965006,7c8d471088efabbd
94619,76962,6,jottAAA,76561198410750263,3,Team A,Techno4K,76561198966340160,2,Team B,,0,0,,Five-SeveN,pistol,1,0,0,0,0,0,1443.148315,473.835114,0.031251,0,0,1256.942505,532.930542,-20.156250,1,0,0,0.000000,0.000000,0.000000,0,0,0,0,4.998608,7c8d471088efabbd
95546,77774,6,Mzinho,76561198838822582,2,Team B,MAJ3R,76561197967432889,3,Team A,,0,0,,AK-47,rifle,1,0,0,0,0,0,1223.712280,919.163269,-151.968750,0,0,756.318420,-41.072510,-116.580750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,27.140030,7c8d471088efabbd
95634,77858,6,bLitz,76561198959824088,2,Team B,jottAAA,76561198410750263,3,Team A,Mzinho,76561198838822582,2,Team B,AK-47,rifle,0,0,0,0,0,0,934.458984,894.161926,-188.833618,0,0,1316.647461,504.922852,0.031248,0,0,0,1141.021729,865.652588,-151.968750,0,0,0,0,14.753494,7c8d471088efabbd
103511,83862,7,Mzinho,76561198838822582,2,Team B,MAJ3R,76561197967432889,3,Team A,,0,0,,AK-47,rifle,1,0,0,0,0,0,-789.968750,402.968719,-55.968750,0,1,-899.452576,251.066010,-55.968750,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,4.687709,7c8d471088efabbd
103608,83941,7,jottAAA,76561198410750263,3,Team A,Mzinho,76561198838822582,2,Team B,MAJ3R,76561197967432889,3,Team A,M4A1,rifle,1,0,1,0,0,0,-948.086060,315.694489,-24.277893,0,1,-809.248657,343.712708,-55.968750,0,1,0,-902.090454,251.154144,-55.899902,1,1,0,0,3.675503,7c8d471088efabbd
103649,83977,7,bLitz,76561198959824088,2,Team B,jottAAA,76561198410750263,3,Team A,Senzu,76561198920720017,2,Team B,AK-47,rifle,1,0,0,0,0,0,-628.595947,402.653015,-71.968750,0,0,-934.011047,267.598358,-33.954468,0,0,0,-764.335266,131.342545,-95.968750,1,0,0,0,8.540025,7c8d471088efabbd
103832,84126,7,bLitz,76561198959824088,2,Team B,woxic,76561198083485506,3,Team A,Techno4K,76561198966340160,2,Team B,AK-47,rifle,1,1,0,0,0,0,-841.996521,346.515808,-55.968750,0,0,-943.680237,771.841003,0.031250,0,0,0,-1732.701416,307.867889,1.374685,0,0,0,0,11.157358,7c8d471088efabbd
103883,84173,7,910-,76561199203563345,2,Team B,Wicadia,76561198812513923,3,Team A,,0,0,,AWP,sniper,0,0,0,0,0,0,-787.566223,132.515091,-87.968750,0,0,984.289795,286.560883,-188.376587,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,45.383179,7c8d471088efabbd
116772,94528,8,XANTARES,76561198044118796,3,Team A,Mzinho,76561198838822582,2,Team B,,0,0,,MP9,smg,0,0,0,0,0,0,1725.262573,988.363525,-151.968750,0,0,1540.839355,920.885742,-151.686401,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,4.985268,7c8d471088efabbd
