frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
128,64,1,76561198812513923,3,Wicadia,Kevlar Vest,equipment,01JM6E8PM4ZMXC18SP9S2WXZE7,0,7c8d471088efabbd
201,116,1,76561199203563345,2,910-,Smoke Grenade,grenade,01JM6E8PM59J7D4TFEE8CC1QZE,0,7c8d471088efabbd
216,126,1,76561198044118796,3,XANTARES,Kevlar Vest,equipment,01JM6E8PM6Q35DWC2QYT3PDK4E,0,7c8d471088efabbd
216,126,1,76561199203563345,2,910-,Flashbang,grenade,01JM6E8PM6Q35DWC2QYPVM8GET,0,7c8d471088efabbd
294,183,1,76561197967432889,3,MAJ3R,Flashbang,grenade,01JM6E8PM7T5C686PTS85J9SYJ,0,7c8d471088efabbd
365,239,1,76561198083485506,3,woxic,Kevlar Vest,equipment,01JM6E8PMA2RE0TDDS7N3FT5NE,0,7c8d471088efabbd
370,244,1,76561198966340160,2,Techno4K,Kevlar Vest,equipment,01JM6E8PMA2RE0TDDS7PRDFHWK,0,7c8d471088efabbd
372,246,1,76561198410750263,3,jottAAA,Kevlar Vest,equipment,01JM6E8PMA2RE0TDDS7TF71S25,0,7c8d471088efabbd
509,341,1,76561198812513923,3,Wicadia,Dual Berettas,pistol,01JM6E8PM6Q35DWC2QYY60A5Z9,0,7c8d471088efabbd
517,347,1,76561198044118796,3,XANTARES,Dual Berettas,pistol,01JM6E8PM6Q35DWC2QYTNJ4TVR,0,7c8d471088efabbd
849,617,1,76561198838822582,2,Mzinho,Kevlar Vest,equipment,01JM6E8PMHDFPBDGG6VQ0DWKES,0,7c8d471088efabbd
942,683,1,76561198920720017,2,Senzu,Kevlar Vest,equipment,01JM6E8PMK3T317NSCRNW1T7T6,0,7c8d471088efabbd
1029,748,1,76561198959824088,2,bLitz,Smoke Grenade,grenade,01JM6E8PMNBWRV44TQ8VZKQADQ,0,7c8d471088efabbd
1050,763,1,76561198959824088,2,bLitz,Molotov,grenade,01JM6E8PMP3N4ZBHGSDA6Z61AH,0,7c8d471088efabbd
1675,1204,1,76561198966340160,2,Techno4K,Decoy Grenade,grenade,01JM6E8PN1TTEBG5W13S1065PP,0,7c8d471088efabbd
11572,9594,2,76561198044118796,3,XANTARES,MP9,smg,01JM6E8Q374YFM7G4TJY9WDNWN,0,7c8d471088efabbd
11584,9601,2,76561198812513923,3,Wicadia,MP9,smg,01JM6E8Q374YFM7G4TK14GXEX2,0,7c8d471088efabbd
11606,9616,2,76561198812513923,3,Wicadia,Kevlar Vest,equipment,01JM6E8Q38BTSZEFZF28EZ6AT7,0,7c8d471088efabbd
11616,9624,2,76561199203563345,2,910-,Kevlar + Helmet,equipment,01JM6E8Q38BTSZEFZF2BSBKPWK,0,7c8d471088efabbd
11634,9642,2,76561198959824088,2,bLitz,Kevlar + Helmet,equipment,01JM6E8Q38BTSZEFZF2F5Z4T5G,0,7c8d471088efabbd
11639,9645,2,76561198410750263,3,jottAAA,MP9,smg,01JM6E8Q38BTSZEFZF2JM51XSK,0,7c8d471088efabbd
11658,9660,2,76561198959824088,2,bLitz,AK-47,rifle,01JM6E8Q397J1ZTB8TT3M48WS7,0,7c8d471088efabbd
11670,9668,2,76561198410750263,3,jottAAA,Kevlar Vest,equipment,01JM6E8Q397J1ZTB8TT6VPM5NZ,0,7c8d471088efabbd
11677,9673,2,76561198959824088,2,bLitz,Flashbang,grenade,01JM6E8Q397J1ZTB8TTAH7HX26,0,7c8d471088efabbd
11683,9677,2,76561198044118796,3,XANTARES,Kevlar + Helmet,equipment,01JM6E8Q397J1ZTB8TTCKH77QA,0,7c8d471088efabbd
11715,9698,2,76561198966340160,2,Techno4K,Kevlar + Helmet,equipment,01JM6E8Q3A4XNTGF8EFVSFP41F,0,7c8d471088efabbd
11715,9698,2,76561198083485506,3,woxic,MP9,smg,01JM6E8Q3A4XNTGF8EFQZ31QWF,0,7c8d471088efabbd
11747,9724,2,76561198083485506,3,woxic,Kevlar Vest,equipment,01JM6E8Q3B30HB08XCTD5EDVP1,0,7c8d471088efabbd
11849,9790,2,76561197967432889,3,MAJ3R,MP9,smg,01JM6E8Q3CD3CJXJK15585WH1Q,1,7c8d471088efabbd
11901,9829,2,76561197967432889,3,MAJ3R,Kevlar Vest,equipment,01JM6E8Q3DAAKNBKSGFKPDMS8D,0,7c8d471088efabbd
11929,9857,2,76561198920720017,2,Senzu,Kevlar + Helmet,equipment,01JM6E8Q3DAAKNBKSGFMSHA6PH,0,7c8d471088efabbd
11949,9871,2,76561198920720017,2,Senzu,Galil AR,rifle,01JM6E8Q3E7P03CR98TAGJR9AZ,0,7c8d471088efabbd
11964,9884,2,76561198920720017,2,Senzu,Molotov,grenade,01JM6E8Q3E7P03CR98TB361VKX,0,7c8d471088efabbd
11982,9899,2,76561198920720017,2,Senzu,Smoke Grenade,grenade,01JM6E8Q3FPBKMGCNY02MSBPGV,0,7c8d471088efabbd
12115,9991,2,76561198966340160,2,Techno4K,AK-47,rifle,01JM6E8Q3HCS0F15DH7F3897RJ,1,7c8d471088efabbd
12344,10154,2,76561198838822582,2,Mzinho,Kevlar + Helmet,equipment,01JM6E8Q3NM89N8P8AQ2GX563E,0,7c8d471088efabbd
12352,10155,2,76561198966340160,2,Techno4K,Smoke Grenade,grenade,01JM6E8Q3NM89N8P8AQ534VDMM,0,7c8d471088efabbd
12373,10168,2,76561198966340160,2,Techno4K,Molotov,grenade,01JM6E8Q3PK0CWDMNN61RP84NV,0,7c8d471088efabbd
12406,10182,2,76561198838822582,2,Mzinho,MAC-10,smg,01JM6E8Q3PK0CWDMNN638HWN0C,0,7c8d471088efabbd
12485,10236,2,76561198838822582,2,Mzinho,Molotov,grenade,01JM6E8Q3R42Y2QFENX12VHKGX,0,7c8d471088efabbd
12502,10246,2,76561198838822582,2,Mzinho,HE Grenade,grenade,01JM6E8Q3R42Y2QFENX27J4ZW8,0,7c8d471088efabbd
12517,10257,2,76561198838822582,2,Mzinho,Smoke Grenade,grenade,01JM6E8Q3R42Y2QFENX5SDW46F,0,7c8d471088efabbd
12528,10266,2,76561198838822582,2,Mzinho,Flashbang,grenade,01JM6E8Q3SVZEA2P3Y8MQB3F4P,0,7c8d471088efabbd
12800,10472,2,76561197967432889,3,MAJ3R,Kevlar + Helmet,equipment,01JM6E8Q3XYPC6HRRRNVXJWJ6H,0,7c8d471088efabbd
12886,10533,2,76561197967432889,3,MAJ3R,HE Grenade,grenade,01JM6E8Q3Y7EASKXRD61T3C45P,1,7c8d471088efabbd
12947,10572,2,76561198966340160,2,Techno4K,Galil AR,rifle,01JM6E8Q3Z09QEV62MHBKR8AQR,0,7c8d471088efabbd
12957,10579,2,76561197967432889,3,MAJ3R,Smoke Grenade,grenade,01JM6E8Q3Z09QEV62MHF708TDG,0,7c8d471088efabbd
12972,10592,2,76561198966340160,2,Techno4K,HE Grenade,grenade,01JM6E8Q40J5WDH7CY7AX5TC1Z,0,7c8d471088efabbd
12987,10605,2,76561198966340160,2,Techno4K,Flashbang,grenade,01JM6E8Q40J5WDH7CY7CBA5056,0,7c8d471088efabbd
13026,10635,2,76561197967432889,3,MAJ3R,Five-SeveN,pistol,01JM6E8Q41M8YWJSC6P1TC3332,0,7c8d471088efabbd
23468,19347,3,76561198812513923,3,Wicadia,Kevlar + Helmet,equipment,01JM6E8QKRYF9PEXD2V87WNA2C,0,7c8d471088efabbd
23581,19408,3,76561198959824088,2,bLitz,Smoke Grenade,grenade,01JM6E8QKTRHHK30V23WCEPJNY,0,7c8d471088efabbd
23591,19417,3,76561198959824088,2,bLitz,HE Grenade,grenade,01JM6E8QKVC06CMWTPWN5RBR5N,0,7c8d471088efabbd
23601,19427,3,76561198959824088,2,bLitz,Molotov,grenade,01JM6E8QKVC06CMWTPWPMWSS96,0,7c8d471088efabbd
23615,19440,3,76561198959824088,2,bLitz,Flashbang,grenade,01JM6E8QKVC06CMWTPWR9HZ4QE,0,7c8d471088efabbd
23629,19449,3,76561198966340160,2,Techno4K,Smoke Grenade,grenade,01JM6E8QKW9CGN04TC4JV0WN80,0,7c8d471088efabbd
23644,19463,3,76561198966340160,2,Techno4K,Molotov,grenade,01JM6E8QKW9CGN04TC4NE4V0CN,0,7c8d471088efabbd
24052,19786,3,76561198044118796,3,XANTARES,Smoke Grenade,grenade,01JM6E8QM26FV06HS6FM9V74D9,0,7c8d471088efabbd
