steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198959824088,bLitz,2,800,700,900,pistol,1,4314a9bfc52002d9
76561198966340160,Techno4K,2,800,700,1200,pistol,1,4314a9bfc52002d9
76561199203563345,910-,2,800,700,900,pistol,1,4314a9bfc52002d9
76561198083485506,woxic,3,800,650,850,pistol,1,4314a9bfc52002d9
76561198920720017,Senzu,2,800,650,1050,pistol,1,4314a9bfc52002d9
76561198812513923,Wicadia,3,800,650,850,pistol,1,4314a9bfc52002d9
76561197967432889,MAJ3R,3,800,700,900,pistol,1,4314a9bfc52002d9
76561198838822582,Mzinho,2,800,650,1250,pistol,1,4314a9bfc52002d9
76561198044118796,XANTARES,3,800,650,850,pistol,1,4314a9bfc52002d9
76561198410750263,jottAAA,3,800,650,850,pistol,1,4314a9bfc52002d9
76561198959824088,bLitz,2,3650,0,200,eco,2,4314a9bfc52002d9
76561199203563345,910-,2,3350,0,200,eco,2,4314a9bfc52002d9
76561197967432889,MAJ3R,3,2900,0,200,eco,2,4314a9bfc52002d9
76561198966340160,Techno4K,2,3950,0,200,eco,2,4314a9bfc52002d9
76561198410750263,jottAAA,3,2050,0,200,eco,2,4314a9bfc52002d9
76561198812513923,Wicadia,3,2050,0,200,eco,2,4314a9bfc52002d9
76561198920720017,Senzu,2,4000,0,850,eco,2,4314a9bfc52002d9
76561198838822582,Mzinho,2,3700,0,200,eco,2,4314a9bfc52002d9
76561198044118796,XANTARES,3,2050,0,200,eco,2,4314a9bfc52002d9
76561198083485506,woxic,3,2050,0,200,eco,2,4314a9bfc52002d9
