name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
Techno4K,76561198966340160,69,Team B,26,5,24,13,50,1.083333,67.647057,87.205879,0.764706,0.705882,0.882353,6,-1,0,0,0,0,1,0,2965,513,30,5,8,13,15,6,2,0,0,0,0,3,8,13,15,6,4,2,2,8,0,1,7,3,3,1,0,1.133779,1.186546,CSGO-xLKWR-n4mRL-LRHtd-3WTmE-z2urD,0,0,cde638435845fd7f
MAJ3R,76561197967432889,51,Team A,15,5,20,6,40,0.750000,61.764706,57.352940,0.441176,0.588235,2.588235,4,-1,0,0,0,2,1,0,1950,312,88,3,6,11,13,4,2,0,0,0,0,1,6,11,13,4,2,3,2,3,0,0,6,3,1,0,0,0.778365,0.807728,CSGO-dB2kZ-vRqYD-jr9OB-hqiVw-HvD7K,4,0,cde638435845fd7f
bLitz,76561198959824088,62,Team B,20,8,17,10,50,1.176471,67.647057,71.088234,0.588235,0.500000,7.000000,5,-1,0,0,0,4,1,0,2417,446,238,3,6,11,13,4,3,1,1,1,1,0,5,10,12,3,3,5,4,1,0,0,8,3,2,0,0,1.048178,1.053941,CSGO-5ZuLo-kNWtr-VG6uo-A7pqe-u3edJ,2,0,cde638435845fd7f
woxic,76561198083485506,47,Team A,17,8,25,3,17,0.680000,64.705887,51.676472,0.500000,0.735294,2.411765,1,-1,0,0,0,3,0,0,1757,172,82,5,8,13,15,6,2,0,0,0,0,3,8,13,15,6,3,2,1,5,0,2,14,0,1,0,0,0.762936,0.685420,CSGO-hVyt6-6w7hL-hQyc6-xReeD-3sNkO,0,0,cde638435845fd7f
Mzinho,76561198838822582,59,Team B,19,4,25,11,57,0.760000,58.823532,62.323528,0.558824,0.735294,5.882353,2,-1,0,0,0,5,0,0,2119,461,200,2,5,10,12,3,2,0,0,0,0,0,5,10,12,3,3,1,3,5,0,0,9,5,0,0,0,0.793189,0.768689,CSGO-Y4Yo6-JqqJ5-f9aad-v2Oh5-Oe2ED,1,0,cde638435845fd7f
jottAAA,76561198410750263,67,Team A,26,4,20,14,53,1.300000,85.294113,80.823532,0.764706,0.588235,3.470588,6,-1,0,0,0,3,0,0,2748,428,118,6,9,14,16,7,3,1,1,1,1,3,8,13,15,6,3,4,8,5,0,3,14,3,2,0,0,1.301943,1.129218,CSGO-BqhZo-T9QEB-OwFPA-OcAdZ-wLsuL,1,0,cde638435845fd7f
910-,76561199203563345,55,Team B,25,3,24,1,4,1.041667,70.588234,71.235291,0.735294,0.705882,2.441176,3,-1,0,0,0,0,0,0,2422,157,83,10,13,18,20,11,2,0,0,0,0,8,13,18,20,11,3,4,5,3,0,1,12,5,1,0,0,1.072862,0.991366,CSGO-ZsHQM-DfKAp-DZTFR-V3aAJ-pBtdA,3,0,cde638435845fd7f
Wicadia,76561198812513923,65,Team A,26,10,24,14,53,1.083333,70.588234,96.147057,0.764706,0.705882,2.352941,3,-1,0,0,0,1,0,0,3269,536,80,5,8,13,15,6,2,0,0,0,0,3,8,13,15,6,2,2,5,4,0,1,13,5,1,0,0,1.198512,1.015939,CSGO-BHQFQ-kDP63-P6scP-S9MQs-a4GSQ,4,0,cde638435845fd7f
Senzu,76561198920720017,50,Team B,18,6,22,9,50,0.818182,64.705887,65.294121,0.529412,0.647059,5.176471,1,-1,0,0,0,1,1,0,2220,321,176,5,8,13,15,6,2,0,0,0,0,3,8,13,15,6,3,5,5,3,0,2,13,1,1,0,0,0.873095,0.799218,CSGO-xLKWR-n4mRL-LRHtd-3WTmE-z2urD,4,0,cde638435845fd7f
XANTARES,76561198044118796,71,Team A,28,7,19,14,50,1.473684,79.411766,83.147057,0.823529,0.558824,3.029412,3,-1,0,0,0,3,0,0,2827,449,103,8,11,16,18,9,2,0,0,0,0,6,11,16,18,9,7,5,5,4,0,1,9,8,1,0,0,1.341744,1.236540,CSGO-xbpe2-E24RJ-YXNuO-pQvt8-ppNAK,2,0,cde638435845fd7f
