frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
124,62,1,76561198283989223,2,ultimate,Kevlar Vest,equipment,01JM6E9ST0QQSFHEB087242Q3A,0,b4ed316595c9e3ee
227,135,1,76561199203563345,3,910-,Kevlar Vest,equipment,01JM6E9ST2VK7QTEP4XW4S4MP1,0,b4ed316595c9e3ee
234,141,1,76561197977105184,2,jks,Kevlar Vest,equipment,01JM6E9ST2VK7QTEP4XZ3TY2N5,0,b4ed316595c9e3ee
276,174,1,76561198001151695,2,NAF,P250,pistol,01JM6E9ST2VK7QTEP4Y17QJNDK,0,b4ed316595c9e3ee
299,195,1,76561198001151695,2,NAF,Smoke Grenade,grenade,01JM6E9ST3NRKNC7DFADHWMB93,0,b4ed316595c9e3ee
312,205,1,76561198001151695,2,NAF,Flashbang,grenade,01JM6E9ST3NRKNC7DFAHF02P9V,0,b4ed316595c9e3ee
440,313,1,76561198959824088,3,bLitz,Kevlar Vest,equipment,01JM6E9ST5D1YSMX617165815S,0,b4ed316595c9e3ee
468,328,1,76561198016255205,2,Twistzz,P250,pistol,01JM6E9ST5D1YSMX61744AA9QK,0,b4ed316595c9e3ee
492,343,1,76561198838822582,3,Mzinho,Kevlar Vest,equipment,01JM6E9ST7ZGJ9NYHDABP20R8R,0,b4ed316595c9e3ee
572,398,1,76561198966340160,3,Techno4K,Kevlar Vest,equipment,01JM6E9ST8KYS3Q06KJ7R69JTB,0,b4ed316595c9e3ee
794,570,1,76561198016255205,2,Twistzz,Smoke Grenade,grenade,01JM6E9STC84N9TR8XP34MJ2E3,0,b4ed316595c9e3ee
812,586,1,76561198016255205,2,Twistzz,Flashbang,grenade,01JM6E9STC84N9TR8XP4Y7GEXP,0,b4ed316595c9e3ee
1077,776,1,76561198053126645,2,NertZ,Kevlar Vest,equipment,01JM6E9STHVXMZ4HJS4PTSG4K0,0,b4ed316595c9e3ee
1559,1142,1,76561198920720017,3,Senzu,Kevlar Vest,equipment,01JM6E9STR0RYET9Y66H2FSC03,0,b4ed316595c9e3ee
9169,7686,2,76561198053126645,2,NertZ,AK-47,rifle,01JM6E9T37BB68W75K12SZF6QC,1,b4ed316595c9e3ee
9191,7698,2,76561198053126645,2,NertZ,Kevlar + Helmet,equipment,01JM6E9T37BB68W75K156VPKJN,0,b4ed316595c9e3ee
9231,7725,2,76561198053126645,2,NertZ,Smoke Grenade,grenade,01JM6E9T38HSMP08T6S66XXSVV,0,b4ed316595c9e3ee
9250,7740,2,76561198053126645,2,NertZ,Flashbang,grenade,01JM6E9T38HSMP08T6S9MSMYJ4,0,b4ed316595c9e3ee
9281,7764,2,76561198016255205,2,Twistzz,Kevlar + Helmet,equipment,01JM6E9T39RBCMPK3DENY0WVR3,0,b4ed316595c9e3ee
9292,7775,2,76561198959824088,3,bLitz,Kevlar Vest,equipment,01JM6E9T39RBCMPK3DESQNJ7SQ,0,b4ed316595c9e3ee
9367,7830,2,76561198283989223,2,ultimate,MAC-10,smg,01JM6E9T3AFCM8MXJ7SWVD6V7W,0,b4ed316595c9e3ee
9395,7848,2,76561198283989223,2,ultimate,Kevlar + Helmet,equipment,01JM6E9T3AFCM8MXJ7T05J66RT,0,b4ed316595c9e3ee
9423,7868,2,76561198283989223,2,ultimate,Smoke Grenade,grenade,01JM6E9T3BVY30HZX9E9SZZD15,0,b4ed316595c9e3ee
9443,7882,2,76561198283989223,2,ultimate,Flashbang,grenade,01JM6E9T3BVY30HZX9EDHT4YZ0,0,b4ed316595c9e3ee
9469,7905,2,76561198283989223,2,ultimate,Molotov,grenade,01JM6E9T3CKYHGVT12JK5WPF6D,0,b4ed316595c9e3ee
