steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198001151695,NAF,3,800,700,900,pistol,1,9d28525a9109fae5
76561198838822582,Mzinho,2,800,650,850,pistol,1,9d28525a9109fae5
76561198959824088,bLitz,2,800,700,900,pistol,1,9d28525a9109fae5
76561198053126645,NertZ,3,800,650,850,pistol,1,9d28525a9109fae5
76561198283989223,ultimate,3,800,650,850,pistol,1,9d28525a9109fae5
76561198920720017,Senzu,2,800,650,850,pistol,1,9d28525a9109fae5
76561198966340160,Techno4K,2,800,700,900,pistol,1,9d28525a9109fae5
76561197977105184,jks,3,800,650,850,pistol,1,9d28525a9109fae5
76561199203563345,910-,2,800,650,850,pistol,1,9d28525a9109fae5
76561198016255205,Twistzz,3,800,700,900,pistol,1,9d28525a9109fae5
76561197977105184,jks,3,2050,2000,2000,force-buy,2,9d28525a9109fae5
76561199203563345,910-,2,4600,4150,5000,full,2,9d28525a9109fae5
76561198016255205,Twistzz,3,2000,1950,4550,full,2,9d28525a9109fae5
76561198001151695,NAF,3,2000,2000,2000,force-buy,2,9d28525a9109fae5
76561198838822582,Mzinho,2,3400,3250,3450,semi,2,9d28525a9109fae5
76561198920720017,Senzu,2,3400,3400,3600,semi,2,9d28525a9109fae5
76561198966340160,Techno4K,2,3350,3100,3300,semi,2,9d28525a9109fae5
76561198959824088,bLitz,2,3650,3600,3850,semi,2,9d28525a9109fae5
76561198053126645,NertZ,3,2950,2900,500,eco,2,9d28525a9109fae5
76561198283989223,ultimate,3,2050,1650,1650,force-buy,2,9d28525a9109fae5
76561199203563345,910-,2,4300,4200,4400,full,3,9d28525a9109fae5
76561198283989223,ultimate,3,2800,0,200,eco,3,9d28525a9109fae5
76561198016255205,Twistzz,3,2450,700,700,eco,3,9d28525a9109fae5
76561198966340160,Techno4K,2,3500,2200,4700,full,3,9d28525a9109fae5
76561198959824088,bLitz,2,3600,3600,3800,semi,3,9d28525a9109fae5
76561197977105184,jks,3,3050,400,600,eco,3,9d28525a9109fae5
76561198001151695,NAF,3,2400,300,300,eco,3,9d28525a9109fae5
76561198838822582,Mzinho,2,3400,3400,4200,full,3,9d28525a9109fae5
76561198920720017,Senzu,2,3850,3700,4900,full,3,9d28525a9109fae5
76561198053126645,NertZ,3,3350,500,500,eco,3,9d28525a9109fae5
76561198053126645,NertZ,3,5750,5250,5450,full,4,9d28525a9109fae5
76561199203563345,910-,2,3950,600,5000,full,4,9d28525a9109fae5
76561198016255205,Twistzz,3,4650,4550,4750,full,4,9d28525a9109fae5
76561198838822582,Mzinho,2,3550,500,4100,full,4,9d28525a9109fae5
76561197977105184,jks,3,5550,5400,5600,full,4,9d28525a9109fae5
76561198283989223,ultimate,3,5700,5700,5900,full,4,9d28525a9109fae5
76561198001151695,NAF,3,5000,5000,5200,full,4,9d28525a9109fae5
76561198920720017,Senzu,2,3700,900,5600,full,4,9d28525a9109fae5
76561198966340160,Techno4K,2,4550,900,4300,full,4,9d28525a9109fae5
76561198959824088,bLitz,2,3550,900,5400,full,4,9d28525a9109fae5
76561198838822582,Mzinho,2,5050,4800,5000,full,5,9d28525a9109fae5
76561198920720017,Senzu,2,4200,3900,4100,full,5,9d28525a9109fae5
76561198959824088,bLitz,2,4350,4200,4600,full,5,9d28525a9109fae5
76561198053126645,NertZ,3,4050,4050,4250,semi,5,9d28525a9109fae5
76561199203563345,910-,2,4750,4600,5000,full,5,9d28525a9109fae5
76561198283989223,ultimate,3,3250,2700,7650,full,5,9d28525a9109fae5
76561198016255205,Twistzz,3,3950,3900,4550,full,5,9d28525a9109fae5
76561198966340160,Techno4K,2,5050,4900,4800,full,5,9d28525a9109fae5
76561197977105184,jks,3,3700,2300,5400,full,5,9d28525a9109fae5
76561198001151695,NAF,3,3550,3400,4900,full,5,9d28525a9109fae5
76561197977105184,jks,3,3800,3450,3650,force-buy,6,9d28525a9109fae5
76561198283989223,ultimate,3,2950,2650,2850,force-buy,6,9d28525a9109fae5
76561198016255205,Twistzz,3,2450,1400,5250,full,6,9d28525a9109fae5
76561198001151695,NAF,3,2550,1400,5800,full,6,9d28525a9109fae5
76561198838822582,Mzinho,2,4050,1400,5000,full,6,9d28525a9109fae5
76561198966340160,Techno4K,2,3950,1100,5000,full,6,9d28525a9109fae5
76561198959824088,bLitz,2,3650,1000,5100,full,6,9d28525a9109fae5
76561198053126645,NertZ,3,2400,1000,5050,full,6,9d28525a9109fae5
76561199203563345,910-,2,3650,1100,7050,full,6,9d28525a9109fae5
76561198920720017,Senzu,2,4100,1200,5100,full,6,9d28525a9109fae5
76561198053126645,NertZ,3,4950,4850,5050,full,7,9d28525a9109fae5
76561199203563345,910-,2,3950,3900,4100,full,7,9d28525a9109fae5
76561198283989223,ultimate,3,3850,3850,5000,full,7,9d28525a9109fae5
76561198001151695,NAF,3,5300,5200,5400,full,7,9d28525a9109fae5
76561198838822582,Mzinho,2,4050,4000,4200,full,7,9d28525a9109fae5
76561198959824088,bLitz,2,4650,4600,4800,full,7,9d28525a9109fae5
76561197977105184,jks,3,3600,3550,3750,semi,7,9d28525a9109fae5
76561198016255205,Twistzz,3,4300,2700,5800,full,7,9d28525a9109fae5
76561198920720017,Senzu,2,4900,4000,4200,full,7,9d28525a9109fae5
76561198966340160,Techno4K,2,4250,3700,3900,semi,7,9d28525a9109fae5
76561198053126645,NertZ,3,2300,0,200,eco,8,9d28525a9109fae5
76561198283989223,ultimate,3,1900,0,200,eco,8,9d28525a9109fae5
76561198016255205,Twistzz,3,3800,500,500,eco,8,9d28525a9109fae5
76561198838822582,Mzinho,2,3300,2400,5000,full,8,9d28525a9109fae5
76561199203563345,910-,2,3600,900,5200,full,8,9d28525a9109fae5
76561198001151695,NAF,3,2000,0,200,eco,8,9d28525a9109fae5
76561198920720017,Senzu,2,4450,3300,4800,full,8,9d28525a9109fae5
76561198966340160,Techno4K,2,4100,2400,5000,full,8,9d28525a9109fae5
76561198959824088,bLitz,2,3900,3900,5100,full,8,9d28525a9109fae5
76561197977105184,jks,3,1950,0,200,eco,8,9d28525a9109fae5
76561198920720017,Senzu,2,4950,2100,5000,full,9,9d28525a9109fae5
76561198959824088,bLitz,2,4100,1200,5100,full,9,9d28525a9109fae5
