number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,1,1,1268,1669,3680,4551,4000,4937,Team A,Team B,0,1,3,2,4000,4000,4350,4350,3350,3350,pistol,pistol,57329,9,Team B,2,0,9d28525a9109fae5
2,4000,4937,5280,6716,10120,12509,10440,12890,Team A,Team B,0,2,3,2,11050,18400,10700,19200,10500,17500,force-buy,semi,95406,9,Team B,2,0,9d28525a9109fae5
3,10440,12890,11720,14799,14324,17971,14644,18397,Team A,Team B,0,3,3,2,14050,18650,2300,22000,1900,17100,eco,full,64020,9,Team B,2,0,9d28525a9109fae5
4,14644,18397,15924,20356,22913,28814,23233,29212,Team A,Team B,1,3,3,2,26650,19300,26900,24400,25900,3800,full,full,131253,8,Team A,3,0,9d28525a9109fae5
5,23233,29212,24513,31101,29048,36760,29368,37165,Team A,Team B,1,4,3,2,18500,23400,26750,23500,16350,22400,full,full,95104,1,Team B,2,0,9d28525a9109fae5
6,29368,37165,30648,38918,36393,45952,36713,46342,Team A,Team B,2,4,3,2,14150,19400,22600,27250,9900,5800,full,full,110715,8,Team A,3,0,9d28525a9109fae5
7,36713,46342,37993,48178,44156,55530,44476,55928,Team A,Team B,2,5,3,2,22000,21800,25000,21200,20150,20200,full,full,115767,9,Team B,2,0,9d28525a9109fae5
8,44476,55928,45756,57724,53956,67394,54276,67839,Team A,Team B,2,6,3,2,11950,19350,1300,25100,500,12900,eco,full,144470,1,Team B,2,0,9d28525a9109fae5
9,56527,70672,57807,72381,66213,82489,66533,82876,Team A,Team B,2,7,3,2,24050,25450,25500,27150,21600,14350,full,full,148893,1,Team B,2,0,9d28525a9109fae5
10,66533,82876,67813,84792,73953,92222,74273,92607,Team A,Team B,3,7,3,2,17350,29900,22250,27350,16900,12800,force-buy,full,117758,8,Team A,3,0,9d28525a9109fae5
11,74273,92607,75553,94469,83771,104289,84091,104691,Team A,Team B,3,8,3,2,17900,24700,27500,23550,13650,22750,full,full,147192,1,Team B,2,0,9d28525a9109fae5
12,86087,107490,87367,109273,94401,117702,94945,118357,Team A,Team B,4,8,3,2,17150,20750,22150,28450,16850,18800,force-buy,full,128670,8,Team A,3,0,9d28525a9109fae5
13,94945,118357,109505,136012,112186,139172,112506,139564,Team A,Team B,5,8,2,3,4000,4000,4200,4050,3400,3400,pistol,pistol,262266,9,Team A,2,0,9d28525a9109fae5
14,112506,139564,113786,141295,120376,149083,120696,149464,Team A,Team B,6,8,2,3,18350,11000,19100,10700,17900,10300,semi,force-buy,119938,1,Team A,2,0,9d28525a9109fae5
15,120696,149464,121976,151293,130803,161634,131123,162034,Team A,Team B,7,8,2,3,20350,13000,23050,7000,7800,2700,full,semi,153340,1,Team A,2,0,9d28525a9109fae5
16,131123,162034,132403,163844,139550,172445,139870,172825,Team A,Team B,7,9,2,3,31250,25400,25700,27050,15250,20150,full,full,131177,8,Team B,3,0,9d28525a9109fae5
17,139870,172825,141150,174717,147282,182058,147602,182455,Team A,Team B,8,9,2,3,23600,22400,22600,28950,21600,13300,full,full,116334,9,Team A,2,0,9d28525a9109fae5
18,147602,182455,148882,184291,153768,190252,154088,190643,Team A,Team B,8,10,2,3,20050,21400,25800,23550,7350,21250,full,full,98241,7,Team B,3,0,9d28525a9109fae5
19,154088,190643,155368,192553,160767,199051,161087,199470,Team A,Team B,8,11,2,3,24000,19150,23800,26150,19100,17900,full,full,105939,8,Team B,3,0,9d28525a9109fae5
20,163477,202607,164757,204425,167689,208075,168009,208474,Team A,Team B,8,12,2,3,14700,18050,7100,29750,6500,10550,semi,full,68896,8,Team B,3,0,9d28525a9109fae5
21,168009,208474,169289,210390,175092,217475,175092,217475,Team A,Team B,8,13,2,3,19200,33950,21400,30150,20000,10200,full,full,113411,7,Team B,3,0,9d28525a9109fae5
