steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198080114546,fame,2,800,650,850,pistol,1,389c398779c40eb7
76561198386265483,donk,3,800,650,950,pistol,1,389c398779c40eb7
76561198045898864,chopper,3,800,700,900,pistol,1,389c398779c40eb7
76561198055109028,ICY,2,800,650,850,pistol,1,389c398779c40eb7
76561199063238565,magixx,3,800,800,1000,pistol,1,389c398779c40eb7
76561198000827804,mir,2,800,650,850,pistol,1,389c398779c40eb7
76561198081484775,sh1ro,3,800,650,1050,pistol,1,389c398779c40eb7
76561198044045107,electronic,2,800,700,900,pistol,1,389c398779c40eb7
76561198995880877,zont1x,3,800,650,1150,pistol,1,389c398779c40eb7
76561197995817501,FL1T,2,800,650,1250,pistol,1,389c398779c40eb7
76561197995817501,FL1T,2,2350,700,700,eco,2,389c398779c40eb7
76561198000827804,mir,2,2350,300,300,eco,2,389c398779c40eb7
76561198045898864,chopper,3,3350,3350,3550,semi,2,389c398779c40eb7
76561198055109028,ICY,2,2050,0,200,eco,2,389c398779c40eb7
76561198080114546,fame,2,2050,0,200,eco,2,389c398779c40eb7
76561198081484775,sh1ro,3,4000,2250,2650,semi,2,389c398779c40eb7
76561198995880877,zont1x,3,3700,3550,3750,semi,2,389c398779c40eb7
76561199063238565,magixx,3,3550,3450,4050,semi,2,389c398779c40eb7
76561198044045107,electronic,2,2300,500,700,eco,2,389c398779c40eb7
76561198386265483,donk,3,3700,3550,3750,semi,2,389c398779c40eb7
76561198080114546,fame,2,4450,4400,4600,full,3,389c398779c40eb7
76561198044045107,electronic,2,4200,3900,4100,full,3,389c398779c40eb7
76561198995880877,zont1x,3,4600,400,4150,semi,3,389c398779c40eb7
76561197995817501,FL1T,2,4050,4000,4200,full,3,389c398779c40eb7
76561198055109028,ICY,2,4450,4400,4600,full,3,389c398779c40eb7
76561198386265483,donk,3,3700,1400,5350,full,3,389c398779c40eb7
76561198081484775,sh1ro,3,5600,5600,6000,full,3,389c398779c40eb7
76561198000827804,mir,2,4750,4700,4900,full,3,389c398779c40eb7
76561198045898864,chopper,3,3850,900,3750,semi,3,389c398779c40eb7
76561199063238565,magixx,3,3350,1300,4850,full,3,389c398779c40eb7
76561198386265483,donk,3,4000,3900,4100,force-buy,4,389c398779c40eb7
76561198995880877,zont1x,3,6500,6400,1950,force-buy,4,389c398779c40eb7
76561199063238565,magixx,3,3750,3700,3900,force-buy,4,389c398779c40eb7
76561198044045107,electronic,2,3550,3150,3350,semi,4,389c398779c40eb7
76561198000827804,mir,2,3300,3200,3400,semi,4,389c398779c40eb7
76561198080114546,fame,2,4500,3700,5100,full,4,389c398779c40eb7
76561198081484775,sh1ro,3,1400,1250,5900,full,4,389c398779c40eb7
76561197995817501,FL1T,2,3300,2400,4200,full,4,389c398779c40eb7
76561198045898864,chopper,3,4350,4250,4450,force-buy,4,389c398779c40eb7
76561198055109028,ICY,2,3900,3700,7050,full,4,389c398779c40eb7
76561198055109028,ICY,2,2200,700,700,eco,5,389c398779c40eb7
76561199063238565,magixx,3,3600,3550,3750,semi,5,389c398779c40eb7
76561198081484775,sh1ro,3,3500,3450,3650,semi,5,389c398779c40eb7
76561198045898864,chopper,3,3650,3550,3750,semi,5,389c398779c40eb7
76561198386265483,donk,3,3650,3550,5400,full,5,389c398779c40eb7
76561198995880877,zont1x,3,3350,2050,4450,semi,5,389c398779c40eb7
76561197995817501,FL1T,2,2800,650,850,eco,5,389c398779c40eb7
76561198000827804,mir,2,2000,0,200,eco,5,389c398779c40eb7
76561198080114546,fame,2,1400,0,3900,semi,5,389c398779c40eb7
76561198044045107,electronic,2,2900,1200,1200,semi,5,389c398779c40eb7
76561198081484775,sh1ro,3,3600,1100,5400,full,6,389c398779c40eb7
76561197995817501,FL1T,2,4550,4400,4600,full,6,389c398779c40eb7
76561198080114546,fame,2,3800,3700,3900,force-buy,6,389c398779c40eb7
76561198386265483,donk,3,3350,1400,6100,full,6,389c398779c40eb7
76561198055109028,ICY,2,3900,3900,4600,full,6,389c398779c40eb7
