frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
121,54,1,76561198386265483,2,donk,Kevlar Vest,equipment,01JM6EBP2MAPJB8F19QSPZ28AQ,0,2d40aa7843420a75
122,55,1,76561197995817501,3,FL1T,Kevlar Vest,equipment,01JM6EBP2MAPJB8F19QXDQVRZ9,0,2d40aa7843420a75
124,57,1,76561199063238565,2,magixx,Kevlar Vest,equipment,01JM6EBP2MAPJB8F19R1091Q4W,0,2d40aa7843420a75
154,80,1,76561198044045107,3,electronic,Smoke Grenade,grenade,01JM6EBP2MAPJB8F19R3PNBRDW,0,2d40aa7843420a75
167,92,1,76561198044045107,3,electronic,Flashbang,grenade,01JM6EBP2MAPJB8F19R4DC3ASS,0,2d40aa7843420a75
292,181,1,76561198000827804,3,mir,Kevlar Vest,equipment,01JM6EBP2QJEFY759NPW629NJ7,0,2d40aa7843420a75
313,195,1,76561198045898864,2,chopper,Smoke Grenade,grenade,01JM6EBP2QJEFY759NPXA0ES9K,0,2d40aa7843420a75
327,201,1,76561198080114546,3,fame,Smoke Grenade,grenade,01JM6EBP2QJEFY759NQ193139Z,0,2d40aa7843420a75
343,213,1,76561198080114546,3,fame,Flashbang,grenade,01JM6EBP2R8495P9HKNWTT9R3M,0,2d40aa7843420a75
356,221,1,76561198045898864,2,chopper,Molotov,grenade,01JM6EBP2R8495P9HKNZRXDKWM,0,2d40aa7843420a75
415,257,1,76561198081484775,2,sh1ro,P250,pistol,01JM6EBP2V3NVY28P1R7FGG95T,0,2d40aa7843420a75
465,293,1,76561198081484775,2,sh1ro,Flashbang,grenade,01JM6EBP2WWZ7B41C5SYZZ9NQG,0,2d40aa7843420a75
477,303,1,76561197995817501,3,FL1T,Dual Berettas,pistol,01JM6EBP2PNAY4EMN9Z7GJ0Y7N,0,2d40aa7843420a75
486,312,1,76561198081484775,2,sh1ro,Smoke Grenade,grenade,01JM6EBP2WWZ7B41C5T0517JSF,0,2d40aa7843420a75
543,352,1,76561198055109028,3,ICY,Kevlar Vest,equipment,01JM6EBP2XCRM42V7SCXYVHG8D,0,2d40aa7843420a75
595,386,1,76561198055109028,3,ICY,Dual Berettas,pistol,01JM6EBP2MAPJB8F19R371S5ZQ,0,2d40aa7843420a75
624,406,1,76561198995880877,2,zont1x,Kevlar Vest,equipment,01JM6EBP2YR3CEK2XJX1CQBPR9,0,2d40aa7843420a75
9789,7816,2,76561198081484775,2,sh1ro,Kevlar + Helmet,equipment,01JM6EBPEBG9W70S0KWK4MPNGD,0,2d40aa7843420a75
9820,7833,2,76561198081484775,2,sh1ro,Galil AR,rifle,01JM6EBPEBG9W70S0KWKRSGY96,0,2d40aa7843420a75
9844,7849,2,76561198081484775,2,sh1ro,Smoke Grenade,grenade,01JM6EBPEC7D7RQC2NGXYGD0GA,0,2d40aa7843420a75
