number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,1,1,1263,1944,7339,9172,7659,9553,Team A,Team B,0,1,3,2,4000,4000,4150,4650,3550,3450,pistol,pistol,111524,1,Team B,2,0,2d40aa7843420a75
2,7659,9553,8939,11503,11955,15343,12275,15755,Team A,Team B,0,2,3,2,11450,19250,1800,18850,1000,17850,eco,semi,70409,9,Team B,2,0,2d40aa7843420a75
3,12275,15755,13555,17629,20205,25571,20525,25965,Team A,Team B,1,2,3,2,22750,19750,23300,21600,22400,9000,full,full,119367,7,Team A,3,0,2d40aa7843420a75
4,20525,25965,21805,27821,29165,36736,29485,37127,Team A,Team B,2,2,3,2,19650,21950,25200,21450,17300,20550,full,full,130981,12,Team A,3,0,2d40aa7843420a75
5,29485,37127,30765,39014,34992,44288,35312,44679,Team A,Team B,3,2,3,2,19500,7100,28200,13700,7400,6900,full,force-buy,87081,8,Team A,3,0,2d40aa7843420a75
6,35312,44679,36592,46643,40836,51980,41156,52423,Team A,Team B,4,2,3,2,29850,13400,24200,3250,19200,2850,full,eco,88784,8,Team A,3,0,2d40aa7843420a75
7,43076,55123,44356,57083,48733,62600,49053,62995,Team A,Team B,4,3,3,2,29000,25000,26750,24600,9000,23200,full,full,90924,9,Team B,2,0,2d40aa7843420a75
8,49053,62995,50333,64945,55034,70866,55354,71248,Team A,Team B,4,4,3,2,27000,19550,27000,25700,26300,5500,full,full,95715,1,Team B,2,0,2d40aa7843420a75
9,55354,71248,56634,73039,62516,80299,62836,80689,Team A,Team B,4,5,3,2,10500,33050,7750,25800,300,9600,semi,full,110065,1,Team B,2,0,2d40aa7843420a75
10,62836,80689,64116,82563,68966,88750,69286,89139,Team A,Team B,5,5,3,2,22500,42150,25800,25200,18650,12300,full,full,98026,8,Team A,3,0,2d40aa7843420a75
11,71427,92148,72707,94094,80274,103210,80594,103605,Team A,Team B,5,6,3,2,21400,37750,26650,27350,14450,26650,full,full,134519,9,Team B,2,0,2d40aa7843420a75
12,80594,103605,81874,105516,86571,111450,87115,112116,Team A,Team B,5,7,3,2,17350,28950,18100,27550,16800,17950,force-buy,full,95399,9,Team B,2,0,2d40aa7843420a75
13,87115,112116,101766,131602,107060,137846,107380,138264,Team A,Team B,5,8,2,3,4000,4000,4850,4450,3550,3450,pistol,pistol,312890,8,Team B,3,0,2d40aa7843420a75
14,107380,138264,108660,140052,111402,143571,111722,143986,Team A,Team B,5,9,2,3,10550,18300,2300,19300,1500,17800,eco,semi,64536,8,Team B,3,0,2d40aa7843420a75
15,111722,143986,113002,145879,119673,154103,119993,154487,Team A,Team B,6,9,2,3,21050,19150,21850,22900,20650,6500,full,full,123028,9,Team A,2,0,2d40aa7843420a75
16,119993,154487,121273,156394,128605,165343,128925,165737,Team A,Team B,7,9,2,3,18450,20850,20750,21650,16350,20650,full,force-buy,132014,1,Team A,2,0,2d40aa7843420a75
17,128925,165737,130205,167481,131488,169224,131808,169634,Team A,Team B,7,10,2,3,21100,10900,20400,13600,14000,9400,full,force-buy,42403,8,Team B,3,0,2d40aa7843420a75
18,131808,169634,133088,171469,140088,180026,140408,180443,Team A,Team B,7,11,2,3,14400,19250,6600,25400,5600,11500,semi,full,126372,7,Team B,3,0,2d40aa7843420a75
19,140408,180443,141688,182425,147682,189778,148002,190194,Team A,Team B,8,11,2,3,22200,27050,22850,29550,21950,16150,full,full,113518,9,Team A,2,0,2d40aa7843420a75
20,150391,193517,151671,195335,159031,204408,159351,204807,Team A,Team B,8,12,2,3,18300,18200,27000,19250,9400,17950,full,force-buy,132440,12,Team B,3,0,2d40aa7843420a75
21,159351,204807,160631,206721,167011,214528,167331,214913,Team A,Team B,9,12,2,3,13100,17700,22800,27650,11000,9250,full,full,118212,1,Team A,2,0,2d40aa7843420a75
22,169683,218106,170963,220003,173925,223859,173925,223859,Team A,Team B,9,13,2,3,8500,18250,20500,18350,19500,16450,full,force-buy,69959,8,Team B,3,0,2d40aa7843420a75
