number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,1,1,1266,1713,4435,5444,4755,5823,Team A,Team B,0,1,3,2,4000,4000,4000,4750,3400,3350,pistol,pistol,68676,9,Team B,2,0,fe4b8e62bc76e328
2,4755,5823,13189,16128,18676,22641,18996,23049,Team A,Team B,0,2,3,2,10400,18700,1300,20150,300,17350,eco,full,212199,9,Team B,2,0,fe4b8e62bc76e328
3,18996,23049,20276,24788,25665,31430,25985,31849,Team A,Team B,0,3,3,2,22100,20300,23700,20650,21600,3100,full,full,105746,1,Team B,2,0,fe4b8e62bc76e328
4,25985,31849,27265,33708,33157,40746,33477,41149,Team A,Team B,0,4,3,2,15300,35900,18950,24800,4650,8900,semi,full,112257,9,Team B,2,0,fe4b8e62bc76e328
5,33477,41149,34757,42947,42810,52820,43130,53233,Team A,Team B,0,5,3,2,28550,45050,27950,25600,26950,16500,full,full,147257,1,Team B,2,0,fe4b8e62bc76e328
6,45808,56806,47088,58527,54251,67096,54571,67489,Team A,Team B,0,6,3,2,19500,47250,18650,25100,7750,16700,semi,full,129833,1,Team B,2,0,fe4b8e62bc76e328
7,54571,67489,55851,69310,63211,78155,63531,78528,Team A,Team B,1,6,3,2,30250,49550,29650,27250,23300,18650,full,full,134577,12,Team A,3,0,fe4b8e62bc76e328
8,63531,78528,64811,80395,73305,90696,73625,91078,Team A,Team B,1,7,3,2,24400,37400,28850,26850,18950,20100,full,full,153528,9,Team B,2,0,fe4b8e62bc76e328
9,73625,91078,74905,92927,80891,100214,81211,100626,Team A,Team B,1,8,3,2,20950,35350,12350,27350,11750,20600,semi,full,115272,9,Team B,2,0,fe4b8e62bc76e328
10,83628,103967,84908,105773,93289,115918,93609,116324,Team A,Team B,1,9,3,2,26200,31800,26700,28050,25500,5200,full,full,150790,1,Team B,2,0,fe4b8e62bc76e328
11,93609,116324,94889,118139,102182,126866,102502,127241,Team A,Team B,1,10,3,2,18300,45300,21450,27850,10800,12500,semi,full,133012,1,Team B,2,0,fe4b8e62bc76e328
12,102502,127241,103782,129100,108653,135227,109197,135874,Team A,Team B,2,10,3,2,24800,51300,29400,28450,21400,10300,full,full,100762,7,Team A,3,0,fe4b8e62bc76e328
13,109197,135874,123169,153290,130208,161394,130528,161784,Team A,Team B,3,10,2,3,4000,4000,4200,4200,3400,3400,pistol,pistol,321996,9,Team A,2,0,fe4b8e62bc76e328
14,130528,161784,131808,163639,141066,174593,141386,174969,Team A,Team B,4,10,2,3,18650,11300,20150,11000,18350,10200,full,force-buy,161616,1,Team A,2,0,fe4b8e62bc76e328
15,141386,174969,142666,176715,148487,183237,148807,183609,Team A,Team B,5,10,2,3,18700,13100,22750,9250,5700,1750,full,semi,104320,1,Team A,2,0,fe4b8e62bc76e328
16,148807,183609,150087,185433,158751,196011,159071,196453,Team A,Team B,6,10,2,3,31700,27950,26600,27850,21500,25050,full,full,156481,1,Team A,2,0,fe4b8e62bc76e328
17,161312,199356,162592,201087,166072,205394,166392,205784,Team A,Team B,6,11,2,3,28700,20200,27250,27850,9500,16350,full,full,76183,8,Team B,3,0,fe4b8e62bc76e328
18,166392,205784,167672,207709,176195,218146,176515,218542,Team A,Team B,7,11,2,3,26400,21200,23200,29400,22200,13500,full,full,155976,1,Team A,2,0,fe4b8e62bc76e328
19,176515,218542,177795,220336,183615,227399,183935,227785,Team A,Team B,8,11,2,3,23200,22800,27000,27650,13000,18600,full,full,111752,9,Team A,2,0,fe4b8e62bc76e328
20,183935,227785,185215,229608,192526,238168,192846,238561,Team A,Team B,8,12,2,3,28250,21800,27650,13750,12200,12750,full,semi,131006,8,Team B,3,0,fe4b8e62bc76e328
21,197702,244973,198982,246864,206201,255683,206201,255683,Team A,Team B,8,13,2,3,11200,27050,24850,27850,23350,19550,full,full,135132,7,Team B,3,0,fe4b8e62bc76e328
