frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
142,79,1,76561198168198200,2,Ex3rcice,Smoke Grenade,grenade,01JM6ECMV929AZSES2BMWM5KAA,0,570f8248223e79f2
153,90,1,76561198168198200,2,Ex3rcice,Flashbang,grenade,01JM6ECMVAXKS1GDG0RXJXT76Z,0,570f8248223e79f2
191,116,1,76561198047876970,2,Djoko,Kevlar Vest,equipment,01JM6ECMVAXKS1GDG0RZKPSHZ8,0,570f8248223e79f2
271,170,1,76561197989744167,3,apEX,Dual Berettas,pistol,01JM6ECMVB8HYQP6BK8QR69D9X,0,570f8248223e79f2
342,219,1,76561198045739761,2,Maka,Smoke Grenade,grenade,01JM6ECMVDZKHPBKESBDJQB7M3,0,570f8248223e79f2
352,229,1,76561198045739761,2,Maka,Molotov,grenade,01JM6ECMVDZKHPBKESBEF2N9W3,0,570f8248223e79f2
365,240,1,76561197991272318,3,ropz,Kevlar Vest,equipment,01JM6ECMVDZKHPBKESBF2ENQEM,0,570f8248223e79f2
463,317,1,76561197989744167,3,apEX,Dual Berettas,pistol,01JM6ECMVG7V95G7CATQ3F48RN,0,570f8248223e79f2
488,340,1,76561197973140692,3,mezii,Kevlar Vest,equipment,01JM6ECMVG7V95G7CATSX0V930,0,570f8248223e79f2
691,478,1,76561198031890115,2,Lucky,Kevlar Vest,equipment,01JM6ECMVM7Z20KRZRR9NCC1WD,0,570f8248223e79f2
753,526,1,76561197978835160,3,flameZ,Kevlar Vest,equipment,01JM6ECMVN2Y168ZKBED5J9GEF,0,570f8248223e79f2
841,590,1,76561198113666193,3,ZywOo,Kevlar Vest,equipment,01JM6ECMVP14HJSK0Q9B3X6XWK,0,570f8248223e79f2
850,598,1,76561198031890115,2,Lucky,Flashbang,grenade,01JM6ECMVEAWQRQSE4XAB2REE2,0,570f8248223e79f2
1323,969,1,76561198179538505,2,Graviti,Kevlar Vest,equipment,01JM6ECMVYJJDEB3CHM84NDBA1,0,570f8248223e79f2
1403,1029,1,76561197989744167,3,apEX,Flashbang,grenade,01JM6ECMVZVHZNQCW3FQ3894KP,0,570f8248223e79f2
9064,7535,2,76561197978835160,3,flameZ,FAMAS,rifle,01JM6ECN717JD4FPM2JFRTNA95,0,570f8248223e79f2
9107,7565,2,76561198031890115,2,Lucky,Kevlar + Helmet,equipment,01JM6ECN72C8H3RRNN5SFHRDSA,0,570f8248223e79f2
9123,7574,2,76561197989744167,3,apEX,SSG 08,sniper,01JM6ECN72C8H3RRNN5W0CY42G,0,570f8248223e79f2
9190,7627,2,76561197991272318,3,ropz,FAMAS,rifle,01JM6ECN738QBJV5A8RE9D9ST2,0,570f8248223e79f2
9283,7691,2,76561198179538505,2,Graviti,MAC-10,smg,01JM6ECN75ZE8DJG2622GGDV9V,0,570f8248223e79f2
9312,7717,2,76561198045739761,2,Maka,Kevlar + Helmet,equipment,01JM6ECN767JQKF0ENCX2QP4Q4,0,570f8248223e79f2
9336,7737,2,76561197989744167,3,apEX,Flashbang,grenade,01JM6ECN77V8TY22QWM52JWNPQ,0,570f8248223e79f2
9393,7785,2,76561198168198200,2,Ex3rcice,Kevlar + Helmet,equipment,01JM6ECN787CRX7JBQNHY797QY,0,570f8248223e79f2
9396,7787,2,76561198047876970,2,Djoko,Kevlar + Helmet,equipment,01JM6ECN787CRX7JBQNMBBMJ7E,0,570f8248223e79f2
9435,7820,2,76561198045739761,2,Maka,MAC-10,smg,01JM6ECN79TWY7S578XPS7AE1N,0,570f8248223e79f2
9471,7843,2,76561198047876970,2,Djoko,Galil AR,rifle,01JM6ECN7ACD521KTRFNKAJ6MB,0,570f8248223e79f2
9472,7844,2,76561198179538505,2,Graviti,Kevlar + Helmet,equipment,01JM6ECN7ACD521KTRFRBGR4BH,0,570f8248223e79f2
9496,7861,2,76561198168198200,2,Ex3rcice,AK-47,rifle,01JM6ECN7BEA025HG63FGWBDA9,0,570f8248223e79f2
9509,7868,2,76561198179538505,2,Graviti,Molotov,grenade,01JM6ECN7BEA025HG63MF0V7WE,0,570f8248223e79f2
9518,7875,2,76561198168198200,2,Ex3rcice,Smoke Grenade,grenade,01JM6ECN7BEA025HG63Q5AMPJN,0,570f8248223e79f2
9525,7880,2,76561198179538505,2,Graviti,HE Grenade,grenade,01JM6ECN7BEA025HG63QWSMZ91,0,570f8248223e79f2
9546,7895,2,76561198047876970,2,Djoko,Molotov,grenade,01JM6ECN7BEA025HG63TRH3QCC,0,570f8248223e79f2
9559,7904,2,76561198179538505,2,Graviti,Smoke Grenade,grenade,01JM6ECN7CFTNNHZGSGM84FYB8,0,570f8248223e79f2
9567,7912,2,76561198047876970,2,Djoko,Smoke Grenade,grenade,01JM6ECN7CFTNNHZGSGNGJDKWS,0,570f8248223e79f2
9571,7916,2,76561198179538505,2,Graviti,Flashbang,grenade,01JM6ECN7CFTNNHZGSGP03390E,1,570f8248223e79f2
9651,7974,2,76561197973140692,3,mezii,Kevlar Vest,equipment,01JM6ECN7D06YWS9XE6FNK7MCX,0,570f8248223e79f2
9657,7976,2,76561198031890115,2,Lucky,AK-47,rifle,01JM6ECN7D06YWS9XE6KC3RH78,0,570f8248223e79f2
9673,7987,2,76561198168198200,2,Ex3rcice,Flashbang,grenade,01JM6ECN7E330MB5RE8KHMB5WV,0,570f8248223e79f2
9690,7995,2,76561198031890115,2,Lucky,Smoke Grenade,grenade,01JM6ECN7E330MB5RE8N4NE164,0,570f8248223e79f2
9707,8004,2,76561198031890115,2,Lucky,HE Grenade,grenade,01JM6ECN7E330MB5RE8NDKXR7M,0,570f8248223e79f2
9720,8011,2,76561197973140692,3,mezii,MP9,smg,01JM6ECN7F6YY6MF2HRCHV5HZP,1,570f8248223e79f2
9727,8016,2,76561198031890115,2,Lucky,Molotov,grenade,01JM6ECN7F6YY6MF2HRD7DH108,0,570f8248223e79f2
9814,8068,2,76561198113666193,3,ZywOo,MP9,smg,01JM6ECN7GAZE4TTDECP91D5SY,0,570f8248223e79f2
9842,8087,2,76561198113666193,3,ZywOo,Kevlar Vest,equipment,01JM6ECN7HY17027ZFKS8QX35P,0,570f8248223e79f2
9863,8100,2,76561198047876970,2,Djoko,Flashbang,grenade,01JM6ECN7HY17027ZFKSEW3RCY,0,570f8248223e79f2
9878,8111,2,76561198047876970,2,Djoko,HE Grenade,grenade,01JM6ECN7HY17027ZFKXEB3V61,0,570f8248223e79f2
9922,8144,2,76561198045739761,2,Maka,Molotov,grenade,01JM6ECN7JAHHACXBZFC3122JR,0,570f8248223e79f2
9927,8149,2,76561198113666193,3,ZywOo,Kevlar + Helmet,equipment,01JM6ECN7JAHHACXBZFD62PESX,0,570f8248223e79f2
9952,8167,2,76561198045739761,2,Maka,HE Grenade,grenade,01JM6ECN7JAHHACXBZFE45TZ6G,0,570f8248223e79f2
9953,8168,2,76561198031890115,2,Lucky,Flashbang,grenade,01JM6ECN7JAHHACXBZFEVM9AWT,0,570f8248223e79f2
9974,8178,2,76561198045739761,2,Maka,Smoke Grenade,grenade,01JM6ECN7KVGHY36RH0G3JKTDS,0,570f8248223e79f2
10009,8195,2,76561198045739761,2,Maka,Flashbang,grenade,01JM6ECN7KVGHY36RH0J4NKZ58,0,570f8248223e79f2
10388,8455,2,76561198179538505,2,Graviti,Flashbang,grenade,01JM6ECN7TP8MZJ5XB870WGCT8,1,570f8248223e79f2
10425,8473,2,76561198045739761,2,Maka,Flashbang,grenade,01JM6ECN7TP8MZJ5XB8CHE45CA,0,570f8248223e79f2
21242,17472,3,76561198179538505,2,Graviti,AK-47,rifle,01JM6ECNNRTYWWYJ5B426VZA7Y,0,570f8248223e79f2
21269,17485,3,76561198179538505,2,Graviti,Smoke Grenade,grenade,01JM6ECNNSW5M20HG1RF516JAS,0,570f8248223e79f2
21288,17496,3,76561198179538505,2,Graviti,HE Grenade,grenade,01JM6ECNNSW5M20HG1RGHR1VED,0,570f8248223e79f2
21304,17507,3,76561198179538505,2,Graviti,Molotov,grenade,01JM6ECNNTKZSH3S3HHVVFYFNZ,0,570f8248223e79f2
21322,17524,3,76561198179538505,2,Graviti,Flashbang,grenade,01JM6ECNNTKZSH3S3HHW37XNPH,0,570f8248223e79f2
21326,17526,3,76561197989744167,3,apEX,Desert Eagle,pistol,01JM6ECNNTKZSH3S3HHWM6AREA,0,570f8248223e79f2
21525,17677,3,76561198031890115,2,Lucky,AK-47,rifle,01JM6ECNNX3V5TSSWVAZH270VY,0,570f8248223e79f2
21540,17690,3,76561198031890115,2,Lucky,Smoke Grenade,grenade,01JM6ECNNX3V5TSSWVB2EQE9ED,0,570f8248223e79f2
