frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
11902,6719,1,2,2,0,76561198045739761,Maka,0,0,210aa16e681afeb
23020,13138,2,4,2,0,76561198031890115,Lucky,0,0,210aa16e681afeb
34350,19313,3,5,2,0,76561198179538505,Graviti,0,0,210aa16e681afeb
42086,23343,4,4,2,0,76561198031890115,Lucky,0,0,210aa16e681afeb
49754,27447,5,5,2,0,76561198045739761,Maka,0,0,210aa16e681afeb
65503,36406,6,3,3,0,76561197991272318,ropz,0,1,210aa16e681afeb
79669,44364,7,4,3,0,76561197991272318,ropz,1,2,210aa16e681afeb
102348,57576,8,4,2,0,76561198168198200,Ex3rcice,0,1,210aa16e681afeb
109041,60852,9,2,2,0,76561198031890115,Lucky,0,0,210aa16e681afeb
121436,67306,10,4,2,0,76561198179538505,Graviti,0,0,210aa16e681afeb
