name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
mezii,76561197973140692,71,Team A,24,10,24,17,70,1.000000,82.857147,82.714287,0.685714,0.685714,1.685714,4,-1,0,0,0,4,1,0,2895,506,59,10,9,12,14,7,8,0,1,0,0,2,9,11,14,7,2,3,5,8,0,0,6,7,0,1,0,1.186725,1.045403,CSGO-qKcSJ-3Sfox-kbv4M-jTUFc-NCmDA,0,0,da770bde2ceb32d
frozen,76561198068422762,67,Team B,25,10,25,15,60,1.000000,65.714287,88.657143,0.714286,0.714286,1.200000,3,-1,0,0,0,4,0,0,3103,468,42,11,10,13,15,8,9,1,2,1,1,2,9,11,14,7,5,4,6,5,0,0,9,3,2,1,0,1.090069,1.079054,CSGO-qahCY-jRsVr-inX9t-zmTKn-LLUnB,4,0,da770bde2ceb32d
broky,76561198201620490,65,Team B,24,7,23,8,33,1.043478,54.285717,68.885712,0.685714,0.657143,3.457143,5,-1,0,0,0,6,0,0,2411,206,121,12,11,14,16,9,8,0,1,0,0,4,11,13,16,9,2,2,5,2,0,0,3,5,1,2,0,0.940589,1.184783,CSGO-odqeR-6LoQP-dMzRy-aXPmB-7ktiB,3,0,da770bde2ceb32d
apEX,76561197989744167,53,Team A,21,11,27,11,52,0.777778,74.285713,75.628571,0.600000,0.771429,12.400000,3,-1,0,0,0,1,1,0,2647,540,434,11,10,13,15,8,8,0,1,0,0,3,10,12,15,8,5,4,4,6,0,1,10,4,1,0,0,0.984563,0.804248,CSGO-8fcjw-trwPY-98uXV-7nWbf-ZbJaA,1,0,da770bde2ceb32d
ropz,76561197991272318,63,Team A,25,8,23,16,64,1.086957,77.142860,69.085716,0.714286,0.657143,3.057143,3,-1,0,0,0,0,1,0,2418,417,107,11,10,13,15,8,8,0,1,0,0,3,10,12,15,8,1,2,8,7,0,0,9,5,2,0,0,1.135628,1.059495,CSGO-MMQuh-Hs3Sj-Qv9zd-VaCmc-3QqNO,3,0,da770bde2ceb32d
flameZ,76561197978835160,50,Team A,19,10,27,10,52,0.703704,68.571434,59.200001,0.542857,0.771429,0.685714,3,-1,0,0,0,0,1,0,2072,373,24,12,11,14,16,9,9,1,2,1,1,3,10,12,15,8,4,5,1,11,0,2,11,4,0,0,0,0.838040,0.706786,CSGO-iVyCV-6tmzL-SKMdk-5PvRr-YMbEC,4,0,da770bde2ceb32d
ZywOo,76561198113666193,90,Team A,36,4,23,12,33,1.565217,71.428574,100.114288,1.028571,0.657143,4.714286,6,-1,0,0,0,3,1,0,3504,222,165,17,16,19,21,14,12,4,5,4,4,5,12,14,17,10,7,2,10,3,0,0,13,9,2,0,0,1.453468,1.396659,CSGO-7NEJS-qKWx2-GLurb-hKSW6-dv6KQ,2,0,da770bde2ceb32d
karrigan,76561197989430253,64,Team B,25,8,26,14,56,0.961538,71.428574,77.342857,0.714286,0.742857,4.800000,3,-1,0,0,0,2,0,0,2707,449,168,13,12,15,17,10,9,1,2,1,1,4,11,13,16,9,3,4,1,4,0,0,11,4,2,0,0,1.074659,0.972820,CSGO-h7Cm3-ACdF5-FEddU-XKCCX-5bq3B,1,0,da770bde2ceb32d
EliGE,76561198066693739,56,Team B,23,6,26,12,52,0.884615,65.714287,77.142860,0.657143,0.742857,6.771429,4,-1,0,0,0,1,0,0,2700,357,237,11,10,13,15,8,8,0,1,0,0,3,10,12,15,8,5,4,4,6,0,3,10,5,1,0,0,0.977222,0.891931,CSGO-Ki3rs-mS8Mv-zTqqc-mOyXo-uTaUN,2,0,da770bde2ceb32d
rain,76561197997351207,63,Team B,26,7,26,17,65,1.000000,62.857143,74.028572,0.742857,0.742857,3.400000,1,-1,0,0,0,1,0,0,2591,349,119,14,13,16,18,11,10,2,3,2,2,4,11,13,16,9,1,5,3,3,0,0,9,7,1,0,0,1.023331,0.996692,CSGO-R9YYa-TSs2C-GbTyM-ktUeQ-Rx6KQ,0,0,da770bde2ceb32d
