number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,1,1,1264,1664,5677,6851,5997,7257,Team A,Team B,1,0,3,2,4000,4000,4250,4750,3250,3450,pistol,pistol,84620,8,Team A,3,0,9f4bfbc3b264416b
2,5997,7257,7277,9155,13404,16658,13724,17067,Team A,Team B,2,0,3,2,18500,10950,19150,2150,17850,1350,semi,eco,116133,8,Team A,3,0,9f4bfbc3b264416b
3,13724,17067,15004,18943,18793,23908,19113,24307,Team A,Team B,3,0,3,2,18700,22200,24100,22500,13750,21600,full,full,84509,8,Team A,3,0,9f4bfbc3b264416b
4,19113,24307,20393,26144,23450,30033,23770,30450,Team A,Team B,4,0,3,2,22700,15400,27600,7050,11300,7050,full,semi,70735,8,Team A,3,0,9f4bfbc3b264416b
5,23770,30450,25050,32347,31290,39988,31610,40418,Team A,Team B,4,1,3,2,29150,25650,26800,26150,7600,25150,full,full,117826,9,Team B,2,0,9f4bfbc3b264416b
6,31610,40418,32890,42249,39086,50103,39406,50533,Team A,Team B,5,1,3,2,28850,18350,27800,27250,26800,8500,full,full,119642,7,Team A,3,0,9f4bfbc3b264416b
7,41623,53460,42903,55298,47834,61472,48154,61897,Team A,Team B,6,1,3,2,21050,27950,28850,26050,10100,20950,full,full,98975,8,Team A,3,0,9f4bfbc3b264416b
8,48154,61897,49434,63760,55677,71340,55997,71725,Team A,Team B,6,2,3,2,28500,24300,29200,25250,9100,23950,full,full,116652,9,Team B,2,0,9f4bfbc3b264416b
9,55997,71725,57277,73615,64378,82256,64698,82647,Team A,Team B,6,3,3,2,27400,17500,27650,22500,26650,15150,full,full,130093,1,Team B,2,0,9f4bfbc3b264416b
10,67341,86282,68621,88066,74948,95735,75268,96135,Team A,Team B,7,3,3,2,11050,21150,8450,22500,1400,20900,semi,full,116776,7,Team A,3,0,9f4bfbc3b264416b
11,77193,98539,78473,100433,80710,103292,81030,103682,Team A,Team B,8,3,3,2,28750,16450,30450,10400,19600,10200,full,semi,58715,8,Team A,3,0,9f4bfbc3b264416b
12,81030,103682,82310,105566,87563,112294,88107,112968,Team A,Team B,8,4,3,2,26700,21950,30100,22000,24100,21400,full,full,106387,9,Team B,2,0,9f4bfbc3b264416b
13,88107,112968,125856,158351,129405,162562,129725,162966,Team A,Team B,9,4,2,3,4000,4000,4300,4250,3300,3450,pistol,pistol,612652,9,Team A,2,0,9f4bfbc3b264416b
14,129725,162966,131005,164878,136080,171059,136400,171470,Team A,Team B,10,4,2,3,18750,10350,21050,1500,18050,700,full,eco,99975,1,Team A,2,0,9f4bfbc3b264416b
15,136400,171470,137680,173270,140841,177289,141160,177679,Team A,Team B,11,4,2,3,20000,21950,23400,22850,8400,21650,full,full,71884,9,Team A,2,0,9f4bfbc3b264416b
16,141160,177679,142440,179584,144376,182104,144696,182529,Team A,Team B,11,5,2,3,29350,15700,25300,16300,15600,15300,full,force-buy,54663,8,Team B,3,0,9f4bfbc3b264416b
17,144696,182529,145976,184387,150595,190103,150915,190490,Team A,Team B,11,6,2,3,21050,18750,21450,26050,20250,12700,full,full,93564,8,Team B,3,0,9f4bfbc3b264416b
18,150915,190490,152195,192311,155171,195985,155491,196428,Team A,Team B,11,7,2,3,11300,23800,2300,29650,1900,22200,eco,full,67881,8,Team B,3,0,9f4bfbc3b264416b
19,155491,196428,156771,198246,160370,202826,160690,203219,Team A,Team B,11,8,2,3,21400,19350,22500,30150,21100,3900,full,full,79036,8,Team B,3,0,9f4bfbc3b264416b
20,160690,203219,161970,205011,167949,212196,168269,212595,Team A,Team B,11,9,2,3,16000,33200,6350,30750,6150,22700,semi,full,110896,7,Team B,3,0,9f4bfbc3b264416b
21,170189,215226,171469,217121,177433,224436,177753,224831,Team A,Team B,11,10,2,3,31050,29800,25200,30750,24200,17100,full,full,113774,8,Team B,3,0,9f4bfbc3b264416b
22,180631,228749,181911,230634,191032,241571,191352,241958,Team A,Team B,11,11,2,3,24750,30050,24300,30650,23500,19750,full,full,158394,7,Team B,3,0,9f4bfbc3b264416b
23,193617,245024,194897,247037,200607,254189,200927,254583,Team A,Team B,12,11,2,3,22750,29400,22800,31350,21800,23700,full,full,113218,1,Team A,2,0,9f4bfbc3b264416b
24,200927,254583,202207,256359,207964,263382,207964,263382,Team A,Team B,13,11,2,3,21400,10250,25000,24600,16300,12650,full,full,108697,9,Team A,2,0,9f4bfbc3b264416b
