name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
ropz,76561197991272318,34,Team A,14,4,9,10,71,1.555556,80.000000,64.750000,0.700000,0.450000,2.700000,2,-1,0,0,0,1,0,0,1295,224,54,5,8,6,5,2,2,4,1,1,1,3,4,5,4,1,2,3,0,1,0,0,7,2,1,0,0,1.237803,1.179682,CSGO-MMQuh-Hs3Sj-Qv9zd-VaCmc-3QqNO,4,0,c7e4db4643f03b80
bLitz,76561198959824088,34,Team B,12,4,16,9,75,0.750000,75.000000,61.849998,0.600000,0.800000,1.500000,2,-1,0,0,0,2,0,0,1237,205,30,7,10,8,7,4,1,3,0,0,0,6,7,8,7,4,3,3,3,5,0,1,5,2,1,0,0,0.919074,0.809884,CSGO-5ZuLo-kNWtr-VG6uo-A7pqe-u3edJ,1,0,c7e4db4643f03b80
Techno4K,76561198966340160,29,Team B,11,3,16,8,72,0.687500,70.000000,68.099998,0.550000,0.800000,1.350000,1,-1,0,0,0,2,0,0,1362,314,27,10,13,11,10,7,2,4,1,1,1,8,9,10,9,6,1,2,4,3,0,0,5,3,0,0,0,0.854376,0.710103,CSGO-xLKWR-n4mRL-LRHtd-3WTmE-z2urD,3,0,c7e4db4643f03b80
apEX,76561197989744167,53,Team A,21,7,15,10,47,1.400000,60.000004,112.050003,1.050000,0.750000,12.450000,5,-1,0,0,0,2,0,0,2241,426,249,4,7,5,4,1,1,3,0,0,0,3,4,5,4,1,4,0,7,4,0,0,5,3,2,1,0,1.400754,1.516781,CSGO-8fcjw-trwPY-98uXV-7nWbf-ZbJaA,1,0,c7e4db4643f03b80
910-,76561199203563345,38,Team B,17,1,13,2,11,1.307692,65.000000,77.199997,0.850000,0.650000,0.450000,3,-1,0,0,0,0,0,0,1544,47,9,6,9,7,6,3,2,4,1,1,1,4,5,6,5,2,4,3,5,2,0,1,4,3,1,1,0,1.176270,1.344458,CSGO-ZsHQM-DfKAp-DZTFR-V3aAJ-pBtdA,4,0,c7e4db4643f03b80
flameZ,76561197978835160,32,Team A,11,10,17,7,63,0.647059,75.000000,80.250000,0.550000,0.850000,3.050000,1,-1,0,0,0,0,0,0,1605,349,61,6,9,7,6,3,1,3,0,0,0,5,6,7,6,3,1,4,3,6,0,1,8,0,1,0,0,0.937980,0.669210,CSGO-iVyCV-6tmzL-SKMdk-5PvRr-YMbEC,4,0,c7e4db4643f03b80
Mzinho,76561198838822582,37,Team B,14,1,16,12,85,0.875000,75.000000,70.849998,0.700000,0.800000,1.000000,1,-1,0,0,0,2,0,0,1417,233,20,6,9,7,6,3,1,3,0,0,0,5,6,7,6,3,0,0,2,3,0,0,7,2,1,0,0,1.019364,0.893434,CSGO-Y4Yo6-JqqJ5-f9aad-v2Oh5-Oe2ED,0,0,c7e4db4643f03b80
ZywOo,76561198113666193,56,Team A,22,8,10,5,22,2.200000,95.000000,112.349998,1.100000,0.500000,2.150000,3,-1,0,0,0,1,1,0,2247,156,43,8,11,9,8,5,2,4,1,1,1,6,7,8,7,4,4,1,3,0,0,0,7,5,2,0,0,1.838637,1.661508,CSGO-WnQHE-BTaKA-wHs7v-KR8QX-o2OtQ,0,0,c7e4db4643f03b80
mezii,76561197973140692,25,Team A,10,4,11,7,70,0.909091,95.000000,55.849998,0.500000,0.550000,0.050000,2,-1,0,0,0,0,1,0,1117,111,1,4,7,5,4,1,1,3,0,0,0,3,4,5,4,1,0,1,2,5,0,1,5,1,1,0,0,1.092666,0.901794,CSGO-qKcSJ-3Sfox-kbv4M-jTUFc-NCmDA,4,0,c7e4db4643f03b80
Senzu,76561198920720017,20,Team B,7,5,18,3,42,0.388889,55.000000,59.849998,0.350000,0.900000,2.050000,0,-1,0,0,0,0,0,0,1197,167,41,5,8,6,5,2,1,3,0,0,0,4,5,6,5,2,1,3,1,4,0,0,7,0,0,0,0,0.502282,0.374209,CSGO-kr5tQ-Vk5rB-voGTj-t6Jyr-ruWPA,2,0,c7e4db4643f03b80
