steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198920720017,Senzu,2,800,650,850,pistol,1,c7e4db4643f03b80
76561197991272318,ropz,3,800,650,1050,pistol,1,c7e4db4643f03b80
76561198838822582,Mzinho,2,800,650,850,pistol,1,c7e4db4643f03b80
76561197978835160,flameZ,3,800,650,850,pistol,1,c7e4db4643f03b80
76561197989744167,apEX,3,800,650,1350,pistol,1,c7e4db4643f03b80
76561197973140692,mezii,3,800,800,700,pistol,1,c7e4db4643f03b80
76561199203563345,910-,2,800,650,950,pistol,1,c7e4db4643f03b80
76561198959824088,bLitz,2,800,800,700,pistol,1,c7e4db4643f03b80
76561198966340160,Techno4K,2,800,650,850,pistol,1,c7e4db4643f03b80
76561198113666193,ZywOo,3,800,650,1250,pistol,1,c7e4db4643f03b80
76561198966340160,Techno4K,2,2050,0,200,eco,2,c7e4db4643f03b80
76561197989744167,apEX,3,4300,4200,4400,semi,2,c7e4db4643f03b80
76561198920720017,Senzu,2,2350,700,700,eco,2,c7e4db4643f03b80
76561198838822582,Mzinho,2,2350,700,700,eco,2,c7e4db4643f03b80
76561199203563345,910-,2,2350,0,200,eco,2,c7e4db4643f03b80
76561197978835160,flameZ,3,3400,3250,3450,semi,2,c7e4db4643f03b80
76561198113666193,ZywOo,3,3400,3300,4250,semi,2,c7e4db4643f03b80
76561197973140692,mezii,3,3550,3550,3750,semi,2,c7e4db4643f03b80
76561197991272318,ropz,3,3700,3550,4400,semi,2,c7e4db4643f03b80
76561198959824088,bLitz,2,1900,0,200,eco,2,c7e4db4643f03b80
76561198959824088,bLitz,2,4300,4200,4400,full,3,c7e4db4643f03b80
76561198838822582,Mzinho,2,4050,4000,4600,full,3,c7e4db4643f03b80
76561197989744167,apEX,3,4550,1000,5900,full,3,c7e4db4643f03b80
76561198113666193,ZywOo,3,3650,700,4950,full,3,c7e4db4643f03b80
76561199203563345,910-,2,4750,4600,4800,full,3,c7e4db4643f03b80
76561198920720017,Senzu,2,4050,4000,4200,full,3,c7e4db4643f03b80
76561197991272318,ropz,3,3400,800,5200,full,3,c7e4db4643f03b80
76561197978835160,flameZ,3,3400,1300,3750,semi,3,c7e4db4643f03b80
76561198966340160,Techno4K,2,4450,4400,4200,full,3,c7e4db4643f03b80
76561197973140692,mezii,3,3250,1700,4850,full,3,c7e4db4643f03b80
76561198838822582,Mzinho,2,4150,4100,4600,full,4,c7e4db4643f03b80
76561197989744167,apEX,3,7650,5550,5500,full,4,c7e4db4643f03b80
76561198959824088,bLitz,2,3600,3600,3800,force-buy,4,c7e4db4643f03b80
76561199203563345,910-,2,3650,3650,3850,force-buy,4,c7e4db4643f03b80
76561198920720017,Senzu,2,3550,3000,3200,semi,4,c7e4db4643f03b80
76561197978835160,flameZ,3,7100,5200,5400,full,4,c7e4db4643f03b80
76561198966340160,Techno4K,2,4150,4000,4200,full,4,c7e4db4643f03b80
76561198113666193,ZywOo,3,6450,2600,8050,full,4,c7e4db4643f03b80
76561197973140692,mezii,3,5350,1300,5600,full,4,c7e4db4643f03b80
76561197991272318,ropz,3,6100,5000,5200,full,4,c7e4db4643f03b80
76561199203563345,910-,2,3400,700,900,eco,5,c7e4db4643f03b80
76561198920720017,Senzu,2,3950,2100,2100,semi,5,c7e4db4643f03b80
76561197991272318,ropz,3,4950,3400,5200,full,5,c7e4db4643f03b80
76561198838822582,Mzinho,2,4350,2200,2200,semi,5,c7e4db4643f03b80
76561197989744167,apEX,3,5350,2300,5300,full,5,c7e4db4643f03b80
76561198959824088,bLitz,2,3400,2000,2000,semi,5,c7e4db4643f03b80
76561197978835160,flameZ,3,5150,2700,5800,full,5,c7e4db4643f03b80
76561198966340160,Techno4K,2,3550,2000,2300,semi,5,c7e4db4643f03b80
76561198113666193,ZywOo,3,7400,3000,7750,full,5,c7e4db4643f03b80
76561197973140692,mezii,3,7300,6600,5800,full,5,c7e4db4643f03b80
76561198920720017,Senzu,2,5250,4900,5100,full,6,c7e4db4643f03b80
76561197991272318,ropz,3,5100,800,5200,full,6,c7e4db4643f03b80
76561197978835160,flameZ,3,6000,4850,5050,full,6,c7e4db4643f03b80
76561198966340160,Techno4K,2,4950,4800,4800,full,6,c7e4db4643f03b80
76561197989744167,apEX,3,6900,1000,5700,full,6,c7e4db4643f03b80
76561197973140692,mezii,3,3950,800,5800,full,6,c7e4db4643f03b80
76561198959824088,bLitz,2,5100,5100,5100,full,6,c7e4db4643f03b80
76561198838822582,Mzinho,2,5550,4900,5100,full,6,c7e4db4643f03b80
76561198113666193,ZywOo,3,7750,1000,7950,full,6,c7e4db4643f03b80
76561199203563345,910-,2,6100,6100,6700,full,6,c7e4db4643f03b80
76561199203563345,910-,2,3450,550,7050,full,7,c7e4db4643f03b80
76561197991272318,ropz,3,5700,4650,4850,full,7,c7e4db4643f03b80
76561198838822582,Mzinho,2,3900,2200,5100,full,7,c7e4db4643f03b80
76561198920720017,Senzu,2,3600,2200,5100,full,7,c7e4db4643f03b80
76561198959824088,bLitz,2,3950,3000,5200,full,7,c7e4db4643f03b80
76561197973140692,mezii,3,4850,4850,5050,full,7,c7e4db4643f03b80
76561197978835160,flameZ,3,2550,2350,5450,full,7,c7e4db4643f03b80
76561198966340160,Techno4K,2,3700,3600,5000,full,7,c7e4db4643f03b80
76561197989744167,apEX,3,7300,7250,4550,full,7,c7e4db4643f03b80
76561198113666193,ZywOo,3,8250,6950,7150,full,7,c7e4db4643f03b80
76561197973140692,mezii,3,1900,1850,4750,full,8,c7e4db4643f03b80
76561199203563345,910-,2,6400,600,7150,full,8,c7e4db4643f03b80
76561198966340160,Techno4K,2,3600,2100,5000,full,8,c7e4db4643f03b80
76561198959824088,bLitz,2,5050,3700,5100,full,8,c7e4db4643f03b80
76561197991272318,ropz,3,3250,3200,3400,force-buy,8,c7e4db4643f03b80
76561198113666193,ZywOo,3,3200,3100,6850,full,8,c7e4db4643f03b80
76561198920720017,Senzu,2,5200,1200,5100,full,8,c7e4db4643f03b80
76561197978835160,flameZ,3,2100,1950,4750,full,8,c7e4db4643f03b80
76561198838822582,Mzinho,2,5500,700,5100,full,8,c7e4db4643f03b80
76561197989744167,apEX,3,1950,1850,3300,force-buy,8,c7e4db4643f03b80
76561198838822582,Mzinho,2,8350,4900,5100,full,9,c7e4db4643f03b80
76561198966340160,Techno4K,2,5050,2100,5000,full,9,c7e4db4643f03b80
76561197989744167,apEX,3,2500,700,700,eco,9,c7e4db4643f03b80
76561198113666193,ZywOo,3,2700,700,700,eco,9,c7e4db4643f03b80
76561199203563345,910-,2,9250,3200,7450,full,9,c7e4db4643f03b80
76561197991272318,ropz,3,2450,700,700,eco,9,c7e4db4643f03b80
76561197973140692,mezii,3,2450,500,500,eco,9,c7e4db4643f03b80
76561198920720017,Senzu,2,7550,1200,5100,full,9,c7e4db4643f03b80
76561198959824088,bLitz,2,4900,800,5100,full,9,c7e4db4643f03b80
76561197978835160,flameZ,3,2550,700,700,eco,9,c7e4db4643f03b80
76561198920720017,Senzu,2,9600,4900,5100,full,10,c7e4db4643f03b80
76561197991272318,ropz,3,4650,4550,4750,full,10,c7e4db4643f03b80
76561198959824088,bLitz,2,7350,4800,5000,full,10,c7e4db4643f03b80
76561197989744167,apEX,3,4700,4550,4750,full,10,c7e4db4643f03b80
76561198113666193,ZywOo,3,4900,4750,5450,full,10,c7e4db4643f03b80
76561197978835160,flameZ,3,5050,4850,5050,full,10,c7e4db4643f03b80
76561198838822582,Mzinho,2,6700,800,5000,full,10,c7e4db4643f03b80
76561198966340160,Techno4K,2,6800,700,5500,full,10,c7e4db4643f03b80
76561197973140692,mezii,3,5150,5050,5050,full,10,c7e4db4643f03b80
76561199203563345,910-,2,9600,500,7350,full,10,c7e4db4643f03b80
76561198966340160,Techno4K,2,9600,2400,5000,full,11,c7e4db4643f03b80
76561197989744167,apEX,3,3550,2200,2400,semi,11,c7e4db4643f03b80
76561199203563345,910-,2,12700,3100,7350,full,11,c7e4db4643f03b80
76561197991272318,ropz,3,3800,2900,4450,semi,11,c7e4db4643f03b80
76561197978835160,flameZ,3,3900,2200,2600,semi,11,c7e4db4643f03b80
76561197973140692,mezii,3,3500,1200,5050,full,11,c7e4db4643f03b80
76561198838822582,Mzinho,2,10000,3900,5000,full,11,c7e4db4643f03b80
76561198113666193,ZywOo,3,3550,1300,4600,full,11,c7e4db4643f03b80
76561198920720017,Senzu,2,8200,2200,5100,full,11,c7e4db4643f03b80
76561198959824088,bLitz,2,6350,700,5000,full,11,c7e4db4643f03b80
76561198113666193,ZywOo,3,6650,5950,7550,full,12,c7e4db4643f03b80
76561197973140692,mezii,3,6100,5800,5800,full,12,c7e4db4643f03b80
76561198920720017,Senzu,2,8000,4800,5000,full,12,c7e4db4643f03b80
76561199203563345,910-,2,11800,7350,7350,full,12,c7e4db4643f03b80
76561198966340160,Techno4K,2,9500,5300,5300,full,12,c7e4db4643f03b80
76561197989744167,apEX,3,5450,5250,5450,full,12,c7e4db4643f03b80
76561197991272318,ropz,3,4400,2700,5600,full,12,c7e4db4643f03b80
76561198959824088,bLitz,2,7650,4800,5000,full,12,c7e4db4643f03b80
76561197978835160,flameZ,3,5800,5450,5450,full,12,c7e4db4643f03b80
76561198838822582,Mzinho,2,8700,5100,5000,full,12,c7e4db4643f03b80
76561197978835160,flameZ,2,800,650,850,pistol,13,c7e4db4643f03b80
76561198966340160,Techno4K,3,800,650,850,pistol,13,c7e4db4643f03b80
76561197973140692,mezii,2,800,650,850,pistol,13,c7e4db4643f03b80
76561198838822582,Mzinho,3,800,650,850,pistol,13,c7e4db4643f03b80
76561198113666193,ZywOo,2,800,650,950,pistol,13,c7e4db4643f03b80
76561198920720017,Senzu,3,800,650,850,pistol,13,c7e4db4643f03b80
76561198959824088,bLitz,3,800,650,850,pistol,13,c7e4db4643f03b80
76561197989744167,apEX,2,800,800,500,pistol,13,c7e4db4643f03b80
76561199203563345,910-,3,800,650,850,pistol,13,c7e4db4643f03b80
76561197991272318,ropz,2,800,650,850,pistol,13,c7e4db4643f03b80
76561198966340160,Techno4K,3,2050,0,200,eco,14,c7e4db4643f03b80
76561198113666193,ZywOo,2,3700,3700,3900,semi,14,c7e4db4643f03b80
76561197991272318,ropz,2,4000,4000,4200,full,14,c7e4db4643f03b80
76561197989744167,apEX,2,3850,3800,4100,full,14,c7e4db4643f03b80
76561197973140692,mezii,2,3400,3300,3500,semi,14,c7e4db4643f03b80
76561198920720017,Senzu,3,2350,700,700,eco,14,c7e4db4643f03b80
76561199203563345,910-,3,2050,0,200,eco,14,c7e4db4643f03b80
76561198959824088,bLitz,3,2650,700,700,eco,14,c7e4db4643f03b80
76561197978835160,flameZ,2,3700,3250,3450,semi,14,c7e4db4643f03b80
76561198838822582,Mzinho,3,2050,0,200,eco,14,c7e4db4643f03b80
76561198113666193,ZywOo,2,3550,3400,5000,full,15,c7e4db4643f03b80
76561197973140692,mezii,2,4250,3500,5000,full,15,c7e4db4643f03b80
76561199203563345,910-,3,4750,4700,4900,full,15,c7e4db4643f03b80
76561198920720017,Senzu,3,4050,4050,4250,force-buy,15,c7e4db4643f03b80
76561197991272318,ropz,2,3550,2100,5000,full,15,c7e4db4643f03b80
76561198959824088,bLitz,3,4350,4200,4400,force-buy,15,c7e4db4643f03b80
76561198838822582,Mzinho,3,4750,4700,4900,full,15,c7e4db4643f03b80
76561198966340160,Techno4K,3,4750,4700,4900,full,15,c7e4db4643f03b80
76561197978835160,flameZ,2,3700,3150,3350,semi,15,c7e4db4643f03b80
76561197989744167,apEX,2,3300,2100,4100,full,15,c7e4db4643f03b80
76561198838822582,Mzinho,3,2950,1450,1450,semi,16,c7e4db4643f03b80
76561197973140692,mezii,2,4000,2400,5000,full,16,c7e4db4643f03b80
76561198920720017,Senzu,3,2900,1350,1350,semi,16,c7e4db4643f03b80
76561197978835160,flameZ,2,3800,2100,4700,full,16,c7e4db4643f03b80
76561198113666193,ZywOo,2,4000,400,5000,full,16,c7e4db4643f03b80
76561198959824088,bLitz,3,3350,2250,2450,semi,16,c7e4db4643f03b80
76561199203563345,910-,3,3250,300,300,eco,16,c7e4db4643f03b80
76561197991272318,ropz,2,4700,3200,5100,full,16,c7e4db4643f03b80
76561198966340160,Techno4K,3,2950,1450,1450,semi,16,c7e4db4643f03b80
76561197989744167,apEX,2,5650,3900,5300,full,16,c7e4db4643f03b80
76561197991272318,ropz,2,5000,900,5000,full,17,c7e4db4643f03b80
76561198838822582,Mzinho,3,4900,4650,6100,full,17,c7e4db4643f03b80
76561198966340160,Techno4K,3,4900,4850,6100,full,17,c7e4db4643f03b80
76561197973140692,mezii,2,5100,5100,5000,full,17,c7e4db4643f03b80
76561199203563345,910-,3,6350,6200,6500,full,17,c7e4db4643f03b80
76561198920720017,Senzu,3,5250,5200,5400,full,17,c7e4db4643f03b80
76561197978835160,flameZ,2,5500,1400,5000,full,17,c7e4db4643f03b80
76561198959824088,bLitz,3,5100,4900,5300,full,17,c7e4db4643f03b80
76561197989744167,apEX,2,5550,2100,5000,full,17,c7e4db4643f03b80
76561198113666193,ZywOo,2,7400,3600,5000,full,17,c7e4db4643f03b80
76561198113666193,ZywOo,2,5800,5750,6250,full,18,c7e4db4643f03b80
76561199203563345,910-,3,3800,3700,7000,full,18,c7e4db4643f03b80
76561198959824088,bLitz,3,3450,3350,3750,semi,18,c7e4db4643f03b80
76561198966340160,Techno4K,3,3300,3250,3750,semi,18,c7e4db4643f03b80
76561198920720017,Senzu,3,3300,2350,5450,full,18,c7e4db4643f03b80
76561197989744167,apEX,2,4850,4800,5000,full,18,c7e4db4643f03b80
76561197973140692,mezii,2,1700,1700,1900,force-buy,18,c7e4db4643f03b80
76561197991272318,ropz,2,5800,5100,4600,full,18,c7e4db4643f03b80
76561197978835160,flameZ,2,5500,4900,5100,full,18,c7e4db4643f03b80
76561198838822582,Mzinho,3,3800,3750,3750,semi,18,c7e4db4643f03b80
76561197978835160,flameZ,2,4150,1400,5000,full,19,c7e4db4643f03b80
76561198966340160,Techno4K,3,2950,2850,3050,force-buy,19,c7e4db4643f03b80
76561198113666193,ZywOo,2,3400,1100,7050,full,19,c7e4db4643f03b80
76561197991272318,ropz,2,4250,1000,4800,full,19,c7e4db4643f03b80
76561198838822582,Mzinho,3,2950,2900,3100,force-buy,19,c7e4db4643f03b80
76561197989744167,apEX,2,3600,2100,5000,full,19,c7e4db4643f03b80
76561197973140692,mezii,2,4150,3900,5500,full,19,c7e4db4643f03b80
76561198920720017,Senzu,3,3850,3850,4050,force-buy,19,c7e4db4643f03b80
76561198959824088,bLitz,3,3600,3550,4050,force-buy,19,c7e4db4643f03b80
76561199203563345,910-,3,3000,2950,3150,force-buy,19,c7e4db4643f03b80
76561197973140692,mezii,2,3350,1550,1850,semi,20,c7e4db4643f03b80
76561199203563345,910-,3,2500,3200,3400,semi,20,c7e4db4643f03b80
76561197991272318,ropz,2,4400,4400,4600,full,20,c7e4db4643f03b80
76561198966340160,Techno4K,3,3750,4400,4150,semi,20,c7e4db4643f03b80
76561198959824088,bLitz,3,3700,2300,4500,full,20,c7e4db4643f03b80
76561197989744167,apEX,2,3850,2600,2600,semi,20,c7e4db4643f03b80
76561198920720017,Senzu,3,2700,3550,4250,semi,20,c7e4db4643f03b80
76561197978835160,flameZ,2,3300,4400,4300,full,20,c7e4db4643f03b80
76561198838822582,Mzinho,3,2750,3250,5100,full,20,c7e4db4643f03b80
76561198113666193,ZywOo,2,3650,4000,4200,full,20,c7e4db4643f03b80
