number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,1,1,1264,1711,4098,4984,4418,5364,Team A,Team B,1,0,3,2,4000,4000,4050,4250,3450,3250,pistol,pistol,61636,8,Team A,3,0,f500563a00bf8c99
2,4418,5364,5698,7185,9824,12120,10144,12522,Team A,Team B,2,0,3,2,18300,11150,18500,2000,17400,1400,semi,eco,83567,8,Team A,3,0,f500563a00bf8c99
3,10144,12522,11424,14513,16906,21268,17226,21685,Team A,Team B,2,1,3,2,19550,21750,23200,22400,6400,21400,full,full,108182,1,Team B,2,0,f500563a00bf8c99
4,17226,21685,18506,23542,23790,30058,24110,30447,Team A,Team B,2,2,3,2,20450,18750,25150,23600,12550,7600,full,full,103568,9,Team B,2,0,f500563a00bf8c99
5,24110,30447,25390,32230,33180,41653,33500,42037,Team A,Team B,2,3,3,2,18300,28900,18750,23350,17950,13950,force-buy,full,138610,1,Team B,2,0,f500563a00bf8c99
6,33500,42037,34780,43839,36587,46113,36907,46551,Team A,Team B,2,4,3,2,13250,33950,7700,23550,3500,14750,semi,full,50417,9,Team B,2,0,f500563a00bf8c99
7,38984,49352,40264,51176,49882,62588,50202,62970,Team A,Team B,2,5,3,2,24250,37550,24550,26100,23550,3500,full,full,163720,1,Team B,2,0,f500563a00bf8c99
8,50202,62970,51482,64840,57374,71964,57694,72372,Team A,Team B,2,6,3,2,18600,53350,10500,25700,10100,17600,semi,full,111249,9,Team B,2,0,f500563a00bf8c99
9,57694,72372,58974,74268,65232,81895,65552,82301,Team A,Team B,2,7,3,2,26400,53500,26400,26300,25100,17100,full,full,117793,9,Team B,2,0,f500563a00bf8c99
10,67740,85323,69020,87232,74374,93706,74694,94094,Team A,Team B,2,8,3,2,18900,54450,10550,26200,10150,13200,semi,full,103692,9,Team B,2,0,f500563a00bf8c99
11,74694,94094,75974,96128,82824,104577,83144,104981,Team A,Team B,3,8,3,2,27250,59000,27350,26100,26350,20900,full,full,129667,8,Team A,3,0,f500563a00bf8c99
12,83144,104981,84424,107011,89323,113120,89867,113799,Team A,Team B,4,8,3,2,18250,45700,30100,28050,17200,27850,full,full,100674,8,Team A,3,0,f500563a00bf8c99
13,89867,113799,104943,132533,106137,134061,106457,134452,Team A,Team B,4,9,2,3,4000,4000,5500,4250,3550,3250,pistol,pistol,250627,8,Team B,3,0,f500563a00bf8c99
14,106457,134452,107737,136367,111270,140701,111590,141101,Team A,Team B,4,10,2,3,10250,18500,9850,20800,9850,18000,force-buy,semi,77296,8,Team B,3,0,f500563a00bf8c99
15,111590,141101,112870,142933,117459,148458,117779,148857,Team A,Team B,4,11,2,3,13000,18850,4000,28700,3800,13900,eco,full,91001,8,Team B,3,0,f500563a00bf8c99
16,117779,148857,119059,150707,123525,156265,123845,156657,Team A,Team B,4,12,2,3,23700,22700,24500,29000,23500,3000,full,full,91632,8,Team B,3,0,f500563a00bf8c99
17,123845,156657,125125,158518,129634,164051,129954,164454,Team A,Team B,5,12,2,3,17500,37450,18350,29000,17350,9200,force-buy,full,91458,9,Team A,2,0,f500563a00bf8c99
18,129954,164454,131234,166469,138518,175198,138838,175589,Team A,Team B,6,12,2,3,17950,36150,24400,29700,15800,28700,full,full,132896,9,Team A,2,0,f500563a00bf8c99
19,138838,175589,140118,177495,144576,182894,144896,183288,Team A,Team B,7,12,2,3,20200,17750,24600,8000,17650,7800,full,semi,90358,9,Team A,2,0,f500563a00bf8c99
20,146994,186308,148274,188255,156869,198629,157189,199012,Team A,Team B,8,12,2,3,20300,22850,27650,23650,16200,22650,full,full,152402,9,Team A,2,0,f500563a00bf8c99
21,157189,199012,158469,200933,164742,208202,165062,208606,Team A,Team B,9,12,2,3,22150,15900,22950,9300,21950,8700,full,semi,113674,9,Team A,2,0,f500563a00bf8c99
22,165062,208606,166342,210589,169288,214239,169288,214239,Team A,Team B,9,13,2,3,9550,18150,26650,26500,15800,25000,full,full,69676,8,Team B,3,0,f500563a00bf8c99
