steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198067763828,chelo,2,800,650,1050,pistol,1,d4ba6a21ad57c602
76561197980122997,syrsoN,3,800,650,850,pistol,1,d4ba6a21ad57c602
76561198118646644,skullz,2,800,800,1000,pistol,1,d4ba6a21ad57c602
76561198164970560,yuurih,2,800,800,1000,pistol,1,d4ba6a21ad57c602
76561198078771373,JDC,3,800,650,850,pistol,1,d4ba6a21ad57c602
76561197961491680,tabseN,3,800,650,850,pistol,1,d4ba6a21ad57c602
76561198058500492,KSCERATO,2,800,650,1450,pistol,1,d4ba6a21ad57c602
76561198170631091,Krimbo,3,800,650,850,pistol,1,d4ba6a21ad57c602
76561197960690195,FalleN,2,800,800,1300,pistol,1,d4ba6a21ad57c602
76561198172837021,rigoN,3,800,650,850,pistol,1,d4ba6a21ad57c602
76561198078771373,JDC,3,3950,3950,4150,semi,2,d4ba6a21ad57c602
76561198058500492,KSCERATO,2,2950,2950,3450,force-buy,2,d4ba6a21ad57c602
76561198170631091,Krimbo,3,3950,3950,3150,semi,2,d4ba6a21ad57c602
76561198172837021,rigoN,3,3650,3550,3750,semi,2,d4ba6a21ad57c602
76561197961491680,tabseN,3,3650,3550,5400,full,2,d4ba6a21ad57c602
76561198067763828,chelo,2,2650,2200,4000,full,2,d4ba6a21ad57c602
76561198118646644,skullz,2,2500,2400,2400,force-buy,2,d4ba6a21ad57c602
76561198164970560,yuurih,2,2500,2000,2000,semi,2,d4ba6a21ad57c602
76561197960690195,FalleN,2,3400,3300,3500,force-buy,2,d4ba6a21ad57c602
76561197980122997,syrsoN,3,4850,4750,6100,full,2,d4ba6a21ad57c602
76561197980122997,syrsoN,3,1500,1150,6250,full,3,d4ba6a21ad57c602
76561198164970560,yuurih,2,4000,3900,5400,full,3,d4ba6a21ad57c602
76561198058500492,KSCERATO,2,3500,1000,3450,semi,3,d4ba6a21ad57c602
76561198067763828,chelo,2,5150,1200,3950,semi,3,d4ba6a21ad57c602
76561198118646644,skullz,2,3900,3800,5300,full,3,d4ba6a21ad57c602
76561198078771373,JDC,3,1400,1350,1650,force-buy,3,d4ba6a21ad57c602
76561198170631091,Krimbo,3,1400,1300,3050,force-buy,3,d4ba6a21ad57c602
76561197960690195,FalleN,2,3600,1100,4100,full,3,d4ba6a21ad57c602
76561198172837021,rigoN,3,1500,1500,2000,force-buy,3,d4ba6a21ad57c602
76561197961491680,tabseN,3,1500,1450,5100,full,3,d4ba6a21ad57c602
76561198058500492,KSCERATO,2,3900,3900,4400,full,4,d4ba6a21ad57c602
76561197960690195,FalleN,2,4200,4200,4100,full,4,d4ba6a21ad57c602
76561198172837021,rigoN,3,3250,1500,5000,full,4,d4ba6a21ad57c602
76561197961491680,tabseN,3,4200,4100,5700,full,4,d4ba6a21ad57c602
76561198067763828,chelo,2,5350,5350,4500,full,4,d4ba6a21ad57c602
76561197980122997,syrsoN,3,3600,3500,7050,full,4,d4ba6a21ad57c602
76561198164970560,yuurih,2,1800,1800,1800,force-buy,4,d4ba6a21ad57c602
76561198170631091,Krimbo,3,3950,2700,5300,full,4,d4ba6a21ad57c602
76561198118646644,skullz,2,1500,1500,2750,force-buy,4,d4ba6a21ad57c602
76561198078771373,JDC,3,3600,2700,5800,full,4,d4ba6a21ad57c602
76561197980122997,syrsoN,3,3800,2300,7250,full,5,d4ba6a21ad57c602
76561198118646644,skullz,2,3100,2000,2000,semi,5,d4ba6a21ad57c602
76561198078771373,JDC,3,5000,3400,5500,full,5,d4ba6a21ad57c602
76561198058500492,KSCERATO,2,2800,2200,2200,semi,5,d4ba6a21ad57c602
76561198170631091,Krimbo,3,5050,4800,5000,full,5,d4ba6a21ad57c602
76561198172837021,rigoN,3,5550,3700,6000,full,5,d4ba6a21ad57c602
76561197961491680,tabseN,3,3600,2700,5800,full,5,d4ba6a21ad57c602
76561198067763828,chelo,2,2500,2500,2500,force-buy,5,d4ba6a21ad57c602
76561198164970560,yuurih,2,2500,2400,2600,force-buy,5,d4ba6a21ad57c602
76561197960690195,FalleN,2,3100,2600,2300,semi,5,d4ba6a21ad57c602
76561198067763828,chelo,2,4100,3800,5300,full,6,d4ba6a21ad57c602
76561197980122997,syrsoN,3,2900,1750,6750,full,6,d4ba6a21ad57c602
76561198078771373,JDC,3,3300,2250,2450,semi,6,d4ba6a21ad57c602
76561198058500492,KSCERATO,2,4100,2200,5100,full,6,d4ba6a21ad57c602
76561197961491680,tabseN,3,2300,1400,2850,semi,6,d4ba6a21ad57c602
76561198118646644,skullz,2,4900,3700,5400,full,6,d4ba6a21ad57c602
76561198164970560,yuurih,2,3900,3600,5100,full,6,d4ba6a21ad57c602
76561198170631091,Krimbo,3,1650,1000,5200,full,6,d4ba6a21ad57c602
76561197960690195,FalleN,2,4000,2100,5200,full,6,d4ba6a21ad57c602
76561198172837021,rigoN,3,3550,2550,2750,semi,6,d4ba6a21ad57c602
76561198172837021,rigoN,3,4250,3700,5400,full,7,d4ba6a21ad57c602
76561197961491680,tabseN,3,4750,2700,5800,full,7,d4ba6a21ad57c602
76561198067763828,chelo,2,1700,1700,2200,force-buy,7,d4ba6a21ad57c602
76561197980122997,syrsoN,3,4400,2300,7250,full,7,d4ba6a21ad57c602
76561198164970560,yuurih,2,2000,1950,1950,force-buy,7,d4ba6a21ad57c602
76561198078771373,JDC,3,5500,4100,5500,full,7,d4ba6a21ad57c602
76561198058500492,KSCERATO,2,3300,3100,3500,force-buy,7,d4ba6a21ad57c602
76561198170631091,Krimbo,3,4200,1100,5900,full,7,d4ba6a21ad57c602
76561198118646644,skullz,2,2600,2200,2200,force-buy,7,d4ba6a21ad57c602
76561197960690195,FalleN,2,3600,3400,2700,force-buy,7,d4ba6a21ad57c602
76561197960690195,FalleN,2,3300,700,400,eco,8,d4ba6a21ad57c602
76561198067763828,chelo,2,2500,700,700,eco,8,d4ba6a21ad57c602
76561198118646644,skullz,2,2900,650,1150,semi,8,d4ba6a21ad57c602
76561198058500492,KSCERATO,2,2700,300,300,eco,8,d4ba6a21ad57c602
76561198172837021,rigoN,3,4050,1200,5900,full,8,d4ba6a21ad57c602
76561197961491680,tabseN,3,6450,700,5800,full,8,d4ba6a21ad57c602
76561197980122997,syrsoN,3,5900,800,7150,full,8,d4ba6a21ad57c602
76561198164970560,yuurih,2,2550,300,300,eco,8,d4ba6a21ad57c602
76561198078771373,JDC,3,4900,1000,6100,full,8,d4ba6a21ad57c602
76561198170631091,Krimbo,3,7200,5600,5600,full,8,d4ba6a21ad57c602
76561198172837021,rigoN,3,6700,600,5900,full,9,d4ba6a21ad57c602
76561197961491680,tabseN,3,9300,3400,5800,full,9,d4ba6a21ad57c602
76561198067763828,chelo,2,4200,4200,4800,full,9,d4ba6a21ad57c602
76561198078771373,JDC,3,7150,1000,6100,full,9,d4ba6a21ad57c602
76561198170631091,Krimbo,3,5450,2700,5900,full,9,d4ba6a21ad57c602
76561197980122997,syrsoN,3,8350,1100,7750,full,9,d4ba6a21ad57c602
76561198118646644,skullz,2,4950,4900,5100,full,9,d4ba6a21ad57c602
76561198164970560,yuurih,2,4650,4600,4800,full,9,d4ba6a21ad57c602
76561198058500492,KSCERATO,2,4800,4700,4900,full,9,d4ba6a21ad57c602
76561197960690195,FalleN,2,5000,4800,5000,full,9,d4ba6a21ad57c602
76561197961491680,tabseN,3,9750,4200,5600,full,10,d4ba6a21ad57c602
76561198118646644,skullz,2,3850,2200,2200,semi,10,d4ba6a21ad57c602
76561198078771373,JDC,3,9700,5600,5800,full,10,d4ba6a21ad57c602
76561197960690195,FalleN,2,3100,1800,1800,semi,10,d4ba6a21ad57c602
76561198172837021,rigoN,3,9350,5700,5900,full,10,d4ba6a21ad57c602
76561198067763828,chelo,2,2900,1900,1500,semi,10,d4ba6a21ad57c602
76561197980122997,syrsoN,3,10500,500,7750,full,10,d4ba6a21ad57c602
76561198164970560,yuurih,2,2950,1800,1800,semi,10,d4ba6a21ad57c602
76561198058500492,KSCERATO,2,3000,1800,2200,semi,10,d4ba6a21ad57c602
76561198170631091,Krimbo,3,6600,2300,5500,full,10,d4ba6a21ad57c602
76561198067763828,chelo,2,4400,2650,2850,semi,11,d4ba6a21ad57c602
76561197980122997,syrsoN,3,13450,3300,7750,full,11,d4ba6a21ad57c602
76561198118646644,skullz,2,5350,4900,5100,full,11,d4ba6a21ad57c602
76561198164970560,yuurih,2,4550,4400,4600,full,11,d4ba6a21ad57c602
76561198078771373,JDC,3,7350,5600,5800,full,11,d4ba6a21ad57c602
76561197961491680,tabseN,3,9400,1500,5600,full,11,d4ba6a21ad57c602
76561198058500492,KSCERATO,2,5200,4900,5100,full,11,d4ba6a21ad57c602
76561198170631091,Krimbo,3,7850,2700,5900,full,11,d4ba6a21ad57c602
76561197960690195,FalleN,2,4700,4600,4800,full,11,d4ba6a21ad57c602
76561198172837021,rigoN,3,6900,6500,6300,full,11,d4ba6a21ad57c602
76561197961491680,tabseN,3,9300,7800,6100,full,12,d4ba6a21ad57c602
76561198067763828,chelo,2,6550,4250,5300,full,12,d4ba6a21ad57c602
76561197980122997,syrsoN,3,11550,11050,8150,full,12,d4ba6a21ad57c602
76561198118646644,skullz,2,4550,3600,5200,full,12,d4ba6a21ad57c602
76561198170631091,Krimbo,3,6550,3500,6000,full,12,d4ba6a21ad57c602
76561197960690195,FalleN,2,3600,1100,5000,full,12,d4ba6a21ad57c602
76561198172837021,rigoN,3,1800,1750,5050,full,12,d4ba6a21ad57c602
76561198164970560,yuurih,2,3650,1100,5000,full,12,d4ba6a21ad57c602
76561198078771373,JDC,3,3150,2700,5800,full,12,d4ba6a21ad57c602
76561198058500492,KSCERATO,2,3800,2200,5100,full,12,d4ba6a21ad57c602
76561197960690195,FalleN,3,800,800,400,pistol,13,d4ba6a21ad57c602
76561198172837021,rigoN,2,800,700,900,pistol,13,d4ba6a21ad57c602
76561198118646644,skullz,3,800,650,1250,pistol,13,d4ba6a21ad57c602
76561198078771373,JDC,2,800,650,850,pistol,13,d4ba6a21ad57c602
76561198058500492,KSCERATO,3,800,650,1150,pistol,13,d4ba6a21ad57c602
76561198170631091,Krimbo,2,800,700,900,pistol,13,d4ba6a21ad57c602
76561197961491680,tabseN,2,800,650,850,pistol,13,d4ba6a21ad57c602
76561198067763828,chelo,3,800,650,1150,pistol,13,d4ba6a21ad57c602
76561197980122997,syrsoN,2,800,650,850,pistol,13,d4ba6a21ad57c602
76561198164970560,yuurih,3,800,650,850,pistol,13,d4ba6a21ad57c602
76561198170631091,Krimbo,2,2000,0,200,eco,14,d4ba6a21ad57c602
76561197960690195,FalleN,3,3850,3700,2350,semi,14,d4ba6a21ad57c602
76561198172837021,rigoN,2,2600,700,700,eco,14,d4ba6a21ad57c602
76561198067763828,chelo,3,3400,2900,3750,semi,14,d4ba6a21ad57c602
76561198164970560,yuurih,3,3700,3550,5400,full,14,d4ba6a21ad57c602
76561197961491680,tabseN,2,2050,0,200,eco,14,d4ba6a21ad57c602
76561197980122997,syrsoN,2,2350,0,200,eco,14,d4ba6a21ad57c602
76561198118646644,skullz,3,4000,3900,5200,full,14,d4ba6a21ad57c602
76561198078771373,JDC,2,2050,0,200,eco,14,d4ba6a21ad57c602
76561198058500492,KSCERATO,3,3400,3350,3550,semi,14,d4ba6a21ad57c602
76561197960690195,FalleN,3,1550,1450,1450,force-buy,15,d4ba6a21ad57c602
76561197961491680,tabseN,2,5300,4900,5100,full,15,d4ba6a21ad57c602
76561198067763828,chelo,3,2200,2200,2200,force-buy,15,d4ba6a21ad57c602
76561197980122997,syrsoN,2,5600,4600,5100,full,15,d4ba6a21ad57c602
76561198118646644,skullz,3,2100,1950,1950,force-buy,15,d4ba6a21ad57c602
76561198164970560,yuurih,3,1550,1450,1450,force-buy,15,d4ba6a21ad57c602
76561198170631091,Krimbo,2,5550,4900,4800,full,15,d4ba6a21ad57c602
76561198172837021,rigoN,2,6050,4900,5100,full,15,d4ba6a21ad57c602
76561198078771373,JDC,2,6200,2200,5300,full,15,d4ba6a21ad57c602
76561198058500492,KSCERATO,3,2050,2000,2000,force-buy,15,d4ba6a21ad57c602
76561197960690195,FalleN,3,2000,0,400,eco,16,d4ba6a21ad57c602
76561197961491680,tabseN,2,4500,900,5100,full,16,d4ba6a21ad57c602
76561198067763828,chelo,3,1900,0,200,eco,16,d4ba6a21ad57c602
