frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
4741,3783,1,FalleN,76561197960690195,2,FURIA,tabseN,76561197961491680,3,BIG,,0,0,,Glock-18,pistol,1,0,0,0,0,0,214.691910,39.622112,6.359263,0,0,35.599907,457.168579,-0.331238,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,11.546523,be43b8bc38bb56c3
4906,3922,1,syrsoN,76561197980122997,3,BIG,FalleN,76561197960690195,2,FURIA,,0,0,,USP-S,pistol,1,0,0,0,0,0,-214.723022,639.122742,2.028709,0,0,255.772263,76.426048,0.692979,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,18.630325,be43b8bc38bb56c3
5491,4434,1,chelo,76561198067763828,2,FURIA,syrsoN,76561197980122997,3,BIG,,0,0,,Glock-18,pistol,1,0,0,0,0,0,-1125.607910,1355.650269,-111.389404,0,0,80.940269,1501.410400,0.720177,0,0,0,0.000000,0.000000,0.000000,0,0,1,0,31.000488,be43b8bc38bb56c3
5654,4584,1,skullz,76561198118646644,2,FURIA,Krimbo,76561198170631091,3,BIG,,0,0,,Glock-18,pistol,1,0,0,0,0,0,-1057.758911,1493.659912,-75.968750,0,0,222.027832,1365.357910,0.092961,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,32.706848,be43b8bc38bb56c3
9051,7598,1,chelo,76561198067763828,2,FURIA,rigoN,76561198172837021,3,BIG,,0,0,,Glock-18,pistol,1,0,0,0,0,0,-2017.829834,1380.371094,32.136017,0,0,-1819.292847,1027.427734,39.313484,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,10.283285,be43b8bc38bb56c3
9226,7746,1,skullz,76561198118646644,2,FURIA,JDC,76561198078771373,3,BIG,,0,0,,Glock-18,pistol,0,0,0,0,0,0,-1945.780273,2579.759766,29.415258,0,0,-1251.017700,2652.560791,125.808044,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,17.884266,be43b8bc38bb56c3
12671,10295,2,KSCERATO,76561198058500492,2,FURIA,rigoN,76561198172837021,3,BIG,FalleN,76561197960690195,2,FURIA,Galil AR,rifle,0,0,0,0,0,0,540.106689,657.614258,1.409081,0,0,1306.772095,1257.568359,1.031250,0,1,0,635.493042,661.861755,0.898217,0,0,0,0,24.746851,be43b8bc38bb56c3
14804,12118,2,chelo,76561198067763828,2,FURIA,JDC,76561198078771373,3,BIG,,0,0,,AK-47,rifle,1,0,0,0,0,0,-2025.968262,1665.800781,33.019997,0,0,-1799.978516,1971.243530,-2.085876,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,9.668000,be43b8bc38bb56c3
25060,20518,3,syrsoN,76561197980122997,3,BIG,yuurih,76561198164970560,2,FURIA,,0,0,,SSG 08,sniper,1,0,0,0,0,0,1284.600220,3040.469482,128.536362,0,0,1245.613403,738.319824,32.096367,0,0,0,0.000000,0.000000,0.000000,0,0,1,0,58.533951,be43b8bc38bb56c3
27206,22349,3,FalleN,76561197960690195,2,FURIA,tabseN,76561197961491680,3,BIG,chelo,76561198067763828,2,FURIA,Galil AR,rifle,0,0,0,0,0,0,-410.392151,1465.149048,-126.555664,0,0,-412.909973,2121.889160,-128.207520,0,0,0,-190.988708,619.885376,1.312891,0,0,0,0,16.676764,be43b8bc38bb56c3
28763,23679,3,JDC,76561198078771373,3,BIG,KSCERATO,76561198058500492,2,FURIA,,0,0,,P250,pistol,0,0,0,0,0,0,-64.971313,2010.049683,-49.404602,0,0,-567.656860,2109.384766,-118.804504,0,0,0,0.000000,0.000000,0.000000,0,1,1,0,13.133135,be43b8bc38bb56c3
28985,23870,3,FalleN,76561197960690195,2,FURIA,rigoN,76561198172837021,3,BIG,,0,0,,Galil AR,rifle,0,0,0,0,0,0,-1032.514893,2495.867920,5.950610,0,0,-1310.192017,2672.131592,130.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,8.835274,be43b8bc38bb56c3
29053,23932,3,chelo,76561198067763828,2,FURIA,JDC,76561198078771373,3,BIG,,0,0,,AK-47,rifle,1,0,0,0,0,0,-565.169373,2028.752319,-117.563110,0,0,-64.738953,2011.462280,-49.888977,0,0,0,0.000000,0.000000,0.000000,1,0,1,0,12.834432,be43b8bc38bb56c3
40445,33253,4,syrsoN,76561197980122997,3,BIG,chelo,76561198067763828,2,FURIA,,0,0,,AWP,sniper,0,0,0,0,0,0,1316.173218,1967.576782,1.031250,0,1,575.023315,2508.676758,96.210304,0,0,0,0.000000,0.000000,0.000000,0,0,1,0,23.446177,be43b8bc38bb56c3
41352,34014,4,FalleN,76561197960690195,2,FURIA,rigoN,76561198172837021,3,BIG,,0,0,,AWP,sniper,0,0,0,0,0,0,-344.807373,1321.501343,-124.166260,0,0,-555.633057,2176.927979,-122.033569,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,22.357912,be43b8bc38bb56c3
