frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
1939,1549,1,76561198078771373,3,JDC,Kevlar Vest,equipment,01JM6FPMM9RQ9G8PD6858DN91V,0,bda50bc0b7dcc8f7
2005,1604,1,76561198964042711,2,s-chilla,Smoke Grenade,grenade,01JM6FPMMA98RRC4EHJMQNREMW,0,bda50bc0b7dcc8f7
2018,1616,1,76561198964042711,2,s-chilla,Flashbang,grenade,01JM6FPMMBR78TGZKT0WWC2PM7,0,bda50bc0b7dcc8f7
2052,1645,1,76561197961491680,3,tabseN,Smoke Grenade,grenade,01JM6FPMMBR78TGZKT0YTA7TSY,1,bda50bc0b7dcc8f7
2058,1651,1,76561198172837021,3,rigoN,Kevlar Vest,equipment,01JM6FPMMBR78TGZKT0YXQ8BN4,0,bda50bc0b7dcc8f7
2090,1674,1,76561198800253526,2,jambo,P250,pistol,01JM6FPMMA98RRC4EHJMA60GK1,0,bda50bc0b7dcc8f7
2145,1713,1,76561197961491680,3,tabseN,HE Grenade,grenade,01JM6FPMMDG49HVCY1M9JDW0QK,0,bda50bc0b7dcc8f7
2153,1720,1,76561198800253526,2,jambo,Kevlar Vest,equipment,01JM6FPMMDG49HVCY1MDBZS9JK,0,bda50bc0b7dcc8f7
2159,1725,1,76561197961491680,3,tabseN,Flashbang,grenade,01JM6FPMMDG49HVCY1MH8QCQTG,0,bda50bc0b7dcc8f7
2278,1819,1,76561198132026180,2,fEAR,Smoke Grenade,grenade,01JM6FPMMFPKRQTNTRAJ1SRW4V,0,bda50bc0b7dcc8f7
2290,1830,1,76561198132026180,2,fEAR,HE Grenade,grenade,01JM6FPMMFPKRQTNTRAP1MRS21,0,bda50bc0b7dcc8f7
2304,1842,1,76561198132026180,2,fEAR,Flashbang,grenade,01JM6FPMMFPKRQTNTRAR4B00J6,0,bda50bc0b7dcc8f7
2420,1927,1,76561198446445284,2,jackasmo,Kevlar Vest,equipment,01JM6FPMMH93TA0YB8NFC31SBP,0,bda50bc0b7dcc8f7
2446,1944,1,76561199121088563,2,zeRRoFIX,Kevlar Vest,equipment,01JM6FPMMJ3M6PTNVS8TGSXZ0P,0,bda50bc0b7dcc8f7
10121,8080,2,76561198078771373,3,JDC,Kevlar + Helmet,equipment,01JM6FPMTAJ4SD3RGTRR87TNJQ,0,bda50bc0b7dcc8f7
10144,8100,2,76561198078771373,3,JDC,M4A1,rifle,01JM6FPMTAJ4SD3RGTRT8R931M,0,bda50bc0b7dcc8f7
10184,8117,2,76561197980122997,3,syrsoN,Kevlar + Helmet,equipment,01JM6FPMTBDMW3ZTQHNP79CA84,0,bda50bc0b7dcc8f7
10202,8127,2,76561198078771373,3,JDC,Smoke Grenade,grenade,01JM6FPMTCNQRNP4XJN24Y1YTS,0,bda50bc0b7dcc8f7
10307,8196,2,76561197980122997,3,syrsoN,MP9,smg,01JM6FPMKSQ31A03YCCDGVBKKC,0,bda50bc0b7dcc8f7
10331,8214,2,76561198172837021,3,rigoN,M4A1,rifle,01JM6FPMKSQ31A03YCCG3YFPFA,0,bda50bc0b7dcc8f7
10367,8243,2,76561198172837021,3,rigoN,Kevlar + Helmet,equipment,01JM6FPMTEEVER78GC0RDSE159,0,bda50bc0b7dcc8f7
10553,8396,2,76561198446445284,2,jackasmo,Desert Eagle,pistol,01JM6FPMKSQ31A03YCCM1T1HGS,0,bda50bc0b7dcc8f7
10595,8422,2,76561198170631091,3,Krimbo,MP9,smg,01JM6FPMTKT2SR31T0WCDF5N5V,0,bda50bc0b7dcc8f7
10634,8456,2,76561198170631091,3,Krimbo,Kevlar + Helmet,equipment,01JM6FPMTKT2SR31T0WFC08KKG,0,bda50bc0b7dcc8f7
10719,8521,2,76561198170631091,3,Krimbo,Smoke Grenade,grenade,01JM6FPMJDRST2333KG8Y2F78M,0,bda50bc0b7dcc8f7
10733,8531,2,76561198170631091,3,Krimbo,HE Grenade,grenade,01JM6FPMJDRST2333KG60RDN2W,0,bda50bc0b7dcc8f7
10754,8543,2,76561198170631091,3,Krimbo,Incendiary Grenade,grenade,01JM6FPMJDRST2333KG5YFGCY9,0,bda50bc0b7dcc8f7
10908,8663,2,76561197961491680,3,tabseN,FAMAS,rifle,01JM6FPMJDRST2333KG3B7JVWZ,0,bda50bc0b7dcc8f7
10917,8668,2,76561198078771373,3,JDC,HE Grenade,grenade,01JM6FPMJDRST2333KFXT979TY,0,bda50bc0b7dcc8f7
10934,8681,2,76561197961491680,3,tabseN,Kevlar + Helmet,equipment,01JM6FPMTQD5CM70KN9VGZ6Z7F,0,bda50bc0b7dcc8f7
11034,8733,2,76561197961491680,3,tabseN,Smoke Grenade,grenade,01JM6FPMJDRST2333KFSVDCKFJ,0,bda50bc0b7dcc8f7
11051,8744,2,76561197961491680,3,tabseN,Flashbang,grenade,01JM6FPMJEYRDV2MKKVPJTHW49,0,bda50bc0b7dcc8f7
18321,14816,3,76561199121088563,2,zeRRoFIX,AK-47,rifle,01JM6FPMT8M45DYJZ47WBNFKTF,0,bda50bc0b7dcc8f7
18333,14828,3,76561198446445284,2,jackasmo,Kevlar + Helmet,equipment,01JM6FPN4VFHR9GAM5QZDMG84F,0,bda50bc0b7dcc8f7
18334,14829,3,76561199121088563,2,zeRRoFIX,Kevlar + Helmet,equipment,01JM6FPN4VFHR9GAM5R03EM65K,0,bda50bc0b7dcc8f7
18340,14835,3,76561199121088563,2,zeRRoFIX,Molotov,grenade,01JM6FPN4W39HFZJEWYWYNGP3S,0,bda50bc0b7dcc8f7
18345,14838,3,76561198800253526,2,jambo,AK-47,rifle,01JM6FPMT8M45DYJZ47HQDF0YJ,0,bda50bc0b7dcc8f7
18350,14841,3,76561198800253526,2,jambo,Kevlar + Helmet,equipment,01JM6FPN4W39HFZJEWZ00PAEHK,0,bda50bc0b7dcc8f7
18355,14846,3,76561199121088563,2,zeRRoFIX,Smoke Grenade,grenade,01JM6FPN4W39HFZJEWZ2ENK6WE,0,bda50bc0b7dcc8f7
18370,14854,3,76561198964042711,2,s-chilla,AK-47,rifle,01JM6FPMT6J7C0CS65A7Q4GE6D,1,bda50bc0b7dcc8f7
18380,14859,3,76561198446445284,2,jackasmo,Galil AR,rifle,01JM6FPMT8M45DYJZ47K7W6KFD,0,bda50bc0b7dcc8f7
18389,14868,3,76561198446445284,2,jackasmo,Smoke Grenade,grenade,01JM6FPMT7A2NJSJZ2H200KMZC,0,bda50bc0b7dcc8f7
18392,14871,3,76561198800253526,2,jambo,Smoke Grenade,grenade,01JM6FPMT6J7C0CS65A3R9B0N4,0,bda50bc0b7dcc8f7
18400,14878,3,76561198446445284,2,jackasmo,Molotov,grenade,01JM6FPMT8M45DYJZ47S87C45Y,0,bda50bc0b7dcc8f7
18405,14883,3,76561198800253526,2,jambo,Flashbang,grenade,01JM6FPN4X0RTJVW34A9631B2F,0,bda50bc0b7dcc8f7
18412,14888,3,76561198446445284,2,jackasmo,Flashbang,grenade,01JM6FPN4X0RTJVW34AB6JVKJG,0,bda50bc0b7dcc8f7
18426,14899,3,76561198446445284,2,jackasmo,HE Grenade,grenade,01JM6FPN4Y52DHYYGV87MS0F8K,0,bda50bc0b7dcc8f7
18433,14904,3,76561198964042711,2,s-chilla,Kevlar + Helmet,equipment,01JM6FPN4Y52DHYYGV89B3ZBG2,0,bda50bc0b7dcc8f7
18517,14960,3,76561198078771373,3,JDC,Defuse Kit,equipment,01JM6FPN4ZP4HZSEK8P9590T41,0,bda50bc0b7dcc8f7
18549,14984,3,76561198964042711,2,s-chilla,Smoke Grenade,grenade,01JM6FPMMA98RRC4EHJMA60GK1,0,bda50bc0b7dcc8f7
18552,14985,3,76561198078771373,3,JDC,Smoke Grenade,grenade,01JM6FPMKZP0GBYKMXC4V8EMJG,0,bda50bc0b7dcc8f7
18558,14989,3,76561198132026180,2,fEAR,Kevlar + Helmet,equipment,01JM6FPN50QFYJ8VZ96RB04SAA,0,bda50bc0b7dcc8f7
18562,14993,3,76561198964042711,2,s-chilla,Flashbang,grenade,01JM6FPN50QFYJ8VZ96VVHHHA9,0,bda50bc0b7dcc8f7
18566,14995,3,76561198078771373,3,JDC,Incendiary Grenade,grenade,01JM6FPN50QFYJ8VZ96Y521A9G,0,bda50bc0b7dcc8f7
18579,15005,3,76561198132026180,2,fEAR,AK-47,rifle,01JM6FPMKZP0GBYKMXC0C249MM,0,bda50bc0b7dcc8f7
18582,15007,3,76561198172837021,3,rigoN,Incendiary Grenade,grenade,01JM6FPMM0NCCP0G1QCCE9ZFH1,0,bda50bc0b7dcc8f7
18599,15020,3,76561198172837021,3,rigoN,HE Grenade,grenade,01JM6FPN50QFYJ8VZ971SSESCG,0,bda50bc0b7dcc8f7
18623,15035,3,76561198172837021,3,rigoN,Smoke Grenade,grenade,01JM6FPN51VW2W0RR6AZ0G27Q3,0,bda50bc0b7dcc8f7
18638,15046,3,76561198172837021,3,rigoN,Flashbang,grenade,01JM6FPN51VW2W0RR6B28608BN,0,bda50bc0b7dcc8f7
18667,15061,3,76561198132026180,2,fEAR,Smoke Grenade,grenade,01JM6FPN52DQ1ZZNQ95AFC59ZF,0,bda50bc0b7dcc8f7
18686,15074,3,76561198132026180,2,fEAR,Molotov,grenade,01JM6FPN52DQ1ZZNQ95CW5N97N,0,bda50bc0b7dcc8f7
18705,15088,3,76561198132026180,2,fEAR,Flashbang,grenade,01JM6FPN52DQ1ZZNQ95EMK4BZX,0,bda50bc0b7dcc8f7
18855,15187,3,76561197961491680,3,tabseN,Smoke Grenade,grenade,01JM6FPN543RCG7WKG3VT6E4E6,0,bda50bc0b7dcc8f7
18868,15198,3,76561197961491680,3,tabseN,HE Grenade,grenade,01JM6FPN555JVDYZHR2D6MQKMN,0,bda50bc0b7dcc8f7
