steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561197995817501,FL1T,3,800,650,850,pistol,1,548077d94f4c5916
76561198172837021,rigoN,2,800,650,850,pistol,1,548077d94f4c5916
76561198078771373,JDC,2,800,650,850,pistol,1,548077d94f4c5916
76561198222442504,n0rb3r7,3,800,800,400,pistol,1,548077d94f4c5916
76561198044045107,electroNic,3,800,650,950,pistol,1,548077d94f4c5916
76561198170631091,Krimbo,2,800,800,600,pistol,1,548077d94f4c5916
76561197961491680,tabseN,2,800,650,1250,pistol,1,548077d94f4c5916
76561198036125584,Jame,3,800,650,950,pistol,1,548077d94f4c5916
76561197980122997,syrsoN,2,800,650,850,pistol,1,548077d94f4c5916
76561198080114546,fame,3,800,650,850,pistol,1,548077d94f4c5916
76561198172837021,rigoN,2,3400,3250,3450,semi,2,548077d94f4c5916
76561197961491680,tabseN,2,4300,4300,3600,semi,2,548077d94f4c5916
76561198222442504,n0rb3r7,3,1900,1900,2400,force-buy,2,548077d94f4c5916
76561197980122997,syrsoN,2,3700,3050,3250,semi,2,548077d94f4c5916
76561197995817501,FL1T,3,2050,1900,2100,force-buy,2,548077d94f4c5916
76561198044045107,electroNic,3,2050,1900,2100,force-buy,2,548077d94f4c5916
76561198170631091,Krimbo,2,3850,3700,3900,semi,2,548077d94f4c5916
76561198078771373,JDC,2,3400,3300,4400,full,2,548077d94f4c5916
76561198036125584,Jame,3,2650,2550,2750,force-buy,2,548077d94f4c5916
76561198080114546,fame,3,2350,2200,2400,force-buy,2,548077d94f4c5916
76561198080114546,fame,3,4000,3900,5100,full,3,548077d94f4c5916
76561198044045107,electroNic,3,4000,3550,3750,semi,3,548077d94f4c5916
76561198170631091,Krimbo,2,1850,1700,1700,force-buy,3,548077d94f4c5916
76561197961491680,tabseN,2,2000,2000,2000,force-buy,3,548077d94f4c5916
76561198078771373,JDC,2,1500,1500,1500,force-buy,3,548077d94f4c5916
76561198222442504,n0rb3r7,3,3850,3700,3900,semi,3,548077d94f4c5916
76561197980122997,syrsoN,2,2650,2350,2550,force-buy,3,548077d94f4c5916
76561197995817501,FL1T,3,3400,2300,5200,full,3,548077d94f4c5916
76561198172837021,rigoN,2,1550,1550,1550,force-buy,3,548077d94f4c5916
76561198036125584,Jame,3,4550,4200,5400,full,3,548077d94f4c5916
76561198044045107,electroNic,3,4900,4900,5100,full,4,548077d94f4c5916
76561198172837021,rigoN,2,2200,0,200,eco,4,548077d94f4c5916
76561198078771373,JDC,2,2200,0,200,eco,4,548077d94f4c5916
76561198222442504,n0rb3r7,3,3400,3350,3750,semi,4,548077d94f4c5916
76561197980122997,syrsoN,2,2200,0,200,eco,4,548077d94f4c5916
76561197995817501,FL1T,3,4950,800,5700,full,4,548077d94f4c5916
76561198170631091,Krimbo,2,2050,0,200,eco,4,548077d94f4c5916
76561197961491680,tabseN,2,1900,0,200,eco,4,548077d94f4c5916
76561198036125584,Jame,3,4200,600,4700,full,4,548077d94f4c5916
76561198080114546,fame,3,3350,800,5400,full,4,548077d94f4c5916
76561198036125584,Jame,3,6850,5050,6550,full,5,548077d94f4c5916
76561198080114546,fame,3,6700,500,5300,full,5,548077d94f4c5916
76561198044045107,electroNic,3,3550,500,5400,full,5,548077d94f4c5916
76561198172837021,rigoN,2,4600,4600,4800,full,5,548077d94f4c5916
76561197961491680,tabseN,2,4300,4000,4200,full,5,548077d94f4c5916
76561197980122997,syrsoN,2,4600,3700,3900,semi,5,548077d94f4c5916
76561197995817501,FL1T,3,7400,1000,5700,full,5,548077d94f4c5916
76561198170631091,Krimbo,2,4450,4400,4600,full,5,548077d94f4c5916
76561198078771373,JDC,2,4600,4600,4800,full,5,548077d94f4c5916
76561198222442504,n0rb3r7,3,3900,600,4150,semi,5,548077d94f4c5916
76561198080114546,fame,3,9750,1100,5400,full,6,548077d94f4c5916
76561198170631091,Krimbo,2,2950,1850,2250,semi,6,548077d94f4c5916
76561198222442504,n0rb3r7,3,6550,2700,5800,full,6,548077d94f4c5916
76561198036125584,Jame,3,5250,1300,7250,full,6,548077d94f4c5916
76561197980122997,syrsoN,2,4100,800,800,eco,6,548077d94f4c5916
76561197995817501,FL1T,3,9950,4200,6100,full,6,548077d94f4c5916
76561198044045107,electroNic,3,6600,5700,5900,full,6,548077d94f4c5916
76561198172837021,rigoN,2,2900,1650,1650,semi,6,548077d94f4c5916
76561197961491680,tabseN,2,3500,2200,1800,semi,6,548077d94f4c5916
76561198078771373,JDC,2,2900,1450,1450,semi,6,548077d94f4c5916
76561198078771373,JDC,2,4850,4800,5000,full,7,548077d94f4c5916
76561198222442504,n0rb3r7,3,7400,900,6100,full,7,548077d94f4c5916
76561198080114546,fame,3,12500,8100,5400,full,7,548077d94f4c5916
76561197995817501,FL1T,3,9000,1000,6000,full,7,548077d94f4c5916
