number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,1018,1316,2712,3489,9877,11574,10325,12089,Virtus.Pro,BIG,0,1,3,2,4000,4000,4000,4400,3400,3400,pistol,pistol,129457,9,BIG,2,0,548077d94f4c5916
2,10325,12089,11605,13931,15445,18439,15893,18958,Virtus.Pro,BIG,1,1,3,2,11000,18650,11750,18600,10450,17600,force-buy,semi,80137,8,Virtus.Pro,3,0,548077d94f4c5916
3,15893,18958,17173,20710,22847,27394,23295,27920,Virtus.Pro,BIG,2,1,3,2,19800,9550,23350,9300,17650,9100,full,force-buy,106463,8,Virtus.Pro,3,0,548077d94f4c5916
4,23295,27920,24575,29607,26340,31705,26788,32265,Virtus.Pro,BIG,3,1,3,2,20800,10550,24650,1000,10450,0,full,eco,47767,8,Virtus.Pro,3,0,548077d94f4c5916
5,26788,32265,28068,34054,35320,42825,35768,43355,Virtus.Pro,BIG,4,1,3,2,28400,22550,27100,22300,7650,21300,full,full,133268,8,Virtus.Pro,3,0,548077d94f4c5916
6,35768,43355,37048,45079,40633,49484,41081,50021,Virtus.Pro,BIG,5,1,3,2,38100,16350,30450,7950,15000,7950,full,semi,77348,8,Virtus.Pro,3,0,548077d94f4c5916
7,43103,52649,44383,54423,50663,62049,51111,62573,Virtus.Pro,BIG,5,2,3,2,40650,26000,31250,26650,13800,25650,full,full,118629,9,BIG,2,0,548077d94f4c5916
8,51111,62573,52391,64636,59751,73602,60199,74127,Virtus.Pro,BIG,6,2,3,2,34750,17900,28600,25450,27600,14600,full,full,139187,12,Virtus.Pro,3,0,548077d94f4c5916
9,62338,76684,63618,78471,70423,86662,70871,87237,Virtus.Pro,BIG,7,2,3,2,24300,12600,28800,17600,15400,7050,full,semi,125923,8,Virtus.Pro,3,0,548077d94f4c5916
10,72905,89787,74185,91583,82603,101613,83051,102145,Virtus.Pro,BIG,7,3,3,2,26650,22950,28150,23650,13550,22650,full,full,149245,9,BIG,2,0,548077d94f4c5916
11,83051,102145,84331,103961,89842,110656,90290,111227,Virtus.Pro,BIG,7,4,3,2,20400,18350,21300,27350,20000,12000,force-buy,full,107409,1,BIG,2,0,548077d94f4c5916
12,90290,111227,91570,113023,95929,118241,99417,122145,Virtus.Pro,BIG,8,4,3,2,9900,24450,23900,28650,9150,8150,full,full,88517,8,Virtus.Pro,3,0,548077d94f4c5916
13,99417,122145,101113,124370,105214,129136,105662,129669,Virtus.Pro,BIG,9,4,2,3,4000,4000,5100,4400,3300,3400,pistol,pistol,88227,9,Virtus.Pro,2,0,548077d94f4c5916
14,105662,129669,106942,131364,110092,135110,110540,135674,Virtus.Pro,BIG,10,4,2,3,18750,11000,19050,1000,16250,0,semi,eco,68666,9,Virtus.Pro,2,0,548077d94f4c5916
15,110540,135674,111820,137503,119635,146758,120083,147306,Virtus.Pro,BIG,11,4,2,3,21450,23300,22100,24000,7500,23000,full,full,139881,1,Virtus.Pro,2,0,548077d94f4c5916
16,122859,150867,124139,152757,128332,157851,128780,158377,Virtus.Pro,BIG,11,5,2,3,33550,15400,25700,11150,13250,6850,full,semi,88139,8,BIG,3,0,548077d94f4c5916
17,128780,158377,130060,160368,137420,169286,137868,169814,Virtus.Pro,BIG,11,6,2,3,28500,26300,26150,28250,25150,24450,full,full,137673,12,BIG,3,0,548077d94f4c5916
18,140148,172762,141428,174671,148788,183424,149236,183945,Virtus.Pro,BIG,11,7,2,3,11350,19100,9250,29850,2800,15350,semi,full,134555,12,BIG,3,0,548077d94f4c5916
19,151477,186865,152757,188667,156769,193484,157217,194035,Virtus.Pro,BIG,11,8,2,3,18250,20700,18900,30450,17500,10600,force-buy,full,83532,8,BIG,3,0,548077d94f4c5916
20,157217,194035,158497,195738,161791,200022,162239,200588,Virtus.Pro,BIG,11,9,2,3,15850,27450,7900,30350,7700,13100,semi,full,75556,8,BIG,3,0,548077d94f4c5916
21,162239,200588,163519,202573,169702,210108,170150,210662,Virtus.Pro,BIG,11,10,2,3,25750,32100,25700,30750,24700,13700,full,full,120143,8,BIG,3,0,548077d94f4c5916
22,170150,210662,171430,212484,177926,220145,178374,220679,Virtus.Pro,BIG,11,11,2,3,18450,36150,10800,31050,10900,15500,semi,full,119676,8,BIG,3,0,548077d94f4c5916
23,178374,220679,179654,222610,187014,231608,187462,232148,Virtus.Pro,BIG,11,12,2,3,25250,38200,25800,31250,24200,20000,full,full,137925,12,BIG,3,0,548077d94f4c5916
24,187462,232148,188742,234073,195006,241561,195006,241561,Virtus.Pro,BIG,11,13,2,3,22750,42550,19650,30950,10100,11500,force-buy,full,118793,7,BIG,3,0,548077d94f4c5916
