steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198306519263,floppy,3,800,650,850,pistol,1,2b05f2b18f25ea2d
76561198045433304,Ax1Le,2,800,700,900,pistol,1,2b05f2b18f25ea2d
76561198191236195,Grim,3,800,650,950,pistol,1,2b05f2b18f25ea2d
76561198060367310,hallzerk,3,800,650,950,pistol,1,2b05f2b18f25ea2d
76561198066693739,EliGE,3,800,650,850,pistol,1,2b05f2b18f25ea2d
76561198146207066,Boombl4,2,800,700,900,pistol,1,2b05f2b18f25ea2d
76561198021715100,JT,3,800,800,400,pistol,1,2b05f2b18f25ea2d
76561198068002993,HeavyGod,2,800,650,850,pistol,1,2b05f2b18f25ea2d
76561198208074320,interz,2,800,650,850,pistol,1,2b05f2b18f25ea2d
76561198055109028,ICY,2,800,650,850,pistol,1,2b05f2b18f25ea2d
76561198060367310,hallzerk,3,3700,3550,3750,semi,2,2b05f2b18f25ea2d
76561198066693739,EliGE,3,3400,3250,5000,full,2,2b05f2b18f25ea2d
76561198055109028,ICY,2,2350,0,200,eco,2,2b05f2b18f25ea2d
76561198021715100,JT,3,4150,4100,4500,full,2,2b05f2b18f25ea2d
76561198306519263,floppy,3,3400,3350,4400,semi,2,2b05f2b18f25ea2d
76561198068002993,HeavyGod,2,2050,0,200,eco,2,2b05f2b18f25ea2d
76561198191236195,Grim,3,3700,3550,3750,semi,2,2b05f2b18f25ea2d
76561198146207066,Boombl4,2,2000,0,500,eco,2,2b05f2b18f25ea2d
76561198045433304,Ax1Le,2,2000,0,200,eco,2,2b05f2b18f25ea2d
76561198208074320,interz,2,2350,300,500,eco,2,2b05f2b18f25ea2d
76561198045433304,Ax1Le,2,4400,4400,4600,full,3,2b05f2b18f25ea2d
76561198208074320,interz,2,4450,4400,4600,full,3,2b05f2b18f25ea2d
76561198191236195,Grim,3,3400,1200,4150,semi,3,2b05f2b18f25ea2d
76561198060367310,hallzerk,3,4600,4600,4800,full,3,2b05f2b18f25ea2d
76561198146207066,Boombl4,2,4400,4400,4600,full,3,2b05f2b18f25ea2d
76561198021715100,JT,3,3300,1500,5800,full,3,2b05f2b18f25ea2d
76561198306519263,floppy,3,3900,1500,5900,full,3,2b05f2b18f25ea2d
76561198068002993,HeavyGod,2,4450,4400,4600,full,3,2b05f2b18f25ea2d
76561198066693739,EliGE,3,3700,1300,5500,full,3,2b05f2b18f25ea2d
76561198055109028,ICY,2,5050,4800,5000,full,3,2b05f2b18f25ea2d
76561198068002993,HeavyGod,2,3550,2000,2000,semi,4,2b05f2b18f25ea2d
76561198208074320,interz,2,3550,1850,1850,semi,4,2b05f2b18f25ea2d
76561198191236195,Grim,3,6000,5600,5800,full,4,2b05f2b18f25ea2d
76561198060367310,hallzerk,3,3500,2900,7550,full,4,2b05f2b18f25ea2d
76561198066693739,EliGE,3,6500,1300,5700,full,4,2b05f2b18f25ea2d
76561198055109028,ICY,2,4050,1450,1450,semi,4,2b05f2b18f25ea2d
76561198146207066,Boombl4,2,4100,2200,2200,semi,4,2b05f2b18f25ea2d
76561198021715100,JT,3,5900,5250,5600,full,4,2b05f2b18f25ea2d
76561198306519263,floppy,3,6200,5700,5900,full,4,2b05f2b18f25ea2d
76561198045433304,Ax1Le,2,3800,1450,1450,semi,4,2b05f2b18f25ea2d
76561198055109028,ICY,2,6550,2400,7450,full,5,2b05f2b18f25ea2d
