number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,1018,1274,8570,10462,12845,15284,13293,15823,Complexity Gaming,Flyquest,0,1,3,2,4000,4000,4000,4200,3400,3400,pistol,pistol,180928,9,Flyquest,2,0,ba6c7364a837a7aa
2,13293,15823,14573,17715,20747,24940,21195,25517,Complexity Gaming,Flyquest,0,2,3,2,11300,18350,11750,19050,10650,17950,force-buy,semi,117738,1,Flyquest,2,0,ba6c7364a837a7aa
3,21195,25517,22475,27238,30131,36068,30579,36589,Complexity Gaming,Flyquest,0,3,3,2,12950,20000,5600,21500,1950,7100,semi,full,136257,1,Flyquest,2,0,ba6c7364a837a7aa
4,30579,36589,31859,38319,39219,47058,39667,47581,Complexity Gaming,Flyquest,1,3,3,2,26400,32200,28100,27450,25850,14550,full,full,135199,12,Complexity Gaming,3,0,ba6c7364a837a7aa
5,39667,47581,40947,49269,48315,57917,48763,58441,Complexity Gaming,Flyquest,1,4,3,2,17500,22150,29950,27450,11100,16100,full,full,133481,1,Flyquest,2,0,ba6c7364a837a7aa
6,48763,58441,50043,60327,55756,67171,56204,67703,Complexity Gaming,Flyquest,1,5,3,2,18800,24850,25150,27350,17200,11300,full,full,112741,9,Flyquest,2,0,ba6c7364a837a7aa
7,56204,67703,57484,69573,63390,76463,63838,77015,Complexity Gaming,Flyquest,1,6,3,2,17000,31400,8700,27750,8800,13500,semi,full,113128,9,Flyquest,2,0,ba6c7364a837a7aa
8,66221,79973,67501,81651,75262,90882,75710,91412,Complexity Gaming,Flyquest,1,7,3,2,25800,35750,26050,27950,25350,13450,full,full,140881,9,Flyquest,2,0,ba6c7364a837a7aa
9,75710,91412,76990,93289,84457,102015,84905,102547,Complexity Gaming,Flyquest,1,8,3,2,18350,39750,10400,27750,9600,17000,semi,full,136929,9,Flyquest,2,0,ba6c7364a837a7aa
10,87806,106397,89086,108073,93528,113406,93976,113949,Complexity Gaming,Flyquest,1,9,3,2,27250,40800,28200,27750,27000,16650,full,full,90515,9,Flyquest,2,0,ba6c7364a837a7aa
11,93976,113949,95256,115798,100820,122304,101268,122832,Complexity Gaming,Flyquest,1,10,3,2,17550,42000,8950,27450,8350,10450,semi,full,107898,9,Flyquest,2,0,ba6c7364a837a7aa
12,101268,122832,102548,124652,107903,131062,111391,134974,Complexity Gaming,Flyquest,1,11,3,2,26800,49000,27300,28150,26500,11400,full,full,106284,9,Flyquest,2,0,ba6c7364a837a7aa
13,111391,134974,113087,137203,117757,142530,118205,143068,Complexity Gaming,Flyquest,2,11,2,3,4000,4000,4300,4250,3300,3450,pistol,pistol,97579,9,Complexity Gaming,2,0,ba6c7364a837a7aa
14,118205,143068,119485,144823,124261,150366,124709,150904,Complexity Gaming,Flyquest,3,11,2,3,18750,10950,19750,1400,18450,200,semi,eco,94248,9,Complexity Gaming,2,0,ba6c7364a837a7aa
15,124709,150904,125989,152814,131588,159540,132036,160065,Complexity Gaming,Flyquest,4,11,2,3,18350,23050,23600,23650,9200,22650,full,full,111527,9,Complexity Gaming,2,0,ba6c7364a837a7aa
16,132036,160065,133316,161818,142036,171947,142484,172473,Complexity Gaming,Flyquest,5,11,2,3,27200,16100,25200,6050,20800,6050,full,semi,153446,1,Complexity Gaming,2,0,ba6c7364a837a7aa
17,144901,175378,146181,177140,155643,188284,156091,188789,Complexity Gaming,Flyquest,6,11,2,3,25700,27350,27450,27600,11950,26600,full,full,166670,1,Complexity Gaming,2,0,ba6c7364a837a7aa
18,156091,188789,157371,190508,162560,196720,163008,197252,Complexity Gaming,Flyquest,6,12,2,3,31850,18050,27550,26250,9500,9950,full,full,102422,8,Flyquest,3,0,ba6c7364a837a7aa
19,163008,197252,164288,199037,170650,206587,170650,206587,Complexity Gaming,Flyquest,6,13,2,3,15550,29150,25300,28700,24800,14050,full,full,120554,8,Flyquest,3,0,ba6c7364a837a7aa
