frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
4886,3913,1,EliGE,76561198066693739,2,Complexity Gaming,VINI,76561197996370184,3,Imperial Esports,,0,0,,Glock-18,pistol,1,0,0,0,0,0,562.160767,-825.045898,109.172714,0,1,-94.353271,-758.739075,153.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,16.760330,6688d6cc3a21a172
4984,3996,1,EliGE,76561198066693739,2,Complexity Gaming,decenty,76561198307171910,3,Imperial Esports,,0,0,,Glock-18,pistol,0,0,0,0,0,0,484.773926,-851.362671,123.640686,0,0,-211.134216,-749.501038,164.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,17.909832,6688d6cc3a21a172
5769,4671,1,JT,76561198021715100,2,Complexity Gaming," felps",76561197983031494,3,Imperial Esports,,0,0,,Glock-18,pistol,1,0,0,0,0,0,519.121460,181.518646,152.654755,0,0,344.850769,-82.698608,154.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,8.008871,6688d6cc3a21a172
5859,4752,1,noway,76561198800209567,3,Imperial Esports,EliGE,76561198066693739,2,Complexity Gaming,,0,0,,USP-S,pistol,1,0,0,0,0,0,-185.787476,-775.399902,156.228622,0,0,228.101532,-792.533630,153.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,10.515475,6688d6cc3a21a172
6245,5091,1,floppy,76561198306519263,2,Complexity Gaming,noway,76561198800209567,3,Imperial Esports,,0,0,,Glock-18,pistol,1,0,0,0,0,0,1365.327271,-759.802673,4.296693,0,0,69.996231,-798.265076,153.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,32.993420,6688d6cc3a21a172
13912,11453,2,JT,76561198021715100,2,Complexity Gaming,VINI,76561197996370184,3,Imperial Esports,,0,0,,MAC-10,smg,0,0,0,0,0,0,11.768984,-697.011292,157.235474,0,0,55.393387,-813.240601,153.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,3.155056,6688d6cc3a21a172
14430,11881,2,JT,76561198021715100,2,Complexity Gaming,try,76561198365118288,3,Imperial Esports,EliGE,76561198066693739,2,Complexity Gaming,MAC-10,smg,1,0,0,0,0,0,-35.960632,-687.539795,159.433990,0,0,141.715927,-878.534912,153.031250,0,0,0,-937.899597,-714.052246,34.857590,0,0,0,0,6.653219,6688d6cc3a21a172
15974,13222,2,JT,76561198021715100,2,Complexity Gaming,decenty,76561198307171910,3,Imperial Esports,,0,0,,MAC-10,smg,0,0,0,0,0,0,1131.411743,-1104.044556,1.031250,0,0,947.474670,-1059.022949,10.616364,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,4.810205,6688d6cc3a21a172
16060,13292,2," felps",76561197983031494,3,Imperial Esports,JT,76561198021715100,2,Complexity Gaming,decenty,76561198307171910,3,Imperial Esports,USP-S,pistol,0,0,0,0,0,0,1170.150391,-1435.758301,6.676544,0,0,1212.954102,-1071.361328,9.606091,0,0,0,947.474670,-1059.022949,10.616364,1,1,0,0,9.291818,6688d6cc3a21a172
16208,13429,2,Grim,76561198191236195,2,Complexity Gaming," felps",76561197983031494,3,Imperial Esports,,0,0,,AK-47,rifle,1,0,0,0,0,0,990.874268,-635.064453,35.689098,0,0,1227.392334,-1335.804321,5.943929,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,18.804785,6688d6cc3a21a172
16298,13508,2,EliGE,76561198066693739,2,Complexity Gaming,noway,76561198800209567,3,Imperial Esports,JT,76561198021715100,2,Complexity Gaming,AK-47,rifle,0,0,0,0,0,0,631.447388,-859.489502,102.382416,0,0,1379.078125,-615.715576,33.751644,0,0,0,1212.954102,-1071.361328,9.606091,0,0,0,0,20.007692,6688d6cc3a21a172
20950,17052,3,Grim,76561198191236195,2,Complexity Gaming,VINI,76561197996370184,3,Imperial Esports,floppy,76561198306519263,2,Complexity Gaming,AK-47,rifle,0,0,0,0,0,0,-1505.071411,774.636597,54.031250,0,0,-1282.905762,-37.011292,106.031250,0,1,0,-1483.524536,672.185059,58.742191,0,0,1,0,21.391672,6688d6cc3a21a172
21082,17155,3,EliGE,76561198066693739,2,Complexity Gaming,noway,76561198800209567,3,Imperial Esports,,0,0,,AK-47,rifle,0,0,0,0,0,0,-1197.069092,-924.029907,36.724316,0,0,-407.438843,-430.918945,43.952610,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,23.647078,6688d6cc3a21a172
21415,17421,3,hallzerk,76561198060367310,2,Complexity Gaming,try,76561198365118288,3,Imperial Esports,,0,0,,AK-47,rifle,0,0,0,0,0,0,-1445.313965,1315.280396,98.551262,0,0,-829.736877,1346.298706,72.857094,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,15.625649,6688d6cc3a21a172
22488,18328,3,JT,76561198021715100,2,Complexity Gaming,decenty,76561198307171910,3,Imperial Esports,,0,0,,Galil AR,rifle,0,0,0,0,0,0,728.910339,638.981995,126.332939,0,0,493.451630,916.186096,111.147194,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,9.245524,6688d6cc3a21a172
23454,19158,3,floppy,76561198306519263,2,Complexity Gaming," felps",76561197983031494,3,Imperial Esports,EliGE,76561198066693739,2,Complexity Gaming,AK-47,rifle,1,0,0,0,0,0,-1317.080566,-1601.600952,-20.302612,0,0,-1080.459229,-791.160706,37.456570,0,0,0,-1416.762451,-1130.303467,-11.162598,0,0,0,0,21.526495,6688d6cc3a21a172
29316,23768,4,EliGE,76561198066693739,2,Complexity Gaming,try,76561198365118288,3,Imperial Esports,,0,0,,M4A1,rifle,1,0,0,0,0,0,-587.764771,654.083008,144.259964,0,0,-232.601685,977.325256,76.249313,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,12.281000,6688d6cc3a21a172
29672,24070,4,floppy,76561198306519263,2,Complexity Gaming,noway,76561198800209567,3,Imperial Esports,,0,0,,AK-47,rifle,1,0,0,0,0,0,1154.880127,-633.237488,118.031250,0,0,1180.527222,-264.532349,111.654747,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,9.442809,6688d6cc3a21a172
31492,25660,4," felps",76561197983031494,3,Imperial Esports,floppy,76561198306519263,2,Complexity Gaming,,0,0,,Five-SeveN,pistol,1,0,0,0,0,0,1202.516968,732.170166,119.913681,0,0,889.580322,882.874329,106.931030,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,8.930826,6688d6cc3a21a172
31811,25927,4,hallzerk,76561198060367310,2,Complexity Gaming,VINI,76561197996370184,3,Imperial Esports,,0,0,,AK-47,rifle,1,0,0,0,0,0,-421.120850,-113.745605,60.484989,0,0,-591.588135,-115.414062,59.606865,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,4.504954,6688d6cc3a21a172
32272,26332,4,EliGE,76561198066693739,2,Complexity Gaming," felps",76561197983031494,3,Imperial Esports,,0,0,,M4A1,rifle,1,0,0,0,0,0,-5.409729,900.946167,69.990318,0,0,868.594482,818.166992,110.704643,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,22.323782,6688d6cc3a21a172
33162,27112,4,hallzerk,76561198060367310,2,Complexity Gaming,decenty,76561198307171910,3,Imperial Esports,,0,0,,AK-47,rifle,1,0,0,0,0,0,-761.253235,1415.278076,72.622276,0,0,-1400.981079,1299.194458,97.255264,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,16.523947,6688d6cc3a21a172
39713,32108,5,noway,76561198800209567,3,Imperial Esports,JT,76561198021715100,2,Complexity Gaming,,0,0,,M4A1,rifle,0,0,0,0,0,0,136.798325,-620.928040,171.494827,0,0,265.112274,-834.993591,153.031250,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,6.365945,6688d6cc3a21a172
39815,32198,5,VINI,76561197996370184,3,Imperial Esports,EliGE,76561198066693739,2,Complexity Gaming,decenty,76561198307171910,3,Imperial Esports,M4A1,rifle,0,0,0,0,0,0,-325.325134,-546.002502,39.232597,0,0,-1161.659424,-906.695496,35.036915,0,0,0,-929.514160,-656.034241,48.511131,0,0,1,0,23.148968,6688d6cc3a21a172
39832,32212,5,Grim,76561198191236195,2,Complexity Gaming,noway,76561198800209567,3,Imperial Esports,,0,0,,AK-47,rifle,0,0,0,0,0,0,337.951782,-870.319153,146.765930,0,0,153.297119,-754.541077,153.031250,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,5.554469,6688d6cc3a21a172
39833,32213,5,decenty,76561198307171910,3,Imperial Esports,hallzerk,76561198060367310,2,Complexity Gaming,,0,0,,M4A1,rifle,0,0,0,0,0,0,-936.185120,-656.038391,48.510090,0,0,-1190.917725,-953.143982,35.768753,0,0,0,0.000000,0.000000,0.000000,0,0,1,0,9.938832,6688d6cc3a21a172
40220,32543,5,floppy,76561198306519263,2,Complexity Gaming," felps",76561197983031494,3,Imperial Esports,,0,0,,AK-47,rifle,1,0,0,0,0,0,1383.968506,-637.699280,25.992920,0,0,1382.129883,-603.274536,33.925045,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.939875,6688d6cc3a21a172
42562,34579,5,floppy,76561198306519263,2,Complexity Gaming,VINI,76561197996370184,3,Imperial Esports,,0,0,,AK-47,rifle,1,0,0,0,0,0,1155.617676,240.281921,130.531250,0,0,1235.765869,-742.935730,6.973768,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,25.297766,6688d6cc3a21a172
43144,35087,5,Grim,76561198191236195,2,Complexity Gaming,try,76561198365118288,3,Imperial Esports,,0,0,,AK-47,rifle,0,0,0,0,0,0,742.326172,-316.817749,140.419418,0,0,1172.421875,15.963776,148.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,13.810098,6688d6cc3a21a172
47934,38852,6,Grim,76561198191236195,2,Complexity Gaming,noway,76561198800209567,3,Imperial Esports,,0,0,,AK-47,rifle,1,0,0,0,0,0,-871.207214,-715.489502,37.474495,0,1,201.070496,-779.321106,153.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,27.447199,6688d6cc3a21a172
48437,39288,6,decenty,76561198307171910,3,Imperial Esports,EliGE,76561198066693739,2,Complexity Gaming,,0,0,,AK-47,rifle,1,0,0,0,0,0,-524.540649,844.190308,103.539047,0,0,-474.304565,337.163452,160.895584,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,13.026777,6688d6cc3a21a172
50561,41114,6,VINI,76561197996370184,3,Imperial Esports,floppy,76561198306519263,2,Complexity Gaming,,0,0,,MP9,smg,0,0,0,0,0,0,-1889.643066,667.251831,52.031254,0,0,-1952.031738,374.964813,113.625000,1,0,0,0.000000,0.000000,0.000000,0,0,0,0,7.769362,6688d6cc3a21a172
51472,41921,6," felps",76561197983031494,3,Imperial Esports,JT,76561198021715100,2,Complexity Gaming,,0,0,,MP9,smg,0,0,0,0,0,0,588.098572,-71.016968,180.031250,0,0,425.709015,-253.625854,162.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,6.206622,6688d6cc3a21a172
53584,43771,6," felps",76561197983031494,3,Imperial Esports,Grim,76561198191236195,2,Complexity Gaming,,0,0,,AK-47,rifle,1,0,0,0,0,0,1191.532837,-707.520691,10.390602,0,0,1222.251343,-102.728088,136.141205,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,15.688253,6688d6cc3a21a172
53881,44036,6," felps",76561197983031494,3,Imperial Esports,hallzerk,76561198060367310,2,Complexity Gaming,,0,0,,AK-47,rifle,0,0,0,0,0,0,1292.863892,-368.483582,80.577934,0,0,918.023315,-92.692078,134.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,11.918352,6688d6cc3a21a172
57489,46664,7,decenty,76561198307171910,3,Imperial Esports,hallzerk,76561198060367310,2,Complexity Gaming,,0,0,,AK-47,rifle,1,0,0,0,0,0,-604.299438,-389.070068,59.192783,0,0,-847.696838,-855.788025,37.775543,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,13.374661,6688d6cc3a21a172
57588,46743,7,EliGE,76561198066693739,2,Complexity Gaming,decenty,76561198307171910,3,Imperial Esports,,0,0,,AK-47,rifle,1,0,0,0,0,0,-769.741028,-683.335815,36.262108,0,1,-586.883179,-459.357727,39.808838,0,1,0,0.000000,0.000000,0.000000,1,0,0,0,7.347593,6688d6cc3a21a172
60022,48751,7,EliGE,76561198066693739,2,Complexity Gaming,VINI,76561197996370184,3,Imperial Esports,,0,0,,AK-47,rifle,1,0,0,0,0,0,-1400.178101,437.615723,93.031250,0,0,-1624.822266,1179.502930,52.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,19.696714,6688d6cc3a21a172
60099,48814,7,JT,76561198021715100,2,Complexity Gaming,try,76561198365118288,3,Imperial Esports,EliGE,76561198066693739,2,Complexity Gaming,AK-47,rifle,1,2,0,0,0,0,-1407.173340,281.319794,87.031250,0,0,-1244.688477,893.561890,62.031250,0,0,0,-1412.265015,451.548737,87.758774,0,0,0,0,16.104954,6688d6cc3a21a172
70980,57660,8,try,76561198365118288,3,Imperial Esports,EliGE,76561198066693739,2,Complexity Gaming,,0,0,,AWP,sniper,0,0,0,0,0,0,-999.566833,-145.714172,103.423920,0,0,-641.601257,-301.659729,56.220062,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,9.984703,6688d6cc3a21a172
75213,61367,8,JT,76561198021715100,2,Complexity Gaming,noway,76561198800209567,3,Imperial Esports,,0,0,,AK-47,rifle,0,1,0,0,0,0,1282.399536,-369.793579,79.331375,0,0,571.928345,149.502228,156.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,22.476774,6688d6cc3a21a172
75556,61663,8,JT,76561198021715100,2,Complexity Gaming," felps",76561197983031494,3,Imperial Esports,,0,0,,AK-47,rifle,0,0,0,0,0,0,1285.799316,-278.307983,110.240280,0,0,743.914124,-286.676086,138.603668,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,13.769903,6688d6cc3a21a172
75758,61828,8,decenty,76561198307171910,3,Imperial Esports,JT,76561198021715100,2,Complexity Gaming," felps",76561197983031494,3,Imperial Esports,M4A1,rifle,0,0,0,0,0,0,1377.687988,669.057190,129.839752,0,0,941.729492,-143.345825,179.656250,1,0,0,743.911987,-286.549500,138.600433,1,0,0,0,23.424475,6688d6cc3a21a172
76306,62270,8,Grim,76561198191236195,2,Complexity Gaming,try,76561198365118288,3,Imperial Esports,hallzerk,76561198060367310,2,Complexity Gaming,AK-47,rifle,0,0,0,0,0,0,-1402.003540,638.604980,70.287445,0,1,-1404.639771,110.366058,100.831779,0,0,0,-617.618591,-450.492249,42.902348,0,0,0,0,13.384292,6688d6cc3a21a172
77468,63249,8,VINI,76561197996370184,3,Imperial Esports,floppy,76561198306519263,2,Complexity Gaming,,0,0,,M4A1,rifle,1,0,0,0,0,0,-1580.074585,1182.410278,99.031250,0,0,-1585.886475,685.011780,55.540829,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,12.663568,6688d6cc3a21a172
