frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
11944,9826,1,INS,76561197987212623,3,Flyquest,kauez,76561198385657675,2,paiN Gaming,,0,0,,USP-S,pistol,0,0,0,0,0,0,-1649.401611,428.204254,11776.031250,0,0,-1897.185059,-204.494019,11776.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,17.250681,20785e8de8eb6acc
11996,9875,1,Vexite,76561198052888143,3,Flyquest," lux",76561198074017668,2,paiN Gaming,,0,0,,Dual Berettas,pistol,0,0,0,0,0,0,-1099.087769,-634.820251,11776.031250,0,0,-1129.754395,-971.090576,11776.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,8.581125,20785e8de8eb6acc
12034,9907,1,dexter,76561198061801241,3,Flyquest,snow,76561198377335846,2,paiN Gaming,,0,0,,USP-S,pistol,1,0,0,0,0,0,-1048.971191,-586.196838,11776.031250,0,0,-1091.568237,-1067.858765,11776.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,12.291038,20785e8de8eb6acc
12063,9929,1,Vexite,76561198052888143,3,Flyquest,biguzera,76561198015308884,2,paiN Gaming,,0,0,,Dual Berettas,pistol,1,0,0,0,0,0,-1100.463135,-628.537842,11776.031250,0,0,-1090.997559,-1154.347168,11776.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,13.392727,20785e8de8eb6acc
13019,10763,1,Vexite,76561198052888143,3,Flyquest,nqz,76561198350342505,2,paiN Gaming,dexter,76561198061801241,3,Flyquest,Dual Berettas,pistol,1,0,0,0,0,0,-227.914490,-1003.110840,11776.031250,0,0,-926.667175,-1235.195557,11746.031250,0,0,0,-1078.031738,-796.006836,11776.031250,0,0,0,0,18.726233,20785e8de8eb6acc
19149,15871,2,aliStair,76561198098346710,3,Flyquest,kauez,76561198385657675,2,paiN Gaming,Vexite,76561198052888143,3,Flyquest,MP9,smg,0,0,1,0,0,0,-722.885559,-1358.780029,11648.031250,0,0,-696.256897,-613.570801,11549.424805,0,1,0,-488.510986,-684.390869,11796.531250,0,1,0,0,19.124016,20785e8de8eb6acc
19277,15981,2,snow,76561198377335846,2,paiN Gaming,aliStair,76561198098346710,3,Flyquest,nqz,76561198350342505,2,paiN Gaming,Glock-18,pistol,1,0,0,0,0,0,-734.553162,-434.484619,11504.653320,0,0,-774.070801,-1350.775146,11648.031250,0,0,0,-675.645264,-471.869873,11514.000000,1,0,0,0,23.640303,20785e8de8eb6acc
19522,16202,2,snow,76561198377335846,2,paiN Gaming,dexter,76561198061801241,3,Flyquest,nqz,76561198350342505,2,paiN Gaming,Glock-18,pistol,1,0,0,0,0,0,-681.785645,-973.120972,11639.312500,0,0,-946.652344,-1315.302979,11764.218750,0,0,0,-962.969666,-607.940613,11592.031250,0,0,0,0,11.385022,20785e8de8eb6acc
22759,19058,2,Vexite,76561198052888143,3,Flyquest," lux",76561198074017668,2,paiN Gaming,,0,0,,MP9,smg,0,0,0,0,0,0,-1068.825439,-628.509644,11776.031250,0,0,-1090.851929,-966.416809,11776.031250,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,8.603998,20785e8de8eb6acc
22769,19067,2,Vexite,76561198052888143,3,Flyquest,snow,76561198377335846,2,paiN Gaming,aliStair,76561198098346710,3,Flyquest,MP9,smg,0,0,0,0,0,0,-1062.718506,-628.885803,11776.031250,0,0,-1078.359497,-1024.807007,11776.031250,0,0,0,-774.070801,-1350.775146,11648.031250,0,1,0,0,10.063092,20785e8de8eb6acc
