steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198072321716,Liazz,2,800,650,850,pistol,1,21b62d6fee23505f
76561198098346710,aliStair,2,800,650,1050,pistol,1,21b62d6fee23505f
76561198377335846,snow,3,800,800,400,pistol,1,21b62d6fee23505f
76561197987212623,INS,2,800,700,900,pistol,1,21b62d6fee23505f
76561198061801241,dexter,2,800,650,850,pistol,1,21b62d6fee23505f
76561198074017668," lux",3,800,650,950,pistol,1,21b62d6fee23505f
76561198385657675,kauez,3,800,650,950,pistol,1,21b62d6fee23505f
76561198052888143,Vexite,2,800,650,850,pistol,1,21b62d6fee23505f
76561198015308884,biguzera,3,800,650,850,pistol,1,21b62d6fee23505f
76561198350342505,nqz,3,800,650,850,pistol,1,21b62d6fee23505f
76561198350342505,nqz,3,4900,4900,5100,full,2,21b62d6fee23505f
76561197987212623,INS,2,2300,2200,2400,force-buy,2,21b62d6fee23505f
76561198061801241,dexter,2,2050,1500,1900,semi,2,21b62d6fee23505f
76561198385657675,kauez,3,3400,3350,3550,semi,2,21b62d6fee23505f
76561198377335846,snow,3,3250,3250,3450,semi,2,21b62d6fee23505f
76561198074017668," lux",3,3400,2900,5500,full,2,21b62d6fee23505f
76561198072321716,Liazz,2,2050,2000,2000,force-buy,2,21b62d6fee23505f
76561198052888143,Vexite,2,2050,2000,2000,force-buy,2,21b62d6fee23505f
76561198098346710,aliStair,2,2350,1850,1850,semi,2,21b62d6fee23505f
76561198015308884,biguzera,3,3400,3250,2450,semi,2,21b62d6fee23505f
76561198072321716,Liazz,2,2750,700,700,eco,3,21b62d6fee23505f
76561198052888143,Vexite,2,2450,300,300,eco,3,21b62d6fee23505f
76561198098346710,aliStair,2,2900,700,700,eco,3,21b62d6fee23505f
76561198377335846,snow,3,3250,1200,4450,semi,3,21b62d6fee23505f
76561198015308884,biguzera,3,4600,3900,5700,full,3,21b62d6fee23505f
76561198350342505,nqz,3,4150,1400,5800,full,3,21b62d6fee23505f
76561197987212623,INS,2,2500,700,700,eco,3,21b62d6fee23505f
76561198061801241,dexter,2,2950,900,900,eco,3,21b62d6fee23505f
76561198074017668," lux",3,3750,1100,5500,full,3,21b62d6fee23505f
76561198385657675,kauez,3,3300,2700,4150,semi,3,21b62d6fee23505f
76561198098346710,aliStair,2,5100,4800,5000,full,4,21b62d6fee23505f
76561198015308884,biguzera,3,4250,1300,5700,full,4,21b62d6fee23505f
76561198350342505,nqz,3,6000,1300,5700,full,4,21b62d6fee23505f
76561197987212623,INS,2,4700,4700,4900,full,4,21b62d6fee23505f
76561198074017668," lux",3,6200,300,5500,full,4,21b62d6fee23505f
76561198072321716,Liazz,2,4950,4900,5100,full,4,21b62d6fee23505f
76561198377335846,snow,3,6500,1100,4450,semi,4,21b62d6fee23505f
76561198061801241,dexter,2,4950,4900,5100,full,4,21b62d6fee23505f
76561198385657675,kauez,3,4450,1100,4650,full,4,21b62d6fee23505f
76561198052888143,Vexite,2,5050,4900,5100,full,4,21b62d6fee23505f
76561198074017668," lux",3,7300,4850,5050,full,5,21b62d6fee23505f
76561198385657675,kauez,3,4750,1100,6300,full,5,21b62d6fee23505f
76561198072321716,Liazz,2,3850,900,5100,full,5,21b62d6fee23505f
76561198052888143,Vexite,2,3650,3600,5100,full,5,21b62d6fee23505f
76561198098346710,aliStair,2,3800,1100,5000,full,5,21b62d6fee23505f
76561198377335846,snow,3,6800,1300,4450,semi,5,21b62d6fee23505f
76561198015308884,biguzera,3,4350,1300,5700,full,5,21b62d6fee23505f
76561198350342505,nqz,3,6400,1300,5500,full,5,21b62d6fee23505f
76561197987212623,INS,2,3800,1200,5100,full,5,21b62d6fee23505f
76561198061801241,dexter,2,3550,2200,5100,full,5,21b62d6fee23505f
76561198377335846,snow,3,7400,5800,5800,full,6,21b62d6fee23505f
76561198061801241,dexter,2,5450,3600,5100,full,6,21b62d6fee23505f
76561198098346710,aliStair,2,7100,1100,5000,full,6,21b62d6fee23505f
76561198015308884,biguzera,3,4950,4900,5100,full,6,21b62d6fee23505f
76561198350342505,nqz,3,7000,6900,6800,full,6,21b62d6fee23505f
76561197987212623,INS,2,6100,1200,5100,full,6,21b62d6fee23505f
76561198074017668," lux",3,4350,4350,5050,full,6,21b62d6fee23505f
76561198385657675,kauez,3,5850,5550,5550,full,6,21b62d6fee23505f
76561198072321716,Liazz,2,6450,1200,5100,full,6,21b62d6fee23505f
76561198052888143,Vexite,2,3850,2200,5100,full,6,21b62d6fee23505f
76561198385657675,kauez,3,3550,1450,5900,full,7,21b62d6fee23505f
76561198072321716,Liazz,2,7450,7300,4800,full,7,21b62d6fee23505f
76561197987212623,INS,2,6800,6750,4900,full,7,21b62d6fee23505f
76561198061801241,dexter,2,3750,2200,5100,full,7,21b62d6fee23505f
76561198074017668," lux",3,3850,2300,5300,full,7,21b62d6fee23505f
76561198052888143,Vexite,2,3850,2200,5100,full,7,21b62d6fee23505f
76561198098346710,aliStair,2,7900,7500,7050,full,7,21b62d6fee23505f
76561198377335846,snow,3,5450,3200,5600,full,7,21b62d6fee23505f
76561198015308884,biguzera,3,3300,2300,5400,full,7,21b62d6fee23505f
76561198350342505,nqz,3,3450,3400,6900,full,7,21b62d6fee23505f
76561198072321716,Liazz,2,3650,1200,5100,full,8,21b62d6fee23505f
76561198052888143,Vexite,2,5150,4900,5100,full,8,21b62d6fee23505f
76561198377335846,snow,3,3650,1300,5600,full,8,21b62d6fee23505f
76561198350342505,nqz,3,1450,800,6900,full,8,21b62d6fee23505f
76561198385657675,kauez,3,3800,3700,5600,full,8,21b62d6fee23505f
76561198098346710,aliStair,2,4300,1100,7050,full,8,21b62d6fee23505f
76561198015308884,biguzera,3,2400,1000,5600,full,8,21b62d6fee23505f
76561197987212623,INS,2,3550,1200,5100,full,8,21b62d6fee23505f
76561198061801241,dexter,2,5050,1200,5100,full,8,21b62d6fee23505f
76561198074017668," lux",3,2950,1950,5050,full,8,21b62d6fee23505f
76561198385657675,kauez,3,2000,0,200,eco,9,21b62d6fee23505f
76561197987212623,INS,2,5600,4900,5100,full,9,21b62d6fee23505f
76561198074017668," lux",3,3200,950,950,eco,9,21b62d6fee23505f
76561198072321716,Liazz,2,6000,500,5100,full,9,21b62d6fee23505f
76561198052888143,Vexite,2,3800,900,5100,full,9,21b62d6fee23505f
76561198098346710,aliStair,2,6650,1100,7050,full,9,21b62d6fee23505f
76561198377335846,snow,3,4250,500,800,eco,9,21b62d6fee23505f
76561198015308884,biguzera,3,3300,0,850,eco,9,21b62d6fee23505f
76561198350342505,nqz,3,2550,300,200,eco,9,21b62d6fee23505f
76561198061801241,dexter,2,7700,1000,5100,full,9,21b62d6fee23505f
76561198052888143,Vexite,2,6150,1000,5100,full,10,21b62d6fee23505f
76561198350342505,nqz,3,4650,4550,6600,full,10,21b62d6fee23505f
76561197987212623,INS,2,4550,2200,5100,full,10,21b62d6fee23505f
76561198072321716,Liazz,2,8750,1000,5100,full,10,21b62d6fee23505f
76561198098346710,aliStair,2,8800,1600,7350,full,10,21b62d6fee23505f
76561198377335846,snow,3,6150,6000,5050,full,10,21b62d6fee23505f
76561198015308884,biguzera,3,4450,4400,4600,full,10,21b62d6fee23505f
76561198061801241,dexter,2,10850,3900,5200,full,10,21b62d6fee23505f
76561198074017668," lux",3,4950,4850,5050,full,10,21b62d6fee23505f
76561198385657675,kauez,3,4400,4250,4450,force-buy,10,21b62d6fee23505f
76561198074017668," lux",3,3350,1300,5050,full,11,21b62d6fee23505f
76561198385657675,kauez,3,3700,2700,4150,semi,11,21b62d6fee23505f
76561198015308884,biguzera,3,3900,3900,5100,full,11,21b62d6fee23505f
76561198350342505,nqz,3,3450,2900,7650,full,11,21b62d6fee23505f
76561197987212623,INS,2,3750,2200,5100,full,11,21b62d6fee23505f
76561198072321716,Liazz,2,9150,4900,5100,full,11,21b62d6fee23505f
76561198052888143,Vexite,2,6550,4900,5100,full,11,21b62d6fee23505f
76561198098346710,aliStair,2,8800,6850,7050,full,11,21b62d6fee23505f
76561198377335846,snow,3,3700,3300,5800,full,11,21b62d6fee23505f
76561198061801241,dexter,2,8350,7500,5000,full,11,21b62d6fee23505f
76561198052888143,Vexite,2,3550,3500,3700,force-buy,12,21b62d6fee23505f
76561198098346710,aliStair,2,2050,1200,7350,full,12,21b62d6fee23505f
76561198377335846,snow,3,3950,3700,5800,full,12,21b62d6fee23505f
76561198015308884,biguzera,3,3550,2900,5800,full,12,21b62d6fee23505f
76561197987212623,INS,2,3450,3400,3900,force-buy,12,21b62d6fee23505f
76561198061801241,dexter,2,2750,2200,4200,full,12,21b62d6fee23505f
76561198074017668," lux",3,5300,2400,6000,full,12,21b62d6fee23505f
76561198385657675,kauez,3,4850,3700,5600,full,12,21b62d6fee23505f
76561198072321716,Liazz,2,6450,6400,4800,full,12,21b62d6fee23505f
76561198350342505,nqz,3,3900,3200,7750,full,12,21b62d6fee23505f
76561198015308884,biguzera,2,800,700,1200,pistol,13,21b62d6fee23505f
76561198350342505,nqz,2,800,700,900,pistol,13,21b62d6fee23505f
76561198074017668," lux",2,800,650,850,pistol,13,21b62d6fee23505f
76561198072321716,Liazz,3,800,650,850,pistol,13,21b62d6fee23505f
76561198377335846,snow,2,800,700,900,pistol,13,21b62d6fee23505f
76561197987212623,INS,3,800,650,1350,pistol,13,21b62d6fee23505f
76561198061801241,dexter,3,800,800,1000,pistol,13,21b62d6fee23505f
76561198385657675,kauez,2,800,700,900,pistol,13,21b62d6fee23505f
76561198052888143,Vexite,3,800,650,850,pistol,13,21b62d6fee23505f
76561198098346710,aliStair,3,800,650,850,pistol,13,21b62d6fee23505f
76561198098346710,aliStair,3,4550,4550,5400,full,14,21b62d6fee23505f
76561198377335846,snow,2,2600,2600,2600,force-buy,14,21b62d6fee23505f
76561197987212623,INS,3,4250,4250,5400,full,14,21b62d6fee23505f
76561198061801241,dexter,3,3500,3450,3650,semi,14,21b62d6fee23505f
76561198074017668," lux",2,2650,2600,3900,force-buy,14,21b62d6fee23505f
76561198385657675,kauez,2,3500,3350,3550,force-buy,14,21b62d6fee23505f
76561198072321716,Liazz,3,3650,3550,3750,semi,14,21b62d6fee23505f
76561198052888143,Vexite,3,3950,3950,4800,full,14,21b62d6fee23505f
76561198015308884,biguzera,2,2600,2450,1350,force-buy,14,21b62d6fee23505f
76561198350342505,nqz,2,2600,2600,2800,force-buy,14,21b62d6fee23505f
76561198074017668," lux",2,4150,4000,4200,full,15,21b62d6fee23505f
76561198385657675,kauez,2,3650,3600,3800,semi,15,21b62d6fee23505f
76561198052888143,Vexite,3,1400,1350,2800,force-buy,15,21b62d6fee23505f
76561198377335846,snow,2,4100,3900,4100,full,15,21b62d6fee23505f
76561198015308884,biguzera,2,3650,3450,3450,semi,15,21b62d6fee23505f
76561198350342505,nqz,2,3800,3700,3900,semi,15,21b62d6fee23505f
76561198072321716,Liazz,3,1500,1450,1450,force-buy,15,21b62d6fee23505f
76561198098346710,aliStair,3,1700,1550,1800,force-buy,15,21b62d6fee23505f
76561197987212623,INS,3,2300,2300,4900,full,15,21b62d6fee23505f
76561198061801241,dexter,3,1450,1400,1400,force-buy,15,21b62d6fee23505f
76561198098346710,aliStair,3,2050,0,2250,semi,16,21b62d6fee23505f
76561198377335846,snow,2,4000,1100,4100,full,16,21b62d6fee23505f
76561198350342505,nqz,2,3900,1400,4200,full,16,21b62d6fee23505f
76561198061801241,dexter,3,2250,300,500,eco,16,21b62d6fee23505f
76561198072321716,Liazz,3,1950,0,4050,semi,16,21b62d6fee23505f
76561198052888143,Vexite,3,1950,0,500,eco,16,21b62d6fee23505f
76561198015308884,biguzera,2,3700,1400,4700,full,16,21b62d6fee23505f
76561197987212623,INS,3,1900,0,800,eco,16,21b62d6fee23505f
76561198074017668," lux",2,3650,2200,4200,full,16,21b62d6fee23505f
76561198385657675,kauez,2,4150,3600,5000,full,16,21b62d6fee23505f
76561198061801241,dexter,3,4350,3950,4150,force-buy,17,21b62d6fee23505f
76561198098346710,aliStair,3,5050,5050,5450,full,17,21b62d6fee23505f
