number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,1019,1315,2712,3509,9850,11764,10298,12295,GamerLegion,Passion UA,0,1,3,2,4000,4000,4150,5350,3550,3450,pistol,pistol,133517,9,Passion UA,2,0,7f46d31ac4f6cb56
2,10298,12295,11578,14079,16721,20093,17169,20637,GamerLegion,Passion UA,1,1,3,2,10850,18600,9750,19550,9350,17800,force-buy,semi,99642,8,GamerLegion,3,0,7f46d31ac4f6cb56
3,17169,20637,18449,22449,22172,26948,22620,27497,GamerLegion,Passion UA,2,1,3,2,19850,8100,23200,8350,11750,7850,full,force-buy,80641,8,GamerLegion,3,0,7f46d31ac4f6cb56
4,22620,27497,23901,29130,25965,31379,26413,31899,GamerLegion,Passion UA,3,1,3,2,26150,9750,23350,1000,5700,0,full,eco,49604,8,GamerLegion,3,0,7f46d31ac4f6cb56
5,26413,31899,27693,33817,31292,38278,31740,38828,GamerLegion,Passion UA,4,1,3,2,38500,21750,24050,21300,4000,20300,full,full,81510,8,GamerLegion,3,0,7f46d31ac4f6cb56
6,33829,41555,35109,43359,43563,53223,44011,53749,GamerLegion,Passion UA,4,2,3,2,52550,16250,26900,8950,9100,8550,full,semi,149093,9,Passion UA,2,0,7f46d31ac4f6cb56
7,44011,53749,45291,55570,53442,65213,53890,65742,GamerLegion,Passion UA,4,3,3,2,51650,25750,29400,25700,28400,22000,full,full,146486,1,Passion UA,2,0,7f46d31ac4f6cb56
8,56768,69313,58048,71246,64858,79444,65306,80039,GamerLegion,Passion UA,5,3,3,2,32850,22450,29100,25800,16950,9500,full,full,129453,7,GamerLegion,3,0,7f46d31ac4f6cb56
9,65306,80039,66586,81776,73594,90110,74042,90639,GamerLegion,Passion UA,6,3,3,2,35200,26350,29300,24400,13250,23700,full,full,128687,7,GamerLegion,3,0,7f46d31ac4f6cb56
10,76238,93490,77518,95205,82532,101256,82980,101795,GamerLegion,Passion UA,7,3,3,2,40850,19150,30100,19450,23100,18650,full,force-buy,99233,7,GamerLegion,3,0,7f46d31ac4f6cb56
11,82980,101795,84260,103634,89056,109254,89504,109785,GamerLegion,Passion UA,8,3,3,2,36850,18900,30550,10400,14450,10200,full,semi,95310,7,GamerLegion,3,0,7f46d31ac4f6cb56
12,89504,109785,90784,111696,95603,117592,99091,121528,GamerLegion,Passion UA,9,3,3,2,41700,30000,31550,25900,29250,25100,full,full,99757,7,GamerLegion,3,0,7f46d31ac4f6cb56
13,99091,121528,100787,123816,104664,128252,105112,128812,GamerLegion,Passion UA,9,4,2,3,4000,4000,4200,4200,3400,3400,pistol,pistol,85919,8,Passion UA,3,0,7f46d31ac4f6cb56
14,105112,128812,106392,130563,113071,138359,113519,138879,GamerLegion,Passion UA,10,4,2,3,10400,18350,1000,20200,0,18050,eco,semi,121991,9,GamerLegion,2,0,7f46d31ac4f6cb56
15,113519,138879,114799,140763,122159,149180,122607,149699,GamerLegion,Passion UA,10,5,2,3,28450,8500,24950,8400,18800,8000,full,force-buy,131625,12,Passion UA,3,0,7f46d31ac4f6cb56
16,122607,149699,123887,151559,127778,156261,128226,156813,GamerLegion,Passion UA,11,5,2,3,15850,18250,19500,26850,14000,14150,force-buy,full,83849,9,GamerLegion,2,0,7f46d31ac4f6cb56
17,130239,159346,131519,161133,136794,167283,137242,167810,GamerLegion,Passion UA,11,6,2,3,19900,11400,26100,11850,8800,11150,full,force-buy,101418,8,Passion UA,3,0,7f46d31ac4f6cb56
18,137242,167810,138522,169709,146354,178947,146802,179488,GamerLegion,Passion UA,12,6,2,3,18700,18000,19500,26050,18300,12850,force-buy,full,142308,9,GamerLegion,2,0,7f46d31ac4f6cb56
19,146802,179488,148082,181360,153048,187281,153048,187281,GamerLegion,Passion UA,13,6,2,3,28100,9950,25400,14400,9600,12300,full,force-buy,99578,9,GamerLegion,2,0,7f46d31ac4f6cb56
