frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
6147,5025,1,noway,76561198800209567,2,Imperial Esports,FalleN,76561197960690195,3,FURIA,VINI,76561197996370184,2,Imperial Esports,Glock-18,pistol,1,0,1,0,0,0,1643.162598,1464.742065,-151.968750,0,0,1351.267456,1643.127441,-151.968750,0,1,0,1434.265015,893.286072,-151.968750,0,1,0,0,8.640631,2624ce5e4e994f2
6292,5156,1,KSCERATO,76561198058500492,3,FURIA,noway,76561198800209567,2,Imperial Esports,,0,0,,USP-S,pistol,1,0,0,0,0,0,1616.462891,1978.175537,-70.468750,0,1,1443.639771,1788.218018,-151.968750,0,0,0,0.000000,0.000000,0.000000,1,1,0,0,6.695891,2624ce5e4e994f2
6339,5194,1," felps",76561197983031494,2,Imperial Esports,KSCERATO,76561198058500492,3,FURIA,VINI,76561197996370184,2,Imperial Esports,Glock-18,pistol,1,0,1,0,0,0,1516.578247,1695.046753,-151.968750,0,0,1632.200195,1962.513306,-70.468750,0,0,0,1747.120483,1382.942993,-151.968750,1,1,0,0,7.641334,2624ce5e4e994f2
6391,5239,1,chelo,76561198067763828,3,FURIA," felps",76561197983031494,2,Imperial Esports,,0,0,,USP-S,pistol,1,0,0,0,0,0,792.512451,1412.511597,-87.968750,0,0,1503.484131,1722.708374,-151.968750,0,0,0,0.000000,0.000000,0.000000,1,1,0,0,19.768122,2624ce5e4e994f2
6591,5412,1,VINI,76561197996370184,2,Imperial Esports,chelo,76561198067763828,3,FURIA,decenty,76561198307171910,2,Imperial Esports,Glock-18,pistol,1,0,0,0,0,0,1628.393066,1926.439697,-70.468750,0,0,777.992493,1409.153076,-87.968750,0,0,0,1720.126221,1891.633179,-83.968750,1,0,0,0,25.285566,2624ce5e4e994f2
8700,7280,1,VINI,76561197996370184,2,Imperial Esports,skullz,76561198118646644,3,FURIA,,0,0,,Glock-18,pistol,1,0,0,0,0,0,1288.325684,1984.194824,-191.968750,0,0,1217.664429,1504.012695,-151.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,12.326176,2624ce5e4e994f2
9284,7798,1,yuurih,76561198164970560,3,FURIA,VINI,76561197996370184,2,Imperial Esports,chelo,76561198067763828,3,FURIA,USP-S,pistol,0,0,0,0,0,0,825.447021,2065.136230,-39.968750,0,0,787.426331,1344.046021,-87.968750,0,0,0,778.257874,1408.680664,-87.968750,0,0,0,0,18.367285,2624ce5e4e994f2
9957,8379,1,World,0,0,,yuurih,76561198164970560,3,FURIA,,0,0,,C4,equipment,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,588.142212,2010.764893,-38.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,2624ce5e4e994f2
24288,20060,2,noway,76561198800209567,2,Imperial Esports,chelo,76561198067763828,3,FURIA,,0,0,,Galil AR,rifle,1,0,0,0,0,0,-120.612549,396.960815,0.266545,0,0,82.925133,474.897552,-18.308105,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,5.529879,2624ce5e4e994f2
24978,20610,2," felps",76561197983031494,2,Imperial Esports,FalleN,76561197960690195,3,FURIA,try,76561198365118288,2,Imperial Esports,MAC-10,smg,1,0,1,0,0,0,1438.009033,1642.544556,-151.968750,0,0,1039.395996,1693.581909,-151.968750,0,1,0,999.033142,446.033478,-188.705444,0,0,0,0,10.125110,2624ce5e4e994f2
25142,20754,2,try,76561198365118288,2,Imperial Esports,卡神 （你根本拼不过卡斯瑞托）,76561198058500492,3,FURIA,noway,76561198800209567,2,Imperial Esports,Galil AR,rifle,0,0,0,0,0,0,1010.997620,252.126907,-188.521729,0,0,-762.982666,151.728210,-95.968750,0,0,0,87.933250,-275.351013,0.500127,0,0,0,0,45.192448,2624ce5e4e994f2
25220,20828,2," felps",76561197983031494,2,Imperial Esports,skullz,76561198118646644,3,FURIA,try,76561198365118288,2,Imperial Esports,MAC-10,smg,0,0,1,0,0,0,939.121826,1465.378052,-87.968750,0,0,778.648987,1752.706909,-39.968750,0,1,0,1011.315552,215.068268,-188.648743,0,0,0,0,8.408297,2624ce5e4e994f2
25273,20872,2," felps",76561197983031494,2,Imperial Esports,yuurih,76561198164970560,3,FURIA,,0,0,,MAC-10,smg,0,0,0,0,0,0,914.175110,1474.152954,-87.968750,0,0,725.576721,1964.468018,-39.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,13.396380,2624ce5e4e994f2
34191,27743,3,卡神 （你根本拼不过卡斯瑞托）,76561198058500492,3,FURIA,VINI,76561197996370184,2,Imperial Esports,FalleN,76561197960690195,3,FURIA,HE Grenade,grenade,0,0,1,0,0,0,-500.249878,82.312378,-119.968750,0,0,-767.354919,361.388489,-55.968750,0,1,0,-1276.482422,1314.879028,-30.968750,0,1,0,0,9.946447,2624ce5e4e994f2
34267,27812,3,decenty,76561198307171910,2,Imperial Esports,卡神 （你根本拼不过卡斯瑞托）,76561198058500492,3,FURIA,VINI,76561197996370184,2,Imperial Esports,Galil AR,rifle,0,0,0,0,0,0,-667.398499,418.225433,-71.968750,0,0,-573.565796,61.728565,-93.684387,0,0,0,-766.848694,361.884521,-55.968750,1,0,0,0,9.371907,2624ce5e4e994f2
34382,27914,3,decenty,76561198307171910,2,Imperial Esports,chelo,76561198067763828,3,FURIA,,0,0,,Galil AR,rifle,1,0,0,0,0,0,-707.640137,396.443665,-55.968750,0,0,-528.494202,72.031349,-105.341492,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,9.523593,2624ce5e4e994f2
34543,28056,3," felps",76561197983031494,2,Imperial Esports,yuurih,76561198164970560,3,FURIA,,0,0,,MAC-10,smg,1,0,0,0,0,0,-959.899658,620.043579,-1.968750,0,0,-922.569153,790.567627,17.496021,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,4.439500,2624ce5e4e994f2
34577,28085,3," felps",76561197983031494,2,Imperial Esports,skullz,76561198118646644,3,FURIA,,0,0,,MAC-10,smg,1,0,0,0,0,0,-954.441467,620.206970,-1.968750,0,0,-979.357117,797.539673,-0.870422,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,4.546313,2624ce5e4e994f2
38967,31464,4,decenty,76561198307171910,2,Imperial Esports,chelo,76561198067763828,3,FURIA,,0,0,,AK-47,rifle,0,0,0,0,0,0,-24.487305,-394.223755,0.253950,0,0,-157.953735,516.532776,39.828125,1,0,0,0.000000,0.000000,0.000000,0,0,1,0,23.323605,2624ce5e4e994f2
39593,31964,4,yuurih,76561198164970560,3,FURIA,VINI,76561197996370184,2,Imperial Esports,,0,0,,M4A1,rifle,0,0,0,0,0,0,1615.627808,846.959167,-151.968750,0,0,830.521545,915.585938,-148.968750,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,20.017912,2624ce5e4e994f2
39698,32049,4," felps",76561197983031494,2,Imperial Esports,yuurih,76561198164970560,3,FURIA,VINI,76561197996370184,2,Imperial Esports,AK-47,rifle,1,0,0,0,0,0,1174.130859,802.158020,-151.968750,0,0,1667.394409,907.678040,-151.968750,0,0,0,830.521545,915.585938,-148.968750,1,0,0,0,12.793522,2624ce5e4e994f2
39815,32152,4,卡神 （你根本拼不过卡斯瑞托）,76561198058500492,3,FURIA,decenty,76561198307171910,2,Imperial Esports,,0,0,,M4A1,rifle,0,0,0,0,0,0,22.343204,604.935730,2.031250,0,1,-169.546570,268.022186,0.191911,0,1,0,0.000000,0.000000,0.000000,0,0,0,0,9.862844,2624ce5e4e994f2
49509,40013,5," felps",76561197983031494,2,Imperial Esports,FalleN,76561197960690195,3,FURIA,,0,0,,AK-47,rifle,0,0,0,0,0,0,101.174843,100.119881,-151.066895,0,1,-179.828613,118.796257,-148.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,7.167865,2624ce5e4e994f2
49754,40205,5,VINI,76561197996370184,2,Imperial Esports,yuurih,76561198164970560,3,FURIA," felps",76561197983031494,2,Imperial Esports,M4A1,rifle,0,0,0,0,0,0,612.339905,259.339844,-188.784973,0,0,-786.338989,100.755066,-87.968750,0,0,0,148.785568,187.936783,-188.833618,0,0,1,0,35.834324,2624ce5e4e994f2
50381,40701,5,noway,76561198800209567,2,Imperial Esports,skullz,76561198118646644,3,FURIA,try,76561198365118288,2,Imperial Esports,M4A1,rifle,0,0,1,0,0,0,-1541.599243,620.983765,38.031246,0,1,-1382.825073,805.500549,38.031250,0,1,0,-1488.749268,-53.236267,30.859375,0,0,1,0,6.210487,2624ce5e4e994f2
51055,41251,5,chelo,76561198067763828,3,FURIA," felps",76561197983031494,2,Imperial Esports,,0,0,,M4A1,rifle,1,0,0,0,0,0,-383.633423,1193.769287,60.031250,0,0,-681.518555,1188.684814,45.387871,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,7.571803,2624ce5e4e994f2
51859,41926,5,decenty,76561198307171910,2,Imperial Esports,chelo,76561198067763828,3,FURIA," felps",76561197983031494,2,Imperial Esports,AK-47,rifle,1,0,0,0,0,0,286.342926,430.058655,-28.968750,0,0,118.581581,1622.051758,-28.737000,0,0,0,-681.501221,1188.738892,45.431137,0,0,0,0,30.580210,2624ce5e4e994f2
59728,48260,6,skullz,76561198118646644,3,FURIA,noway,76561198800209567,2,Imperial Esports,,0,0,,M4A1,rifle,0,0,0,0,0,0,-716.600830,684.754517,38.031250,0,0,-1866.984009,233.682449,58.031250,0,0,0,0.000000,0.000000,0.000000,0,0,1,0,31.393894,2624ce5e4e994f2
65390,52966,6,chelo,76561198067763828,3,FURIA,decenty,76561198307171910,2,Imperial Esports,skullz,76561198118646644,3,FURIA,M4A1,rifle,1,0,0,0,0,0,958.865662,1292.242676,-87.968750,0,0,329.625793,1235.552612,-30.246033,0,0,0,-647.076904,496.942505,38.031254,0,0,0,0,16.129614,2624ce5e4e994f2
65950,53448,6,VINI,76561197996370184,2,Imperial Esports,chelo,76561198067763828,3,FURIA,decenty,76561198307171910,2,Imperial Esports,M4A1,rifle,0,0,0,0,0,0,1757.400146,1446.394043,-149.265015,0,0,1025.926514,1800.350952,-191.968750,0,0,0,329.700256,1234.536133,-30.252991,0,1,0,0,20.665367,2624ce5e4e994f2
66060,53543,6,FalleN,76561197960690195,3,FURIA,VINI,76561197996370184,2,Imperial Esports,chelo,76561198067763828,3,FURIA,AWP,sniper,0,0,0,0,0,0,791.469360,1684.316528,-41.751404,0,0,1734.599609,1615.588135,-151.968750,0,0,0,1025.796265,1800.083984,-191.968750,1,0,0,0,24.247984,2624ce5e4e994f2
74185,59876,7,decenty,76561198307171910,2,Imperial Esports,chelo,76561198067763828,3,FURIA,,0,0,,AK-47,rifle,1,0,0,0,0,0,-161.481873,851.106934,0.266544,0,0,331.765808,882.829468,-30.446655,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,12.580264,2624ce5e4e994f2
74596,60226,7,FalleN,76561197960690195,3,FURIA,decenty,76561198307171910,2,Imperial Esports,chelo,76561198067763828,3,FURIA,USP-S,pistol,0,0,0,0,0,0,423.232056,1325.717651,-29.968750,0,0,-96.237183,673.883301,0.266544,0,0,0,331.765808,882.829468,-30.446655,0,0,0,0,21.201731,2624ce5e4e994f2
