name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
try,76561198365118288,48,Imperial Esports,14,5,11,2,14,1.272727,83.333328,60.000000,0.583333,0.458333,0.791667,2,-1,0,0,0,4,0,0,1440,126,19,8,10,12,10,9,1,1,0,0,0,7,9,12,10,9,0,0,2,2,0,0,5,3,1,0,0,1.142486,1.075392,CSGO-aJoGn-rKXMH-yuEdf-DsHQ4-KS8SA,3,0,2624ce5e4e994f2
skullz,76561198118646644,39,FURIA,16,3,13,12,75,1.230769,70.833328,76.333336,0.666667,0.541667,4.541667,2,-1,0,0,0,0,0,0,1832,335,109,3,5,7,5,4,1,1,0,0,0,2,4,7,5,4,3,0,0,3,0,0,7,3,1,0,0,1.122821,1.076862,CSGO-ufZUO-V27Te-WQRmC-LhG9C-6AU8N,3,0,2624ce5e4e994f2
chelo,76561198067763828,26,FURIA,6,6,20,6,100,0.300000,54.166668,40.375000,0.250000,0.833333,1.416667,1,-1,0,0,0,2,0,0,969,188,34,2,4,6,4,3,1,1,0,0,0,1,3,6,4,3,1,7,1,3,0,1,6,0,0,0,0,0.382971,0.345183,CSGO-u6bMR-DB7Qo-Aa4WY-hGUN7-RhoUE,1,0,2624ce5e4e994f2
VINI,76561197996370184,34,Imperial Esports,9,9,17,3,33,0.529412,66.666672,43.000000,0.375000,0.708333,2.708333,3,-1,0,0,0,2,1,0,1032,164,65,5,7,9,7,6,2,2,1,1,1,3,5,8,6,5,0,5,1,4,0,2,5,2,0,0,0,0.669729,0.600190,CSGO-kmKP5-5C66s-GnMXH-JPWTf-ENopQ,2,0,2624ce5e4e994f2
" felps",76561197983031494,52,Imperial Esports,18,6,14,11,61,1.285714,75.000000,80.416664,0.750000,0.583333,2.500000,3,-1,0,0,0,1,1,0,1930,320,60,3,5,7,5,4,1,1,0,0,0,2,4,7,5,4,3,1,3,2,0,0,7,4,1,0,0,1.228581,1.136579,CSGO-WFAjB-qHKEd-s3KvA-SBVvq-DiRFE,0,0,2624ce5e4e994f2
KSCERATO,76561198058500492,61,FURIA,24,1,12,11,45,2.000000,87.500000,100.916664,1.000000,0.500000,10.583333,4,-1,0,0,0,2,0,0,2422,440,254,4,6,8,6,5,1,1,0,0,0,3,5,8,6,5,4,1,4,2,0,0,7,7,1,0,0,1.625168,1.486115,CSGO-AkTYm-syAcf-UKom7-tGKdM-mOJvM,0,0,2624ce5e4e994f2
noway,76561198800209567,28,Imperial Esports,11,4,14,8,72,0.785714,75.000000,54.833332,0.458333,0.583333,9.500000,2,-1,0,0,0,0,0,0,1316,292,228,2,4,6,4,3,1,1,0,0,0,1,3,6,4,3,2,4,1,3,0,2,7,2,0,0,0,0.886314,0.772046,CSGO-rdMfz-kj8kd-Jix98-dviFA-aotiB,1,0,2624ce5e4e994f2
FalleN,76561197960690195,49,FURIA,13,6,10,5,38,1.300000,79.166672,61.375000,0.541667,0.416667,1.666667,3,-1,0,0,0,6,1,0,1473,120,40,5,7,9,7,6,2,2,1,1,1,3,5,8,6,5,1,3,5,2,0,2,7,3,0,0,0,1.106811,1.002149,CSGO-x9fLs-qNrwm-dUTGU-VudAL-FYkoE,2,0,2624ce5e4e994f2
yuurih,76561198164970560,36,FURIA,12,5,15,5,41,0.800000,62.500000,72.208336,0.500000,0.625000,2.583333,3,-1,0,0,0,1,0,0,1733,315,62,4,6,8,6,5,1,1,0,0,0,3,5,8,6,5,3,1,2,3,0,0,6,1,0,1,0,0.868625,0.893628,CSGO-HBz8G-fnZTD-H3L3s-etmrY-AO6FP,4,0,2624ce5e4e994f2
decenty,76561198307171910,49,Imperial Esports,18,2,15,10,55,1.200000,83.333328,77.875000,0.750000,0.625000,2.458333,1,-1,0,0,0,2,0,0,1869,300,59,3,5,7,5,4,1,1,0,0,0,2,4,7,5,4,7,2,4,1,0,0,10,4,0,0,0,1.242473,1.029994,CSGO-FzdxN-qpHh6-DraKi-2ewVW-zj9aC,4,0,2624ce5e4e994f2
