frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
8202,6833,1,3,2,0,76561198134401925,YEKINDAR,0,0,ec69a6d82d403375
15912,13075,2,4,2,0,76561198283989223,ultimate,0,0,ec69a6d82d403375
24692,20290,3,4,2,0,76561197977105184,jks,0,1,ec69a6d82d403375
61490,50512,6,3,2,0,76561198283989223,ultimate,1,0,ec69a6d82d403375
92169,75619,9,3,2,0,76561197977105184,jks,0,0,ec69a6d82d403375
98389,80592,10,3,2,0,76561198134401925,YEKINDAR,0,0,ec69a6d82d403375
110909,90630,11,2,3,0,76561198052888143,Vexite,0,1,ec69a6d82d403375
112274,91814,11,1,2,1,76561198016255205,Twistzz,1,1,ec69a6d82d403375
117692,96020,12,3,2,0,76561198016255205,Twistzz,0,2,ec69a6d82d403375
123049,100802,12,1,3,1,76561198072321716,Liazz,1,1,ec69a6d82d403375
135796,111762,13,2,3,1,76561198016255205,Twistzz,1,2,ec69a6d82d403375
135995,111942,13,1,2,0,76561198098346710,aliStair,0,0,ec69a6d82d403375
141780,116579,14,4,2,0,76561198098346710,aliStair,0,0,ec69a6d82d403375
147146,120856,15,5,2,0,76561198052888143,Vexite,0,2,ec69a6d82d403375
159653,131195,16,3,3,0,76561198001151695," NAF-FLY",1,0,ec69a6d82d403375
172880,142178,17,4,3,0,76561197977105184,jks,0,1,ec69a6d82d403375
181991,149434,18,3,3,0,76561198001151695," NAF-FLY",0,0,ec69a6d82d403375
