name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
INS,76561197987212623,39,Flyquest,17,4,10,10,58,1.700000,88.888893,108.722221,0.944444,0.555556,15.000000,2,-1,0,0,0,0,0,0,1957,363,270,3,2,7,4,1,2,1,0,0,0,1,1,7,4,1,2,2,4,2,0,0,10,2,1,0,0,1.600649,1.313698,CSGO-3xiMr-jCmZO-iFx3d-4PtTr-8t8rN,2,0,ec69a6d82d403375
dexter,76561198061801241,29,Flyquest,11,4,9,3,27,1.222222,83.333328,68.666664,0.611111,0.500000,9.555555,4,-1,0,0,0,1,1,0,1236,275,172,3,2,7,4,1,2,1,0,0,0,1,1,7,4,1,2,3,1,4,0,2,6,1,1,0,0,1.173409,1.048410,CSGO-6Kzze-S5sfc-ThAvk-qsONh-TsKjC,3,0,ec69a6d82d403375
Twistzz,76561198016255205,30,Team Liquid,12,3,13,5,41,0.923077,72.222221,62.555557,0.666667,0.722222,0.000000,3,-1,0,0,0,1,1,0,1126,135,0,6,5,10,7,4,4,3,2,2,2,2,2,8,5,2,2,2,2,5,0,1,2,5,0,0,0,0.996804,0.945307,CSGO-SuJrK-oszyK-c9huu-Bk4dD-mzxsP,1,0,ec69a6d82d403375
Liazz,76561198072321716,31,Flyquest,12,3,9,6,50,1.333333,77.777779,65.333336,0.666667,0.500000,6.777778,4,-1,0,0,0,2,0,0,1176,298,122,4,3,8,5,2,3,2,1,1,1,1,1,7,4,1,0,0,2,3,0,0,3,3,1,0,0,1.164671,1.159278,CSGO-3xiMr-jCmZO-iFx3d-4PtTr-8t8rN,4,0,ec69a6d82d403375
ultimate,76561198283989223,17,Team Liquid,6,3,13,4,66,0.461538,55.555557,47.888889,0.333333,0.722222,4.666667,1,-1,0,0,0,1,0,0,862,159,84,5,4,9,6,3,2,1,0,0,0,3,3,9,6,3,0,3,1,2,0,1,2,2,0,0,0,0.540092,0.570131,CSGO-omus2-BZHdX-d2hB5-MEOKJ-edK5O,4,0,ec69a6d82d403375
YEKINDAR,76561198134401925,20,Team Liquid,9,2,16,9,100,0.562500,55.555557,70.555557,0.500000,0.888889,6.388889,0,-1,0,0,0,0,0,0,1270,192,115,5,4,9,6,3,2,1,0,0,0,3,3,9,6,3,2,4,2,2,0,1,5,2,0,0,0,0.662330,0.573072,CSGO-ufZUO-V27Te-WQRmC-LhG9C-6AU8N,2,0,ec69a6d82d403375
aliStair,76561198098346710,41,Flyquest,16,4,8,6,37,2.000000,94.444443,86.222221,0.888889,0.444444,6.055555,2,-1,0,0,0,1,0,0,1552,234,109,5,4,9,6,3,2,1,0,0,0,3,3,9,6,3,3,1,3,2,0,1,8,4,0,0,0,1.580397,1.325929,CSGO-SmiNS-kqmvz-wpZB2-7k5qR-MpW5F,0,0,ec69a6d82d403375
" NAF-FLY",76561198001151695,19,Team Liquid,8,3,13,4,50,0.615385,77.777779,48.666668,0.444444,0.722222,0.166667,1,-1,0,0,0,0,0,0,876,111,3,5,4,9,6,3,2,1,0,0,0,3,3,9,6,3,2,1,2,2,0,0,3,1,1,0,0,0.800840,0.727416,CSGO-J29Jc-WDCwx-VdLUG-szY5O-33LsE,0,0,ec69a6d82d403375
Vexite,76561198052888143,24,Flyquest,11,4,9,9,81,1.222222,88.888893,69.611115,0.611111,0.500000,6.944445,1,-1,0,0,0,0,0,0,1253,212,125,5,4,9,6,3,2,1,0,0,0,3,3,9,6,3,4,1,3,3,0,0,7,2,0,0,0,1.216987,0.983959,CSGO-Yd2eM-z9qfp-YsKFG-aOmUH-vcj5P,1,0,ec69a6d82d403375
jks,76561197977105184,24,Team Liquid,10,1,12,6,60,0.833333,72.222221,57.055557,0.555556,0.666667,4.277778,0,-1,0,0,0,1,0,0,1027,226,77,6,5,10,7,4,2,1,0,0,0,4,4,10,7,4,1,1,4,2,0,0,4,3,0,0,0,0.901703,0.833459,CSGO-35MX9-meJQK-L92Hx-oEBN4-ObmbN,3,0,ec69a6d82d403375
