frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
4749,3890,1,YEKINDAR,76561198134401925,3,Team Liquid,Vexite,76561198052888143,2,Flyquest,,0,0,,USP-S,pistol,1,0,0,0,0,0,-1605.787598,406.167633,0.031250,0,0,-1533.993164,67.890381,-0.219543,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,8.813148,70edba2a4e5b79f8
5231,4300,1,INS,76561197987212623,2,Flyquest,YEKINDAR,76561198134401925,3,Team Liquid,aliStair,76561198098346710,2,Flyquest,Glock-18,pistol,1,0,1,0,0,0,-1720.461670,-129.357666,32.031250,0,0,-1352.028809,771.055725,38.031250,0,1,0,-830.430298,-862.756104,106.031250,0,0,0,0,24.711386,70edba2a4e5b79f8
5605,4624,1,jks,76561197977105184,3,Team Liquid,dexter,76561198061801241,2,Flyquest," NAF-FLY",76561198001151695,3,Team Liquid,USP-S,pistol,1,0,0,0,0,0,-728.157349,1192.893555,48.031250,0,0,-1531.539062,464.608215,0.031250,0,1,0,-747.164429,674.949585,36.414360,0,0,1,0,27.641476,70edba2a4e5b79f8
5728,4740,1,ultimate,76561198283989223,3,Team Liquid,Liazz,76561198072321716,2,Flyquest,jks,76561197977105184,3,Team Liquid,USP-S,pistol,1,0,0,0,0,0,-698.126343,866.311279,38.031250,0,0,-1576.279663,698.225586,38.031250,0,0,0,-768.702332,1120.344604,36.031246,0,0,0,0,22.756342,70edba2a4e5b79f8
5859,4852,1,ultimate,76561198283989223,3,Team Liquid,INS,76561197987212623,2,Flyquest,,0,0,,USP-S,pistol,1,0,0,0,0,0,-702.011230,882.045532,38.031250,0,0,-1590.987793,688.307129,38.031246,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,23.166157,70edba2a4e5b79f8
5988,4969,1,Twistzz,76561198016255205,3,Team Liquid,aliStair,76561198098346710,2,Flyquest,,0,0,,USP-S,pistol,1,0,0,0,0,0,-1103.045288,439.307892,1.031250,0,0,-1340.823853,364.526611,0.717680,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,6.338380,70edba2a4e5b79f8
10175,8265,2,aliStair,76561198098346710,2,Flyquest,ultimate,76561198283989223,3,Team Liquid,,0,0,,Desert Eagle,pistol,1,0,0,0,0,0,-180.222168,-33.924744,0.266544,0,0,-16.112610,768.360352,0.266545,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,20.785513,70edba2a4e5b79f8
10364,8417,2,YEKINDAR,76561198134401925,3,Team Liquid,Liazz,76561198072321716,2,Flyquest,,0,0,,MP9,smg,0,0,0,0,0,0,-797.534119,-601.893311,80.344559,0,0,-234.246338,-164.364136,0.266546,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,18.252710,70edba2a4e5b79f8
11284,9202,2,Twistzz,76561198016255205,3,Team Liquid,Vexite,76561198052888143,2,Flyquest,,0,0,,M4A1,rifle,0,0,0,0,0,0,3.634432,886.496765,0.266543,0,0,-49.290466,242.833984,1.288213,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,16.404358,70edba2a4e5b79f8
11286,9204,2,dexter,76561198061801241,2,Flyquest,Twistzz,76561198016255205,3,Team Liquid,,0,0,,Desert Eagle,pistol,1,0,0,0,0,0,-220.488892,-197.182861,0.266546,0,0,3.935291,886.467407,0.266543,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,28.110203,70edba2a4e5b79f8
