frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
5039,4044,1,Twistzz,76561198016255205,3,Team Liquid,dexter,76561198061801241,2,Flyquest,,0,0,,USP-S,pistol,1,0,0,0,0,0,944.002808,-1564.175049,-415.968750,0,0,763.550537,-2419.391357,-415.968750,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,22.197414,ac50fa2d86d7ec32
5138,4130,1,INS,76561197987212623,2,Flyquest,Twistzz,76561198016255205,3,Team Liquid,,0,0,,Glock-18,pistol,1,0,0,0,0,0,176.280487,-1205.358154,-415.968750,0,0,815.389221,-1615.580566,-415.968750,0,1,0,0.000000,0.000000,0.000000,1,0,1,0,19.347958,ac50fa2d86d7ec32
5506,4452,1,Vexite,76561198052888143,2,Flyquest,YEKINDAR,76561198134401925,3,Team Liquid,,0,0,,Glock-18,pistol,0,1,0,0,0,0,1229.384644,-1362.826904,-415.968750,0,0,1702.229004,-572.304688,-351.968750,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,23.459730,ac50fa2d86d7ec32
5704,4627,1," NAF-FLY",76561198001151695,3,Team Liquid,Vexite,76561198052888143,2,Flyquest,YEKINDAR,76561198134401925,3,Team Liquid,USP-S,pistol,0,0,0,0,0,0,1522.797241,-478.447388,-415.968750,0,0,1367.031738,-1272.086060,-415.968750,0,0,0,1704.728760,-573.667603,-351.968750,1,0,0,0,20.541162,ac50fa2d86d7ec32
6294,5158,1,ultimate,76561198283989223,3,Team Liquid,Liazz,76561198072321716,2,Flyquest,,0,0,,USP-S,pistol,1,0,0,0,0,0,1745.006714,-1648.151123,-415.968750,0,0,1455.123535,-553.305603,-415.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,28.673258,ac50fa2d86d7ec32
6732,5552,1,jks,76561197977105184,3,Team Liquid,aliStair,76561198098346710,2,Flyquest,,0,0,,Dual Berettas,pistol,1,0,0,0,0,0,-181.909912,-1103.550049,-415.968750,0,0,-442.729980,-855.454895,-415.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,9.154150,ac50fa2d86d7ec32
7301,6061,1," NAF-FLY",76561198001151695,3,Team Liquid,INS,76561197987212623,2,Flyquest,,0,0,,USP-S,pistol,1,0,0,0,0,0,872.659851,-654.253357,-399.968689,0,0,542.894897,-1299.808350,-415.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,18.411423,ac50fa2d86d7ec32
14503,12177,2,jks,76561197977105184,3,Team Liquid,Liazz,76561198072321716,2,Flyquest,,0,0,,M4A1,rifle,1,0,0,0,0,0,1324.593018,-412.472290,-127.968750,0,1,1066.004517,-1432.988770,-407.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,27.792238,ac50fa2d86d7ec32
14570,12228,2,YEKINDAR,76561198134401925,3,Team Liquid,dexter,76561198061801241,2,Flyquest,,0,0,,MP9,smg,0,0,0,0,0,0,802.126282,-710.604065,-206.968750,0,0,487.361633,-849.276489,-391.968750,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,9.985991,ac50fa2d86d7ec32
14778,12403,2,YEKINDAR,76561198134401925,3,Team Liquid,aliStair,76561198098346710,2,Flyquest,,0,0,,MP9,smg,0,0,0,0,0,0,796.041565,-626.538391,-206.968750,0,0,820.556885,-607.874084,-399.968262,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,4.962948,ac50fa2d86d7ec32
15032,12628,2,Twistzz,76561198016255205,3,Team Liquid,Vexite,76561198052888143,2,Flyquest," NAF-FLY",76561198001151695,3,Team Liquid,MP9,smg,0,0,0,0,0,0,192.627594,-1567.750366,-767.968750,0,0,258.766754,-1303.257568,-775.968750,0,0,0,902.722351,-309.958862,-639.968750,0,0,0,0,6.924841,ac50fa2d86d7ec32
15122,12702,2,jks,76561197977105184,3,Team Liquid,INS,76561197987212623,2,Flyquest,YEKINDAR,76561198134401925,3,Team Liquid,M4A1,rifle,0,0,0,0,0,0,990.087524,-442.034302,-127.968750,0,0,686.661743,-1582.586304,-415.968750,0,0,0,480.727661,-1251.844238,-415.968750,0,0,0,0,30.885033,ac50fa2d86d7ec32
