frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
8213,6873,1,3,3,0,76561198001151695," NAF-FLY",0,0,aa4ca1d27f10b983
30727,26171,3,2,2,1,76561197981849043,stanislaw,1,2,aa4ca1d27f10b983
31029,26438,3,1,3,0,76561198283989223,ultimate,0,0,aa4ca1d27f10b983
39976,33556,4,4,2,0,76561197975129851,Sonic,0,0,aa4ca1d27f10b983
67820,56277,6,3,2,0,76561198408199043,phzy,0,2,aa4ca1d27f10b983
68501,56874,6,1,3,1,76561198016255205,Twistzz,1,1,aa4ca1d27f10b983
74831,61915,7,3,2,0,76561197975129851,Sonic,0,1,aa4ca1d27f10b983
85781,70876,8,5,2,0,76561198184153575,JBa,0,0,aa4ca1d27f10b983
106867,88133,10,4,2,0,76561198408199043,phzy,0,1,aa4ca1d27f10b983
115245,94747,11,4,2,0,76561198342718168,susp,0,1,aa4ca1d27f10b983
125053,102644,12,4,2,0,76561198342718168,susp,0,3,aa4ca1d27f10b983
127399,104694,12,1,3,1,76561198134401925,YEKINDAR,1,1,aa4ca1d27f10b983
140216,115626,13,3,3,0,76561198342718168,susp,1,0,aa4ca1d27f10b983
159879,131627,15,3,3,0,76561197975129851,Sonic,0,0,aa4ca1d27f10b983
170706,140339,16,2,2,0,76561197977105184,jks,1,0,aa4ca1d27f10b983
180119,147804,17,3,2,0,76561198134401925,YEKINDAR,0,0,aa4ca1d27f10b983
186144,152403,18,5,2,0,76561197977105184,jks,0,2,aa4ca1d27f10b983
193909,158558,19,3,2,0,76561198134401925,YEKINDAR,0,0,aa4ca1d27f10b983
207680,169597,20,2,3,0,76561198184153575,JBa,0,0,aa4ca1d27f10b983
212930,173493,21,3,2,0,76561198283989223,ultimate,0,0,aa4ca1d27f10b983
224193,182470,22,3,3,0,76561198408199043,phzy,0,0,aa4ca1d27f10b983
235820,191592,23,2,3,0,76561198408199043,phzy,0,1,aa4ca1d27f10b983
235977,191729,23,1,2,1,76561197977105184,jks,1,1,aa4ca1d27f10b983
