frame,tick,round,killer name,killer steamid,killer side,killer team name,victim name,victim steamid,victim side,victim team name,assister name,assister steamid,assister side,assister team name,weapon name,weapon_type,headshot,penetrated objects,is flash assist,killer controlling bot,victim controlling bot,assister controlling bot,killer x,killer y,killer z,is killer airborne,is killer blinded,victim x,victim y,victim z,is victim airborne,is victim blinded,is victim inspecting weapon,assister x,assister y,assister z,is trade kill,is trade death,is through smoke,is no scope,distance,match checksum
5125,3904,1,kaze,76561197976393269,3,Rare Atom,bodyy,76561198013295375,2,Fnatic,,0,0,,USP-S,pistol,1,0,0,0,0,0,705.328674,-317.766113,139.233200,0,1,789.209534,-199.828247,129.037628,0,1,0,0.000000,0.000000,0.000000,0,1,0,0,3.766094,1de6309d4f5b3794
5232,3984,1,MATYS,76561199046478501,2,Fnatic,kaze,76561197976393269,3,Rare Atom,KRiMZ,76561198031651584,2,Fnatic,Glock-18,pistol,1,0,1,0,0,0,887.915649,50.771305,130.901108,0,0,730.014160,-314.987671,139.678879,0,0,0,1190.269897,-775.343933,5.228751,1,1,0,0,10.131615,1de6309d4f5b3794
5419,4143,1,ChildKing,76561198352656104,3,Rare Atom,MATYS,76561199046478501,2,Fnatic,kaze,76561197976393269,3,Rare Atom,Dual Berettas,pistol,1,0,0,0,0,0,611.237549,191.912323,142.047699,0,1,779.857178,-22.256409,130.031250,0,1,0,728.907227,-314.519531,139.592819,1,0,0,0,6.927654,1de6309d4f5b3794
5557,4258,1,ChildKing,76561198352656104,3,Rare Atom,KRiMZ,76561198031651584,2,Fnatic,,0,0,,Dual Berettas,pistol,1,0,0,0,0,0,609.906311,201.580826,143.015869,0,0,862.375122,-211.964783,130.199814,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,12.387027,1de6309d4f5b3794
5647,4333,1,ChildKing,76561198352656104,3,Rare Atom,blameF,76561198028458803,2,Fnatic,,0,0,,Dual Berettas,pistol,1,0,0,0,0,0,563.000244,184.359283,156.031250,0,0,885.790161,180.405151,130.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,8.225801,1de6309d4f5b3794
6308,4917,1,nawwk,76561198153651861,2,Fnatic,ChildKing,76561198352656104,3,Rare Atom,blameF,76561198028458803,2,Fnatic,Glock-18,pistol,0,0,0,0,0,0,686.707886,60.552612,131.681000,0,0,626.307678,200.426270,131.109131,0,0,0,885.790161,180.405151,130.031250,0,1,0,0,3.873873,1de6309d4f5b3794
6381,4980,1,nawwk,76561198153651861,2,Fnatic,SOMEBODY,76561198045397601,3,Rare Atom,,0,0,,Glock-18,pistol,1,0,0,0,0,0,673.321838,76.903374,134.031250,0,0,762.956970,195.483994,134.031250,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,3.776764,1de6309d4f5b3794
6399,4996,1,L1haNg,76561199016206318,3,Rare Atom,nawwk,76561198153651861,2,Fnatic,ChildKing,76561198352656104,3,Rare Atom,Dual Berettas,pistol,1,2,0,0,0,0,1006.450256,331.151215,124.720345,0,0,686.353760,62.801163,131.858063,0,0,0,627.244690,200.752426,131.343384,1,0,0,0,10.561923,1de6309d4f5b3794
14458,11315,2,L1haNg,76561199016206318,3,Rare Atom,KRiMZ,76561198031651584,2,Fnatic,,0,0,,M4A1,rifle,1,0,0,0,0,0,-596.339417,-498.942749,37.482738,0,0,-1163.454468,-909.624023,34.852898,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,17.860903,1de6309d4f5b3794
14752,11564,2,MATYS,76561199046478501,2,Fnatic,Summer,76561198013230247,3,Rare Atom,,0,0,,P250,pistol,1,0,0,0,0,0,940.181702,-842.922607,16.005388,0,0,349.577209,-842.149902,143.247787,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,15.401266,1de6309d4f5b3794
14862,11668,2,L1haNg,76561199016206318,3,Rare Atom,bodyy,76561198013295375,2,Fnatic,kaze,76561197976393269,3,Rare Atom,M4A1,rifle,0,0,1,0,0,0,-631.538635,-129.291016,56.735901,0,0,-717.781921,-649.206299,89.765625,1,1,0,-1757.526489,1004.555847,52.031250,0,0,0,0,13.418393,1de6309d4f5b3794
14980,11768,2,SOMEBODY,76561198045397601,3,Rare Atom,blameF,76561198028458803,2,Fnatic,kaze,76561197976393269,3,Rare Atom,MP9,smg,1,0,1,0,0,0,-530.547852,-261.204712,56.031311,0,0,-736.628479,-672.750732,32.204956,0,1,0,-1628.610718,904.834290,52.031246,0,1,0,0,11.721138,1de6309d4f5b3794
14985,11773,2,L1haNg,76561199016206318,3,Rare Atom,nawwk,76561198153651861,2,Fnatic,kaze,76561197976393269,3,Rare Atom,Dual Berettas,pistol,1,0,1,0,0,0,-589.522095,-277.752014,56.031204,0,0,-802.095642,-828.716980,37.661381,0,1,0,-1618.863159,904.667542,52.031250,0,0,0,0,14.968280,1de6309d4f5b3794
15323,12069,2,MATYS,76561199046478501,2,Fnatic,SOMEBODY,76561198045397601,3,Rare Atom,nawwk,76561198153651861,2,Fnatic,MP9,smg,1,0,0,0,0,0,-78.915833,-762.813904,153.031250,0,0,-464.410339,-731.403809,32.030697,0,0,0,-802.095642,-828.716980,37.661381,1,1,0,0,10.323345,1de6309d4f5b3794
15334,12077,2,L1haNg,76561199016206318,3,Rare Atom,MATYS,76561199046478501,2,Fnatic,,0,0,,Dual Berettas,pistol,1,0,0,0,0,0,-439.812195,-714.168701,32.030743,0,0,-71.028442,-750.395203,153.031250,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,9.900517,1de6309d4f5b3794
25019,19520,3,L1haNg,76561199016206318,3,Rare Atom,bodyy,76561198013295375,2,Fnatic,,0,0,,M4A1,rifle,1,0,0,0,0,0,-1044.625000,720.860413,76.183777,0,0,-1957.699951,559.872375,52.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,23.543402,1de6309d4f5b3794
25268,19712,3,L1haNg,76561199016206318,3,Rare Atom,nawwk,76561198153651861,2,Fnatic,SOMEBODY,76561198045397601,3,Rare Atom,M4A1,rifle,0,0,0,0,0,0,-1129.382080,589.264954,116.031250,0,1,-2064.347168,612.804565,52.031254,0,1,0,-1841.588989,540.031616,52.031250,0,1,0,0,23.788427,1de6309d4f5b3794
25324,19758,3,MATYS,76561199046478501,2,Fnatic,SOMEBODY,76561198045397601,3,Rare Atom,bodyy,76561198013295375,2,Fnatic,AK-47,rifle,1,0,0,0,0,0,-2099.869385,623.515747,52.031265,0,0,-1842.156250,540.250854,52.031250,0,0,0,-1957.699951,559.872375,52.031250,0,1,0,0,6.880860,1de6309d4f5b3794
25403,19830,3,L1haNg,76561199016206318,3,Rare Atom,MATYS,76561199046478501,2,Fnatic,SOMEBODY,76561198045397601,3,Rare Atom,M4A1,rifle,0,0,0,0,0,0,-1144.059326,578.093445,73.031250,0,1,-2102.830078,605.815735,52.031475,0,0,0,-1842.156250,540.250854,52.031250,1,1,0,0,24.367657,1de6309d4f5b3794
25418,19844,3,KRiMZ,76561198031651584,2,Fnatic,L1haNg,76561199016206318,3,Rare Atom,MATYS,76561199046478501,2,Fnatic,Galil AR,rifle,1,0,0,0,0,0,-2111.167236,563.209290,52.031250,0,0,-1144.028320,583.754150,73.031250,0,1,0,-2102.830078,605.815735,52.031475,1,0,0,0,24.563236,1de6309d4f5b3794
28055,22154,3,Summer,76561198013230247,3,Rare Atom,KRiMZ,76561198031651584,2,Fnatic,,0,0,,M4A1,rifle,1,0,0,0,0,0,-1675.546143,935.579529,52.031250,0,0,-2100.171143,237.748047,88.031250,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,20.763142,1de6309d4f5b3794
33871,26397,4,kaze,76561197976393269,3,Rare Atom,MATYS,76561199046478501,2,Fnatic,,0,0,,M4A1,rifle,0,0,0,0,0,0,599.250427,401.762756,122.578941,0,0,1299.957153,-242.525940,114.357224,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,24.179049,1de6309d4f5b3794
34303,26740,4,Summer,76561198013230247,3,Rare Atom,bodyy,76561198013295375,2,Fnatic,,0,0,,AK-47,rifle,1,0,0,0,0,0,671.227234,35.999283,134.031250,0,0,1199.284546,-250.888977,111.613808,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,15.347838,1de6309d4f5b3794
34535,26917,4,nawwk,76561198153651861,2,Fnatic,Summer,76561198013230247,3,Rare Atom,blameF,76561198028458803,2,Fnatic,Galil AR,rifle,0,0,0,0,0,0,979.538818,-261.966064,126.760956,0,0,675.322571,3.453876,134.031250,0,0,0,385.967926,-563.967163,182.031250,1,0,0,0,10.253304,1de6309d4f5b3794
35170,27455,4,ChildKing,76561198352656104,3,Rare Atom,KRiMZ,76561198031651584,2,Fnatic,Summer,76561198013230247,3,Rare Atom,M4A4,rifle,1,0,0,0,0,0,1196.052979,843.998047,114.746574,0,0,1116.923340,-130.688660,130.531250,0,0,0,673.768005,0.475851,134.031250,0,1,0,0,24.844580,1de6309d4f5b3794
35373,27628,4,nawwk,76561198153651861,2,Fnatic,ChildKing,76561198352656104,3,Rare Atom,,0,0,,AK-47,rifle,0,0,0,0,0,0,988.844604,-44.056458,130.031250,0,0,1298.272949,759.231262,120.788017,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,21.867386,1de6309d4f5b3794
35913,28098,4,SOMEBODY,76561198045397601,3,Rare Atom,nawwk,76561198153651861,2,Fnatic,ChildKing,76561198352656104,3,Rare Atom,Galil AR,rifle,0,0,0,0,0,0,1310.408813,567.875671,128.662842,0,0,824.266541,4.967181,130.901123,0,0,0,1298.272949,759.231262,120.788017,0,0,0,0,18.895597,1de6309d4f5b3794
36073,28239,4,blameF,76561198028458803,2,Fnatic,kaze,76561197976393269,3,Rare Atom,MATYS,76561199046478501,2,Fnatic,AK-47,rifle,0,0,0,0,0,0,1257.098022,-238.460999,111.313736,0,0,613.451965,594.062500,117.866928,0,0,0,1299.957153,-242.525940,114.357224,0,1,1,0,26.724421,1de6309d4f5b3794
36138,28298,4,SOMEBODY,76561198045397601,3,Rare Atom,blameF,76561198028458803,2,Fnatic,,0,0,,Galil AR,rifle,1,0,0,0,0,0,1182.987305,240.302811,130.531250,0,0,1183.786133,-233.579773,113.220955,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,12.041390,1de6309d4f5b3794
42842,32829,5,Summer,76561198013230247,3,Rare Atom,MATYS,76561199046478501,2,Fnatic,ChildKing,76561198352656104,3,Rare Atom,HE Grenade,grenade,0,0,0,0,0,0,735.093933,635.632690,127.299347,0,0,536.470093,-857.686035,119.428055,0,0,0,454.040192,-254.856445,162.463165,0,0,0,0,38.266796,1de6309d4f5b3794
43546,33363,5,ChildKing,76561198352656104,3,Rare Atom,bodyy,76561198013295375,2,Fnatic,L1haNg,76561199016206318,3,Rare Atom,M4A4,rifle,1,0,1,0,0,0,-49.969849,-728.354248,153.051468,0,0,-594.605591,-648.911316,32.031334,0,1,0,-577.190491,678.074829,138.031250,0,1,0,0,14.331116,1de6309d4f5b3794
43610,33419,5,KRiMZ,76561198031651584,2,Fnatic,ChildKing,76561198352656104,3,Rare Atom,,0,0,,AK-47,rifle,1,0,0,0,0,0,-571.126343,-869.554260,32.077293,0,0,-56.719910,-746.661255,153.031250,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,13.861455,1de6309d4f5b3794
43686,33486,5,blameF,76561198028458803,2,Fnatic,SOMEBODY,76561198045397601,3,Rare Atom,,0,0,,AK-47,rifle,1,0,0,0,0,0,-337.308472,-827.837158,32.429100,0,0,-708.602905,-261.910400,59.759224,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,17.223705,1de6309d4f5b3794
43781,33570,5,L1haNg,76561199016206318,3,Rare Atom,blameF,76561198028458803,2,Fnatic,,0,0,,AK-47,rifle,1,0,0,0,0,0,-406.519287,167.996872,174.031250,0,0,-397.996338,-830.890930,32.037281,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,25.612736,1de6309d4f5b3794
48099,37366,5,L1haNg,76561199016206318,3,Rare Atom,KRiMZ,76561198031651584,2,Fnatic,,0,0,,AK-47,rifle,1,0,0,0,0,0,52.274231,-705.481445,156.179382,0,0,-1181.639771,-854.688843,37.101719,0,0,0,0.000000,0.000000,0.000000,0,1,0,0,31.755724,1de6309d4f5b3794
48181,37435,5,nawwk,76561198153651861,2,Fnatic,L1haNg,76561199016206318,3,Rare Atom,,0,0,,AK-47,rifle,1,0,0,0,0,0,-1204.676758,-847.979797,40.557907,0,0,52.467499,-707.328796,155.926743,0,0,0,0.000000,0.000000,0.000000,1,0,0,0,32.227207,1de6309d4f5b3794
