frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
1932,1519,1,76561198352656104,2,ChildKing,Kevlar Vest,equipment,01JM6FZRAPE7Q7CXPMGA9B65M8,0,14bf5c671e3f6811
1967,1543,1,76561199016206318,2,L1haNg,Kevlar Vest,equipment,01JM6FZRAQMFN1MYVNR7D708E2,0,14bf5c671e3f6811
1999,1567,1,76561198153651861,3,nawwk,Kevlar Vest,equipment,01JM6FZRAQMFN1MYVNR8TVGRRN,0,14bf5c671e3f6811
2015,1579,1,76561198045397601,2,SOMEBODY,Kevlar Vest,equipment,01JM6FZRAQMFN1MYVNR9G1GHEK,0,14bf5c671e3f6811
2021,1583,1,76561198028458803,3,blameF,Kevlar Vest,equipment,01JM6FZRAR4BTN19HHJ4PKCE00,0,14bf5c671e3f6811
2044,1598,1,76561198013295375,3,bodyy,Dual Berettas,pistol,01JM6FZRAR4BTN19HHJ6B5XP1P,0,14bf5c671e3f6811
2048,1602,1,76561198045397601,2,SOMEBODY,Decoy Grenade,grenade,01JM6FZRAR4BTN19HHJ92XBS1K,0,14bf5c671e3f6811
2152,1678,1,76561198013295375,3,bodyy,Defuse Kit,equipment,01JM6FZRAT5SMCJT7X9JH5HNES,0,14bf5c671e3f6811
2176,1696,1,76561198031651584,3,KRiMZ,Kevlar Vest,equipment,01JM6FZRAV56VZCV9KJZXXN687,0,14bf5c671e3f6811
2319,1803,1,76561199046478501,3,MATYS,Kevlar Vest,equipment,01JM6FZRAXD4NS4899AVNWZ3E5,0,14bf5c671e3f6811
2761,2119,1,76561197976393269,2,kaze,Smoke Grenade,grenade,01JM6FZRB3F84QF6M3SZKMTDVP,0,14bf5c671e3f6811
2967,2283,1,76561198013230247,2,Summer,Smoke Grenade,grenade,01JM6FZRB6GK79SM2A54W8NWMY,0,14bf5c671e3f6811
7172,5724,2,76561198153651861,3,nawwk,Kevlar + Helmet,equipment,01JM6FZRH3CCYJ2E38VKZ979X8,0,14bf5c671e3f6811
7184,5731,2,76561198028458803,3,blameF,MP9,smg,01JM6FZRH3CCYJ2E38VQXSSKWK,0,14bf5c671e3f6811
7209,5751,2,76561198028458803,3,blameF,Kevlar + Helmet,equipment,01JM6FZRH4JRVQDJKK5YSYPGQC,0,14bf5c671e3f6811
7219,5757,2,76561198013295375,3,bodyy,MP9,smg,01JM6FZRH4JRVQDJKK604EF2YV,0,14bf5c671e3f6811
7259,5777,2,76561198013295375,3,bodyy,Kevlar + Helmet,equipment,01JM6FZRH5MB5CE2HRXG6Y2KVK,0,14bf5c671e3f6811
7282,5790,2,76561198028458803,3,blameF,Smoke Grenade,grenade,01JM6FZRH5MB5CE2HRXH15PM7W,0,14bf5c671e3f6811
7294,5800,2,76561198013295375,3,bodyy,Smoke Grenade,grenade,01JM6FZRH5MB5CE2HRXJWJZEBB,0,14bf5c671e3f6811
7303,5807,2,76561199046478501,3,MATYS,Kevlar + Helmet,equipment,01JM6FZRH63SJ5GJ3K45KWBMD3,0,14bf5c671e3f6811
7313,5813,2,76561198013295375,3,bodyy,Incendiary Grenade,grenade,01JM6FZRH63SJ5GJ3K48PY4ASF,0,14bf5c671e3f6811
7326,5823,2,76561198013295375,3,bodyy,HE Grenade,grenade,01JM6FZRH63SJ5GJ3K49Y3P09W,0,14bf5c671e3f6811
7337,5833,2,76561198028458803,3,blameF,HE Grenade,grenade,01JM6FZRH63SJ5GJ3K4CRXZ4DX,0,14bf5c671e3f6811
7361,5852,2,76561198028458803,3,blameF,Incendiary Grenade,grenade,01JM6FZRH7W23J4BH0WQ84ZY8G,0,14bf5c671e3f6811
7385,5866,2,76561198031651584,3,KRiMZ,M4A4,rifle,01JM6FZRH7W23J4BH0WR8WT7YH,0,14bf5c671e3f6811
7406,5879,2,76561199046478501,3,MATYS,M4A1,rifle,01JM6FZRH8TQNRZXX9PW7A4QAX,0,14bf5c671e3f6811
7419,5887,2,76561198031651584,3,KRiMZ,Kevlar + Helmet,equipment,01JM6FZRH8TQNRZXX9PZEFNQM7,0,14bf5c671e3f6811
7430,5895,2,76561199046478501,3,MATYS,Smoke Grenade,grenade,01JM6FZRH8TQNRZXX9Q27ZBBDA,0,14bf5c671e3f6811
7443,5906,2,76561199046478501,3,MATYS,HE Grenade,grenade,01JM6FZRH8TQNRZXX9Q2JQ3RCH,0,14bf5c671e3f6811
7481,5931,2,76561198031651584,3,KRiMZ,Smoke Grenade,grenade,01JM6FZRH8TQNRZXX9Q5Q38B3T,0,14bf5c671e3f6811
8365,6463,2,76561198045397601,2,SOMEBODY,Tec-9,pistol,01JM6FZRHR3DPF2TJY8PWR15C5,0,14bf5c671e3f6811
8397,6479,2,76561198045397601,2,SOMEBODY,Kevlar + Helmet,equipment,01JM6FZRHSAZZWT2A4PGG36M6B,0,14bf5c671e3f6811
8466,6513,2,76561198045397601,2,SOMEBODY,Smoke Grenade,grenade,01JM6FZRHTS0KZ1P223PRG1GR3,1,14bf5c671e3f6811
8624,6624,2,76561199016206318,2,L1haNg,Tec-9,pistol,01JM6FZRHX633J11H6PTMSHM20,0,14bf5c671e3f6811
8640,6638,2,76561199016206318,2,L1haNg,Kevlar + Helmet,equipment,01JM6FZRHX633J11H6PTZ28TZD,0,14bf5c671e3f6811
8757,6722,2,76561198153651861,3,nawwk,Smoke Grenade,grenade,01JM6FZRJ149HD61YHHQGTPJV5,0,14bf5c671e3f6811
8820,6769,2,76561197976393269,2,kaze,Tec-9,pistol,01JM6FZRJ2NER0NAQTGM1YM25C,0,14bf5c671e3f6811
8828,6777,2,76561198013230247,2,Summer,Kevlar Vest,equipment,01JM6FZRJ2NER0NAQTGNH5EC2G,0,14bf5c671e3f6811
8843,6792,2,76561198352656104,2,ChildKing,Kevlar + Helmet,equipment,01JM6FZRJ2NER0NAQTGQ7ASHPS,0,14bf5c671e3f6811
8856,6801,2,76561198013230247,2,Summer,Tec-9,pistol,01JM6FZRJ3KNBHFWXAW52EDVWT,0,14bf5c671e3f6811
