steamid,name,player side,start money,money spent,equipment value,type,round,match checksum
76561198045397601,SOMEBODY,3,800,700,900,pistol,1,603e990725938bf7
76561198031651584,KRiMZ,2,800,700,900,pistol,1,603e990725938bf7
76561198352656104,ChildKing,3,800,650,850,pistol,1,603e990725938bf7
76561197976393269,kaze,3,800,650,850,pistol,1,603e990725938bf7
76561199016206318,L1haNg,3,800,650,850,pistol,1,603e990725938bf7
76561198153651861,nawwk,2,800,700,900,pistol,1,603e990725938bf7
76561198013295375,bodyy,2,800,650,850,pistol,1,603e990725938bf7
76561199046478501,MATYS,2,800,650,850,pistol,1,603e990725938bf7
76561198028458803,blameF,2,800,700,900,pistol,1,603e990725938bf7
76561198013230247,Summer,3,800,650,850,pistol,1,603e990725938bf7
76561198013295375,bodyy,2,2650,2600,2600,force-buy,2,603e990725938bf7
76561199046478501,MATYS,2,2650,2550,2750,force-buy,2,603e990725938bf7
76561198045397601,SOMEBODY,3,4200,4200,4700,full,2,603e990725938bf7
76561198028458803,blameF,2,2900,2800,3000,force-buy,2,603e990725938bf7
76561198013230247,Summer,3,4550,4550,5400,full,2,603e990725938bf7
76561198153651861,nawwk,2,2900,2800,3000,force-buy,2,603e990725938bf7
76561198031651584,KRiMZ,2,2600,2550,2750,force-buy,2,603e990725938bf7
76561198352656104,ChildKing,3,3650,3650,4500,full,2,603e990725938bf7
76561197976393269,kaze,3,3650,3650,3850,semi,2,603e990725938bf7
76561199016206318,L1haNg,3,3950,3550,3650,semi,2,603e990725938bf7
76561199046478501,MATYS,2,2800,700,700,eco,3,603e990725938bf7
76561198352656104,ChildKing,3,3550,3550,3750,semi,3,603e990725938bf7
76561197976393269,kaze,3,4450,4200,5800,full,3,603e990725938bf7
76561198028458803,blameF,2,2800,700,700,eco,3,603e990725938bf7
76561199016206318,L1haNg,3,3650,2300,3750,semi,3,603e990725938bf7
76561198153651861,nawwk,2,2500,700,700,eco,3,603e990725938bf7
76561198013295375,bodyy,2,2450,200,400,eco,3,603e990725938bf7
76561198045397601,SOMEBODY,3,3850,1700,6200,full,3,603e990725938bf7
76561198031651584,KRiMZ,2,2450,700,700,eco,3,603e990725938bf7
76561198013230247,Summer,3,3250,1300,4300,semi,3,603e990725938bf7
76561198031651584,KRiMZ,2,4650,4600,5000,full,4,603e990725938bf7
76561198013295375,bodyy,2,5150,4800,5000,full,4,603e990725938bf7
76561199046478501,MATYS,2,5300,4800,5000,full,4,603e990725938bf7
76561198352656104,ChildKing,3,3250,2700,5800,full,4,603e990725938bf7
76561197976393269,kaze,3,4400,1000,7650,full,4,603e990725938bf7
76561198028458803,blameF,2,5000,4900,5100,full,4,603e990725938bf7
76561199016206318,L1haNg,3,4600,1100,3750,semi,4,603e990725938bf7
76561198013230247,Summer,3,5800,1300,4300,semi,4,603e990725938bf7
76561198153651861,nawwk,2,4700,4600,5000,full,4,603e990725938bf7
76561198045397601,SOMEBODY,3,5400,5250,6200,full,4,603e990725938bf7
76561199046478501,MATYS,2,3900,2000,2000,semi,5,603e990725938bf7
76561198045397601,SOMEBODY,3,3400,2300,5400,full,5,603e990725938bf7
76561198352656104,ChildKing,3,3800,1300,5800,full,5,603e990725938bf7
76561198028458803,blameF,2,3500,2350,2550,semi,5,603e990725938bf7
76561199016206318,L1haNg,3,7950,3400,5700,full,5,603e990725938bf7
76561198153651861,nawwk,2,3800,1500,1500,semi,5,603e990725938bf7
76561198013295375,bodyy,2,3750,1850,1850,semi,5,603e990725938bf7
76561198031651584,KRiMZ,2,4050,2350,2550,semi,5,603e990725938bf7
76561197976393269,kaze,3,6950,5800,7550,full,5,603e990725938bf7
76561198013230247,Summer,3,7750,5400,5400,full,5,603e990725938bf7
76561198013295375,bodyy,2,5300,4900,5100,full,6,603e990725938bf7
76561198031651584,KRiMZ,2,5700,4900,5100,full,6,603e990725938bf7
76561198352656104,ChildKing,3,5750,2300,5400,full,6,603e990725938bf7
76561197976393269,kaze,3,4600,800,7950,full,6,603e990725938bf7
76561198028458803,blameF,2,4550,4400,4600,full,6,603e990725938bf7
76561199046478501,MATYS,2,5300,4800,5000,full,6,603e990725938bf7
76561198045397601,SOMEBODY,3,4350,1000,5400,full,6,603e990725938bf7
76561199016206318,L1haNg,3,8100,3400,6000,full,6,603e990725938bf7
76561198013230247,Summer,3,6200,4850,5050,full,6,603e990725938bf7
76561198153651861,nawwk,2,6000,5900,6100,full,6,603e990725938bf7
76561197976393269,kaze,3,5200,5050,6700,full,7,603e990725938bf7
76561198028458803,blameF,2,4000,900,5100,full,7,603e990725938bf7
76561199016206318,L1haNg,3,6100,6000,4750,full,7,603e990725938bf7
76561198013295375,bodyy,2,4250,900,5100,full,7,603e990725938bf7
76561199046478501,MATYS,2,4050,1750,5000,full,7,603e990725938bf7
76561198045397601,SOMEBODY,3,4750,4650,5050,full,7,603e990725938bf7
76561198031651584,KRiMZ,2,4050,1200,5100,full,7,603e990725938bf7
76561198352656104,ChildKing,3,4850,4700,4900,full,7,603e990725938bf7
76561198013230247,Summer,3,2750,2650,2450,force-buy,7,603e990725938bf7
76561198153651861,nawwk,2,3650,1550,7150,full,7,603e990725938bf7
76561198013295375,bodyy,2,6850,6850,5000,full,8,603e990725938bf7
76561198352656104,ChildKing,3,4550,1200,5200,full,8,603e990725938bf7
76561197976393269,kaze,3,3650,3550,6450,full,8,603e990725938bf7
76561199016206318,L1haNg,3,3900,2300,5400,full,8,603e990725938bf7
76561198013230247,Summer,3,4200,3900,5150,full,8,603e990725938bf7
76561199046478501,MATYS,2,5800,4900,5100,full,8,603e990725938bf7
76561198045397601,SOMEBODY,3,3600,2700,5800,full,8,603e990725938bf7
76561198031651584,KRiMZ,2,6650,4900,5100,full,8,603e990725938bf7
76561198028458803,blameF,2,6900,4900,5100,full,8,603e990725938bf7
76561198153651861,nawwk,2,5700,4600,6850,full,8,603e990725938bf7
76561199046478501,MATYS,2,4400,2200,5100,full,9,603e990725938bf7
76561198045397601,SOMEBODY,3,2300,2250,2450,force-buy,9,603e990725938bf7
76561197976393269,kaze,3,1500,1500,1500,force-buy,9,603e990725938bf7
76561199016206318,L1haNg,3,3000,2900,3100,force-buy,9,603e990725938bf7
76561198013230247,Summer,3,2000,1850,1850,force-buy,9,603e990725938bf7
76561198153651861,nawwk,2,5000,1400,7350,full,9,603e990725938bf7
76561198013295375,bodyy,2,3800,1200,5100,full,9,603e990725938bf7
76561198031651584,KRiMZ,2,5850,3900,5100,full,9,603e990725938bf7
76561198352656104,ChildKing,3,4750,4700,4900,full,9,603e990725938bf7
76561198028458803,blameF,2,5800,1200,5100,full,9,603e990725938bf7
76561198013295375,bodyy,2,5850,3250,3450,semi,10,603e990725938bf7
76561199046478501,MATYS,2,5750,2200,5100,full,10,603e990725938bf7
76561198045397601,SOMEBODY,3,1950,0,200,eco,10,603e990725938bf7
76561198031651584,KRiMZ,2,6100,1200,5200,full,10,603e990725938bf7
76561198153651861,nawwk,2,6950,1100,7350,full,10,603e990725938bf7
76561198352656104,ChildKing,3,2250,0,200,eco,10,603e990725938bf7
76561197976393269,kaze,3,1900,700,700,eco,10,603e990725938bf7
76561198028458803,blameF,2,8150,2050,3450,semi,10,603e990725938bf7
76561199016206318,L1haNg,3,2600,700,700,eco,10,603e990725938bf7
76561198013230247,Summer,3,2050,0,200,eco,10,603e990725938bf7
76561197976393269,kaze,3,3900,3850,4050,force-buy,11,603e990725938bf7
76561198153651861,nawwk,2,9400,2600,7350,full,11,603e990725938bf7
76561199046478501,MATYS,2,7400,1350,5100,full,11,603e990725938bf7
76561198031651584,KRiMZ,2,8750,1100,5100,full,11,603e990725938bf7
76561198028458803,blameF,2,9950,4900,5100,full,11,603e990725938bf7
76561199016206318,L1haNg,3,4300,4250,4450,force-buy,11,603e990725938bf7
76561198013230247,Summer,3,4450,4350,4550,full,11,603e990725938bf7
76561198013295375,bodyy,2,5850,3900,5100,full,11,603e990725938bf7
76561198045397601,SOMEBODY,3,4350,4350,4550,full,11,603e990725938bf7
76561198352656104,ChildKing,3,5250,5200,5400,full,11,603e990725938bf7
76561197976393269,kaze,3,3900,2900,5800,full,12,603e990725938bf7
76561199016206318,L1haNg,3,3300,3150,5600,full,12,603e990725938bf7
76561198031651584,KRiMZ,2,9050,8100,5400,full,12,603e990725938bf7
76561198352656104,ChildKing,3,3600,3600,5600,full,12,603e990725938bf7
76561198028458803,blameF,2,6750,5600,5600,full,12,603e990725938bf7
76561198013230247,Summer,3,3650,3400,6200,full,12,603e990725938bf7
76561198153651861,nawwk,2,8200,7650,7350,full,12,603e990725938bf7
76561198013295375,bodyy,2,3650,2700,5400,full,12,603e990725938bf7
76561199046478501,MATYS,2,7450,4900,5100,full,12,603e990725938bf7
76561198045397601,SOMEBODY,3,3550,3500,5050,full,12,603e990725938bf7
76561199016206318,L1haNg,2,800,650,850,pistol,13,603e990725938bf7
76561198045397601,SOMEBODY,2,800,700,900,pistol,13,603e990725938bf7
76561198352656104,ChildKing,2,800,650,950,pistol,13,603e990725938bf7
76561198028458803,blameF,3,800,650,950,pistol,13,603e990725938bf7
76561198013230247,Summer,2,800,650,850,pistol,13,603e990725938bf7
76561198153651861,nawwk,3,800,650,850,pistol,13,603e990725938bf7
76561198013295375,bodyy,3,800,700,600,pistol,13,603e990725938bf7
76561199046478501,MATYS,3,800,650,850,pistol,13,603e990725938bf7
76561198031651584,KRiMZ,3,800,650,850,pistol,13,603e990725938bf7
76561197976393269,kaze,2,800,800,700,pistol,13,603e990725938bf7
76561198352656104,ChildKing,2,3700,3700,3900,semi,14,603e990725938bf7
76561197976393269,kaze,2,3850,3700,3900,semi,14,603e990725938bf7
76561198028458803,blameF,3,2050,300,300,eco,14,603e990725938bf7
76561199016206318,L1haNg,2,3700,3700,4550,full,14,603e990725938bf7
76561198013230247,Summer,2,3700,2400,3450,semi,14,603e990725938bf7
76561198013295375,bodyy,3,2000,0,200,eco,14,603e990725938bf7
76561199046478501,MATYS,3,2350,200,400,eco,14,603e990725938bf7
76561198045397601,SOMEBODY,2,3650,3500,3700,semi,14,603e990725938bf7
76561198031651584,KRiMZ,3,2050,0,400,eco,14,603e990725938bf7
76561198153651861,nawwk,3,2050,0,200,eco,14,603e990725938bf7
76561198013295375,bodyy,3,4400,2900,5800,full,15,603e990725938bf7
76561199046478501,MATYS,3,4550,4500,5200,full,15,603e990725938bf7
76561198031651584,KRiMZ,3,4450,2900,4700,full,15,603e990725938bf7
76561197976393269,kaze,2,3950,900,4100,full,15,603e990725938bf7
76561199016206318,L1haNg,2,3800,2100,5000,full,15,603e990725938bf7
76561198013230247,Summer,2,5400,3400,3450,semi,15,603e990725938bf7
76561198153651861,nawwk,3,4450,4400,4900,full,15,603e990725938bf7
76561198045397601,SOMEBODY,2,3950,3900,4100,full,15,603e990725938bf7
76561198352656104,ChildKing,2,3500,1200,5100,full,15,603e990725938bf7
76561198028458803,blameF,3,4750,4700,5300,full,15,603e990725938bf7
76561198028458803,blameF,3,2950,2850,4700,full,16,603e990725938bf7
76561199016206318,L1haNg,2,4950,2200,5300,full,16,603e990725938bf7
76561198013230247,Summer,2,6450,3900,5100,full,16,603e990725938bf7
76561198045397601,SOMEBODY,2,3300,1200,5100,full,16,603e990725938bf7
76561198352656104,ChildKing,2,6150,800,5200,full,16,603e990725938bf7
76561197976393269,kaze,2,6900,900,4100,full,16,603e990725938bf7
76561198153651861,nawwk,3,3250,3200,3400,force-buy,16,603e990725938bf7
76561198013295375,bodyy,3,4400,4350,2900,force-buy,16,603e990725938bf7
76561199046478501,MATYS,3,2950,2900,3100,force-buy,16,603e990725938bf7
76561198031651584,KRiMZ,3,4450,4450,4650,full,16,603e990725938bf7
76561199016206318,L1haNg,2,4650,5150,4600,full,17,603e990725938bf7
76561198013230247,Summer,2,8450,1750,3900,semi,17,603e990725938bf7
76561198013295375,bodyy,3,3450,3400,3750,semi,17,603e990725938bf7
76561198352656104,ChildKing,2,11300,1100,5000,full,17,603e990725938bf7
76561197976393269,kaze,2,12450,1200,5400,full,17,603e990725938bf7
76561198153651861,nawwk,3,3450,3400,4450,semi,17,603e990725938bf7
76561199046478501,MATYS,3,5400,2050,4550,full,17,603e990725938bf7
76561198045397601,SOMEBODY,2,7650,1200,5100,full,17,603e990725938bf7
76561198031651584,KRiMZ,3,4400,2700,5800,full,17,603e990725938bf7
76561198028458803,blameF,3,5500,1700,5700,full,17,603e990725938bf7
