number,start tick,start frame,freezetime end tick,freezetime end frame,end tick,end frame,end officially tick,end officially frame,team a name,team b name,score team a,score team b,team a side,team b side,team a start money,team b start money,team a equipment value,team b equipment value,team a money spent,team b money spent,team a economy type,team b economy type,duration,end reason,winner name,winner side,overtime number,match checksum
1,1018,1328,2712,3571,8934,10649,9382,11184,MIBR,Rare Atom,0,1,3,2,4000,4000,4200,4250,3400,3450,pistol,pistol,115361,9,Rare Atom,2,0,5979376f760e45ca
2,9382,11184,10662,13263,18025,21972,18473,22515,MIBR,Rare Atom,0,2,3,2,10700,18600,10200,20200,9600,18100,force-buy,full,133518,1,Rare Atom,2,0,5979376f760e45ca
3,18473,22515,19753,24521,26650,32572,27098,33111,MIBR,Rare Atom,1,2,3,2,15800,19500,6600,19300,2850,18300,semi,semi,124470,7,MIBR,3,0,5979376f760e45ca
4,27098,33111,28378,35107,32623,40394,33071,40931,MIBR,Rare Atom,2,2,3,2,32250,13000,30300,11300,26000,11300,full,force-buy,90138,7,MIBR,3,0,5979376f760e45ca
5,33071,40931,34351,42874,39605,49091,40053,49636,MIBR,Rare Atom,3,2,3,2,25550,15400,30650,9050,17000,8850,full,semi,100992,8,MIBR,3,0,5979376f760e45ca
6,40053,49636,41333,51623,50075,62226,50523,62791,MIBR,Rare Atom,3,3,3,2,26300,18850,31250,19350,8300,18550,full,force-buy,155820,1,Rare Atom,2,0,5979376f760e45ca
7,50523,62791,51803,64838,58861,73303,59309,73892,MIBR,Rare Atom,4,3,3,2,25000,18700,31250,25900,14600,5900,full,full,130102,8,MIBR,3,0,5979376f760e45ca
8,59309,73892,60589,75767,68688,85475,69136,86001,MIBR,Rare Atom,5,3,3,2,27950,22900,30550,23400,16250,22400,full,full,143357,7,MIBR,3,0,5979376f760e45ca
9,71120,88785,72400,90620,75578,94540,76026,95097,MIBR,Rare Atom,6,3,3,2,30800,17000,30950,8850,23300,8450,full,semi,71226,7,MIBR,3,0,5979376f760e45ca
10,76026,95097,77306,97183,84961,106427,85409,106945,MIBR,Rare Atom,6,4,3,2,26800,26950,30450,25200,12400,24200,full,full,140226,1,Rare Atom,2,0,5979376f760e45ca
11,85409,106945,86689,108918,91827,115108,92275,115671,MIBR,Rare Atom,7,4,3,2,22000,21750,27450,25400,21050,12700,full,full,101029,8,MIBR,3,0,5979376f760e45ca
12,94280,118582,95560,120585,102419,128877,105907,132776,MIBR,Rare Atom,8,4,3,2,18500,21350,30250,21900,12000,21100,full,full,127416,8,MIBR,3,0,5979376f760e45ca
13,105907,132776,107603,135199,114534,143166,114982,143754,MIBR,Rare Atom,8,5,2,3,4000,4000,4750,4550,3550,3450,pistol,pistol,128592,8,Rare Atom,3,0,5979376f760e45ca
14,114982,143754,116262,145751,120312,150463,120760,151006,MIBR,Rare Atom,8,6,2,3,10250,18300,1400,20700,200,18000,eco,semi,83034,8,Rare Atom,3,0,5979376f760e45ca
15,120760,151006,122040,153166,125715,157857,126163,158418,MIBR,Rare Atom,9,6,2,3,22050,19250,23000,24900,21800,6000,full,full,84791,9,MIBR,2,0,5979376f760e45ca
16,129108,162619,130388,164392,134679,169715,135127,170280,MIBR,Rare Atom,9,7,2,3,18300,20650,25400,20800,13100,19800,full,force-buy,87823,8,Rare Atom,3,0,5979376f760e45ca
17,135127,170280,136407,172256,143410,180621,143858,181162,MIBR,Rare Atom,10,7,2,3,15300,18900,7400,27100,7000,14050,semi,full,127985,9,MIBR,2,0,5979376f760e45ca
18,143858,181162,145138,183231,151120,190429,151568,190957,MIBR,Rare Atom,10,8,2,3,26350,13050,25700,13550,21100,12950,full,force-buy,114693,8,Rare Atom,3,0,5979376f760e45ca
19,151568,190957,152848,193069,157052,198147,157500,198688,MIBR,Rare Atom,10,9,2,3,13450,17850,14300,21000,13300,16450,force-buy,semi,88987,8,Rare Atom,3,0,5979376f760e45ca
20,157500,198688,158780,200604,164576,207501,165024,208040,MIBR,Rare Atom,10,10,2,3,10550,20050,1000,23800,0,15400,eco,full,109074,8,Rare Atom,3,0,5979376f760e45ca
21,165024,208040,166304,210067,174793,220202,175241,220771,MIBR,Rare Atom,11,10,2,3,22550,23000,22800,28000,21800,11450,full,full,150523,1,MIBR,2,0,5979376f760e45ca
22,175241,220771,176521,222815,183881,231659,184329,232190,MIBR,Rare Atom,11,11,2,3,19750,19450,24100,26150,15700,19000,full,full,134755,12,Rare Atom,3,0,5979376f760e45ca
23,186733,235692,188013,237575,195373,246306,195821,246849,MIBR,Rare Atom,11,12,2,3,11250,17600,19600,23850,10600,16700,force-buy,full,131364,12,Rare Atom,3,0,5979376f760e45ca
24,195821,246849,197101,248920,200004,252664,200004,252664,MIBR,Rare Atom,11,13,2,3,15300,19250,15550,23150,11250,17350,force-buy,full,71969,8,Rare Atom,3,0,5979376f760e45ca
