frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
7031,5619,1,3,2,0,76561198838822582,Mzinho,0,1,1cd888f387b2c0cd
41335,33252,4,2,2,0,76561198838822582,Mzinho,0,1,1cd888f387b2c0cd
41997,33843,4,1,3,1,76561198155754447,volt,1,1,1cd888f387b2c0cd
52341,41943,5,4,3,0,76561199009468655,ztr,0,1,1cd888f387b2c0cd
66357,53128,6,4,3,0,76561198014259134,FL4MUS,0,0,1cd888f387b2c0cd
73031,58253,7,2,3,0,76561198155754447,volt,0,0,1cd888f387b2c0cd
83775,66876,8,5,3,0,76561198155754447,volt,0,0,1cd888f387b2c0cd
96512,76304,9,2,2,0,76561199203563345,910,0,0,1cd888f387b2c0cd
105593,83269,10,3,3,0,76561198098071693,sl3nd,1,0,1cd888f387b2c0cd
115885,91469,11,4,3,0,76561199009468655,ztr,0,1,1cd888f387b2c0cd
124115,97760,12,2,3,1,76561198098071693,sl3nd,1,2,1cd888f387b2c0cd
124284,97916,12,1,2,0,76561198920720017,Senzu,0,0,1cd888f387b2c0cd
134740,107168,13,4,2,0,76561198316706174,Tauson,0,0,1cd888f387b2c0cd
139591,110772,14,3,2,0,76561199009468655,ztr,0,0,1cd888f387b2c0cd
147572,116999,15,5,2,0,76561199009468655,ztr,0,1,1cd888f387b2c0cd
156994,124417,16,2,2,0,76561198098071693,sl3nd,0,1,1cd888f387b2c0cd
157079,124495,16,1,3,1,76561198966340160,Techno4K,1,1,1cd888f387b2c0cd
175388,139177,18,2,2,0,76561199009468655,ztr,0,0,1cd888f387b2c0cd
