name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
" saffee",76561197985565685,21,MIBR,7,1,12,2,28,0.583333,57.894737,45.526318,0.368421,0.631579,1.789474,3,-1,0,0,0,1,0,0,865,50,34,2,5,8,5,6,0,0,0,0,0,2,5,8,5,6,2,2,1,3,0,0,2,3,0,0,0,0.616878,0.715982,CSGO-niyeb-yLFrz-dNQCR-vmkVv-4jTiA,3,0,88016797c9a0a2ad
Senzu,76561198920720017,34,The MongolZ,13,8,12,7,53,1.083333,100.000000,94.736839,0.684211,0.631579,2.105263,2,-1,0,0,0,0,0,0,1800,171,40,1,4,7,4,5,0,0,0,0,0,1,4,7,4,5,3,1,4,4,0,1,8,3,0,0,0,1.391372,0.979823,CSGO-RSdT5-FBKek-fvJ5k-TKLm3-YBLDR,3,0,88016797c9a0a2ad
bLitz,76561198959824088,25,The MongolZ,7,5,11,4,57,0.636364,68.421051,50.842106,0.368421,0.578947,8.315789,2,-1,0,0,0,3,0,0,966,145,158,1,4,7,4,5,0,0,0,0,0,1,4,7,4,5,1,5,1,3,0,1,3,2,0,0,0,0.759752,0.713233,CSGO-d2Qjm-bSP88-mXTHk-acm3G-bkMHA,2,0,88016797c9a0a2ad
insani,76561198061423730,41,MIBR,14,7,15,10,71,0.933333,73.684212,84.421051,0.736842,0.789474,2.789474,2,-1,0,0,0,0,2,0,1604,324,53,2,5,8,5,6,0,0,0,0,0,2,5,8,5,6,3,1,3,2,0,0,4,4,1,0,0,1.122362,1.016780,CSGO-GsnzG-rBZDa-ry2xe-zrqZs-qKwLA,0,0,88016797c9a0a2ad
Lucaozy,76561198157388473,20,MIBR,8,2,14,7,87,0.571429,52.631580,60.263157,0.421053,0.736842,0.631579,0,-1,0,0,0,0,0,0,1145,247,12,2,5,8,5,6,0,0,0,0,0,2,5,8,5,6,0,4,1,2,0,0,4,2,0,0,0,0.620255,0.628071,CSGO-EvvTA-D6U88-mXTHk-acm3G-bkMHA,4,0,88016797c9a0a2ad
exit,76561198010496342,34,MIBR,13,4,15,8,61,0.866667,73.684212,79.473686,0.684211,0.789474,2.842105,0,-1,0,0,0,0,1,0,1510,213,54,4,7,10,7,8,0,0,0,0,0,4,7,10,7,8,2,2,3,2,0,1,6,2,1,0,0,1.045309,0.896483,CSGO-niyeb-yLFrz-dNQCR-vmkVv-4jTiA,2,0,88016797c9a0a2ad
910,76561199203563345,32,The MongolZ,14,0,6,0,0,2.333333,84.210526,51.631580,0.736842,0.315789,3.578947,2,-1,0,0,0,2,0,0,981,98,68,1,4,7,4,5,0,0,0,0,0,1,4,7,4,5,2,1,2,2,0,0,9,1,1,0,0,1.310001,1.297331,CSGO-M2rA2-pdMmu-ZW93R-XO5cv-hif4D,0,0,88016797c9a0a2ad
Mzinho,76561198838822582,52,The MongolZ,20,3,12,11,55,1.666667,89.473686,97.684212,1.052632,0.631579,14.947369,4,-1,0,0,0,4,0,0,1856,209,284,2,5,8,5,6,0,0,0,0,0,2,5,8,5,6,3,0,5,1,0,0,8,2,0,2,0,1.616185,1.608199,CSGO-pTnp4-jooAC-X4DMi-xjuiY-k8aYO,1,0,88016797c9a0a2ad
Techno4K,76561198966340160,44,The MongolZ,16,11,10,8,50,1.600000,100.000000,111.736839,0.842105,0.526316,2.894737,3,-1,0,0,0,0,0,0,2123,232,55,0,3,6,3,4,0,0,0,0,0,0,3,6,3,4,2,1,2,6,0,1,7,3,1,0,0,1.654071,1.274157,CSGO-s5Qbj-nvF89-cJjDd-mRdSG-5Yt4N,4,0,88016797c9a0a2ad
drop,76561198388056582,14,MIBR,6,3,17,3,50,0.352941,57.894737,53.105263,0.315789,0.894737,2.578947,1,-1,0,0,0,0,0,0,1009,212,49,1,4,7,4,5,0,0,0,0,0,1,4,7,4,5,1,2,3,2,0,1,4,1,0,0,0,0.465890,0.380460,CSGO-peqCj-cRKwS-joxsM-L2p4W-JK5mA,1,0,88016797c9a0a2ad
