frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
1869,1513,1,76561198959824088,2,bLitz,Smoke Grenade,grenade,01JM6G1RR62X1Y9K1C6BVH5K7P,0,88016797c9a0a2ad
1871,1515,1,76561198966340160,2,Techno4K,Kevlar Vest,equipment,01JM6G1RR62X1Y9K1C6GFSJ079,0,88016797c9a0a2ad
1879,1522,1,76561198959824088,2,bLitz,Flashbang,grenade,01JM6G1RR62X1Y9K1C6KARYQEF,0,88016797c9a0a2ad
1896,1534,1,76561199203563345,2,910,Kevlar Vest,equipment,01JM6G1RR62X1Y9K1C6NYXMJ4D,0,88016797c9a0a2ad
1950,1573,1,76561198157388473,3,Lucaozy,Kevlar Vest,equipment,01JM6G1RR8B4708X79D77Z25YK,0,88016797c9a0a2ad
2168,1740,1,76561198838822582,2,Mzinho,Kevlar Vest,equipment,01JM6G1RRBZ55Q9CMH85EX18Z4,0,88016797c9a0a2ad
2195,1755,1,76561198010496342,3,exit,Smoke Grenade,grenade,01JM6G1RRBZ55Q9CMH885S10KY,0,88016797c9a0a2ad
2264,1802,1,76561199203563345,2,910,P250,pistol,01JM6G1RR9QPBYKB2YMMGDZ2B9,0,88016797c9a0a2ad
2507,1956,1,76561198388056582,3,drop,Kevlar Vest,equipment,01JM6G1RRGT5F2NK36DZ281QVP,0,88016797c9a0a2ad
2525,1971,1,76561198061423730,3,insani,Kevlar Vest,equipment,01JM6G1RRGT5F2NK36E1MH1B99,0,88016797c9a0a2ad
2637,2048,1,76561197985565685,3," saffee",Dual Berettas,pistol,01JM6G1RRJTCJYQXHEXBKJS15S,0,88016797c9a0a2ad
2819,2170,1,76561197985565685,3," saffee",Defuse Kit,equipment,01JM6G1RRNN9RPT3VZTD7VPB4F,0,88016797c9a0a2ad
8042,6506,2,76561198966340160,2,Techno4K,Kevlar + Helmet,equipment,01JM6G1RZ6BRNRHRRAP45DWHHS,0,88016797c9a0a2ad
8069,6525,2,76561198959824088,2,bLitz,Kevlar + Helmet,equipment,01JM6G1RZ6BRNRHRRAP7HXZGK1,0,88016797c9a0a2ad
8120,6553,2,76561198838822582,2,Mzinho,Kevlar + Helmet,equipment,01JM6G1RZ70HMHD41A9ZTK4T46,0,88016797c9a0a2ad
8145,6566,2,76561198838822582,2,Mzinho,AK-47,rifle,01JM6G1RZ88P81RAHEFM2FB4G3,0,88016797c9a0a2ad
8157,6572,2,76561198966340160,2,Techno4K,MAC-10,smg,01JM6G1RZ88P81RAHEFPE3BQ21,0,88016797c9a0a2ad
8191,6594,2,76561198838822582,2,Mzinho,Molotov,grenade,01JM6G1RZ9K9H69S4WVE8GXEAR,0,88016797c9a0a2ad
8202,6605,2,76561198838822582,2,Mzinho,HE Grenade,grenade,01JM6G1RZ9K9H69S4WVF6AFXQK,0,88016797c9a0a2ad
