frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
22678,18525,2,3,2,1,76561198408199043,phzy,1,3,485f43b117c7ff35
22907,18727,2,1,3,0,76561198446445284,jackasmo,0,0,485f43b117c7ff35
41170,33543,4,3,2,0,76561198342718168,susp,0,0,485f43b117c7ff35
48157,39061,5,2,3,0,76561198964042711,s-chilla,0,0,485f43b117c7ff35
59363,48164,6,5,3,0,76561198132026180,fEAR,0,0,485f43b117c7ff35
69686,56797,7,2,2,1,76561197975129851,Sonic,1,2,485f43b117c7ff35
69970,57042,7,1,3,0,76561199121088563,zeRRoFIX,0,0,485f43b117c7ff35
96549,78933,9,2,2,1,76561197975129851,Sonic,1,2,485f43b117c7ff35
96868,79222,9,1,3,0,76561198446445284,jackasmo,0,0,485f43b117c7ff35
106824,87409,10,4,3,0,76561198132026180,fEAR,0,3,485f43b117c7ff35
110455,90592,10,1,2,0,76561198408199043,phzy,1,1,485f43b117c7ff35
118781,97295,11,2,2,1,76561198342718168,susp,1,2,485f43b117c7ff35
119111,97579,11,1,3,0,76561198446445284,jackasmo,0,0,485f43b117c7ff35
126689,103565,12,2,3,0,76561198800253526,jambo,0,0,485f43b117c7ff35
136526,111905,13,4,3,0,76561197975129851,Sonic,0,0,485f43b117c7ff35
145537,119197,14,4,3,0,76561198342718168,susp,0,0,485f43b117c7ff35
149613,122427,15,3,3,0,76561198408199043,phzy,0,0,485f43b117c7ff35
159492,130373,16,4,3,0,76561198184153575,JBa,0,0,485f43b117c7ff35
175783,143566,17,5,3,0,76561198342718168,susp,0,0,485f43b117c7ff35
182574,148968,18,3,2,0,76561198964042711,s-chilla,0,0,485f43b117c7ff35
190636,155394,19,4,2,0,76561199121088563,zeRRoFIX,0,0,485f43b117c7ff35
