name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
phzy,76561198408199043,35,Wildcard,13,4,12,3,23,1.083333,63.157890,81.000000,0.684211,0.631579,4.578948,3,-1,0,0,0,1,0,0,1539,141,87,8,8,7,8,5,1,4,2,1,1,7,4,5,7,4,2,2,3,1,0,0,5,1,2,0,0,1.057493,1.086677,CSGO-CyT9P-DOn6w-zJBQh-o8SLm-3kYbD,4,0,485f43b117c7ff35
Sonic,76561197975129851,44,Wildcard,16,6,12,7,43,1.333333,73.684212,99.157898,0.842105,0.631579,12.263158,3,-1,0,0,0,1,0,0,1884,328,233,8,8,7,8,5,2,5,3,2,2,6,3,4,6,3,2,3,1,3,0,1,9,0,1,1,0,1.339402,1.279657,CSGO-Y2OsJ-wVWtb-wRud9-RGWsE-vurBE,1,0,485f43b117c7ff35
jambo,76561198800253526,22,Passion UA,8,1,12,3,37,0.666667,57.894737,37.052631,0.421053,0.631579,0.000000,0,-1,0,0,0,2,0,0,704,53,0,6,6,5,6,3,0,3,1,0,0,6,3,4,6,3,2,2,1,0,0,0,6,1,0,0,0,0.635254,0.683632,CSGO-mPkbZ-H8PHa-VHUk2-6xsDU-ZaywQ,2,0,485f43b117c7ff35
fEAR,76561198132026180,38,Passion UA,17,4,13,7,41,1.307692,89.473686,94.263161,0.894737,0.684211,5.000000,1,-1,0,0,0,1,0,0,1791,229,95,7,7,6,7,4,0,3,1,0,0,7,4,5,7,4,6,2,1,5,0,1,7,1,0,2,0,1.445959,1.402704,CSGO-iWRa3-DqFUz-bGwRx-mKUA2-hif4D,4,0,485f43b117c7ff35
JBa,76561198184153575,41,Wildcard,13,4,13,6,46,1.000000,68.421051,72.105263,0.684211,0.684211,7.578948,2,-1,0,0,0,3,0,0,1370,272,144,6,6,5,6,3,0,3,1,0,0,6,3,4,6,3,1,3,4,4,0,0,5,4,0,0,0,1.039404,0.952043,CSGO-qSzCs-BRruj-UEKYE-zTwVW-NoRBD,3,0,485f43b117c7ff35
s-chilla,76561198964042711,22,Passion UA,9,2,13,4,44,0.692308,73.684212,59.684212,0.473684,0.684211,0.473684,0,-1,0,0,0,1,0,0,1134,199,9,7,7,6,7,4,0,3,1,0,0,7,4,5,7,4,0,1,2,2,0,0,7,1,0,0,0,0.845626,0.684560,CSGO-jUC6h-CHAbA-tGrER-b4z8S-AaJaA,0,0,485f43b117c7ff35
stanislaw,76561197981849043,26,Wildcard,7,6,12,2,28,0.583333,68.421051,43.736843,0.368421,0.631579,6.000000,2,-1,0,0,0,3,0,0,831,125,114,5,5,4,5,2,0,3,1,0,0,5,2,3,5,2,0,1,1,6,0,1,3,2,0,0,0,0.714211,0.670188,CSGO-TyYEU-37jU2-CqjwY-LjfEp-kqpJN,0,0,485f43b117c7ff35
zeRRoFIX,76561199121088563,30,Passion UA,12,7,14,5,41,0.857143,63.157890,84.789474,0.631579,0.736842,2.947368,2,-1,0,0,0,0,0,0,1611,306,56,7,7,6,7,4,0,3,1,0,0,7,4,5,7,4,1,1,3,3,0,0,6,3,0,0,0,0.983764,0.834495,CSGO-2SDH7-Dt5Zf-iBmqX-UVtvi-cV6uC,3,0,485f43b117c7ff35
jackasmo,76561198446445284,31,Passion UA,14,4,12,11,78,1.166667,57.894737,84.000000,0.736842,0.631579,7.000000,3,-1,0,0,0,0,0,0,1596,274,133,8,8,7,8,5,0,3,1,0,0,8,5,6,8,5,1,3,3,0,0,0,4,5,0,0,0,1.074164,1.069591,CSGO-sbG9Z-oGqXz-s8bCA-QEYkY-UCbtH,1,0,485f43b117c7ff35
susp,76561198342718168,34,Wildcard,14,2,12,8,57,1.166667,63.157890,81.000000,0.736842,0.631579,6.842105,3,-1,0,0,0,1,0,0,1539,287,130,9,9,8,9,6,1,4,2,1,1,8,5,6,8,5,4,1,5,1,0,0,7,2,0,1,0,1.092498,1.176445,CSGO-hWkNJ-CWztP-sOthn-o4UbP-6sWPA,2,0,485f43b117c7ff35
