frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
1897,1558,1,76561198800253526,3,jambo,Kevlar Vest,equipment,01JM6G2X9ZYKGA9Y8DZK74B4NG,0,485f43b117c7ff35
2342,1945,1,76561198184153575,2,JBa,Kevlar Vest,equipment,01JM6G2XA8R8B5X2B4STTCWYSY,0,485f43b117c7ff35
2381,1975,1,76561198342718168,2,susp,Kevlar Vest,equipment,01JM6G2XA8R8B5X2B4SWBWPMG3,0,485f43b117c7ff35
2729,2261,1,76561199121088563,3,zeRRoFIX,Kevlar Vest,equipment,01JM6G2XADKBH3ZH5HR6BRG1KC,0,485f43b117c7ff35
14807,12209,2,76561198446445284,3,jackasmo,Kevlar + Helmet,equipment,01JM6G2XQV9YMH1PCX0GW0924A,0,485f43b117c7ff35
14857,12245,2,76561198408199043,2,phzy,Kevlar + Helmet,equipment,01JM6G2XQWKYZM5S9X2FKR034V,0,485f43b117c7ff35
14904,12273,2,76561198342718168,2,susp,MAC-10,smg,01JM6G2XQXYH12B2NY2MA1WA01,0,485f43b117c7ff35
14929,12295,2,76561198342718168,2,susp,Kevlar + Helmet,equipment,01JM6G2XQY7TCDZ4GFFFK0ZWFE,0,485f43b117c7ff35
14978,12333,2,76561198342718168,2,susp,Smoke Grenade,grenade,01JM6G2XQZKCJCJN8CHVSYK1M4,0,485f43b117c7ff35
14993,12341,2,76561198342718168,2,susp,HE Grenade,grenade,01JM6G2XQZKCJCJN8CHW7H350E,0,485f43b117c7ff35
15002,12350,2,76561198342718168,2,susp,Molotov,grenade,01JM6G2XQZKCJCJN8CHY63TWPG,0,485f43b117c7ff35
15018,12362,2,76561198342718168,2,susp,Flashbang,grenade,01JM6G2XR0DEKYMFB2GR4HWY9V,0,485f43b117c7ff35
15214,12506,2,76561197975129851,2,Sonic,Kevlar + Helmet,equipment,01JM6G2XR2A1KMMSNG641P49WB,0,485f43b117c7ff35
15336,12598,2,76561198132026180,3,fEAR,Kevlar Vest,equipment,01JM6G2XR4H4VZF25CNX8XP276,0,485f43b117c7ff35
15421,12646,2,76561198184153575,2,JBa,MAC-10,smg,01JM6G2XR6T1CTBCW6K671Z1K0,0,485f43b117c7ff35
