frame,tick,round,player steamid,player side,player name,weapon name,weapon type,weapon unique id,has refunded,match checksum
1809,1481,1,76561197981849043,2,stanislaw,Kevlar Vest,equipment,01JM6G3E3AWFTYPB96JW8R21WG,0,b1c8f82f8bf15fe6
1833,1503,1,76561198342718168,2,susp,Kevlar Vest,equipment,01JM6G3E3AWFTYPB96JX1CSBRM,0,b1c8f82f8bf15fe6
1858,1523,1,76561198408199043,2,phzy,P250,pistol,01JM6G3E3AWFTYPB96JYKF26D3,0,b1c8f82f8bf15fe6
1869,1530,1,76561197981849043,2,stanislaw,Decoy Grenade,grenade,01JM6G3E3AWFTYPB96JZWMXJM7,0,b1c8f82f8bf15fe6
1891,1545,1,76561198408199043,2,phzy,Smoke Grenade,grenade,01JM6G3E3BDZ0QMBM4V1QEZMDQ,0,b1c8f82f8bf15fe6
1915,1562,1,76561198408199043,2,phzy,Flashbang,grenade,01JM6G3E3CZGZS33SEX98P6TG5,0,b1c8f82f8bf15fe6
2160,1769,1,76561198964042711,3,s-chilla,Kevlar Vest,equipment,01JM6G3E3GJTM8S3ECFR5JAGTY,0,b1c8f82f8bf15fe6
2172,1778,1,76561199121088563,3,zeRRoFIX,Kevlar Vest,equipment,01JM6G3E3GJTM8S3ECFR7ZJS62,0,b1c8f82f8bf15fe6
2254,1850,1,76561198800253526,3,jambo,Kevlar Vest,equipment,01JM6G3E3HFZ4BTS1ECRN7QKBT,0,b1c8f82f8bf15fe6
2331,1914,1,76561198132026180,3,fEAR,Flashbang,grenade,01JM6G3E3JG03Y5KSFXRTP80AP,0,b1c8f82f8bf15fe6
2675,2217,1,76561198132026180,3,fEAR,Dual Berettas,pistol,01JM6G3E3QWW8N6F18G880V6HT,0,b1c8f82f8bf15fe6
2708,2243,1,76561198446445284,3,jackasmo,Kevlar Vest,equipment,01JM6G3E3QWW8N6F18G96CCA83,0,b1c8f82f8bf15fe6
2766,2289,1,76561198132026180,3,fEAR,HE Grenade,grenade,01JM6G3E3R1TTEXFXVWWH7QP1D,0,b1c8f82f8bf15fe6
16409,13606,2,76561198408199043,2,phzy,Kevlar + Helmet,equipment,01JM6G3EE5ZF6JXCYSMTSPVHV2,0,b1c8f82f8bf15fe6
16500,13662,2,76561197975129851,2,Sonic,Kevlar + Helmet,equipment,01JM6G3EE7EHYVBR23X5XNZ2TK,0,b1c8f82f8bf15fe6
16623,13746,2,76561198342718168,2,susp,Galil AR,rifle,01JM6G3EE9NM3VVJAQQ1BFYW55,0,b1c8f82f8bf15fe6
16637,13759,2,76561198342718168,2,susp,Kevlar + Helmet,equipment,01JM6G3EE9NM3VVJAQQ1HC38H2,0,b1c8f82f8bf15fe6
16662,13776,2,76561197981849043,2,stanislaw,MAC-10,smg,01JM6G3EEAM6SG3NJ5Q9JS30JJ,0,b1c8f82f8bf15fe6
16684,13787,2,76561198342718168,2,susp,Smoke Grenade,grenade,01JM6G3EEBBYMZE083NZSP6F94,0,b1c8f82f8bf15fe6
16695,13795,2,76561198342718168,2,susp,HE Grenade,grenade,01JM6G3EEBBYMZE083P36CRYHE,0,b1c8f82f8bf15fe6
16697,13797,2,76561197981849043,2,stanislaw,Kevlar + Helmet,equipment,01JM6G3EEBBYMZE083P4AW8DAZ,0,b1c8f82f8bf15fe6
16710,13805,2,76561198342718168,2,susp,Molotov,grenade,01JM6G3EEC6DKVB8QJ1S4AAYWB,0,b1c8f82f8bf15fe6
16726,13817,2,76561198342718168,2,susp,Flashbang,grenade,01JM6G3EEC6DKVB8QJ1XRERT39,0,b1c8f82f8bf15fe6
16745,13831,2,76561198184153575,2,JBa,Galil AR,rifle,01JM6G3EEC6DKVB8QJ1Z3V9VHS,0,b1c8f82f8bf15fe6
16745,13831,2,76561197981849043,2,stanislaw,Smoke Grenade,grenade,01JM6G3EEC6DKVB8QJ22DKY72T,0,b1c8f82f8bf15fe6
16771,13845,2,76561197981849043,2,stanislaw,HE Grenade,grenade,01JM6G3EEDV6FJAJ2C04T7YY93,0,b1c8f82f8bf15fe6
16788,13856,2,76561197981849043,2,stanislaw,Molotov,grenade,01JM6G3EEDV6FJAJ2C06F3GH1X,0,b1c8f82f8bf15fe6
16815,13870,2,76561197981849043,2,stanislaw,Flashbang,grenade,01JM6G3EEDV6FJAJ2C07VFA7EW,0,b1c8f82f8bf15fe6
16913,13941,2,76561198184153575,2,JBa,Kevlar + Helmet,equipment,01JM6G3EEFBN0Z6V5D72T4SH4F,0,b1c8f82f8bf15fe6
16952,13968,2,76561198184153575,2,JBa,Smoke Grenade,grenade,01JM6G3EEFBN0Z6V5D73VXVHT5,0,b1c8f82f8bf15fe6
16974,13983,2,76561198184153575,2,JBa,Molotov,grenade,01JM6G3EEGPTHBZ3XW3ZNPAPKM,0,b1c8f82f8bf15fe6
16990,13994,2,76561198184153575,2,JBa,HE Grenade,grenade,01JM6G3EEGPTHBZ3XW419XP81Z,1,b1c8f82f8bf15fe6
17148,14125,2,76561197975129851,2,Sonic,Galil AR,rifle,01JM6G3EEJS5B1G4F7QCSBAC0T,0,b1c8f82f8bf15fe6
17328,14268,2,76561197975129851,2,Sonic,Molotov,grenade,01JM6G3EEM79YWNKQG3VRNR2XG,0,b1c8f82f8bf15fe6
17385,14321,2,76561197975129851,2,Sonic,Flashbang,grenade,01JM6G3EENNCSR26CZBE6BBF1H,0,b1c8f82f8bf15fe6
17445,14366,2,76561198408199043,2,phzy,MAC-10,smg,01JM6G3EEP59GD8XJXTVEDJGN5,0,b1c8f82f8bf15fe6
17448,14367,2,76561198800253526,3,jambo,Desert Eagle,pistol,01JM6G3EEP59GD8XJXTVVQG987,0,b1c8f82f8bf15fe6
17720,14572,2,76561198408199043,2,phzy,Smoke Grenade,grenade,01JM6G3EET3HA7Z4CCPZESVNN0,0,b1c8f82f8bf15fe6
17735,14584,2,76561198408199043,2,phzy,HE Grenade,grenade,01JM6G3EET3HA7Z4CCQ3DCJMXH,0,b1c8f82f8bf15fe6
17745,14593,2,76561198408199043,2,phzy,Molotov,grenade,01JM6G3EET3HA7Z4CCQ3PVD11C,0,b1c8f82f8bf15fe6
17761,14603,2,76561198408199043,2,phzy,Flashbang,grenade,01JM6G3EEVGBX6NP5N2WNDB5DJ,0,b1c8f82f8bf15fe6
17851,14667,2,76561198184153575,2,JBa,HE Grenade,grenade,01JM6G3EEW0G5J7KFRXHY59WSV,1,b1c8f82f8bf15fe6
26761,22299,3,76561199121088563,3,zeRRoFIX,M4A1,rifle,01JM6G3ETQVD41HZBYJAEW6Q2H,0,b1c8f82f8bf15fe6
26774,22305,3,76561198446445284,3,jackasmo,Kevlar Vest,equipment,01JM6G3ETRPJEAB6RC77235YCC,0,b1c8f82f8bf15fe6
26786,22313,3,76561199121088563,3,zeRRoFIX,Kevlar + Helmet,equipment,01JM6G3ETRPJEAB6RC7APQ34YY,0,b1c8f82f8bf15fe6
26824,22338,3,76561198446445284,3,jackasmo,M4A1,rifle,01JM6G3ETS9ASB44GPJFK81N1E,0,b1c8f82f8bf15fe6
26844,22349,3,76561198446445284,3,jackasmo,Smoke Grenade,grenade,01JM6G3ETS9ASB44GPJFT4KW77,0,b1c8f82f8bf15fe6
