frame,tick,round,opponents,side,won,steamid,name,survived,kill_count,match checksum
6229,4970,1,5,2,0,76561197981849043,stanislaw,0,0,af91fb9f7eb80cc4
48980,39596,5,4,2,0,76561198408199043,phzy,0,1,af91fb9f7eb80cc4
59877,48390,6,2,3,0,76561198036125584,Jame,0,1,af91fb9f7eb80cc4
60641,49060,6,1,2,1,76561198184153575,JBa,1,1,af91fb9f7eb80cc4
70790,56936,7,3,3,1,76561198080114546,fame,1,3,af91fb9f7eb80cc4
71772,57758,7,1,2,0,76561198408199043,phzy,0,0,af91fb9f7eb80cc4
118163,95489,11,3,2,1,76561198408199043,phzy,0,2,af91fb9f7eb80cc4
119688,96838,11,1,3,0,76561198222442504,n0rb3r7,1,1,af91fb9f7eb80cc4
130774,105731,12,3,3,0,76561198044045107,electroNic,0,0,af91fb9f7eb80cc4
143193,116252,13,5,2,0,76561198044045107,electroNic,0,0,af91fb9f7eb80cc4
149349,121036,14,2,3,0,76561198342718168,susp,0,1,af91fb9f7eb80cc4
150360,121922,14,1,2,1,76561197995817501,FL1T,1,1,af91fb9f7eb80cc4
163616,132507,15,2,3,0,76561197975129851,Sonic,0,0,af91fb9f7eb80cc4
172384,139606,16,5,3,0,76561197975129851,Sonic,0,0,af91fb9f7eb80cc4
184915,149554,17,2,2,0,76561198044045107,electroNic,0,0,af91fb9f7eb80cc4
194300,156874,18,2,2,0,76561198036125584,Jame,1,1,af91fb9f7eb80cc4
194605,157148,18,1,3,1,76561198408199043,phzy,1,0,af91fb9f7eb80cc4
201831,162854,19,5,3,0,76561197981849043,stanislaw,0,2,af91fb9f7eb80cc4
209244,168731,20,4,2,0,76561198036125584,Jame,0,0,af91fb9f7eb80cc4
