name,steamid,score,team name,kills,assists,deaths,headshots,hs %,k/d,kast,avg damages per round,avg kills per round,avg death per round,utility_damage_per_round,mvp,rank type,rank,old rank,win count,bomb planted,bomb defused,hostage rescued,health damage,armor damage,utility damage,1v1,1v2,1v3,1v4,1v5,1v1 won,1v2 won,1v3 won,1v4 won,1v5 won,1v1 lost,1v2 lost,1v3 lost,1v4 lost,1v5 lost,first kill,first death,trade kill,trade death,first trade kill,first trade death,1k,2k,3k,4k,5k,htlv 2,htlv,crosshair share code,color,inspect weapon count,match checksum
JBa,76561198184153575,45,Wildcard,15,1,12,9,60,1.250000,76.190475,58.952381,0.714286,0.571429,3.095238,3,-1,0,0,0,3,1,0,1238,195,65,4,6,10,8,6,1,0,0,0,0,3,6,10,8,6,2,1,4,1,0,0,9,3,0,0,0,1.123899,1.030157,CSGO-qSzCs-BRruj-UEKYE-zTwVW-NoRBD,3,0,71cb8ba5f4565b30
n0rb3r7,76561198222442504,48,Virtus.Pro,15,1,13,9,60,1.153846,76.190475,66.095238,0.714286,0.619048,0.000000,3,-1,0,0,0,6,0,0,1388,177,0,5,7,11,9,7,1,0,0,0,0,4,7,11,9,7,3,0,3,4,0,0,6,3,1,0,0,1.121380,1.074078,CSGO-ftzUG-BHbCC-Hb9cY-9vpSa-RMQNN,3,0,71cb8ba5f4565b30
phzy,76561198408199043,39,Wildcard,15,5,11,5,33,1.363636,85.714287,79.142860,0.714286,0.523810,1.428571,4,-1,0,0,0,0,1,0,1662,196,30,3,5,9,7,5,1,0,0,0,0,2,5,9,7,5,2,4,3,3,0,1,2,5,1,0,0,1.302384,1.207213,CSGO-CyT9P-DOn6w-zJBQh-o8SLm-3kYbD,4,0,71cb8ba5f4565b30
stanislaw,76561197981849043,53,Wildcard,18,8,11,7,38,1.636364,76.190475,85.000000,0.857143,0.523810,13.428572,1,-1,0,0,0,3,1,0,1785,290,282,3,5,9,7,5,2,1,1,1,1,1,4,8,6,4,3,1,0,2,0,0,8,5,0,0,0,1.389312,1.243703,CSGO-TyYEU-37jU2-CqjwY-LjfEp-kqpJN,0,0,71cb8ba5f4565b30
Jame,76561198036125584,27,Virtus.Pro,12,3,14,2,16,0.857143,76.190475,54.761906,0.571429,0.666667,4.333333,1,-1,0,0,0,0,0,0,1150,130,91,3,5,9,7,5,1,0,0,0,0,2,5,9,7,5,4,1,1,1,0,0,8,2,0,0,0,0.945748,0.805288,CSGO-rLYmC-Gep2i-hh73s-WHidf-OnMHA,4,0,71cb8ba5f4565b30
fame,76561198080114546,43,Virtus.Pro,17,4,15,10,58,1.133333,76.190475,88.857140,0.809524,0.714286,6.571429,1,-1,0,0,0,1,0,0,1866,437,138,1,3,7,5,3,1,0,0,0,0,0,3,7,5,3,3,5,6,4,0,3,4,5,1,0,0,1.240015,1.131003,CSGO-vjGru-yOv3D-iovxr-ZXBEY-CcfiK,1,0,71cb8ba5f4565b30
FL1T,76561197995817501,31,Virtus.Pro,13,5,18,5,38,0.722222,71.428574,78.952377,0.619048,0.857143,5.142857,1,-1,0,0,0,0,0,0,1658,268,108,3,5,9,7,5,1,0,0,0,0,2,5,9,7,5,1,2,4,3,0,1,7,3,0,0,0,0.937538,0.716914,CSGO-hKGRz-ROZZs-8mjye-ZeinM-JyLXL,0,0,71cb8ba5f4565b30
Sonic,76561197975129851,45,Wildcard,16,5,15,12,75,1.066667,71.428574,89.380951,0.761905,0.714286,2.333333,1,-1,0,0,0,2,0,0,1877,193,49,2,4,8,6,4,1,0,0,0,0,1,4,8,6,4,2,2,6,4,0,2,6,4,1,0,0,1.170514,1.077406,CSGO-Y2OsJ-wVWtb-wRud9-RGWsE-vurBE,1,0,71cb8ba5f4565b30
susp,76561198342718168,27,Wildcard,8,8,16,2,25,0.500000,80.952385,65.428574,0.380952,0.761905,10.428572,4,-1,0,0,0,1,1,0,1374,295,219,1,3,7,5,3,1,0,0,0,0,0,3,7,5,3,1,3,1,6,0,2,3,3,0,0,0,0.822976,0.609688,CSGO-byUaX-dSaAA-owL2r-PpQ5n-qKwLA,2,0,71cb8ba5f4565b30
electroNic,76561198044045107,28,Virtus.Pro,6,8,14,4,66,0.428571,85.714287,56.809525,0.285714,0.666667,11.285714,2,-1,0,0,0,1,2,0,1193,256,237,4,6,10,8,6,1,0,0,0,0,3,6,10,8,6,0,2,2,6,0,2,6,0,0,0,0,0.798591,0.511331,CSGO-y7RFG-pFBtn-YP4EZ-c55CY-wwXsO,2,0,71cb8ba5f4565b30
